所属概念,market_code,所属概念数量,code,股票代码
云办公;电子身份证;东数西算(算力);网络安全;数据安全;华为鲲鹏;数据中心(AIDC);智慧政务;家庭医生;信创;财税数字化;DRG/DIP;智慧城市;芯片概念;物联网;百度概念;华为概念;数据要素;数字乡村;区块链;数字孪生;AI应用;人工智能;智能医疗;数字经济;食品安全;机器视觉;互联网金融;军工;工业互联网,33,30,300730,300730.SZ
国家大基金持股;第三代半导体;MCU芯片;芯片概念;传感器;国企改革;沪股通;融资融券,17,8,688172,688172.SH
人形机器人;华为汽车;长安汽车概念;PEEK材料;工业母机;特斯拉概念;机器人概念;智能座舱;比亚迪概念;新能源汽车;工业互联网;低空经济;汽车电子;深股通;融资融券,33,15,300100,300100.SZ
华为概念;充电桩;东数西算(算力);高端装备;风电;储能;专精特新;污水处理;净水概念;生物质能发电;新型城镇化;氢能源;固废处理;地下管网;PPP概念;绿色电力;深股通;融资融券,33,18,301127,301127.SZ
减速器;人形机器人;新型工业化;汽车热管理;华为汽车;机器人概念;无人驾驶;机器视觉;传感器;新能源汽车;脑机接口;AI智能体;人工智能;毫米波雷达;DeepSeek概念;汽车电子;共同富裕示范区;燃料电池;人民币贬值受益;氢能源;医疗器械概念;锂电池概念;固态电池;眼科医疗;沪股通;融资融券,17,26,688306,688306.SH
国家大基金持股;芯片概念;5G;中国AI 50;数据中心(AIDC);网络安全;沪股通;融资融券,17,8,688702,688702.SH
先进封装;芯片概念;MiniLED;专精特新;融资融券,17,5,688699,688699.SH
汽车芯片;存储芯片;MCU芯片;第三代半导体;芯片概念;先进封装;WiFi 6;5G;MiniLED;无线耳机;毫米波雷达;新型烟草(电子烟);专精特新;海峡两岸;粤港澳大湾区;智能家居;深股通;融资融券,33,18,300671,300671.SZ
金属铜;石墨烯;数据中心(AIDC);新能源汽车;高铁;氢能源;国企改革;深股通,33,8,300697,300697.SZ
AI视频;AI语料;ChatGPT概念;多模态AI;短剧游戏;算力租赁;AIGC概念;Web3.0;虚拟数字人;阿里巴巴概念;AI智能体;AI应用;东数西算(算力);元宇宙;区块链;在线教育;DeepSeek概念;手机游戏;人工智能;独角兽概念;网络游戏;虚拟现实;华为概念;同花顺新质50;京津冀一体化;网红经济;无人驾驶;创投;人民币贬值受益;芯片概念;深股通;融资融券,33,32,300418,300418.SZ
存储芯片;先进封装;商业航天;芯片概念;专精特新;融资融券;光伏概念;锂电池概念,151,8,920971,920971.BJ
算力租赁;东数西算(算力);丙烯酸;数据中心(AIDC);液冷服务器;DeepSeek概念;专精特新;新疆振兴,33,8,300214,300214.SZ
新能源汽车;专精特新;商业航天;人形机器人;航空发动机;高端装备;新型工业化;军工;机器人概念;海工装备;人工智能,33,11,300553,300553.SZ
军工信息化;军民融合;航空发动机;数字孪生;电子身份证;卫星导航;军工;Web3.0;商业航天;信创;高端装备;机器视觉;低空经济;物联网;无人机;人工智能;专精特新;AI应用;机器人概念;区块链;虚拟现实;传感器;东数西算(算力);西部大开发;第三代半导体;融资融券,33,26,301213,301213.SZ
共同富裕示范区;专精特新;融资融券;新能源汽车,151,4,920111,920111.BJ
网络安全;电子身份证;英伟达概念;抖音概念(字节概念);智慧政务;智能穿戴;5G;元宇宙;AI智能体;华为概念;AI应用;云计算;机器视觉;安防;物联网;数字乡村;车联网(车路协同);东数西算(算力);海峡两岸;军工;人工智能;机器人概念;AI眼镜;智慧城市;数字经济;福建自贸区;算力租赁;水利;一带一路;垃圾分类;乡村振兴,33,31,300560,300560.SZ
