股票代码,code,所属概念数量,market_code,所属概念
600759.SH,600759,8,17,海南自贸区;土地流转;俄乌冲突概念;天然气;一带一路;人民币贬值受益;融资融券;沪股通
601106.SH,601106,19,17,中字头股票;商业航天;核电;军工;军民融合;高端装备;国产航母;金属镍;工业母机;风电;小金属概念;一带一路;央企国企改革;特斯拉概念;黑龙江自贸区;国企改革;同花顺中特估100;沪股通;融资融券
000927.SZ,000927,14,33,统一大市场;国企改革;水泥概念;冷链物流;中俄贸易概念;一带一路;央企国企改革;智能物流;高铁;充电桩;人工智能;中字头股票;融资融券;深股通
000968.SZ,000968,7,33,煤炭概念;天然气;俄乌冲突概念;新疆振兴;国企改革;深股通;融资融券
000670.SZ,000670,10,33,存储芯片;芯片概念;小米概念;虚拟现实;机器人概念;智能家居;无人机;人民币贬值受益;海峡两岸;深股通
000036.SZ,000036,6,33,物业管理;锂电池概念;碳中和;盐湖提锂;深股通;融资融券
603608.SH,603608,8,17,C2M概念;AIGC概念;网红经济;抖音概念(字节概念);跨境电商;粤港澳大湾区;股权转让(并购重组);摘帽
002471.SZ,002471,24,33,商业航天;大飞机;航空发动机;军民融合;军工;低空经济;海工装备;无人机;核电;高端装备;风电;水利;机器人概念;柔性直流输电;数字经济;充电桩;智能电网;光伏概念;东数西算(算力);创投;石墨烯;数据中心;深股通;融资融券
601608.SH,601608,25,17,国产航母;海工装备;大飞机;商业航天;高端装备;军工;核电;新型工业化;F5G概念;减速器;风电;工业互联网;一带一路;一体化压铸;超级电容;机器人概念;国企改革;人形机器人;光伏概念;华为概念;人工智能;同花顺中特估100;融资融券;沪股通;中字头股票
688586.SH,688586,11,17,商业航天;军民融合;大飞机;军工;无人机;高端装备;央企国企改革;专精特新;国企改革;沪股通;融资融券
601212.SH,601212,12,17,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属镍;超导概念;西部大开发;可控核聚变;锂电池概念;沪股通;融资融券
600770.SH,600770,14,17,创投;人工智能;跨境电商;碳纤维;数据安全;语音技术;绿色电力;手机游戏;芯片概念;网络游戏;汽车芯片;融资融券;股权转让(并购重组);沪股通
603095.SH,603095,6,17,高端装备;创投;参股银行;机器视觉;华为概念;专精特新
002815.SZ,002815,31,33,共封装光学(CPO);PCB概念;华为手机;AI PC;先进封装;汽车电子;消费电子概念;毫米波雷达;5G;芯片概念;柔性屏(折叠屏);人形机器人;6G概念;数据中心;特斯拉概念;比亚迪概念;东数西算(算力);传感器;无人驾驶;无人机;机器人概念;华为概念;商业航天;粤港澳大湾区;军工;抖音概念(字节概念);腾讯概念;阿里巴巴概念;百度概念;一带一路;深股通
600330.SH,600330,28,17,第三代半导体;商业航天;PCB概念;先进封装;无线充电;军工;5G;毫米波雷达;芯片概念;OLED;量子科技;锂电池概念;高端装备;AI眼镜;光伏概念;数据中心;新能源汽车;汽车电子;储能;智能穿戴;充电桩;固废处理;长三角一体化;创投;智能物流;乡村振兴;融资融券;沪股通
001376.SZ,001376,2,33,碳中和;深股通
002183.SZ,002183,41,33,粤港澳大湾区;创投;华为概念;人工智能;低空经济;数据中心;储能;东数西算(算力);信创;充电桩;智能医疗;DeepSeek概念;金属回收;国产操作系统;鸿蒙概念;锂电池概念;无人机;智能物流;消费电子概念;华为鲲鹏;云计算;深圳国企改革;新型烟草(电子烟);一带一路;卫星导航;商业航天;国企改革;新能源汽车;芯片概念;物业管理;冷链物流;啤酒概念;乳业;统一大市场;跨境支付(CIPS);医药电商;白酒概念;存储芯片;深股通;融资融券;5G
603778.SH,603778,11,17,HJT电池;TOPCON电池;钙钛矿电池;硅能源;虚拟电厂;固态电池;新型城镇化;锂电池概念;光伏概念;储能;PPP概念
001379.SZ,001379,5,33,商业航天;核电;中俄贸易概念;人民币贬值受益;融资融券
605488.SH,605488,8,17,人形机器人;机器人概念;华为概念;传感器;苹果概念;消费电子概念;专精特新;沪股通
002985.SZ,002985,15,33,成飞概念;军民融合;大飞机;商业航天;卫星导航;军工;低空经济;无人机;高铁;高端装备;京津冀一体化;2025三季报预增;芯片概念;融资融券;深股通
002636.SZ,002636,6,33,PCB概念;消毒剂;医疗器械概念;深股通;2025年报预增;融资融券
002342.SZ,002342,15,33,商业航天;军工;京津冀一体化;海工装备;水利;抽水蓄能;核电;雄安新区;风电;高端装备;一带一路;光伏概念;白酒概念;深股通;融资融券
002931.SZ,002931,4,33,机器人概念;长安汽车概念;新能源汽车;股权转让(并购重组)
001202.SZ,001202,5,33,航运概念;新疆振兴;统一大市场;一带一路;粤港澳大湾区
605277.SH,605277,16,17,铜缆高速连接;F5G概念;液冷服务器;消费电子概念;5G;汽车电子;数据中心;新能源汽车;充电桩;储能;东数西算(算力);华为概念;光伏概念;机器人概念;融资融券;沪股通
001373.SZ,001373,10,33,华为概念;独角兽概念;MiniLED;海峡两岸;智能穿戴;消费电子概念;人民币贬值受益;OLED;新能源汽车;融资融券
002865.SZ,002865,9,33,BC电池;TOPCON电池;钙钛矿电池;商业航天;光伏概念;海南自贸区;新能源汽车;融资融券;深股通
603040.SH,603040,7,17,汽车热管理;比亚迪概念;新能源汽车;长安汽车概念;专精特新;污水处理;沪股通
600192.SH,600192,11,17,智能电网;核电;风电;充电桩;燃料电池;光伏概念;军工;西部大开发;国企改革;商业航天;融资融券
002943.SZ,002943,12,33,HJT电池;第三代半导体;芯片概念;TOPCON电池;智能穿戴;AI眼镜;工业母机;光伏概念;比亚迪概念;稀土永磁;深股通;融资融券
001316.SZ,001316,7,33,商业航天;大飞机;航空发动机;低空经济;AI眼镜;海峡两岸;消毒剂
002938.SZ,002938,24,33,同花顺果指数;共封装光学(CPO);AI PC;PCB概念;AI手机;富士康概念;苹果概念;AI眼镜;MiniLED;无线耳机;汽车电子;消费电子概念;智能穿戴;智能座舱;人形机器人;无人驾驶;虚拟现实;华为概念;新能源汽车;海峡两岸;人民币贬值受益;商业航天;融资融券;深股通
002149.SZ,002149,18,33,商业航天;可控核聚变;卫星导航;超导概念;军工;海工装备;核电;柔性屏(折叠屏);燃料电池;氢能源;5G;专精特新;西部大开发;小金属概念;国企改革;俄乌冲突概念;深股通;融资融券
603220.SH,603220,26,17,算力租赁;智慧城市;人工智能;DeepSeek概念;东数西算(算力);华为概念;车联网(车路协同);AI智能体;低空经济;华为昇腾;数据中心;共享单车;5G;一带一路;充电桩;6G概念;新能源汽车;储能;光伏概念;光纤概念;F5G概念;锂电池概念;共封装光学(CPO);AI应用;沪股通;融资融券
000839.SZ,000839,14,33,国企改革;创投;物业管理;互联网金融;文化传媒概念;DeepSeek概念;数据要素;人工智能;智慧政务;虚拟数字人;AI智能体;AI语料;深股通;AI应用
002201.SZ,002201,7,33,商业航天;高铁;风电;比亚迪概念;创投;深股通;融资融券
001389.SZ,001389,19,33,共封装光学(CPO);AI PC;PCB概念;富士康概念;5G;汽车电子;消费电子概念;数据中心;卫星导航;商业航天;华为概念;机器人概念;安防;粤港澳大湾区;人工智能;人民币贬值受益;一带一路;深股通;融资融券
600391.SH,600391,10,17,国产航母;航空发动机;大飞机;军工;高端装备;央企国企改革;西部大开发;国企改革;沪股通;融资融券
603665.SH,603665,4,17,医疗器械概念;人民币贬值受益;锂电池概念;一带一路
001288.SZ,001288,11,33,雅下水电概念;中俄贸易概念;一带一路;华为概念;西部大开发;机器人概念;人民币贬值受益;减速器;DeepSeek概念;人工智能;深股通
603256.SH,603256,10,17,PCB概念;华为手机;苹果概念;消费电子概念;5G;芯片概念;海峡两岸;专精特新;华为概念;沪股通
002969.SZ,002969,4,33,啤酒概念;海峡两岸;回购增持再贷款概念;股权转让(并购重组)
600058.SH,600058,9,17,一带一路;央企国企改革;国企改革;统一大市场;小金属概念;融资融券;乡村振兴;股权转让(并购重组);沪股通
603078.SH,603078,10,17,光刻胶;中芯国际概念;芯片概念;OLED;先进封装;专精特新;国企改革;锂电池概念;沪股通;融资融券
605118.SH,605118,15,17,人工智能;虚拟现实;机器视觉;AI眼镜;安防;富士康概念;消费电子概念;无人机;专精特新;机器人概念;智能座舱;人民币贬值受益;福建自贸区;海峡两岸;沪股通
000880.SZ,000880,6,33,数据中心;中国AI 50;海工装备;国企改革;融资融券;深股通
002639.SZ,002639,30,33,可控核聚变;核电;抽水蓄能;商业航天;海工装备;福建自贸区;海峡两岸;雅下水电概念;水利;高端装备;冰雪产业;氢能源;碳中和;天然气;数字经济;阿里巴巴概念;燃料电池;东数西算(算力);体育产业;工业互联网;腾讯概念;一带一路;物联网;数据中心;华为概念;冷链物流;空气能热泵;液冷服务器;深股通;融资融券
603305.SH,603305,13,17,减速器;商业航天;人形机器人;汽车热管理;一体化压铸;特斯拉概念;小米汽车;比亚迪概念;新能源汽车;宁德时代概念;储能;沪股通;融资融券
002519.SZ,002519,23,33,军工信息化;商业航天;军民融合;军工;安防;人工智能;核电;专精特新;无人驾驶;智能电网;创投;机器人概念;充电桩;新型工业化;智能家居;储能;比亚迪概念;长安汽车概念;新能源汽车;锂电池概念;宁德时代概念;深股通;融资融券
605111.SH,605111,18,17,汽车芯片;第三代半导体;宁德时代概念;芯片概念;比亚迪概念;汽车电子;无人机;新能源汽车;机器人概念;低空经济;数据中心;东数西算(算力);无人驾驶;光伏概念;专精特新;充电桩;融资融券;沪股通
002141.SZ,002141,10,33,动物疫苗;广东自贸区;横琴新区;创投;粤港澳大湾区;独角兽概念;盐湖提锂;锂电池概念;PCB概念;摘帽
002565.SZ,002565,12,33,商业航天;卫星导航;生态农业;土壤修复;一带一路;工业大麻;新型烟草(电子烟);回购增持再贷款概念;东数西算(算力);跨境电商;深股通;融资融券
002716.SZ,002716,10,33,金属铅;金属锌;黄金概念;金属铜;小金属概念;金属回收;回购增持再贷款概念;国企改革;深股通;融资融券
002279.SZ,002279,36,33,小红书概念;快手概念;财税数字化;ChatGPT概念;AIGC概念;智慧政务;华为鲲鹏;数据安全;AI智能体;网络安全;数据要素;信创;文化传媒概念;抖音概念(字节概念);区块链;百度概念;数字乡村;阿里巴巴概念;职业教育;腾讯概念;鸿蒙概念;数字经济;DeepSeek概念;人工智能;网红经济;低空经济;华为概念;京津冀一体化;智能医疗;化债概念(AMC概念);跨境电商;数据中心;乡村振兴;雄安新区;深股通;AI应用
603601.SH,603601,14,17,商业航天;大飞机;核污染防治;PM2.5;核电;芯片概念;西部大开发;中芯国际概念;特斯拉概念;建筑节能;新能源汽车;家用电器;宁德时代概念;融资融券
