股票代码,code,所属概念数量,market_code,所属概念
300720.SZ,300720,2,33,机器人概念;股权转让(并购重组)
603816.SH,603816,4,17,跨境电商;智能家居;沪股通;融资融券
600855.SH,600855,20,17,商业航天;军工信息化;军民融合;军工;无人机;低空经济;ETC;车联网(车路协同);安防;央企国企改革;智慧城市;信创;物联网;人工智能;数据中心;医疗器械概念;国企改革;储能;融资融券;沪股通
600501.SH,600501,25,17,商业航天;可控核聚变;卫星导航;大飞机;成飞概念;军工;核污染防治;核电;高端装备;光热发电;央企国企改革;新型工业化;无人驾驶;机器人概念;新能源汽车;氢能源;特高压;长三角一体化;充电桩;国企改革;垃圾分类;煤化工概念;天然气;沪股通;融资融券
301150.SZ,301150,9,33,PET铜箔;固态电池;宁德时代概念;锂电池概念;PCB概念;比亚迪概念;专精特新;深股通;融资融券
002911.SZ,002911,9,33,天然气;氢能源;国企改革;充电桩;燃料电池;储能;粤港澳大湾区;深股通;融资融券
600623.SH,600623,17,17,氟化工概念;消毒剂;煤化工概念;丙烯酸;PVDF概念;回购增持再贷款概念;国企改革;锂电池概念;参股券商;创投;新疆振兴;DeepSeek概念;超级品牌;上海国企改革;芯片概念;沪股通;融资融券
600803.SH,600803,10,17,天然气;雄安新区;煤化工概念;俄乌冲突概念;氢能源;DeepSeek概念;燃料电池;沪股通;融资融券;股权转让(并购重组)
600456.SH,600456,17,17,大飞机;航空发动机;国产航母;商业航天;军工;无人机;海工装备;核电;3D打印;国企改革;西部大开发;回购增持再贷款概念;燃料电池;小金属概念;苹果概念;融资融券;沪股通
002648.SZ,002648,12,33,POE胶膜;环氧丙烷;煤化工概念;丙烯酸;长三角一体化;三胎概念;氢能源;燃料电池;锂电池概念;互联网金融;融资融券;深股通
603466.SH,603466,25,17,NFT概念;AIGC概念;ChatGPT概念;虚拟数字人;元宇宙;文化传媒概念;Sora概念(文生视频);百度概念;数据要素;空间计算;手机游戏;数字经济;DeepSeek概念;IP经济(谷子经济);虚拟现实;网红经济;数字孪生;MR(混合现实);华为概念;旅游概念;机器人概念;乡村振兴;人形机器人;融资融券;沪股通
002948.SZ,002948,4,33,一带一路;跨境支付(CIPS);融资融券;深股通
603192.SH,603192,3,17,汽车热管理;新能源汽车;专精特新
300197.SZ,300197,21,33,PPP概念;新型城镇化;雄安新区;地下管网;垃圾分类;农业种植;旅游概念;乡村振兴;土壤修复;碳中和;污水处理;国企改革;水利;一带一路;回购增持再贷款概念;粤港澳大湾区;央企国企改革;智慧城市;充电桩;深股通;融资融券
002154.SZ,002154,6,33,C2M概念;创投;证金持股;数据要素;融资融券;深股通
300929.SZ,300929,12,33,污水处理;雄安新区;PPP概念;净水概念;乡村振兴;医疗废物处理;水利;氢能源;储能;专精特新;人工智能;融资融券
603131.SH,603131,13,17,卫星导航;商业航天;军工;海工装备;高端装备;新型工业化;机器人概念;工业母机;长三角一体化;专精特新;新能源汽车;人民币贬值受益;沪股通
688562.SH,688562,15,17,商业航天;军工信息化;卫星导航;大飞机;军工;网络安全;信创;数据要素;华为概念;DeepSeek概念;央企国企改革;数据中心;国企改革;沪股通;融资融券
300027.SZ,300027,14,33,短剧游戏;文化传媒概念;网红经济;虚拟数字人;IP经济(谷子经济);元宇宙;旅游概念;数字经济;抖音概念(字节概念);腾讯概念;特色小镇;阿里巴巴概念;深股通;融资融券
000420.SZ,000420,11,33,碳纤维;大飞机;低空经济;飞行汽车(eVTOL);风电;无人机;国企改革;体育产业;冰雪产业;融资融券;深股通
002145.SZ,002145,10,33,钛白粉概念;磷化工;钒电池;动力电池回收;锂电池概念;宁德时代概念;回购增持再贷款概念;西部大开发;深股通;融资融券
920207.BJ,920207,30,151,AI应用;AI智能体;鸿蒙概念;融资融券;虚拟现实;虚拟数字人;芯片概念;职业教育;网络安全;空间计算;智能医疗;智慧城市;智慧政务;数据要素;数据安全;数据中心;数字经济;数字孪生;多模态AI;华为鲲鹏;华为概念;华为昇腾;信创;元宇宙;人工智能;云计算;东数西算(算力);专精特新;AIGC概念;DeepSeek概念
300846.SZ,300846,32,33,智谱AI;华为昇腾;数据安全;快手概念;智慧政务;云游戏;信创;云计算;AI智能体;虚拟数字人;小红书概念;国产操作系统;AIGC概念;算力租赁;百度概念;在线教育;东数西算(算力);数据要素;车联网(车路协同);商业航天;DeepSeek概念;华为概念;人工智能;数据中心;无人驾驶;芯片概念;创投;京津冀一体化;专精特新;一带一路;融资融券;深股通
300733.SZ,300733,14,33,成飞概念;航空发动机;大飞机;军民融合;军工;无人机;机器人概念;长安汽车概念;比亚迪概念;小米概念;新能源汽车;氢能源;西部大开发;深股通
002207.SZ,002207,6,33,页岩气;俄乌冲突概念;天然气;新疆振兴;西部大开发;国企改革
301306.SZ,301306,10,33,商业航天;卫星导航;大飞机;军民融合;军工;存储芯片;专精特新;西部大开发;华为概念;融资融券
000969.SZ,000969,38,33,可控核聚变;超导概念;核电;稀土永磁;航空发动机;核污染防治;海工装备;商业航天;军工;小金属概念;大飞机;央企国企改革;氢能源;碳纤维;京津冀一体化;一带一路;第三代半导体;华为概念;低空经济;无线充电;3D打印;国企改革;创投;5G;芯片概念;中芯国际概念;燃料电池;飞行汽车(eVTOL);机器人概念;华为手机;OLED;新能源汽车;比亚迪概念;苹果概念;小米概念;固态电池;深股通;融资融券
300476.SZ,300476,27,33,共封装光学(CPO);AI PC;PCB概念;AI手机;富士康概念;英伟达概念;5G;芯片概念;深股通;同花顺出海50;小米概念;数据中心;特斯拉概念;人形机器人;东数西算(算力);新能源汽车;储能;虚拟现实;光伏概念;智能电网;人民币贬值受益;机器人概念;物联网;粤港澳大湾区;乡村振兴;2025年报预增;融资融券
002084.SZ,002084,10,33,装配式建筑;空气能热泵;海峡两岸;一带一路;智能家居;智能物流;回购增持再贷款概念;人民币贬值受益;物联网;3D打印
300948.SZ,300948,12,33,建筑节能;碳交易;水利;土壤修复;一带一路;PPP概念;污水处理;新型城镇化;碳中和;人工智能;股权转让(并购重组);融资融券
301312.SZ,301312,26,33,共封装光学(CPO);AI PC;苹果概念;AI眼镜;MiniLED;MR(混合现实);华为海思概念股;MicroLED概念;消费电子概念;汽车电子;芯片概念;数据中心;机器视觉;新型烟草(电子烟);华为概念;新型工业化;虚拟现实;比亚迪概念;机器人概念;专精特新;元宇宙;粤港澳大湾区;空间计算;高端装备;深股通;融资融券
603717.SH,603717,11,17,生态农业;特色小镇;雄安新区;PPP概念;乡村振兴;猪肉;绿色电力;锂电池概念;西部大开发;钠离子电池;氟化工概念
605199.SH,605199,10,22,海南自贸区;ST板块;仿制药一致性评价;医药电商;幽门螺杆菌概念;流感;肝炎概念;三胎概念;创新药;专精特新
603661.SH,603661,7,17,跨境电商;一带一路;人民币贬值受益;智能家居;培育钻石;芯片概念;沪股通
600740.SH,600740,7,17,煤炭概念;煤化工概念;国企改革;碳纤维;工业互联网;融资融券;沪股通
300780.SZ,300780,22,33,航空发动机;军民融合;商业航天;军工;低空经济;农机;新型工业化;减速器;3D打印;中俄贸易概念;工业互联网;物联网;机器人概念;机器视觉;工业母机;专精特新;新能源汽车;西部大开发;比亚迪概念;跨境电商;云计算;AIGC概念
002324.SZ,002324,22,33,脑机接口;商业航天;卫星导航;碳纤维;PEEK材料;军工;毫米波雷达;低空经济;光刻胶;6G概念;消费电子概念;专精特新;固态电池;机器人概念;新能源汽车;锂电池概念;储能;长三角一体化;钠离子电池;2025三季报预增;深股通;融资融券
000561.SZ,000561,13,33,军工信息化;商业航天;军民融合;大飞机;军工;无人机;低空经济;光伏概念;西部大开发;国企改革;硅能源;股权转让(并购重组);深股通
002108.SZ,002108,15,33,钠离子电池;固态电池;锂电池概念;宁德时代概念;参股银行;地下管网;雄安新区;储能;比亚迪概念;核电;物联网;新能源汽车;深股通;融资融券;股权转让(并购重组)
688511.SH,688511,9,22,军民融合;军工信息化;商业航天;军工;西部大开发;ST板块;专精特新;人工智能;锂电池概念
300785.SZ,300785,25,33,Sora概念(文生视频);快手概念;AI语料;智谱AI;拼多多概念;ChatGPT概念;AI应用;AIGC概念;多模态AI;AI智能体;抖音概念(字节概念);阿里巴巴概念;NFT概念;数据要素;百度概念;鸿蒙概念;DeepSeek概念;人工智能;同花顺新质50;华为概念;京津冀一体化;小米概念;苹果概念;电子竞技;深股通
300456.SZ,300456,29,33,太赫兹;光刻机;6G概念;共封装光学(CPO);国家大基金持股;时空大数据;华为海思概念股;先进封装;百度概念;独角兽概念;5G;卫星导航;东数西算(算力);芯片概念;数据中心;华为概念;消费电子概念;第三代半导体;无人机;汽车电子;传感器;物联网;新型工业化;无人驾驶;人民币贬值受益;京津冀一体化;创投;融资融券;深股通
000629.SZ,000629,9,33,钛白粉概念;小金属概念;钒电池;西部大开发;储能;国企改革;回购增持再贷款概念;深股通;融资融券
300594.SZ,300594,19,33,低空经济;烟草;高铁;飞行汽车(eVTOL);专精特新;数据中心;换电概念;光伏概念;农机;空气能热泵;芯片概念;比亚迪概念;储能;充电桩;回购增持再贷款概念;液冷服务器;新能源汽车;风电;汽车热管理
002658.SZ,002658,19,33,固废处理;碳中和;碳交易;雄安新区;PM2.5;氢能源;京津冀一体化;核电;数字经济;商业航天;专精特新;DeepSeek概念;航空发动机;数据要素;物联网;AI智能体;芯片概念;中芯国际概念;深股通
688717.SH,688717,8,17,光伏概念;虚拟电厂;锂电池概念;储能;充电桩;人民币贬值受益;沪股通;融资融券
000898.SZ,000898,12,33,特钢概念;煤化工概念;国企改革;央企国企改革;金属回收;证金持股;回购增持再贷款概念;海工装备;比亚迪概念;数据中心;深股通;融资融券
300778.SZ,300778,11,33,新型城镇化;地下管网;水利;垃圾分类;乡村振兴;智慧城市;低空经济;换电概念;粤港澳大湾区;绿色电力;华为概念
600966.SH,600966,2,17,沪股通;融资融券
600844.SH,600844,4,17,煤化工概念;可降解塑料;西部大开发;股权转让(并购重组)
601003.SH,601003,5,17,国企改革;西部大开发;养老概念;沪股通;融资融券
300135.SZ,300135,10,33,中俄贸易概念;新疆振兴;一带一路;国企改革;高铁;俄乌冲突概念;雅下水电概念;低空经济;芯片概念;股权转让(并购重组)
000715.SZ,000715,2,33,乡村振兴;IP经济(谷子经济)
600300.SH,600300,12,17,乳业;白酒概念;农业种植;粮食概念;生态农业;大豆;参股银行;乡村振兴;国企改革;创投;数字经济;沪股通
300105.SZ,300105,13,33,固废处理;碳中和;超超临界发电;雄安新区;国企改革;风电;光伏概念;央企国企改革;储能;PM2.5;2025三季报预增;DeepSeek概念;华为概念
002578.SZ,002578,6,33,海峡两岸;宁德时代概念;国企改革;光伏概念;新能源汽车;5G
001226.SZ,001226,1,33,专精特新
300185.SZ,300185,14,33,海工装备;核电;高端装备;军工;风电;核污染防治;超超临界发电;国企改革;储能;京津冀一体化;回购增持再贷款概念;抽水蓄能;深股通;融资融券
600355.SH,600355,15,22,ST板块;电子身份证;国产操作系统;人脸识别;新型工业化;充电桩;物联网;工业互联网;在线教育;机器人概念;机器视觉;人工智能;语音技术;OLED;智能电网
002490.SZ,002490,8,33,页岩气;天然气;国企改革;氢能源;海工装备;摘帽;深股通;股权转让(并购重组)
920964.BJ,920964,9,151,数字乡村;融资融券;股权转让(并购重组);物联网;水利;国企改革;农机;乡村振兴;专精特新
002682.SZ,002682,28,33,海峡两岸;卫星导航;军工;ETC;农村电商;网约车;水利;垃圾分类;充电桩;智慧城市;燃料电池;新疆振兴;航运概念;机器人概念;冷链物流;统一大市场;氢能源;污水处理;新能源汽车;职业教育;一带一路;乡村振兴;天然气;储能;车联网(车路协同);人工智能;国企改革;宁德时代概念
000955.SZ,000955,8,33,海南自贸区;自由贸易港;民营医院;创投;三胎概念;医药电商;医疗器械概念;军民融合
002628.SZ,002628,8,33,装配式建筑;新疆振兴;PPP概念;西部大开发;机器人概念;氟化工概念;无人驾驶;融资融券
002523.SZ,002523,16,33,军工;海工装备;核电;水利;雅下水电概念;华为概念;机器人概念;体育产业;一带一路;风电;国企改革;固废处理;冰雪产业;回购增持再贷款概念;深股通;融资融券
600320.SH,600320,12,17,海工装备;风电;核电;高端装备;央企国企改革;一带一路;国企改革;自由贸易港;机器人概念;海峡两岸;融资融券;沪股通
300500.SZ,300500,25,33,装配式建筑;房屋检测;新型城镇化;雄安新区;建筑节能;乡村振兴;碳中和;医疗废物处理;数字孪生;智慧城市;光伏建筑一体化;虚拟数字人;绿色电力;DeepSeek概念;车联网(车路协同);风电;AIGC概念;华为昇腾;人工智能;虚拟现实;华为概念;储能;光伏概念;东数西算(算力);数据中心
000826.SZ,000826,22,33,垃圾分类;新型城镇化;雄安新区;乡村振兴;PPP概念;医疗废物处理;地下管网;固废处理;土壤修复;碳中和;污水处理;数字经济;绿色电力;智慧城市;人工智能;车联网(车路协同);新能源汽车;无人驾驶;动力电池回收;锂电池概念;多模态AI;融资融券
600527.SH,600527,1,17,互联网金融
002613.SZ,002613,7,33,装配式建筑;建筑节能;一带一路;高铁;光伏概念;高端装备;苹果概念
920770.BJ,920770,3,151,融资融券;绿色电力;光伏概念
300265.SZ,300265,13,33,商业航天;成飞概念;大飞机;军民融合;军工;海工装备;柔性直流输电;特高压;风电;智能电网;光纤概念;机器人概念;5G
002828.SZ,002828,10,33,页岩气;俄乌冲突概念;天然气;新疆振兴;参股银行;碳中和;煤化工概念;西部大开发;一带一路;股权转让(并购重组)
301446.SZ,301446,4,33,风电;农机;数据中心;融资融券
920149.BJ,920149,8,151,装配式建筑;股权转让(并购重组);融资融券;新型城镇化;房屋检测;建筑节能;光伏概念;光伏建筑一体化
002572.SZ,002572,6,33,参股券商;养老概念;智能家居;虚拟现实;深股通;融资融券
300731.SZ,300731,17,33,富士康概念;液冷服务器;宁德时代概念;第三代半导体;5G;数据中心;汽车热管理;比亚迪概念;新能源汽车;储能;小米汽车;华为概念;粤港澳大湾区;海峡两岸;家用电器;创投;深股通
688776.SH,688776,11,17,可控核聚变;商业航天;卫星导航;军民融合;军工;核电;同花顺新质50;专精特新;西部大开发;沪股通;融资融券
000096.SZ,000096,7,33,国企改革;粤港澳大湾区;国资云;虚拟电厂;东数西算(算力);数据中心;深股通
300839.SZ,300839,4,33,专精特新;氢能源;液冷服务器;东数西算(算力)
000925.SZ,000925,36,33,卫星导航;车联网(车路协同);低空经济;时空大数据;商业航天;空间计算;智慧城市;无人机;数字水印;数据要素;数字孪生;无人驾驶;数字经济;信创;元宇宙;虚拟数字人;数据确权;人工智能;ChatGPT概念;华为概念;多模态AI;机器视觉;工业互联网;算力租赁;高铁;乡村振兴;机器人概念;东数西算(算力);一带一路;数据中心;回购增持再贷款概念;芯片概念;医疗器械概念;合成生物;先进封装;深股通
600397.SH,600397,4,17,煤炭概念;国企改革;沪股通;股权转让(并购重组)
002492.SZ,002492,4,33,横琴新区;统一大市场;创投;粤港澳大湾区
920167.BJ,920167,8,151,TOPCON电池;HJT电池;氢能源;储能;融资融券;光伏概念;专精特新;BC电池
600768.SH,600768,2,17,共同富裕示范区;股权转让(并购重组)
600370.SH,600370,1,17,沪股通
002778.SZ,002778,7,33,天然气;污水处理;土壤修复;净水概念;储能;国企改革;股权转让(并购重组)
920367.BJ,920367,10,151,人工智能;机器人概念;AI应用;医药电商;融资融券;维生素;流感;华为鲲鹏;智能医疗;创新药
000685.SZ,000685,21,33,医疗废物处理;固废处理;天然气;航运概念;污水处理;垃圾分类;绿色电力;证金持股;国企改革;参股券商;虚拟电厂;创投;低空经济;充电桩;储能;粤港澳大湾区;智慧城市;数字经济;人工智能;深股通;融资融券
688420.SH,688420,12,17,人工智能;新型工业化;专精特新;DeepSeek概念;机器视觉;高端装备;AI智能体;锂电池概念;金属回收;动力电池回收;AI应用;融资融券
300097.SZ,300097,9,33,ST板块;智能物流;新型工业化;柔性屏(折叠屏);华为概念;新能源汽车;MiniLED;OLED;股权转让(并购重组)
002445.SZ,002445,10,33,光伏建筑一体化;海工装备;文化传媒概念;绿色电力;国企改革;独角兽概念;虚拟现实;手机游戏;深股通;融资融券
001207.SZ,001207,2,33,固态电池;特高压
603815.SH,603815,7,17,地下管网;新型城镇化;PPP概念;乡村振兴;水利;一带一路;沪股通
920504.BJ,920504,3,151,融资融券;食品安全;医疗器械概念
600678.SH,600678,12,17,商业航天;无人驾驶;工业互联网;机器人概念;人形机器人;充电桩;国企改革;氢能源;区块链;西部大开发;DeepSeek概念;新能源汽车
301117.SZ,301117,25,33,DRG/DIP;华为昇腾;AI智能体;智慧政务;数据安全;军工信息化;网络安全;区块链;移动支付;卫星导航;DeepSeek概念;数字经济;智能医疗;商业航天;东数西算(算力);人工智能;安防;军民融合;华为概念;数据中心;军工;西部大开发;芯片概念;汽车芯片;融资融券
605319.SH,605319,4,17,小米汽车;新能源汽车;特斯拉概念;沪股通
600630.SH,600630,10,17,物业管理;上海国企改革;三胎概念;国企改革;参股银行;网红经济;跨境电商;一带一路;上海自贸区;融资融券
300560.SZ,300560,31,33,福建自贸区;海峡两岸;电子身份证;智慧政务;网络安全;数字乡村;算力租赁;安防;智慧城市;元宇宙;数字经济;抖音概念(字节概念);云计算;AI智能体;东数西算(算力);军工;垃圾分类;人工智能;车联网(车路协同);华为概念;物联网;乡村振兴;5G;水利;智能穿戴;机器视觉;AI眼镜;一带一路;机器人概念;英伟达概念;AI应用
603196.SH,603196,4,17,三胎概念;虚拟数字人;锂电池概念;股权转让(并购重组)
688059.SH,688059,6,17,工业母机;机器人概念;专精特新;2025年报预增;沪股通;融资融券
601231.SH,601231,19,17,同花顺果指数;共封装光学(CPO);苹果概念;WiFi 6;无线耳机;AI眼镜;汽车电子;消费电子概念;5G;芯片概念;智能穿戴;智能座舱;新能源汽车;物联网;沪股通;融资融券;元宇宙;一带一路;医疗器械概念
002700.SZ,002700,4,33,天然气;新疆振兴;西部大开发;摘帽
600259.SH,600259,10,17,稀土永磁;小金属概念;金属铜;央企国企改革;海南自贸区;国企改革;粤港澳大湾区;融资融券;中字头股票;沪股通
605007.SH,605007,3,17,共同富裕示范区;海峡两岸;沪股通
601996.SH,601996,7,17,土地流转;农业种植;乡村振兴;碳中和;创投;西部大开发;融资融券
000552.SZ,000552,10,33,煤炭概念;煤化工概念;化肥;天然气;页岩气;超超临界发电;国企改革;西部大开发;深股通;融资融券
920834.BJ,920834,2,151,融资融券;可降解塑料
002859.SZ,002859,11,33,消费电子概念;PET铜箔;专精特新;宁德时代概念;固态电池;锂电池概念;超导概念;可控核聚变;一带一路;深股通;融资融券
601686.SH,601686,7,17,天津自贸区;雄安新区;地下管网;高股息精选;水利;雅下水电概念;沪股通
300478.SZ,300478,2,33,股权转让(并购重组);核电
600662.SH,600662,13,17,AI应用;云办公;上海国企改革;职业教育;统一大市场;AI智能体;DeepSeek概念;智慧政务;人工智能;财税数字化;国企改革;融资融券;沪股通
920300.BJ,920300,9,151,量子科技;超导概念;融资融券;智能医疗;宠物经济;可控核聚变;医疗器械概念;光伏概念;专精特新
000070.SZ,000070,39,33,F5G概念;光纤概念;抖音概念(字节概念);国资云;深圳国企改革;算力租赁;信创;共封装光学(CPO);阿里巴巴概念;百度概念;6G概念;腾讯概念;5G;东数西算(算力);军工信息化;卫星导航;华为概念;智慧灯杆;智慧城市;成飞概念;人工智能;数据中心;无人机;低空经济;军工;大飞机;粤港澳大湾区;传感器;创投;物业管理;高铁;一带一路;智能电网;国企改革;特高压;光伏概念;绿色电力;深股通;摘帽
002540.SZ,002540,7,33,大飞机;军工;3D打印;新能源汽车;汽车热管理;比亚迪概念;深股通
600340.SH,600340,13,17,特色小镇;新型城镇化;PPP概念;雄安新区;京津冀一体化;低空经济;智慧城市;机器人概念;人工智能;沪股通;融资融券;DeepSeek概念;股权转让(并购重组)
603038.SH,603038,6,17,净水概念;华为概念;人工智能;鸿蒙概念;粤港澳大湾区;智能家居
600038.SH,600038,14,17,国产航母;央企国企改革;军民融合;黑龙江自贸区;大飞机;国企改革;军工;低空经济;无人机;飞行汽车(eVTOL);高端装备;沪股通;融资融券;中字头股票
920493.BJ,920493,21,151,商业航天;数据中心;量子科技;飞行汽车(eVTOL);阿里巴巴概念;长安汽车概念;融资融券;算力租赁;比亚迪概念;百度概念;智谱AI;在线教育;数字经济;华为鲲鹏;华为概念;华为昇腾;低空经济;云计算;东数西算(算力);DeepSeek概念;AIGC概念
002110.SZ,002110,8,33,特钢概念;海峡两岸;旅游概念;国企改革;核电;数据中心;深股通;融资融券
301379.SZ,301379,15,33,存储芯片;PCB概念;MiniLED;消费电子概念;汽车电子;海峡两岸;比亚迪概念;智能家居;人工智能;无人机;长安汽车概念;低空经济;西部大开发;深股通;融资融券
603115.SH,603115,2,17,储能;专精特新
002542.SZ,002542,13,33,特色小镇;地下管网;新型城镇化;PPP概念;旅游概念;一带一路;国企改革;文化传媒概念;低空经济;云计算;数据中心;芯片概念;深股通
301002.SZ,301002,9,33,商业航天;智慧灯杆;智慧城市;人形机器人;机器人概念;体育产业;光伏概念;储能;融资融券
301039.SZ,301039,11,33,统一大市场;冷链物流;氢能源;新能源汽车;人民币贬值受益;高端装备;智能物流;无人驾驶;华为概念;融资融券;深股通
300555.SZ,300555,10,33,WiFi 6;农村电商;ST板块;乡村振兴;量子科技;物联网;智慧城市;数字孪生;人工智能;文化传媒概念
920370.BJ,920370,7,151,西部大开发;融资融券;物业管理;新型城镇化;垃圾分类;乡村振兴;DeepSeek概念
003007.SZ,003007,24,33,AI应用;云办公;华为昇腾;AI智能体;华为鲲鹏;云计算;数据要素;智慧政务;在线教育;DeepSeek概念;数字孪生;人工智能;算力租赁;数字经济;6G概念;东数西算(算力);卫星导航;商业航天;华为概念;车联网(车路协同);物联网;京津冀一体化;数据中心;5G
300183.SZ,300183,23,33,智慧城市;物联网;人工智能;智能家居;工业互联网;国产操作系统;阿里巴巴概念;知识产权保护;小米概念;电力物联网;专精特新;数据中心;充电桩;智能电网;储能;芯片概念;虚拟电厂;MCU芯片;国企改革;苹果概念;风电;深股通;融资融券
688297.SH,688297,11,17,军民融合;军工;无人机;低空经济;央企国企改革;人工智能;西部大开发;国企改革;沪股通;中字头股票;融资融券
300319.SZ,300319,21,33,AI眼镜;英伟达概念;5G;汽车电子;智能穿戴;小米概念;消费电子概念;东数西算(算力);无人机;华为概念;芯片概念;深圳国企改革;比亚迪概念;人形机器人;粤港澳大湾区;新能源汽车;充电桩;储能;国企改革;融资融券;深股通
600589.SH,600589,7,17,云计算;算力租赁;东数西算(算力);数据中心;融资融券;股权转让(并购重组);沪股通
300616.SZ,300616,13,33,IP经济(谷子经济);养老概念;智能物流;空间计算;小红书概念;海峡两岸;人工智能;AIGC概念;智能家居;AI智能体;虚拟现实;机器人概念;MR(混合现实)
603878.SH,603878,5,17,光热发电;海工装备;超超临界发电;核电;氢能源
605168.SH,605168,21,17,小红书概念;Web3.0;抖音概念(字节概念);文化传媒概念;多模态AI;AIGC概念;腾讯概念;东数西算(算力);ChatGPT概念;算力租赁;低空经济;AI智能体;人工智能;无人机;数据要素;体育产业;参股券商;西部大开发;AI应用;融资融券;沪股通
600825.SH,600825,9,17,文化传媒概念;独角兽概念;AI语料;创投;无人零售;上海国企改革;国企改革;融资融券;沪股通
002111.SZ,002111,15,33,成飞概念;大飞机;低空经济;军工;无人机;高端装备;智慧城市;海工装备;换电概念;回购增持再贷款概念;机器人概念;无人驾驶;医疗器械概念;智能医疗;深股通
920753.BJ,920753,5,151,食品安全;融资融券;国企改革;创投;京津冀一体化
688053.SH,688053,7,22,商业航天;卫星导航;军工;芯片概念;存储芯片;西部大开发;ST板块
300771.SZ,300771,11,33,无人零售;无人驾驶;智能物流;冷链物流;智慧城市;人脸识别;物联网;换电概念;创投;机器人概念;智能医疗
600172.SH,600172,8,17,培育钻石;物业管理;国企改革;旅游概念;第三代半导体;回购增持再贷款概念;沪股通;融资融券
600255.SH,600255,7,17,国企改革;回购增持再贷款概念;铜缆高速连接;消费电子概念;金属铜;沪股通;融资融券
002024.SZ,002024,17,33,超级品牌;ST板块;农村电商;乡村振兴;跨境电商;无人零售;家用电器;智能家居;智能物流;智能医疗;互联网金融;人工智能;DeepSeek概念;区块链;独角兽概念;阿里巴巴概念;AI智能体
000930.SZ,000930,12,33,粮食概念;白酒概念;玉米;代糖概念;生态农业;国企改革;碳交易;可降解塑料;央企国企改革;深股通;融资融券;中字头股票
002338.SZ,002338,17,33,商业航天;军民融合;军工;低空经济;碳纤维;芯片概念;同花顺新质50;专精特新;国企改革;机器视觉;传感器;机器人概念;工业母机;医疗器械概念;证金持股;深股通;融资融券
300964.SZ,300964,22,33,6G概念;5G;PCB概念;华为概念;商业航天;卫星导航;毫米波雷达;虚拟现实;共封装光学(CPO);工业互联网;军工;低空经济;专精特新;充电桩;无人机;创投;机器人概念;汽车电子;特斯拉概念;新能源汽车;医疗器械概念;融资融券
600561.SH,600561,6,17,物业管理;旅游概念;乡村振兴;国企改革;网约车;充电桩
920703.BJ,920703,4,151,融资融券;核电;京津冀一体化;专精特新
603232.SH,603232,32,17,量子科技;云办公;华为鲲鹏;电子身份证;网络安全;军工信息化;数据安全;数字货币;智慧政务;Web3.0;信创;AI智能体;移动支付;云计算;区块链;鸿蒙概念;百度概念;阿里巴巴概念;车联网(车路协同);智慧城市;汽车芯片;华为概念;军工;DeepSeek概念;无人机;MCU芯片;人工智能;芯片概念;低空经济;专精特新;一带一路;新疆振兴
301279.SZ,301279,5,33,共同富裕示范区;减速器;绿色电力;人形机器人;融资融券
300032.SZ,300032,8,33,海峡两岸;人民币贬值受益;新型烟草(电子烟);虚拟现实;元宇宙;智能穿戴;消费电子概念;OLED
688119.SH,688119,8,17,军工;核电;核污染防治;工业互联网;央企国企改革;国企改革;中字头股票;融资融券
600010.SH,600010,14,17,稀土永磁;特钢概念;国企改革;雅下水电概念;西部大开发;风电;一带一路;证金持股;氟化工概念;回购增持再贷款概念;工业互联网;数据中心;沪股通;融资融券
605056.SH,605056,13,17,职业教育;人工智能;低空经济;军工;核电;无人机;抽水蓄能;机器人概念;特高压;高端装备;风电;储能;沪股通
300936.SZ,300936,11,33,5G;PCB概念;消费电子概念;华为概念;毫米波雷达;芯片概念;专精特新;卫星导航;无人驾驶;储能;融资融券
600272.SH,600272,4,17,医药电商;民营医院;参股银行;国企改革
001217.SZ,001217,4,33,染料;航运概念;煤化工概念;化肥
301183.SZ,301183,13,33,共封装光学(CPO);F5G概念;华为手机;6G概念;消费电子概念;汽车电子;小米概念;专精特新;无人驾驶;华为概念;虚拟现实;深股通;融资融券
300605.SZ,300605,35,33,云办公;智慧政务;在线教育;Sora概念(文生视频);福建自贸区;虚拟数字人;AIGC概念;数字乡村;华为鲲鹏;数据要素;海峡两岸;AI智能体;数据安全;网络安全;智慧城市;鸿蒙概念;国产操作系统;腾讯概念;人脸识别;语音技术;养老概念;人工智能;DeepSeek概念;体育产业;智能医疗;新型城镇化;东数西算(算力);华为概念;水利;乡村振兴;无人机;数据中心;眼科医疗;机器视觉;AI应用
300847.SZ,300847,6,33,中船系;军工;央企国企改革;国企改革;深股通;中字头股票
603002.SH,603002,9,17,PCB概念;先进封装;英伟达概念;5G;芯片概念;比亚迪概念;3D打印;海峡两岸;沪股通
300345.SZ,300345,12,33,HJT电池;硅能源;碳中和;光伏概念;智慧城市;军民融合;军工;储能;机器人概念;智能电网;华为概念;人形机器人
300600.SZ,300600,12,33,国产航母;军民融合;军工;商业航天;海工装备;核电;国企改革;风电;机器人概念;专精特新;储能;摘帽
600408.SH,600408,4,17,煤炭概念;煤化工概念;碳中和;氢能源
300849.SZ,300849,1,33,可降解塑料
002072.SZ,002072,1,33,煤炭概念
300686.SZ,300686,14,33,柔性屏(折叠屏);石墨烯;智能穿戴;比亚迪概念;机器人概念;新能源汽车;虚拟现实;消费电子概念;富士康概念;小米概念;华为概念;OLED;固态电池;回购增持再贷款概念
