code,股票代码,所属概念,所属概念数量,market_code
605117,605117.SH,光伏概念;一带一路;储能;同花顺出海50;人民币贬值受益;共同富裕示范区;家用电器;融资融券;沪股通,9.0,17
601858,601858.SH,知识产权保护;文化传媒概念;在线教育;数据要素;国资云;DeepSeek概念;数字经济;智能医疗;中字头股票;国企改革;芯片概念;同花顺中特估100;沪股通;融资融券,14.0,17
001369,001369.SZ,锂电池概念;光伏概念;碳中和;专精特新;注册制次新股;西部大开发;深股通;新股与次新股;融资融券,9.0,33
600433,600433.SH,可降解塑料;烟草;燃料电池;氢能源;国企改革;央企国企改革;军工;融资融券;沪股通,9.0,17
002432,002432.SZ,天津自贸区;血氧仪;流感;回购增持再贷款概念;京津冀一体化;医疗器械概念;跨境电商;智能医疗;养老概念;人民币贬值受益;创投;AI应用;智能穿戴;小米概念;深股通;融资融券,16.0,33
603803,603803.SH,F5G概念;WiFi 6;5G;6G概念;共封装光学(CPO);芯片概念;量子科技;物联网;无人驾驶;东数西算(算力);数据中心;新型工业化;车联网(车路协同);智慧城市;智能电网;工业互联网;网络安全;新型城镇化;数据安全;融资融券,20.0,17
603629,603629.SH,算力租赁;液冷服务器;英伟达概念;东数西算(算力);腾讯概念;云计算;芯片概念;2025年报预增;消费电子概念;军工;华为概念;小米概念;OLED;沪股通,14.0,17
002667,002667.SZ,金属锌;金属铅;小金属概念;磷化工;锂电池概念;储能;垃圾分类;融资融券,8.0,33
603757,603757.SH,液冷服务器;数据中心;新能源汽车;空气能热泵;储能;高端装备;燃料电池;核电;专精特新;海工装备;氢能源;商业航天;水利;沪股通,14.0,17
603773,603773.SH,MicroLED概念;MiniLED;柔性屏(折叠屏);OLED;钙钛矿电池;先进封装;光刻机;商业航天;卫星导航;汽车电子;消费电子概念;6G概念;芯片概念;智能穿戴;小米概念;存储芯片;PET铜箔;华为概念;共封装光学(CPO);沪股通,20.0,17
000833,000833.SZ,化肥;磷化工;土地流转;农业种植;锂电池概念;TOPCON电池;2025三季报预增;西部大开发;光伏概念;国企改革;乡村振兴;广东自贸区;2025年报预增;粤港澳大湾区;深股通,15.0,33
000062,000062.SZ,汽车电子;华为海思概念股;机器人概念;芯片概念;比亚迪概念;粤港澳大湾区;人民币贬值受益;华为概念;新能源汽车;智慧城市;创投;存储芯片;第三代半导体;腾讯概念;互联网金融;华为昇腾;2025年报预增;AI智能体;6G概念;雄安新区;共封装光学(CPO);证金持股;深股通;融资融券,24.0,33
001207,001207.SZ,特高压;固态电池,2.0,33
603421,603421.SH,电力物联网;虚拟电厂;智能电网;MCU芯片;充电桩;芯片概念;光伏概念;储能;鸿蒙概念;华为概念,10.0,17
002177,002177.SZ,互联网金融;人脸识别;国产操作系统;数字经济;创投;物业管理;粤港澳大湾区;深股通;融资融券,9.0,33
601330,601330.SH,生物质能发电;医疗废物处理;固废处理;绿色电力;垃圾分类;国企改革;沪股通,7.0,17
603936,603936.SH,PCB概念;共封装光学(CPO);AI PC;5G;苹果概念;6G概念;先进封装;汽车电子;第三代半导体;存储芯片;商业航天;消费电子概念;液冷服务器;MiniLED;军工;卫星导航;数据中心;比亚迪概念;新能源汽车;智能穿戴;无人驾驶;充电桩;机器人概念;华为概念;EDR概念;物联网;沪股通;融资融券,28.0,17
603778,603778.SH,钙钛矿电池;HJT电池;TOPCON电池;硅能源;新型城镇化;虚拟电厂;PPP概念;光伏概念;储能;固态电池;锂电池概念,11.0,17
600722,600722.SH,煤化工概念;国企改革;融资融券;京津冀一体化;风电,5.0,17
002175,002175.SZ,物业管理;股权转让(并购重组);智能物流;物联网;西部大开发;工业互联网;芯片概念;新能源汽车;高端装备;深股通,10.0,33
