股票代码,code,market_code,所属概念数量,所属概念
688351.SH,688351,17,5,医疗器械概念;智能医疗;专精特新;沪股通;融资融券
601012.SH,601012,17,18,硅能源;HJT电池;BC电池;TOPCON电池;光伏建筑一体化;钙钛矿电池;光伏概念;同花顺漂亮100;绿色电力;百度概念;氢能源;西部大开发;储能;证金持股;华为概念;沪股通;融资融券;特斯拉概念
301061.SZ,301061,33,7,养老概念;同花顺出海50;一带一路;人民币贬值受益;智能家居;深股通;融资融券
002941.SZ,002941,33,17,PPP概念;新型城镇化;土地流转;水利;一带一路;新疆振兴;国企改革;西部大开发;AI智能体;人工智能;ETC;风电;智慧灯杆;商业航天;卫星导航;融资融券;深股通
603296.SH,603296,17,36,AI PC;智能音箱;中国AI 50;液冷服务器;无线耳机;英伟达概念;华为手机;数据中心(AIDC);消费电子概念;上海自贸区;星闪概念;AI眼镜;抖音概念(字节概念);智能穿戴;东数西算(算力);小米概念;华为概念;汽车电子;智能家居;阿里巴巴概念;腾讯概念;虚拟现实;医疗器械概念;芯片概念;智能座舱;无人驾驶;毫米波雷达;机器人概念;人形机器人;2026中报预增;百度概念;车联网(车路协同);MR(混合现实);5G;沪股通;融资融券
002572.SZ,002572,33,7,高股息精选;参股券商;养老概念;智能家居;虚拟现实;深股通;融资融券
600008.SH,600008,17,21,高股息精选;煤化工概念;绿色电力;PPP概念;国企改革;乡村振兴;地下管网;固废处理;雄安新区;新型城镇化;土壤修复;京津冀一体化;垃圾分类;污水处理;净水概念;DeepSeek概念;人工智能;智慧城市;沪股通;融资融券;机器人概念
688615.SH,688615,17,18,财税数字化;AIGC概念;智慧政务;云计算;AI应用;抖音概念(字节概念);华为昇腾;数据安全;数据要素;AI智能体;鸿蒙概念;互联网金融;数字经济;人工智能;华为概念;机器人概念;沪股通;融资融券
600816.SH,600816,17,4,信托概念;参股银行;融资融券;沪股通
688799.SH,688799,17,9,创新药;仿制药一致性评价;肝炎概念;幽门螺杆菌概念;合成生物;专精特新;眼科医疗;沪股通;融资融券
600750.SH,600750,17,10,高股息精选;白酒概念;医药电商;证金持股;参股银行;国企改革;央企国企改革;数字经济;沪股通;融资融券
600789.SH,600789,17,14,流感;肝炎概念;阿尔茨海默概念;仿制药一致性评价;创新药;毛发医疗;合成生物;宠物经济;国企改革;消毒剂;DeepSeek概念;工业互联网;融资融券;沪股通
600566.SH,600566,17,18,高股息精选;医药电商;流感;仿制药一致性评价;肝炎概念;家庭医生;创新药;幽门螺杆菌概念;维生素;重组蛋白;三胎概念;农业种植;旅游概念;参股银行;数字经济;创投;沪股通;融资融券
601778.SH,601778,17,16,算力租赁;东数西算(算力);数据中心(AIDC);虚拟电厂;绿色电力;光伏建筑一体化;储能;风电;光伏概念;阿里巴巴概念;碳交易;腾讯概念;碳中和;氢能源;沪股通;融资融券
001369.SZ,001369,33,9,注册制次新股;锂电池概念;碳中和;光伏概念;西部大开发;专精特新;深股通;新股与次新股;融资融券
002736.SZ,002736,33,5,高股息精选;国企改革;深圳国企改革;融资融券;深股通
002262.SZ,002262,33,10,芬太尼;仿制药一致性评价;创新药;医药电商;阿尔茨海默概念;猴痘概念;智能医疗;医疗器械概念;深股通;融资融券
300080.SZ,300080,33,13,石墨电极;煤化工概念;TOPCON电池;钒电池;绿色电力;国企改革;储能;锂电池概念;石墨烯;宁德时代概念;股权转让(并购重组);融资融券;深股通
601011.SH,601011,17,12,煤炭概念;煤化工概念;石墨电极;碳中和;黑龙江自贸区;氢能源;石墨烯;锂电池概念;消费电子概念;AI眼镜;沪股通;融资融券
300459.SZ,300459,33,36,手机游戏;文化传媒概念;NFT概念;网络游戏;IP经济(谷子经济);知识产权保护;在线教育;AIGC概念;快手概念;网红经济;AI应用;ChatGPT概念;元宇宙;多模态AI;云游戏;鸿蒙概念;DeepSeek概念;抖音概念(字节概念);腾讯概念;人工智能;阿里巴巴概念;智能医疗;三胎概念;语音技术;脑机接口;一带一路;虚拟现实;人民币贬值受益;机器人概念;华为概念;东数西算(算力);MR(混合现实);数据中心(AIDC);液冷服务器;深股通;融资融券
603087.SH,603087,17,8,创新药;减肥药;眼科医疗;医疗器械概念;智能医疗;虚拟数字人;沪股通;融资融券
688088.SH,688088,17,29,空间计算;AI视频;人脸识别;多模态AI;AIGC概念;虚拟数字人;AI应用;元宇宙;抖音概念(字节概念);机器视觉;人工智能;智慧城市;安防;虚拟现实;长安汽车概念;机器人概念;同花顺新质50;华为概念;MR(混合现实);智能座舱;无人驾驶;小米概念;智能穿戴;消费电子概念;AI眼镜;芯片概念;人形机器人;沪股通;融资融券
688158.SH,688158,17,30,算力租赁;华为昇腾;东数西算(算力);中国AI 50;云计算;智谱AI;数据安全;云游戏;数据中心(AIDC);信创;液冷服务器;智慧政务;财税数字化;AI智能体;数据要素;华为概念;数字乡村;智慧城市;DeepSeek概念;商业航天;数字经济;人工智能;低空经济;工业互联网;无人驾驶;脑机接口;专精特新;智能医疗;机器人概念;融资融券
600266.SH,600266,17,11,参股券商;新型城镇化;国企改革;旅游概念;京津冀一体化;创投;时空大数据;卫星导航;商业航天;沪股通;融资融券
600116.SH,600116,17,12,绿色电力;虚拟电厂;国企改革;央企国企改革;水利;西部大开发;充电桩;储能;小金属概念;沪股通;融资融券;2026中报预增
000898.SZ,000898,33,13,特钢概念;证金持股;煤化工概念;国企改革;央企国企改革;金属回收;氢能源;数据要素;海工装备;比亚迪概念;深股通;融资融券;数据中心(AIDC)
002073.SZ,002073,33,17,参股银行;智能物流;一带一路;知识产权保护;数字经济;证金持股;生物质能发电;工业互联网;绿色电力;物联网;机器视觉;锂电池概念;宁德时代概念;传感器;固态电池;深股通;融资融券
600060.SH,600060,17,25,高股息精选;家用电器;沪股通;融资融券;智能家居;MicroLED概念;机器人概念;MiniLED;人工智能;虚拟数字人;MR(混合现实);数字经济;DeepSeek概念;元宇宙;商业航天;芯片概念;虚拟现实;AI智能体;数据要素;MCU芯片;汽车电子;智能穿戴;多模态AI;消费电子概念;AI眼镜
600064.SH,600064,17,9,证金持股;参股券商;高股息精选;参股银行;国企改革;污水处理;创投;融资融券;沪股通
603194.SH,603194,17,11,共同富裕示范区;人民币贬值受益;智能物流;汽车拆解概念;机器人概念;军工;新能源汽车;锂电池概念;储能;沪股通;融资融券
600685.SH,600685,17,18,中船系;国产航母;央企国企改革;海工装备;军民融合;国企改革;风电;军工;粤港澳大湾区;工业互联网;商业航天;同花顺中特估100;数据中心(AIDC);2026一季报预增;沪股通;2026中报预增;中字头股票;融资融券
300070.SZ,300070,33,17,参股银行;乡村振兴;雄安新区;国企改革;PPP概念;净水概念;污水处理;新型城镇化;人工智能;央企国企改革;地下管网;创投;一带一路;家用电器;盐湖提锂;深股通;融资融券
600312.SH,600312,17,19,柔性直流输电;智能电网;特高压;核电;风电;充电桩;DeepSeek概念;数字孪生;储能;央企国企改革;工业互联网;一带一路;国企改革;高端装备;机器人概念;沪股通;融资融券;人工智能;AI智能体
000958.SZ,000958,33,12,期货概念;信托概念;央企国企改革;绿色电力;国企改革;乡村振兴;雄安新区;风电;京津冀一体化;核电;深股通;融资融券
003039.SZ,003039,33,19,乡村振兴;国企改革;地下管网;绿色电力;固废处理;旅游概念;污水处理;垃圾分类;光伏建筑一体化;水利;净水概念;数据确权;氢能源;粤港澳大湾区;充电桩;储能;高压快充;融资融券;深股通
000155.SZ,000155,33,13,盐湖提锂;磷化工;小金属概念;固废处理;绿色电力;西部大开发;锂电池概念;国企改革;风电;储能;深股通;2026中报预增;融资融券
603320.SH,603320,17,2,空气能热泵;家用电器
601997.SH,601997,17,4,高股息精选;西部大开发;沪股通;融资融券
003006.SZ,003006,33,3,三胎概念;西部大开发;深股通
000552.SZ,000552,33,10,煤炭概念;煤化工概念;页岩气;天然气;化肥;超超临界发电;国企改革;西部大开发;深股通;融资融券
600016.SH,600016,17,4,高股息精选;跨境支付(CIPS);沪股通;融资融券
600104.SH,600104,17,23,超级品牌;证金持股;上海国企改革;同花顺漂亮100;参股银行;足球概念;国企改革;网约车;一带一路;独角兽概念;DeepSeek概念;华为汽车;动力电池回收;燃料电池;换电概念;车联网(车路协同);沪股通;融资融券;新能源汽车;无人驾驶;华为概念;宁德时代概念;固态电池
601798.SH,601798,17,16,海工装备;光热发电;碳中和;氢能源;储能;一带一路;页岩气;天然气;专精特新;俄乌冲突概念;西部大开发;机器人概念;央企国企改革;国企改革;2026中报预增;股权转让(并购重组)
601789.SH,601789,17,18,国资云;东数西算(算力);腾讯概念;阿里巴巴概念;数据中心(AIDC);区块链;百度概念;房屋检测;水利;新型城镇化;装配式建筑;PPP概念;低空经济;地下管网;国企改革;参股券商;沪股通;融资融券
920438.BJ,920438,151,14,玻璃基板;商业航天;无人驾驶;6G概念;芯片概念;消费电子概念;军工;核污染防治;海工装备;专精特新;核电;比亚迪概念;先进封装;融资融券
600416.SH,600416,17,18,军民融合;无人机;低空经济;军工;无人驾驶;高端装备;商业航天;高铁;工业互联网;核电;水利;储能;风电;稀土永磁;国企改革;抽水蓄能;沪股通;融资融券
601216.SH,601216,17,19,煤化工概念;水泥概念;可降解塑料;煤炭概念;天然气;参股银行;航运概念;参股券商;统一大市场;西部大开发;氢能源;生物疫苗;绿色电力;互联网金融;智能物流;数字经济;阿里巴巴概念;沪股通;融资融券
300519.SZ,300519,33,4,流感;辅助生殖;肝炎概念;互联网金融
601988.SH,601988,17,6,高股息精选;同花顺中特估100;证金持股;跨境支付(CIPS);沪股通;融资融券
601000.SH,601000,17,9,高股息精选;证金持股;航运概念;国企改革;雄安新区;智能物流;京津冀一体化;沪股通;融资融券
688011.SH,688011,17,7,军民融合;专精特新;军工信息化;军工;黑龙江自贸区;沪股通;融资融券
601022.SH,601022,17,7,航运概念;统一大市场;共同富裕示范区;国企改革;一带一路;融资融券;沪股通
603899.SH,603899,17,5,超级品牌;IP经济(谷子经济);智能物流;沪股通;融资融券
002891.SZ,002891,33,4,宠物经济;人民币贬值受益;融资融券;深股通
600408.SH,600408,17,4,煤炭概念;煤化工概念;碳中和;氢能源
600571.SH,600571,17,21,移动支付;跨境支付(CIPS);ChatGPT概念;数据安全;信创;互联网金融;数字经济;AI智能体;百度概念;阿里巴巴概念;DeepSeek概念;人工智能;独角兽概念;数字水印;创投;华为概念;量子科技;共同富裕示范区;参股券商;沪股通;融资融券
000822.SZ,000822,33,7,钒电池;国企改革;污水处理;氢能源;固态电池;深股通;融资融券
000752.SZ,000752,33,3,ST板块;啤酒概念;西部大开发
301275.SZ,301275,33,15,人工智能;数字经济;云计算;海峡两岸;物联网;人民币贬值受益;机器人概念;储能;专精特新;光伏概念;电子纸;消费电子概念;芯片概念;深股通;融资融券
301301.SZ,301301,33,14,维生素;肝炎概念;合成生物;土地流转;农业种植;玉米;粮食概念;乡村振兴;智能医疗;西部大开发;新疆振兴;人工智能;深股通;融资融券
601107.SH,601107,17,9,高股息精选;国企改革;西部大开发;创投;氢能源;沪股通;融资融券;DeepSeek概念;充电桩
601877.SH,601877,17,18,虚拟电厂;智能电网;绿色电力;光伏建筑一体化;充电桩;风电;储能;阿里巴巴概念;数据中心(AIDC);光伏概念;人工智能;物联网;一带一路;锂电池概念;机器人概念;特斯拉概念;沪股通;融资融券
300133.SZ,300133,33,31,算力租赁;智谱AI;抖音概念(字节概念);AI视频;AI语料;东数西算(算力);多模态AI;百度概念;短剧游戏;阿里巴巴概念;腾讯概念;AIGC概念;虚拟数字人;知识产权保护;元宇宙;数据要素;NFT概念;AI智能体;AI应用;手机游戏;文化传媒概念;DeepSeek概念;华为概念;人工智能;IP经济(谷子经济);网红经济;AI眼镜;旅游概念;冰雪产业;融资融券;深股通
000912.SZ,000912,33,7,化肥;煤化工概念;乡村振兴;西部大开发;国企改革;深股通;融资融券
000513.SZ,000513,33,17,生物疫苗;创新药;仿制药一致性评价;重组蛋白;减肥药;流感;辅助生殖;猴痘概念;宠物经济;基因测序;智能医疗;横琴新区;DeepSeek概念;AI应用;深股通;融资融券;AI智能体
300925.SZ,300925,33,36,华为盘古;华为鲲鹏;智谱AI;信创;华为昇腾;ChatGPT概念;鸿蒙概念;AI智能体;抖音概念(字节概念);数据要素;AIGC概念;AI应用;数字货币;小红书概念;快手概念;车联网(车路协同);腾讯概念;阿里巴巴概念;数字经济;区块链;DeepSeek概念;互联网金融;华为概念;人工智能;东数西算(算力);无人驾驶;智能座舱;蚂蚁集团概念;比亚迪概念;无人机;特斯拉概念;粤港澳大湾区;创投;一带一路;深股通;融资融券
603100.SH,603100,17,15,工业互联网;西部大开发;国企改革;物联网;央企国企改革;碳中和;新型工业化;光热发电;高端装备;核电;商业航天;传感器;可控核聚变;沪股通;融资融券
600328.SH,600328,17,12,水泥概念;国企改革;西部大开发;央企国企改革;小金属概念;锂电池概念;DeepSeek概念;核电;股权转让(并购重组);中字头股票;沪股通;融资融券
301357.SZ,301357,33,11,军民融合;军工信息化;西部大开发;军工;专精特新;低空经济;无人机;飞行汽车(eVTOL);卫星导航;深股通;融资融券
002606.SZ,002606,33,9,虚拟电厂;特高压;绿色电力;储能;一带一路;专精特新;2026中报预增;深股通;融资融券
601868.SH,601868,17,44,虚拟电厂;风电;超超临界发电;碳交易;生物质能发电;绿色电力;柔性直流输电;光热发电;算力租赁;特高压;水泥概念;雅下水电概念;阿里巴巴概念;水利;储能;东数西算(算力);海工装备;土壤修复;核电;氢能源;AI智能体;数据中心(AIDC);民爆概念;央企国企改革;新型城镇化;一带一路;燃料电池;低空经济;高端装备;人工智能;军工;华为概念;机器人概念;国企改革;可控核聚变;参股保险;海峡两岸;同花顺中特估100;光纤概念;宁德时代概念;证金持股;中字头股票;融资融券;沪股通
300036.SZ,300036,33,43,华为欧拉;空间计算;多模态AI;华为鲲鹏;智慧政务;数据要素;AI应用;AIGC概念;元宇宙;信创;AI智能体;鸿蒙概念;数字孪生;Web3.0;时空大数据;华为昇腾;军工信息化;车联网(车路协同);阿里巴巴概念;智慧城市;数字经济;区块链;腾讯概念;DeepSeek概念;人工智能;虚拟现实;低空经济;华为概念;水利;无人驾驶;卫星导航;无人机;军工;智能电网;商业航天;MR(混合现实);地下管网;土壤修复;乡村振兴;英伟达概念;雅下水电概念;深股通;融资融券
600763.SH,600763,17,10,眼科医疗;民营医院;辅助生殖;医美概念;智能医疗;AI应用;牙科医疗;DeepSeek概念;沪股通;融资融券
301015.SZ,301015,33,9,医药电商;阿尔茨海默概念;创新药;医疗器械概念;跨境电商;人工智能;机器人概念;深股通;融资融券
600906.SH,600906,17,8,期货概念;京津冀一体化;国企改革;雄安新区;百度概念;2026中报预增;融资融券;沪股通
600033.SH,600033,17,7,参股保险;参股银行;国企改革;福建自贸区;海峡两岸;融资融券;沪股通
600967.SH,600967,17,25,中俄贸易概念;农机;西部大开发;国企改革;军民融合;央企国企改革;人工智能;高铁;数字孪生;军工;工业互联网;高端装备;减速器;机器人概念;核电;无人机;物联网;氢能源;风电;新能源汽车;无人驾驶;储能;人形机器人;沪股通;融资融券
600660.SH,600660,17,9,证金持股;同花顺漂亮100;同花顺出海50;福建自贸区;小米汽车;沪股通;融资融券;特斯拉概念;光伏概念
300188.SZ,300188,33,50,AI视频;财税数字化;数据确权;ChatGPT概念;AIGC概念;知识产权保护;职业教育;国资云;AI应用;区块链;元宇宙;数据要素;华为鲲鹏;鸿蒙概念;AI智能体;数字乡村;数字经济;DeepSeek概念;人脸识别;数据安全;电子身份证;数字货币;信创;国产操作系统;阿里巴巴概念;腾讯概念;人工智能;智慧城市;网络安全;车联网(车路协同);国企改革;安防;央企国企改革;食品安全;低空经济;福建自贸区;EDR概念;机器人概念;东数西算(算力);华为概念;海峡两岸;军工;无人机;数据中心(AIDC);智能穿戴;消费电子概念;深股通;AI眼镜;智慧政务;融资融券
300633.SZ,300633,33,7,宠物经济;智能医疗;医疗器械概念;中俄贸易概念;人工智能;融资融券;深股通
002714.SZ,002714,33,7,猪肉;同花顺漂亮100;合成生物;参股银行;乡村振兴;深股通;融资融券
600757.SH,600757,17,10,高股息精选;证金持股;IP经济(谷子经济);文化传媒概念;国企改革;托育服务;知识产权保护;在线教育;沪股通;融资融券
600623.SH,600623,17,16,煤化工概念;丙烯酸;消毒剂;氟化工概念;PVDF概念;新疆振兴;超级品牌;参股券商;上海国企改革;国企改革;锂电池概念;创投;DeepSeek概念;沪股通;芯片概念;融资融券
002945.SZ,002945,33,5,互联网金融;西部大开发;创投;融资融券;深股通
600556.SH,600556,17,27,NFT概念;虚拟数字人;文化传媒概念;Web3.0;快手概念;小红书概念;知识产权保护;在线教育;IP经济(谷子经济);AIGC概念;网红经济;职业教育;AI应用;元宇宙;区块链;多模态AI;数据要素;抖音概念(字节概念);AI智能体;腾讯概念;阿里巴巴概念;人工智能;西部大开发;华为概念;MR(混合现实);融资融券;沪股通
300541.SZ,300541,33,35,云计算;Web3.0;数据安全;数据确权;华为昇腾;华为鲲鹏;智慧政务;信创;阿里巴巴概念;华为盘古;数据要素;腾讯概念;AI智能体;快手概念;抖音概念(字节概念);鸿蒙概念;AI应用;数字货币;区块链;蚂蚁集团概念;数字经济;DeepSeek概念;ETC;人工智能;互联网金融;跨境支付(CIPS);NFT概念;独角兽概念;数据中心(AIDC);华为概念;英伟达概念;无人驾驶;智能物流;烟草;深股通
