所属概念,所属概念数量,market_code,股票代码,code
华为欧拉;云计算;智慧政务;AI智能体;算力租赁;信创;东数西算(算力);数据要素;区块链;芯片概念;华为概念;人工智能;DeepSeek概念;军工;数字经济;互联网金融;融资融券,17,17,688227.SH,688227
MLOps概念;AI语料;华为欧拉;华为昇腾;数字水印;ChatGPT概念;Web3.0;华为鲲鹏;云计算;算力租赁;多模态AI;AIGC概念;智慧政务;数据安全;虚拟数字人;AI智能体;信创;电子身份证;数字乡村;元宇宙;数据要素;区块链;东数西算(算力);鸿蒙概念;时空大数据;互联网保险;虚拟现实;数字经济;DeepSeek概念;互联网金融;数字孪生;智慧城市;职业教育;人工智能;华为概念;数据中心;5G;物联网;工业互联网;机器视觉;京津冀一体化;AI手机;新型工业化;海工装备;碳中和;乡村振兴;人形机器人;AI应用;虚拟电厂;深股通;融资融券,51,33,300166.SZ,300166
减速器;华为汽车;长安汽车概念;中俄贸易概念;汽车热管理;氢能源;智能座舱;新能源汽车;工业母机;无人机;机器人概念;新型工业化;比亚迪概念;国企改革;汽车电子;DeepSeek概念;股权转让(并购重组),17,17,600960.SH,600960
HJT电池;光伏建筑一体化;数字乡村;光伏概念;智慧城市;储能;一带一路;绿色电力;国企改革;融资融券,10,33,002323.SZ,002323
新疆振兴;西部大开发;一带一路;DeepSeek概念;华为概念;AI智能体;机器人概念;新型工业化;人民币贬值受益;融资融券,10,17,600545.SH,600545
小红书概念;快手概念;多模态AI;ChatGPT概念;AIGC概念;虚拟数字人;抖音概念(字节概念);AI智能体;AI应用;百度概念;数据要素;腾讯概念;文化传媒概念;区块链;DeepSeek概念;人工智能;数字经济;独角兽概念;华为概念;机器视觉;跨境电商;芯片概念;创投;水利;小米概念;核电;专精特新;医疗器械概念;海工装备;液冷服务器;一带一路;污水处理;深股通;新能源汽车;融资融券,35,33,002131.SZ,002131
金属锌;黄金概念;金属铜;小金属概念;金属镍;金属钴;俄乌冲突概念;锂电池概念;一带一路;沪股通;融资融券,11,17,600490.SH,600490
PCB概念;风电;国企改革,3,17,605006.SH,605006
超超临界发电;绿色电力;碳交易;风电;碳中和;国企改革;2025年报预增;深股通;融资融券,9,33,000767.SZ,000767
长三角一体化;租售同权;国企改革;创投;新型城镇化;物业管理;独角兽概念;养老概念;深股通,9,33,002208.SZ,002208
光热发电;核电;海工装备;特钢概念;超超临界发电;储能;专精特新;新能源汽车;一带一路;天然气;页岩气;地下管网;深股通;融资融券,14,33,002478.SZ,002478
华为鲲鹏;数据要素;数据安全;横琴新区;人工智能;信创;华为概念;雄安新区;数据中心;融资融券,10,17,603138.SH,603138
液冷服务器;数据中心;储能;华为概念;高端装备;机器人概念;工业互联网;传感器;光热发电;军工;智能电网;特高压;低空经济;核电;风电;抽水蓄能;氢能源;数字经济;水利;碳中和;垃圾分类;超超临界发电;西部大开发;深股通;融资融券,25,33,002272.SZ,002272
柔性直流输电;特高压;智能电网;风电;核电;充电桩;海工装备;氢能源;一带一路;无人机;5G;数字经济;深股通;融资融券,14,33,002498.SZ,002498
高压快充;光伏概念;充电桩;储能;富士康概念;无线充电;数据中心;2025年报预增;新能源汽车;第三代半导体;比亚迪概念;OLED;5G;华为汽车;消费电子概念;汽车电子;小米概念;华为概念;粤港澳大湾区;融资融券,20,33,002885.SZ,002885
东数西算(算力);液冷服务器;AI应用;数据中心;华为概念;芯片概念;超级电容;人形机器人;PVDF概念;储能;2025三季报预增;锂电池概念;回购增持再贷款概念;氟化工概念;消毒剂;煤炭概念;沪股通;融资融券,18,17,600673.SH,600673
共封装光学(CPO);同花顺果指数;苹果概念;消费电子概念;汽车电子;WiFi 6;无线耳机;芯片概念;AI眼镜;5G;智能穿戴;智能座舱;新能源汽车;物联网;一带一路;医疗器械概念;沪股通;融资融券;元宇宙,19,17,601231.SH,601231
存储芯片;光伏概念;芯片概念;光纤概念;沪股通;融资融券,6,17,603688.SH,603688
高压快充;光伏概念;华为数字能源;储能;充电桩;数据中心;新能源汽车;5G;一带一路;华为概念;粤港澳大湾区;智能家居;深股通;融资融券,14,33,002922.SZ,002922
汽车电子;飞行汽车(eVTOL);比亚迪概念;新能源汽车;低空经济;2025年报预增;沪股通,7,17,603950.SH,603950
芯片概念;物联网;数字孪生;汽车芯片;智慧城市;智慧政务;数据要素;2025年报预增;新能源汽车;新型城镇化;创投;PPP概念;虚拟电厂;西部大开发;国企改革;融资融券;深股通,17,33,000628.SZ,000628
