code,所属概念,market_code,股票代码,所属概念数量
002363,军工;长安汽车概念;比亚迪概念;新能源汽车;华为汽车;特斯拉概念;商业航天;华为概念;数字经济;百度概念,33,002363.SZ,10
002962,汽车电子;消费电子概念;小米概念;MR(混合现实);虚拟现实;专精特新;安防;人民币贬值受益;华为概念,33,002962.SZ,9
603272,共同富裕示范区;长三角一体化;回购增持再贷款概念;专精特新;工业互联网,17,603272.SH,5
001269,硅能源;光伏概念;西部大开发;芯片概念;深股通,33,001269.SZ,5
002824,华为手机;消费电子概念;柔性屏(折叠屏);汽车热管理;比亚迪概念;新能源汽车;小米概念;宁德时代概念;2025年报预增;华为概念;储能;智能家居;三胎概念;深股通;融资融券,33,002824.SZ,15
601999,文化传媒概念;知识产权保护;IP经济(谷子经济);数据确权;在线教育;数字经济;参股保险;参股券商;国企改革;融资融券,17,601999.SH,10
003036,共同富裕示范区;新型工业化;机器人概念;高端装备;参股银行;锂电池概念;固态电池,33,003036.SZ,7
002988,建筑节能;汽车热管理;华为汽车;比亚迪概念;新能源汽车;智能物流;商业航天;回购增持再贷款概念;光伏概念;储能;深股通,33,002988.SZ,11
600482,中船系;国产航母;数据中心;核电;海工装备;风电;核污染防治;军工;军民融合;储能;燃料电池;央企国企改革;雄安新区;京津冀一体化;新能源汽车;DeepSeek概念;锂电池概念;长安汽车概念;氢能源;国企改革;石墨烯;固态电池;钠离子电池;沪股通;融资融券;中字头股票,17,600482.SH,26
002328,特斯拉概念;液冷服务器;新能源汽车;数据中心;储能;长三角一体化;创投;一带一路;融资融券,33,002328.SZ,9
605060,数据中心;液冷服务器;专精特新;高端装备;风电;农机;沪股通,17,605060.SH,7
002074,钠离子电池;固态电池;动力电池回收;两轮车;锂电池概念;储能;高压快充;磷化工;充电桩;风电;智能电网;碳中和;换电概念;新能源汽车;长安汽车概念;2025年报预增;飞行汽车(eVTOL);乡村振兴;数据中心;华为概念;海工装备;低空经济;人工智能;深股通;融资融券,33,002074.SZ,25
603950,低空经济;飞行汽车(eVTOL);汽车电子;2025年报预增;新能源汽车;比亚迪概念;沪股通,17,603950.SH,7
001211,露营经济;三胎概念;跨境电商;预制菜;IP经济(谷子经济),33,001211.SZ,5
001309,存储芯片;中芯国际概念;AI PC;芯片概念;2025年报预增;汽车电子;智能穿戴;专精特新;共封装光学(CPO);粤港澳大湾区;人民币贬值受益;数据中心;人工智能;融资融券;深股通,33,001309.SZ,15
000762,盐湖提锂;小金属概念;金属铜;化肥;锂电池概念;西部大开发;央企国企改革;国企改革;深股通;融资融券,33,000762.SZ,10
600537,光伏建筑一体化;钙钛矿电池;硅能源;绿色电力;TOPCON电池;光伏概念;5G;融资融券,17,600537.SH,8
603933,人形机器人;新型工业化;工业母机;汽车电子;消费电子概念;机器人概念;新能源汽车;海峡两岸;MCU芯片;智能家居;芯片概念;物联网;无人机;工业互联网;福建自贸区;存储芯片;数字经济;储能,17,603933.SH,18
