股票代码,所属概念数量,所属概念,code,market_code
600866.SH,7,玉米;代糖概念;合成生物;国企改革;高股息精选;沪股通;融资融券,600866,17
002133.SZ,8,物业管理;粮食概念;农业种植;乡村振兴;养老概念;玉米;互联网金融;机器人概念,002133,33
300149.SZ,11,细胞免疫治疗;重组蛋白;创新药;CRO概念;智能医疗;AI应用;DeepSeek概念;人民币贬值受益;深股通;股权转让(并购重组);融资融券,300149,33
002959.SZ,12,宠物经济;网红经济;露营经济;三胎概念;跨境电商;净水概念;创投;拼多多概念;家用电器;粤港澳大湾区;融资融券;深股通,002959,33
000514.SZ,3,物业管理;国企改革;西部大开发,000514,33
002753.SZ,3,煤化工概念;石墨电极;锂电池概念,002753,33
300158.SZ,13,仿制药一致性评价;维生素;创新药;肝炎概念;医美概念;流感;农业种植;医药电商;毛发医疗;土地流转;乡村振兴;融资融券;深股通,300158,33
600159.SH,2,京津冀一体化;国企改革,600159,17
603801.SH,4,高股息精选;智能家居;阿里巴巴概念;工业互联网,603801,17
000615.SZ,7,ST板块;毛发医疗;民营医院;医美概念;消毒剂;参股银行;参股券商,000615,33
000055.SZ,15,装配式建筑;房屋检测;物业管理;乡村振兴;建筑节能;AI应用;数字经济;DeepSeek概念;光伏建筑一体化;一带一路;粤港澳大湾区;绿色电力;高铁;光伏概念;融资融券,000055,33
601999.SH,11,数据确权;知识产权保护;文化传媒概念;在线教育;IP经济(谷子经济);AI应用;数字经济;参股保险;参股券商;国企改革;融资融券,601999,17
600279.SH,9,民爆概念;航运概念;统一大市场;智能物流;国企改革;一带一路;西部大开发;股权转让(并购重组);沪股通,600279,17
600369.SH,6,期货概念;国企改革;西部大开发;融资融券;股权转让(并购重组);沪股通,600369,17
002322.SZ,17,电力物联网;数据要素;智能电网;AI应用;信创;东数西算(算力);人工智能;土壤修复;数字孪生;储能;核电;PM2.5;特高压;虚拟现实;无人机;高股息精选;深股通,002322,33
000517.SZ,5,物业管理;建筑节能;长三角一体化;深股通;融资融券,000517,33
603176.SH,6,新型城镇化;雄安新区;乡村振兴;PPP概念;京津冀一体化;水利,603176,17
000889.SZ,9,算力租赁;5G;腾讯概念;抖音概念(字节概念);阿里巴巴概念;华为概念;百度概念;小米概念;互联网金融,000889,33
605259.SH,5,鸿蒙概念;水利;人民币贬值受益;储能;新能源汽车,605259,17
002412.SZ,9,流感;仿制药一致性评价;肝炎概念;医药电商;幽门螺杆菌概念;创新药;农业种植;参股银行;融资融券,002412,33
002293.SZ,6,高股息精选;三胎概念;网红经济;深股通;融资融券;智能家居,002293,33
002697.SZ,10,参股银行;养老概念;乡村振兴;无人零售;国企改革;西部大开发;腾讯概念;机器人概念;深股通;融资融券,002697,33
688072.SH,6,国家大基金持股;存储芯片;先进封装;芯片概念;沪股通;融资融券,688072,17
601163.SH,6,人民币贬值受益;新能源汽车;军工;大飞机;沪股通;融资融券,601163,17
600976.SH,6,创新药;医药电商;流感;三胎概念;融资融券;沪股通,600976,17
000850.SZ,12,参股银行;参股保险;国企改革;冷链物流;参股券商;创投;数字经济;金属铜;小金属概念;金属铅;金属锌;融资融券,000850,33
000570.SZ,10,乡村振兴;农机;国企改革;海峡两岸;参股银行;无人机;华为概念;锂电池概念;固态电池;2026一季报预增,000570,33
300729.SZ,10,跨境电商;三胎概念;航运概念;智能物流;人工智能;抖音概念(字节概念);人民币贬值受益;智能家居;机器人概念;深股通,300729,33
920974.BJ,4,金属回收;融资融券;燃料电池;氢能源,920974,151
000931.SZ,7,仿制药一致性评价;创新药;养老概念;京津冀一体化;雄安新区;创投;融资融券,000931,33
603648.SH,13,统一大市场;冷链物流;自由贸易港;国企改革;智能物流;医疗器械概念;一带一路;上海自贸区;长三角一体化;换电概念;机器人概念;新能源汽车;苹果概念,603648,17
000669.SZ,2,ST板块;天然气,000669,33
000910.SZ,2,锂电池概念;融资融券,000910,33
920027.BJ,6,数字经济;水利;专精特新;融资融券;高铁;西部大开发,920027,151
300291.SZ,16,短剧游戏;快手概念;文化传媒概念;网红经济;IP经济(谷子经济);网络游戏;虚拟数字人;旅游概念;抖音概念(字节概念);AI应用;百度概念;腾讯概念;阿里巴巴概念;人工智能;华为概念;深股通,300291,33
600725.SH,8,西部大开发;国企改革;化肥;煤化工概念;超超临界发电;煤炭概念;股权转让(并购重组);沪股通,600725,17
002247.SZ,2,共同富裕示范区;长三角一体化,002247,33
601916.SH,4,高股息精选;共同富裕示范区;融资融券;沪股通,601916,17
300152.SZ,12,土壤修复;PPP概念;雄安新区;ST板块;净水概念;创投;碳中和;污水处理;PM2.5;燃料电池;氢能源;生物质能发电,300152,33
600019.SH,16,同花顺中特估100;证金持股;高股息精选;同花顺漂亮100;特钢概念;参股银行;国企改革;央企国企改革;石墨电极;一带一路;沪股通;融资融券;AI智能体;核电;新能源汽车;特斯拉概念,600019,17
600300.SH,12,乳业;粮食概念;农业种植;大豆;生态农业;白酒概念;乡村振兴;参股银行;国企改革;创投;数字经济;沪股通,600300,17
601669.SH,42,抽水蓄能;中字头股票;绿色电力;雅下水电概念;碳交易;风电;光热发电;土壤修复;新型城镇化;水利;同花顺中特估100;PPP概念;央企国企改革;污水处理;雄安新区;碳中和;虚拟电厂;乡村振兴;国企改革;一带一路;海工装备;京津冀一体化;核电;证金持股;储能;特高压;DeepSeek概念;AI智能体;燃料电池;智慧城市;同花顺漂亮100;人工智能;高端装备;低空经济;光伏概念;东数西算(算力);数据中心(AIDC);金属钴;商业航天;小金属概念;沪股通;融资融券,601669,17
002726.SZ,3,预制菜;猪肉;ST板块,002726,33
300805.SZ,9,AIGC概念;拼多多概念;AI应用;AI智能体;阿里巴巴概念;跨境电商;网约车;华为概念;新能源汽车,300805,33
000950.SZ,21,医药电商;创新药;医美概念;辅助生殖;减肥药;啤酒概念;冷链物流;股权转让(并购重组);三胎概念;统一大市场;医疗器械概念;养老概念;西部大开发;央企国企改革;智能医疗;国企改革;智能物流;创投;机器人概念;融资融券;深股通,000950,33
601990.SH,5,期货概念;国企改革;创投;沪股通;融资融券,601990,17
688358.SH,8,人工智能;AI应用;智能医疗;机器人概念;医疗器械概念;宠物经济;人民币贬值受益;融资融券,688358,17
600020.SH,11,信托概念;参股保险;参股银行;化债概念(AMC概念);文化传媒概念;国企改革;AI应用;创投;沪股通;融资融券;充电桩,600020,17
600491.SH,8,PPP概念;装配式建筑;房屋检测;光伏建筑一体化;新型城镇化;ST板块;水利;长三角一体化,600491,22
000816.SZ,13,农村电商;乡村振兴;金属铜;盐湖提锂;农机;小金属概念;金属锌;金属铅;数字乡村;储能;减速器;深股通;融资融券,000816,33
920729.BJ,3,融资融券;禽流感;动物疫苗,920729,151
002500.SZ,6,证金持股;国企改革;互联网金融;创投;深股通;融资融券,002500,33
603580.SH,4,海峡两岸;消费电子概念;人民币贬值受益;摘帽,603580,17
605567.SH,5,人造肉;预制菜;冷链物流;中韩自贸区;养鸡,605567,17
603860.SH,9,乡村振兴;国企改革;数字经济;人工智能;数字乡村;AI智能体;国资云;专精特新;中字头股票,603860,17
300532.SZ,19,智能物流;数字孪生;新型工业化;区块链;华为鲲鹏;工业互联网;统一大市场;一带一路;机器人概念;机器视觉;特斯拉概念;比亚迪概念;华为概念;储能;宁德时代概念;高股息精选;5G;股权转让(并购重组);深股通,300532,33
600221.SH,6,自由贸易港;海南自贸区;雄安新区;融资融券;股权转让(并购重组);沪股通,600221,17
600704.SH,23,统一大市场;参股银行;化债概念(AMC概念);参股保险;养老概念;国企改革;医美概念;高股息精选;大豆;跨境电商;期货概念;辅助生殖;一带一路;共同富裕示范区;汽车拆解概念;脑机接口;DeepSeek概念;小金属概念;机器人概念;小米汽车;储能;沪股通;融资融券,600704,17
601099.SH,4,互联网金融;西部大开发;沪股通;融资融券,601099,17
000564.SZ,17,物业管理;无人零售;统一大市场;自由贸易港;供销社;跨境电商;IP经济(谷子经济);农村电商;网红经济;乡村振兴;新疆振兴;冷链物流;百度概念;西部大开发;军民融合;深股通;融资融券,000564,33
600425.SH,13,水泥概念;同花顺中特估100;国企改革;化肥;新疆振兴;西部大开发;一带一路;煤炭概念;氢能源;风电;人工智能;沪股通;融资融券,600425,17
601992.SH,17,水泥概念;物业管理;雄安新区;国企改革;装配式建筑;京津冀一体化;一带一路;固废处理;房屋检测;创投;核电;储能;光伏概念;商业航天;可控核聚变;沪股通;融资融券,601992,17
600626.SH,8,上海自贸区;上海国企改革;人民币贬值受益;国企改革;比亚迪概念;特斯拉概念;沪股通;融资融券,600626,17
600741.SH,24,高股息精选;证金持股;上海国企改革;参股券商;国企改革;汽车热管理;氢能源;燃料电池;小米汽车;沪股通;融资融券;无人驾驶;大飞机;新能源汽车;特斯拉概念;机器视觉;比亚迪概念;小米概念;毫米波雷达;智能座舱;储能;固态电池;汽车电子;数据中心(AIDC),600741,17
600155.SH,11,期货概念;白酒概念;参股券商;京津冀一体化;雄安新区;数字经济;DeepSeek概念;AI智能体;云计算;沪股通;融资融券,600155,17
600617.SH,6,天然气;绿色电力;地下管网;国企改革;沪股通;融资融券,600617,17
601369.SH,19,超超临界发电;煤化工概念;虚拟电厂;天然气;页岩气;碳中和;核电;氢能源;西部大开发;国企改革;一带一路;高端装备;高股息精选;数据安全;储能;军工;商业航天;融资融券;沪股通,601369,17
002478.SZ,14,特钢概念;光热发电;核电;海工装备;一带一路;储能;超超临界发电;新能源汽车;专精特新;页岩气;地下管网;天然气;深股通;融资融券,002478,33
601059.SH,6,期货概念;国企改革;京津冀一体化;央企国企改革;沪股通;融资融券,601059,17
300070.SZ,17,参股银行;乡村振兴;雄安新区;国企改革;PPP概念;净水概念;污水处理;新型城镇化;人工智能;央企国企改革;地下管网;创投;一带一路;家用电器;盐湖提锂;深股通;融资融券,300070,33
600229.SH,13,IP经济(谷子经济);文化传媒概念;在线教育;短剧游戏;AIGC概念;数据要素;多模态AI;人工智能;国企改革;独角兽概念;虚拟现实;融资融券;沪股通,600229,17
600307.SH,14,特钢概念;国企改革;雅下水电概念;西部大开发;氢能源;金属铜;核电;超导概念;华为概念;可控核聚变;新能源汽车;商业航天;融资融券;沪股通,600307,17
600477.SH,11,雄安新区;装配式建筑;一带一路;建筑节能;光伏建筑一体化;工业互联网;储能;HJT电池;钙钛矿电池;沪股通;融资融券,600477,17
002159.SZ,9,冰雪产业;旅游概念;露营经济;IP经济(谷子经济);体育产业;文化传媒概念;参股券商;特色小镇;国企改革,002159,33
002243.SZ,17,脑机接口;毫米波雷达;智慧城市;数据中心(AIDC);数字经济;东数西算(算力);创投;深圳国企改革;建筑节能;物业管理;国企改革;锂电池概念;冷链物流;芯片概念;可降解塑料;深股通;融资融券,002243,33
920371.BJ,2,预制菜;融资融券,920371,151
300256.SZ,15,两轮车;虚拟现实;特斯拉概念;智能座舱;华为概念;新能源汽车;小米概念;毫米波雷达;智能穿戴;汽车电子;柔性屏(折叠屏);消费电子概念;华为手机;OLED;深股通,300256,33
000900.SZ,13,证金持股;预制菜;高股息精选;参股银行;PPP概念;国企改革;期货概念;固废处理;垃圾分类;互联网金融;充电桩;深股通;融资融券,000900,33
603797.SH,4,新型城镇化;污水处理;PPP概念;粤港澳大湾区,603797,17
002075.SZ,7,特钢概念;军工;无人机;新能源汽车;华为概念;深股通;融资融券,002075,33
920455.BJ,2,融资融券;专精特新,920455,151
600493.SH,3,创投;海峡两岸;人民币贬值受益,600493,17
002562.SZ,11,丙烯酸;中俄贸易概念;合成生物;人民币贬值受益;维生素;NMN概念;长三角一体化;PEEK材料;仿制药一致性评价;小金属概念;深股通,002562,33
300962.SZ,11,净水概念;食品安全;国企改革;幽门螺杆菌概念;央企国企改革;核污染防治;粤港澳大湾区;专精特新;芯片概念;中字头股票;融资融券,300962,33
300949.SZ,24,NFT概念;虚拟数字人;IP经济(谷子经济);AIGC概念;职业教育;数据要素;体育产业;新型城镇化;元宇宙;腾讯概念;旅游概念;露营经济;人工智能;智慧城市;三胎概念;冰雪产业;时空大数据;乡村振兴;粤港澳大湾区;虚拟现实;算力租赁;低空经济;东数西算(算力);融资融券,300949,33
600022.SH,9,特钢概念;国企改革;人工智能;工业互联网;机器人概念;融资融券;核电;风电;沪股通,600022,17
002340.SZ,33,金属钴;金属镍;小金属概念;金属铜;钠离子电池;金属回收;动力电池回收;黄金概念;固态电池;锂电池概念;稀土永磁;石墨烯;宁德时代概念;汽车拆解概念;固废处理;氢能源;储能;燃料电池;污水处理;一带一路;碳中和;垃圾分类;粤港澳大湾区;比亚迪概念;土壤修复;新能源汽车;特斯拉概念;专精特新;低空经济;机器人概念;人形机器人;深股通;融资融券,002340,33
600351.SH,11,维生素;医药电商;流感;仿制药一致性评价;创新药;重组蛋白;幽门螺杆菌概念;农业种植;三胎概念;沪股通;融资融券,600351,17
688004.SH,14,网络安全;数据安全;信创;华为鲲鹏;华为概念;数字孪生;数据要素;人工智能;多模态AI;AIGC概念;在线教育;文化传媒概念;融资融券,688004,17
601825.SH,4,高股息精选;跨境支付(CIPS);融资融券;沪股通,601825,17
603817.SH,8,PPP概念;垃圾分类;绿色电力;福建自贸区;污水处理;固废处理;国企改革;海峡两岸,603817,17
002011.SZ,18,空气能热泵;汽车热管理;冷链物流;创投;储能;冰雪产业;新能源汽车;核电;宁德时代概念;高铁;比亚迪概念;雄安新区;军工;华为概念;数据中心(AIDC);液冷服务器;融资融券;深股通,002011,33
002416.SZ,20,参股保险;互联网金融;创投;锂电池概念;区块链;人工智能;粤港澳大湾区;AI智能体;新能源汽车;物联网;阿里巴巴概念;储能;虚拟现实;算力租赁;东数西算(算力);高股息精选;消费电子概念;苹果概念;深股通;融资融券,002416,33
603569.SH,13,统一大市场;中俄贸易概念;航运概念;雄安新区;一带一路;智能物流;数字经济;数据要素;动力电池回收;比亚迪概念;无人驾驶;储能;沪股通,603569,17
601065.SH,8,国企改革;工业互联网;海峡两岸;储能;锂电池概念;盐湖提锂;沪股通;融资融券,601065,17
600386.SH,10,文化传媒概念;物业管理;京津冀一体化;汽车拆解概念;独角兽概念;国企改革;动力电池回收;新能源汽车;充电桩;融资融券,600386,17
000897.SZ,4,雄安新区;天津自贸区;国企改革;京津冀一体化,000897,33
002689.SZ,7,ST板块;中俄贸易概念;工业互联网;风电;机器人概念;航空发动机;机器视觉,002689,33
002641.SZ,13,地下管网;新型城镇化;京津冀一体化;水利;共同富裕示范区;天然气;光伏建筑一体化;机器人概念;储能;光伏概念;工业互联网;融资融券;深股通,002641,33
920195.BJ,9,两轮车;特斯拉概念;长安汽车概念;融资融券;比亚迪概念;新能源汽车;人民币贬值受益;专精特新;一带一路,920195,151
300575.SZ,2,人民币贬值受益;创新药,300575,33
002314.SZ,16,物业管理;统一大市场;跨境电商;智能物流;天然气;冷链物流;国企改革;一带一路;车联网(车路协同);国产航母;粤港澳大湾区;海工装备;绿色电力;专精特新;储能;深股通,002314,33
002302.SZ,15,装配式建筑;水泥概念;雄安新区;国企改革;西部大开发;新疆振兴;同花顺中特估100;一带一路;央企国企改革;数字经济;核电;风电;3D打印;深股通;融资融券,002302,33
000715.SZ,2,IP经济(谷子经济);乡村振兴,000715,33
603556.SH,11,电力物联网;智能电网;DeepSeek概念;物联网;充电桩;储能;光伏概念;一带一路;人民币贬值受益;沪股通;融资融券,603556,17
600567.SH,17,参股银行;污水处理;固废处理;生物质能发电;一带一路;碳交易;数字经济;智能物流;创投;碳中和;工业互联网;储能;无人驾驶;比亚迪概念;小米概念;沪股通;融资融券,600567,17
600682.SH,10,民营医院;细胞免疫治疗;基因测序;创新药;养老概念;IP经济(谷子经济);物业管理;机器人概念;沪股通;融资融券,600682,17
002746.SZ,5,养鸡;预制菜;乡村振兴;深股通;融资融券,002746,33
600981.SH,20,参股保险;物业管理;预制菜;参股券商;垃圾分类;三胎概念;乡村振兴;统一大市场;跨境电商;国企改革;冷链物流;中俄贸易概念;医疗器械概念;期货概念;绿色电力;蚂蚁集团概念;创投;一带一路;海工装备;沪股通,600981,17
600518.SH,8,医药电商;维生素;民营医院;医疗器械概念;智能医疗;粤港澳大湾区;融资融券;沪股通,600518,17
603189.SH,35,云办公;ST板块;在线教育;华为鲲鹏;智慧政务;华为欧拉;国产操作系统;人脸识别;MR(混合现实);云计算;数字乡村;虚拟数字人;信创;智慧城市;鸿蒙概念;安防;空间计算;元宇宙;AIGC概念;AI智能体;阿里巴巴概念;腾讯概念;虚拟现实;物联网;数字孪生;多模态AI;AI视频;人工智能;华为概念;上海自贸区;创投;乡村振兴;5G;低空经济;无人机,603189,22
000926.SZ,7,装配式建筑;新型城镇化;文化传媒概念;碳交易;碳中和;融资融券;华为概念,000926,33
600778.SH,5,跨境电商;新疆振兴;西部大开发;免税店;一带一路,600778,17
002227.SZ,17,钒电池;换电概念;ST板块;风电;充电桩;粤港澳大湾区;人工智能;虚拟电厂;阿里巴巴概念;储能;智能电网;核电;柔性直流输电;特高压;高压快充;比亚迪概念;数据中心(AIDC),002227,33
300318.SZ,8,猴痘概念;肝炎概念;流感;生物疫苗;三胎概念;医疗器械概念;京津冀一体化;深股通,300318,33
000812.SZ,10,民营医院;物业管理;职业教育;西部大开发;烟草;创投;在线教育;信托概念;参股券商;融资融券,000812,33
002146.SZ,12,特色小镇;物业管理;旅游概念;PPP概念;养老概念;京津冀一体化;雄安新区;一带一路;创投;低空经济;深股通;融资融券,002146,33
300448.SZ,24,电力物联网;华为鲲鹏;多模态AI;云计算;鸿蒙概念;百度概念;AI智能体;AI应用;数据要素;人脸识别;安防;物联网;ETC;智慧城市;车联网(车路协同);区块链;人工智能;数字经济;机器视觉;芯片概念;AI眼镜;创投;智能医疗;深股通,300448,33
601933.SH,11,预制菜;统一大市场;IP经济(谷子经济);冷链物流;跨境电商;福建自贸区;腾讯概念;股权转让(并购重组);海峡两岸;沪股通;融资融券,601933,17
605336.SH,4,智能家居;DeepSeek概念;家用电器;ST板块,605336,22
688623.SH,7,机器视觉;专精特新;比亚迪概念;传感器;锂电池概念;沪股通;融资融券,688623,17
603288.SH,4,超级品牌;同花顺漂亮100;沪股通;融资融券,603288,17
688035.SH,33,存储芯片;国家大基金持股;先进封装;芯片概念;PCB概念;柔性屏(折叠屏);苹果概念;消费电子概念;有机硅概念;液冷服务器;HJT电池;智能穿戴;无线耳机;MR(混合现实);TOPCON电池;小米概念;光伏概念;数据中心(AIDC);专精特新;华为概念;石墨烯;固态电池;锂电池概念;宁德时代概念;新能源汽车;高端装备;储能;机器人概念;人形机器人;高铁;玻璃基板;沪股通;融资融券,688035,17
301361.SZ,9,虚拟电厂;智能电网;数据中心(AIDC);储能;专精特新;海工装备;传感器;锂电池概念;融资融券,301361,33
603091.SH,6,可降解塑料;人民币贬值受益;跨境电商;乡村振兴;沪股通;融资融券,603091,17
300482.SZ,22,芬太尼;基因测序;猴痘概念;流感;宠物经济;辅助生殖;肝炎概念;智能医疗;工业大麻;幽门螺杆菌概念;AI应用;医药电商;三胎概念;DeepSeek概念;医疗器械概念;食品安全;腾讯概念;人工智能;粤港澳大湾区;芯片概念;深股通;融资融券,300482,33
688607.SH,6,传感器;智能医疗;人工智能;AI应用;宠物经济;融资融券,688607,17
300578.SZ,21,Web3.0;虚拟数字人;AI视频;云办公;空间计算;多模态AI;在线教育;元宇宙;信创;鸿蒙概念;AI应用;国产操作系统;数字经济;DeepSeek概念;人工智能;东数西算(算力);虚拟现实;华为概念;智能医疗;数据中心(AIDC);5G,300578,33
002142.SZ,4,证金持股;共同富裕示范区;深股通;融资融券,002142,33
600897.SH,5,国企改革;福建自贸区;海峡两岸;沪股通;融资融券,600897,17
002275.SZ,7,高股息精选;仿制药一致性评价;流感;创新药;西部大开发;深股通;融资融券,002275,33
688466.SH,8,净水概念;DeepSeek概念;AI智能体;污水处理;京津冀一体化;碳中和;专精特新;融资融券,688466,17
001237.SZ,9,注册制次新股;家用电器;跨境电商;人民币贬值受益;医疗器械概念;一带一路;高端装备;新股与次新股;融资融券,001237,33
603042.SH,13,光纤概念;F5G概念;铜缆高速连接;WiFi 6;5G;数据中心(AIDC);芯片概念;华为概念;物联网;智慧城市;智能医疗;互联网金融;融资融券,603042,17
301059.SZ,3,有机硅概念;专精特新;融资融券,301059,33
603737.SH,5,海峡两岸;DeepSeek概念;商业航天;沪股通;融资融券,603737,17
301231.SZ,16,AI视频;短剧游戏;ChatGPT概念;在线教育;AIGC概念;文化传媒概念;AI应用;阿里巴巴概念;AI智能体;IP经济(谷子经济);DeepSeek概念;人工智能;跨境电商;三胎概念;西部大开发;融资融券,301231,33
920475.BJ,10,一带一路;虚拟现实;数字孪生;金属铜;机器人概念;融资融券;智能物流;无人驾驶;专精特新;AIGC概念,920475,151
002725.SZ,10,5G;芯片概念;新能源汽车;碳纤维;人民币贬值受益;燃料电池;中俄贸易概念;一带一路;共同富裕示范区;股权转让(并购重组),002725,33
002612.SZ,13,中韩自贸区;毛发医疗;三胎概念;IP经济(谷子经济);网红经济;医美概念;民营医院;C2M概念;医疗器械概念;虚拟数字人;牙科医疗;融资融券;深股通,002612,33
300755.SZ,4,跨境电商;西部大开发;融资融券;深股通,300755,33
603208.SH,4,养老概念;新型城镇化;共同富裕示范区;安防,603208,17
688169.SH,10,家用电器;机器人概念;人工智能;DeepSeek概念;智能家居;人民币贬值受益;小米概念;同花顺出海50;沪股通;融资融券,688169,17
300612.SZ,31,小红书概念;虚拟数字人;Web3.0;AIGC概念;NFT概念;ChatGPT概念;快手概念;文化传媒概念;拼多多概念;AI应用;智慧政务;元宇宙;AI智能体;数字乡村;多模态AI;区块链;数字经济;百度概念;抖音概念(字节概念);网红经济;阿里巴巴概念;腾讯概念;DeepSeek概念;人工智能;体育产业;京津冀一体化;乡村振兴;长安汽车概念;机器视觉;数据中心(AIDC);融资融券,300612,33
002668.SZ,8,跨境电商;家用电器;一带一路;智能家居;人民币贬值受益;人工智能;深股通;融资融券,002668,33
002818.SZ,8,网红经济;高股息精选;西部大开发;互联网金融;鸿蒙概念;智能家居;军工;深股通,002818,33
002991.SZ,1,深股通,002991,33
002802.SZ,4,海峡两岸;风电;国企改革;股权转让(并购重组),002802,33
002788.SZ,10,医药电商;冷链物流;养老概念;医疗器械概念;智能医疗;福建自贸区;海峡两岸;人工智能;医美概念;深股通,002788,33
300475.SZ,13,存储芯片;芯片概念;东数西算(算力);数据中心(AIDC);2026一季报预增;抖音概念(字节概念);腾讯概念;粤港澳大湾区;阿里巴巴概念;人民币贬值受益;家用电器;深股通;融资融券,300475,33
003000.SZ,6,人造肉;网红经济;乡村振兴;一带一路;海峡两岸;深股通,003000,33
603970.SH,7,农业种植;供销社;草甘膦;乡村振兴;京津冀一体化;农机;无人机,603970,17
300915.SZ,2,IP经济(谷子经济);融资融券,300915,33
301318.SZ,13,人脸识别;AI应用;在线教育;腾讯概念;信创;云办公;人工智能;物联网;跨境电商;粤港澳大湾区;一带一路;消费电子概念;融资融券,301318,33
600697.SH,12,物业管理;冷链物流;跨境电商;旅游概念;免税店;体育产业;冰雪产业;中俄贸易概念;国企改革;数字经济;阿里巴巴概念;黄金概念,600697,17
600775.SH,18,脑机接口;智慧城市;人工智能;工业互联网;军工;东数西算(算力);无人机;卫星导航;机器人概念;储能;商业航天;新型工业化;央企国企改革;国企改革;汽车电子;消费电子概念;沪股通;融资融券,600775,17
688575.SH,10,肝炎概念;猴痘概念;辅助生殖;基因测序;智能医疗;医疗器械概念;DeepSeek概念;脑机接口;沪股通;融资融券,688575,17
688709.SH,18,存储芯片;MCU芯片;汽车芯片;芯片概念;商业航天;量子科技;东数西算(算力);军工;无人驾驶;脑机接口;机器人概念;人工智能;人形机器人;西部大开发;央企国企改革;国企改革;沪股通;融资融券,688709,17
002096.SZ,9,民爆概念;新疆振兴;雅下水电概念;国企改革;一带一路;央企国企改革;军民融合;军工;深股通,002096,33
920422.BJ,2,融资融券;人民币贬值受益,920422,151
300685.SZ,9,创新药;基因测序;医疗器械概念;智能医疗;福建自贸区;海峡两岸;深股通;专精特新;融资融券,300685,33
002926.SZ,5,期货概念;国企改革;西部大开发;融资融券;深股通,002926,33
300760.SZ,11,同花顺漂亮100;宠物经济;医疗器械概念;智能医疗;同花顺出海50;AI应用;DeepSeek概念;AIGC概念;机器人概念;融资融券;深股通,300760,33
300016.SZ,14,基因测序;阿尔茨海默概念;创新药;智能医疗;仿制药一致性评价;医药电商;AI应用;脑机接口;人工智能;京津冀一体化;独角兽概念;创投;专精特新;深股通,300016,33
603536.SH,4,网红经济;预制菜;乡村振兴;一带一路,603536,17
002758.SZ,18,化肥;生态农业;粮食概念;农村电商;农业种植;供销社;俄乌冲突概念;乡村振兴;医药电商;土壤修复;冷链物流;共同富裕示范区;中俄贸易概念;农机;数字乡村;数字经济;无人机;深股通,002758,33
300613.SZ,20,汽车芯片;芯片概念;智能音箱;AI眼镜;消费电子概念;智能穿戴;汽车电子;机器视觉;安防;比亚迪概念;专精特新;人脸识别;东数西算(算力);智能家居;人形机器人;机器人概念;鸿蒙概念;人工智能;深股通;融资融券,300613,33
600722.SH,6,煤化工概念;国企改革;京津冀一体化;风电;融资融券;沪股通,600722,17
301091.SZ,36,数据确权;AI应用;数据要素;智慧政务;多模态AI;百度概念;DeepSeek概念;信创;数字孪生;智慧城市;腾讯概念;国资云;房屋检测;车联网(车路协同);时空大数据;智慧灯杆;雄安新区;新型城镇化;智能物流;建筑节能;地下管网;水利;低空经济;PPP概念;高铁;同花顺新质50;深圳国企改革;无人驾驶;华为概念;无人机;国企改革;粤港澳大湾区;充电桩;虚拟电厂;深股通;融资融券,301091,33
002572.SZ,7,高股息精选;参股券商;养老概念;智能家居;虚拟现实;深股通;融资融券,002572,33
600009.SH,9,证金持股;免税店;同花顺中特估100;上海国企改革;同花顺漂亮100;上海自贸区;国企改革;沪股通;融资融券,600009,17
920149.BJ,8,装配式建筑;股权转让(并购重组);融资融券;新型城镇化;房屋检测;建筑节能;光伏概念;光伏建筑一体化,920149,151
301421.SZ,17,光刻机;PCB概念;芯片概念;消费电子概念;AI眼镜;3D打印;专精特新;机器视觉;无人机;无人驾驶;锂电池概念;机器人概念;安防;医疗器械概念;基因测序;深股通;融资融券,301421,33
688237.SH,7,成飞概念;军工;专精特新;汽车热管理;新能源汽车;工业母机;融资融券,688237,17
301638.SZ,31,虚拟电厂;电力物联网;智能电网;算力租赁;网络安全;东数西算(算力);国产操作系统;多模态AI;数据中心(AIDC);量子科技;区块链;数据要素;AI应用;鸿蒙概念;DeepSeek概念;数字孪生;数字经济;碳中和;人工智能;物联网;注册制次新股;央企国企改革;卫星导航;无人机;粤港澳大湾区;国企改革;传感器;芯片概念;深股通;新股与次新股;融资融券,301638,33
603689.SH,5,天然气;高股息精选;国企改革;氢能源;换电概念,603689,17
603899.SH,5,超级品牌;IP经济(谷子经济);智能物流;沪股通;融资融券,603899,17
600970.SH,12,中字头股票;同花顺中特估100;高股息精选;水泥概念;同花顺出海50;央企国企改革;国企改革;绿色电力;DeepSeek概念;风电;沪股通;融资融券,600970,17
601901.SH,5,期货概念;证金持股;互联网金融;沪股通;融资融券,601901,17
920021.BJ,27,AI视频;京津冀一体化;先进封装;AI应用;6G概念;卫星导航;冰雪产业;体育产业;商业航天;虚拟数字人;足球概念;融资融券;芯片概念;腾讯概念;短剧游戏;知识产权保护;毫米波雷达;智能穿戴;文化传媒概念;军民融合;军工;低空经济;人工智能;DeepSeek概念;AI智能体;AIGC概念;5G,920021,151
920395.BJ,6,融资融券;消费电子概念;小米概念;安防;华为概念;华为手机,920395,151
300702.SZ,5,医药电商;合成生物;CRO概念;人民币贬值受益;深股通,300702,33
601236.SH,5,期货概念;国企改革;西部大开发;沪股通;融资融券,601236,17
