股票代码,所属概念数量,所属概念,code,market_code
300567.SZ,22,国家大基金持股;存储芯片;中芯国际概念;先进封装;OLED;芯片概念;MiniLED;富士康概念;柔性屏(折叠屏);苹果概念;AI眼镜;MR(混合现实);小米概念;比亚迪概念;机器视觉;虚拟现实;华为概念;宁德时代概念;锂电池概念;深股通;玻璃基板;融资融券,300567,33
688138.SH,9,中芯国际概念;OLED;第三代半导体;芯片概念;专精特新;虚拟现实;先进封装;沪股通;融资融券,688138,17
002467.SZ,28,云办公;Web3.0;云计算;网络安全;智慧政务;信创;语音技术;腾讯概念;AIGC概念;区块链;阿里巴巴概念;虚拟数字人;元宇宙;鸿蒙概念;在线教育;AI智能体;数字经济;数据中心(AIDC);虚拟现实;人工智能;物联网;DeepSeek概念;低空经济;小米概念;网红经济;一带一路;融资融券;深股通,002467,33
601010.SH,2,ST板块;证金持股,601010,22
000524.SZ,22,免税店;NFT概念;旅游概念;IP经济(谷子经济);冰雪产业;预制菜;养老概念;广东自贸区;体育产业;AI应用;物业管理;露营经济;乡村振兴;AI智能体;DeepSeek概念;人工智能;国企改革;粤港澳大湾区;低空经济;股权转让(并购重组);深股通;融资融券,000524,33
603183.SH,9,装配式建筑;建筑节能;新型城镇化;房屋检测;职业教育;碳中和;智慧城市;机器人概念;数据中心(AIDC),603183,17
002677.SZ,7,净水概念;长三角一体化;智能家居;人工智能;家用电器;无人驾驶;深股通,002677,33
600759.SH,7,俄乌冲突概念;天然气;ST板块;土地流转;海南自贸区;一带一路;人民币贬值受益,600759,22
002546.SZ,8,电力物联网;智能电网;虚拟电厂;数据要素;充电桩;物联网;2026中报预增;深股通,002546,33
002152.SZ,43,数字货币;跨境支付(CIPS);区块链;数据确权;智慧政务;国资云;华为鲲鹏;数据安全;鸿蒙概念;互联网金融;网络安全;信创;数据要素;AI智能体;AI应用;Web3.0;百度概念;阿里巴巴概念;DeepSeek概念;华为昇腾;腾讯概念;智慧城市;时空大数据;虚拟数字人;人脸识别;人工智能;车联网(车路协同);独角兽概念;安防;算力租赁;东数西算(算力);华为概念;创投;数据中心(AIDC);机器人概念;机器视觉;国企改革;污水处理;人形机器人;英伟达概念;液冷服务器;深股通;融资融券,002152,33
000948.SZ,47,区块链;在线教育;互联网金融;NFT概念;知识产权保护;鸿蒙概念;财税数字化;智慧政务;AI应用;数字货币;移动支付;数字经济;多模态AI;AI智能体;华为鲲鹏;百度概念;数据安全;DeepSeek概念;元宇宙;信创;阿里巴巴概念;腾讯概念;智慧城市;ETC;人脸识别;人工智能;网络安全;国资云;水利;智能医疗;乡村振兴;语音技术;创投;军工信息化;碳中和;物联网;国企改革;信托概念;西部大开发;军民融合;医疗器械概念;华为概念;军工;数据中心(AIDC);机器视觉;深股通;融资融券,000948,33
600350.SH,9,高股息精选;参股券商;PPP概念;参股银行;国企改革;智慧城市;沪股通;融资融券;绿色电力,600350,17
002512.SZ,24,智慧政务;华为鲲鹏;在线教育;虚拟数字人;智慧城市;鸿蒙概念;数字乡村;数字经济;互联网金融;卫星导航;物联网;人工智能;DeepSeek概念;机器人概念;ST板块;商业航天;福建自贸区;乡村振兴;小米概念;海峡两岸;一带一路;5G;消费电子概念;6G概念,002512,33
600288.SH,24,太赫兹;量子科技;机器视觉;专精特新;无人机;6G概念;机器人概念;华为概念;人工智能;元宇宙;芯片概念;腾讯概念;数据要素;AIGC概念;京津冀一体化;智能医疗;宁德时代概念;AI视频;虚拟数字人;华为手机;眼科医疗;期货概念;融资融券;沪股通,600288,17
603339.SH,8,装配式建筑;海工装备;专精特新;人民币贬值受益;冷链物流;液冷服务器;预制菜;数据中心(AIDC),603339,17
603928.SH,11,丙烯酸;锂电池概念;光刻胶;3D打印;高铁;新能源汽车;芯片概念;在线教育;大飞机;风电;先进封装,603928,17
600488.SH,6,仿制药一致性评价;创新药;辅助生殖;京津冀一体化;数字经济;沪股通,600488,17
