所属概念数量,股票代码,market_code,code,所属概念
11,920367.BJ,151,920367,仿制药一致性评价;人工智能;机器人概念;AI应用;医药电商;流感;融资融券;维生素;创新药;华为鲲鹏;智能医疗
11,300404.SZ,33,300404,幽门螺杆菌概念;CRO概念;细胞免疫治疗;肝炎概念;减肥药;创新药;阿尔茨海默概念;智能医疗;人工智能;DeepSeek概念;专精特新
2,688265.SH,17,688265,辅助生殖;融资融券
7,688137.SH,17,688137,重组蛋白;CRO概念;细胞免疫治疗;流感;合成生物;专精特新;融资融券
12,300862.SZ,33,300862,传感器;商业航天;专精特新;毫米波雷达;华为概念;智慧城市;芯片概念;军工;PM2.5;碳中和;PPP概念;融资融券
7,301520.SZ,33,301520,仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券
9,300937.SZ,33,300937,医药电商;民营医院;智能医疗;西部大开发;数字经济;DeepSeek概念;人工智能;数据要素;融资融券
12,300534.SZ,33,300534,流感;医药电商;三胎概念;创新药;医疗器械概念;中俄贸易概念;食品安全;西部大开发;参股券商;国企改革;专精特新;股权转让(并购重组)
11,301060.SZ,33,301060,基因测序;猴痘概念;辅助生殖;幽门螺杆菌概念;智能医疗;肝炎概念;AI智能体;人工智能;CRO概念;专精特新;融资融券
11,300333.SZ,33,300333,芯片概念;数字货币;网络安全;信创;数据安全;移动支付;鸿蒙概念;数字经济;数据要素;互联网金融;融资融券
8,688496.SH,22,688496,电子纸;ST板块;华为概念;智能家居;专精特新;小米概念;AI眼镜;OLED
35,300603.SZ,33,300603,算力租赁;云计算;网络安全;东数西算(算力);智慧政务;信创;数据确权;时空大数据;阿里巴巴概念;腾讯概念;百度概念;抖音概念(字节概念);数据中心(AIDC);ETC;区块链;智慧城市;数字乡村;AI应用;物联网;车联网(车路协同);安防;华为概念;DeepSeek概念;数字经济;独角兽概念;互联网金融;液冷服务器;5G;文化传媒概念;水利;一带一路;新疆振兴;网红经济;西部大开发;深股通
6,300907.SZ,33,300907,新型工业化;新能源汽车;机器人概念;家用电器;人民币贬值受益;融资融券
3,300931.SZ,33,300931,智慧城市;物联网;融资融券
12,301077.SZ,33,301077,AI智能体;AI应用;跨境电商;人工智能;东数西算(算力);量子科技;储能;专精特新;英伟达概念;算力租赁;深股通;融资融券
31,301165.SZ,33,301165,WiFi 6;共封装光学(CPO);6G概念;5G;液冷服务器;中国AI 50;数据中心(AIDC);东数西算(算力);网络安全;小米概念;信创;云办公;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;国资云;工业互联网;AI智能体;新型工业化;人工智能;快手概念;蚂蚁集团概念;AI应用;AIGC概念;数字经济;智能医疗;一带一路;国企改革;深股通;融资融券
11,301602.SZ,33,301602,宠物经济;智能医疗;医疗器械概念;水利;人工智能;人民币贬值受益;核电;机器人概念;专精特新;深股通;融资融券
19,920190.BJ,151,920190,数据中心(AIDC);乡村振兴;智能穿戴;融资融券;多模态AI;AI智能体;星闪概念;电子竞技;信创;AIGC概念;DeepSeek概念;人工智能;跨境电商;IP经济(谷子经济);WiFi 6;消费电子概念;无线耳机;AI PC;AI眼镜
9,300725.SZ,33,300725,CRO概念;创新药;合成生物;智能医疗;人民币贬值受益;人工智能;AI应用;深股通;融资融券
14,301591.SZ,33,301591,PCB概念;PEEK材料;新能源汽车;比亚迪概念;海工装备;军工;风电;医疗器械概念;核电;专精特新;商业航天;氢能源;卫星导航;融资融券
11,300093.SZ,33,300093,HJT电池;建筑节能;光伏建筑一体化;钙钛矿电池;西部大开发;算力租赁;光伏概念;深股通;风电;绿色电力;摘帽
8,600491.SH,22,600491,PPP概念;装配式建筑;房屋检测;光伏建筑一体化;新型城镇化;ST板块;水利;长三角一体化
11,688796.SH,17,688796,科创次新股;CRO概念;基因测序;注册制次新股;智能医疗;人民币贬值受益;AI智能体;2026中报预增;沪股通;新股与次新股;融资融券
15,600881.SH,17,600881,物业管理;体育产业;水泥概念;参股银行;禽流感;参股券商;医药电商;生物疫苗;国企改革;创新药;医疗器械概念;煤炭概念;沪股通;融资融券;股权转让(并购重组)
10,002172.SZ,33,002172,民营医院;三胎概念;养老概念;冷链物流;医美概念;高压氧舱;毛发医疗;国企改革;脑机接口;股权转让(并购重组)
14,002219.SZ,33,002219,民营医院;养老概念;三胎概念;西部大开发;智能医疗;创新药;AI应用;DeepSeek概念;人工智能;AI智能体;机器人概念;脑机接口;深股通;融资融券
10,002437.SZ,33,002437,仿制药一致性评价;创新药;医药电商;肝炎概念;维生素;民营医院;基因测序;黑龙江自贸区;深股通;融资融券
9,000972.SZ,33,000972,农业种植;乡村振兴;新疆振兴;西部大开发;国企改革;维生素;医疗器械概念;股权转让(并购重组);摘帽
6,000936.SZ,33,000936,创投;国企改革;参股银行;参股券商;深股通;融资融券
13,002081.SZ,33,002081,新型城镇化;光伏建筑一体化;装配式建筑;PPP概念;人工智能;一带一路;数据中心(AIDC);数字孪生;智能家居;深股通;融资融券;芯片概念;第三代半导体
17,002543.SZ,33,002543,净水概念;短剧游戏;空气能热泵;一带一路;创投;AIGC概念;独角兽概念;家用电器;DeepSeek概念;人工智能;氢能源;智能家居;百度概念;粤港澳大湾区;华为概念;深股通;融资融券
