所属概念数量,股票代码,market_code,code,所属概念
6,300878.SZ,33,300878,流感;肝炎概念;民营医院;创新药;医药电商;融资融券
22,300482.SZ,33,300482,芬太尼;流感;医药电商;猴痘概念;工业大麻;肝炎概念;宠物经济;辅助生殖;基因测序;幽门螺杆菌概念;三胎概念;智能医疗;医疗器械概念;AI应用;食品安全;DeepSeek概念;人工智能;腾讯概念;粤港澳大湾区;芯片概念;深股通;融资融券
7,688432.SH,17,688432,存储芯片;中芯国际概念;芯片概念;硅能源;绿色电力;沪股通;融资融券
17,301526.SZ,33,301526,PCB概念;华为手机;5G;消费电子概念;汽车电子;特高压;光伏概念;华为概念;风电;工业互联网;数字经济;绿色电力;一带一路;西部大开发;国企改革;深股通;融资融券
16,300285.SZ,33,300285,共封装光学(CPO);5G;消费电子概念;芯片概念;商业航天;卫星导航;3D打印;新能源汽车;比亚迪概念;宁德时代概念;固态电池;锂电池概念;牙科医疗;氢能源;深股通;融资融券
6,688785.SH,17,688785,中芯国际概念;科创次新股;芯片概念;注册制次新股;新股与次新股;融资融券
13,688551.SH,17,688551,芯片概念;光伏概念;专精特新;储能;华为概念;比亚迪概念;新能源汽车;低空经济;宁德时代概念;固态电池;燃料电池;氢能源;融资融券
10,301098.SZ,33,301098,新型城镇化;土壤修复;足球概念;体育产业;PPP概念;乡村振兴;旅游概念;地下管网;特色小镇;融资融券
7,300835.SZ,33,300835,消费电子概念;稀土永磁;专精特新;数据中心(AIDC);新能源汽车;光伏概念;深股通
4,920526.BJ,151,920526,融资融券;PCB概念;专精特新;芯片概念
11,688665.SH,17,688665,传感器;汽车电子;小米概念;专精特新;新能源汽车;锂电池概念;PM2.5;储能;固态电池;沪股通;融资融券
11,300408.SZ,33,300408,共封装光学(CPO);消费电子概念;5G;光纤概念;小米概念;数据中心(AIDC);华为概念;燃料电池;深股通;证金持股;融资融券
26,300373.SZ,33,300373,第三代半导体;汽车芯片;中芯国际概念;芯片概念;AI眼镜;英伟达概念;5G;高压快充;数据中心(AIDC);光伏概念;小米概念;宁德时代概念;固态电池;比亚迪概念;华为概念;无人机;新能源汽车;储能;充电桩;特斯拉概念;人形机器人;低空经济;深股通;小米汽车;华为汽车;融资融券
15,300606.SZ,33,300606,存储芯片;芯片概念;PCB概念;富士康概念;第三代半导体;柔性屏(折叠屏);消费电子概念;专精特新;3D打印;比亚迪概念;新型工业化;工业母机;机器人概念;高端装备;大飞机
18,688323.SH,17,688323,先进封装;柔性屏(折叠屏);芯片概念;PCB概念;消费电子概念;钙钛矿电池;固态电池;5G;6G概念;专精特新;光伏概念;华为概念;卫星导航;储能;商业航天;军工;风电;融资融券
18,300870.SZ,33,300870,富士康概念;第三代半导体;WiFi 6;液冷服务器;消费电子概念;数据中心(AIDC);无人机;比亚迪概念;华为概念;光伏概念;海峡两岸;充电桩;储能;智能家居;阿里巴巴概念;一带一路;深股通;融资融券
