market_code,所属概念数量,所属概念,股票代码,code
33,12,航空发动机;大飞机;军民融合;商业航天;军工;海工装备;无人机;高端装备;西部大开发;专精特新;融资融券;深股通,300775.SZ,300775
17,6,重组蛋白;创新药;阿尔茨海默概念;2025年报预增;沪股通;融资融券,688336.SH,688336
33,15,汽车拆解概念;低空经济;军民融合;军工;比亚迪概念;华为汽车;特斯拉概念;华为概念;DeepSeek概念;食品安全;机器人概念;小米概念;AI眼镜;深股通;融资融券,300938.SZ,300938
33,9,航空发动机;大飞机;核电;特钢概念;军民融合;军工;专精特新;融资融券;深股通,300855.SZ,300855
33,14,BC电池;HJT电池;TOPCON电池;钙钛矿电池;光伏概念;存储芯片;第三代半导体;专精特新;芯片概念;新能源汽车;汽车电子;商业航天;深股通;融资融券,300842.SZ,300842
17,10,存储芯片;OLED;MicroLED概念;芯片概念;专精特新;机器人概念;粤港澳大湾区;东数西算(算力);沪股通;融资融券,688627.SH,688627
33,11,装配式建筑;地下管网;民营医院;新疆振兴;医美概念;天然气;眼科医疗;创投;智能医疗;西部大开发;人工智能,002524.SZ,002524
33,3,TOPCON电池;互联网金融;光伏概念,002634.SZ,002634
33,3,横琴新区;粤港澳大湾区;啤酒概念,000659.SZ,000659
17,29,云计算;智慧政务;信创;算力租赁;AI智能体;腾讯概念;国资云;阿里巴巴概念;东数西算(算力);区块链;数据要素;DeepSeek概念;数字经济;人工智能;智慧城市;数字孪生;职业教育;华为概念;物联网;军工;数据中心;智能医疗;食品安全;液冷服务器;国企改革;PPP概念;上海国企改革;沪股通;融资融券,600602.SH,600602
17,28,BC电池;钙钛矿电池;HJT电池;TOPCON电池;POE胶膜;固态电池;OLED;光伏概念;锂电池概念;MiniLED;宁德时代概念;消费电子概念;特斯拉概念;先进封装;芯片概念;比亚迪概念;无线耳机;专精特新;储能;长三角一体化;新能源汽车;高铁;高压快充;风电;人工智能;AI应用;沪股通;融资融券,603212.SH,603212
33,9,金属铅;金属锌;黄金概念;小金属概念;乡村振兴;2025年报预增;国企改革;深股通;融资融券,002155.SZ,002155
17,10,钙钛矿电池;HJT电池;TOPCON电池;光伏概念;氢能源;高端装备;专精特新;新型工业化;一带一路;融资融券,603396.SH,603396
17,16,军工;长三角一体化;燃料电池;机器人概念;传感器;小米汽车;新能源汽车;氢能源;人形机器人;创投;比亚迪概念;DeepSeek概念;芯片概念;数据中心;汽车芯片;沪股通,603121.SH,603121
33,5,黄金概念;西部大开发;国企改革;融资融券;深股通,001337.SZ,001337
17,5,中芯国际概念;芯片概念;富士康概念;海峡两岸;一带一路,603163.SH,603163
33,20,共封装光学(CPO);光刻机;第三代半导体;华为海思概念股;芯片概念;5G;6G概念;消费电子概念;汽车电子;比亚迪概念;军工;新能源汽车;专精特新;华为概念;充电桩;央企国企改革;国企改革;中字头股票;融资融券;深股通,003031.SZ,003031
17,9,新能源汽车;一带一路;光伏概念;创投;人民币贬值受益;智能家居;医疗器械概念;智能医疗;沪股通,605288.SH,605288
17,13,国产航母;航空发动机;大飞机;央企国企改革;高端装备;军工;无人机;低空经济;国企改革;西部大开发;同花顺漂亮100;沪股通;融资融券,600893.SH,600893
17,10,国产航母;航空发动机;大飞机;军工;央企国企改革;高端装备;国企改革;西部大开发;沪股通;融资融券,600391.SH,600391
33,4,供销社;乡村振兴;草甘膦;中俄贸易概念,003042.SZ,003042
17,11,共封装光学(CPO);OLED;芯片概念;消费电子概念;宁德时代概念;固态电池;锂电池概念;专精特新;新能源汽车;传感器;沪股通,603052.SH,603052
33,8,存储芯片;先进封装;芯片概念;专精特新;核电;自由贸易港;深股通;融资融券,002119.SZ,002119
33,12,TOPCON电池;HJT电池;第三代半导体;光伏概念;芯片概念;工业母机;AI眼镜;智能穿戴;比亚迪概念;稀土永磁;深股通;融资融券,002943.SZ,002943
33,25,AI应用;快手概念;小红书概念;短剧游戏;AIGC概念;6G概念;虚拟数字人;卫星导航;抖音概念(字节概念);文化传媒概念;阿里巴巴概念;信创;腾讯概念;人工智能;智慧城市;网红经济;智慧灯杆;华为概念;共同富裕示范区;创投;5G;海工装备;专精特新;深股通;融资融券,002115.SZ,002115
17,9,中芯国际概念;OLED;芯片概念;富士康概念;柔性屏(折叠屏);华为概念;海峡两岸;长三角一体化;沪股通,603929.SH,603929
17,4,2025年报预增;芯片概念;专精特新;沪股通,603061.SH,603061
33,25,Web3.0;快手概念;小红书概念;短剧游戏;文化传媒概念;AIGC概念;抖音概念(字节概念);虚拟数字人;云办公;腾讯概念;拼多多概念;IP经济(谷子经济);元宇宙;AI智能体;百度概念;阿里巴巴概念;财税数字化;数字经济;人工智能;区块链;DeepSeek概念;虚拟现实;京津冀一体化;预制菜;AI应用,002995.SZ,002995
17,13,固态电池;小金属概念;宁德时代概念;稀土永磁;芯片概念;专精特新;氢能源;一体化压铸;核电;回购增持再贷款概念;海峡两岸;沪股通;融资融券,603663.SH,603663
33,8,共封装光学(CPO);5G;6G概念;储能;军工;医疗器械概念;一带一路;融资融券,002796.SZ,002796
