股票代码,market_code,所属概念,所属概念数量,code
688220.SH,17,WiFi 6;汽车芯片;星闪概念;阿里巴巴概念;6G概念;5G;芯片概念;智能穿戴;卫星导航;AI眼镜;小米概念;消费电子概念;车联网(车路协同);商业航天;物联网;人工智能;专精特新;人民币贬值受益;沪股通;融资融券,20,688220
300152.SZ,33,ST板块;土壤修复;PPP概念;净水概念;生物质能发电;污水处理;雄安新区;创投;PM2.5;碳中和;燃料电池;氢能源,12,300152
688811.SH,17,科创次新股;商业航天;卫星导航;注册制次新股;核电;军工;智能电网;央企国企改革;国企改革;新股与次新股;融资融券,11,688811
301529.SZ,33,汽车电子;5G;传感器;比亚迪概念;新能源汽车;中俄贸易概念;回购增持再贷款概念;深股通;融资融券,9,301529
688371.SH,17,AI眼镜;小米概念;液冷服务器;华为概念;共封装光学(CPO);脑机接口;一带一路;医疗器械概念;沪股通;融资融券,10,688371
688189.SH,17,流感;仿制药一致性评价;创新药;数字经济;国企改革;融资融券,6,688189
688820.SH,17,科创次新股;先进封装;存储芯片;芯片概念;注册制次新股;新股与次新股;融资融券,7,688820
688808.SH,17,2026一季报预增;注册制次新股;专精特新;芯片概念;科创次新股;新股与次新股;融资融券,7,688808
301306.SZ,33,卫星导航;商业航天;大飞机;军民融合;军工;华为概念;存储芯片;专精特新;西部大开发;融资融券,10,301306
300672.SZ,33,存储芯片;国家大基金持股;汽车芯片;芯片概念;WiFi 6;星闪概念;智能座舱;卫星导航;虚拟现实;机器视觉;东数西算(算力);物联网;专精特新;无人驾驶;车联网(车路协同);鸿蒙概念;机器人概念;人工智能;深股通;股权转让(并购重组);融资融券,21,300672
300210.SZ,33,东数西算(算力);3D打印;机器人概念;新能源汽车;PPP概念;雄安新区;股权转让(并购重组);深股通,8,300210
688418.SH,17,卫星导航;商业航天;6G概念;军工;无人机;低空经济;智慧政务;网络安全;飞行汽车(eVTOL);量子科技;车联网(车路协同);WiFi 6;智慧城市;物联网;5G;华为概念;AI智能体;机器人概念;人工智能;无人驾驶;智慧灯杆;数据中心;DeepSeek概念;华为数字能源;工业互联网;储能;F5G概念;光纤概念;养老概念;一带一路;沪股通;融资融券,32,688418
688549.SH,17,中芯国际概念;国家大基金持股;存储芯片;先进封装;芯片概念;氟化工概念;沪股通;融资融券,8,688549
301517.SZ,33,军工信息化;太赫兹;卫星导航;商业航天;军民融合;6G概念;毫米波雷达;军工;无人机;量子科技;华为海思概念股;5G;铜缆高速连接;消费电子概念;华为概念;共封装光学(CPO);光纤概念;西部大开发;国企改革;深股通;融资融券,21,301517
301217.SZ,33,PET铜箔;PCB概念;固态电池;锂电池概念;宁德时代概念;5G;比亚迪概念;储能;国企改革;深股通;融资融券,11,301217
000790.SZ,33,流感;医药电商;合成生物;创新药;医美概念;眼科医疗;装配式建筑;医疗器械概念;西部大开发;氟化工概念;锂电池概念;融资融券,12,000790
600322.SH,17,物业管理;天津自贸区;国企改革;京津冀一体化;股权转让(并购重组);融资融券,6,600322
002081.SZ,33,新型城镇化;装配式建筑;PPP概念;光伏建筑一体化;长三角一体化;一带一路;深股通;融资融券;第三代半导体;芯片概念;智能家居;人工智能;数据中心;数字孪生,14,002081
603717.SH,17,乡村振兴;雄安新区;PPP概念;生态农业;猪肉;特色小镇;西部大开发;绿色电力;锂电池概念;氟化工概念;钠离子电池,11,603717
000402.SZ,33,特色小镇;物业管理;装配式建筑;参股券商;京津冀一体化;国企改革;碳交易;碳中和;证金持股;深股通;融资融券,11,000402
000567.SZ,33,海南自贸区;化债概念(AMC概念);钒电池;融资融券;深股通,5,000567
600540.SH,17,粮食概念;土地流转;农业种植;新疆振兴;乡村振兴;建筑节能;西部大开发;国企改革;统一大市场;风电;冷链物流,11,600540
002763.SZ,33,跨境电商,1,002763
000783.SZ,33,期货概念;2025年报预增;深股通;融资融券,4,000783
600246.SH,17,存储芯片;卫星导航;毫米波雷达;芯片概念;5G;商业航天;数字经济;创投;京津冀一体化;物业管理;沪股通;融资融券,12,600246
000980.SZ,33,百度概念;新能源汽车;中俄贸易概念;一带一路;深股通;融资融券,6,000980
600379.SH,17,光热发电;特高压;虚拟电厂;智能电网;燃料电池;氢能源;高铁;储能;国企改革;央企国企改革;西部大开发;军工;芯片概念;融资融券,14,600379
603937.SH,17,锂电池概念,1,603937
600158.SH,17,赛马概念;足球概念;冰雪产业;体育产业;旅游概念;文化传媒概念;职业教育;NFT概念;京津冀一体化;国企改革;数字经济;在线教育;数据中心;沪股通;融资融券;中字头股票,16,600158
002235.SZ,33,知识产权保护;数据确权;NFT概念;Web3.0;文化传媒概念;体育产业;区块链;数据要素;网络安全;独角兽概念;蚂蚁集团概念;海峡两岸;福建自贸区;物业管理;比亚迪概念;股权转让(并购重组);融资融券,17,002235
603190.SH,17,一体化压铸;机器人概念;新能源汽车;无人驾驶;特斯拉概念;汽车拆解概念,6,603190
002989.SZ,33,新型城镇化;芯片概念;粤港澳大湾区;人工智能;国企改革;深股通,6,002989
603095.SH,17,高端装备;专精特新;机器视觉;创投;参股银行;华为概念,6,603095
603711.SH,17,共同富裕示范区;互联网金融;创投;沪股通,4,603711
603131.SH,17,卫星导航;商业航天;军工;高端装备;海工装备;工业母机;机器人概念;专精特新;新型工业化;新能源汽车;长三角一体化;人民币贬值受益;沪股通,13,603131
002805.SZ,33,钠离子电池;磷化工;固态电池;锂电池概念;宁德时代概念;比亚迪概念;长安汽车概念;专精特新;融资融券,9,002805
605222.SH,17,柔性直流输电;可控核聚变;特高压;商业航天;海工装备;核电;军工;大飞机;光伏概念;风电;特斯拉概念;机器人概念;充电桩;数据中心;沪股通,15,605222
