code,market_code,股票代码,所属概念数量,所属概念
688403,17,688403.SH,9,存储芯片;先进封装;汽车芯片;OLED;芯片概念;专精特新;人民币贬值受益;沪股通;融资融券
300276,33,300276.SZ,18,长安汽车概念;新型工业化;特斯拉概念;机器人概念;无人驾驶;比亚迪概念;工业互联网;车联网(车路协同);高端装备;人工智能;智能物流;专精特新;军工;宁德时代概念;芯片概念;智能电网;融资融券;深股通
688160,17,688160.SH,9,减速器;人形机器人;新型工业化;机器人概念;物联网;工业互联网;数字经济;沪股通;融资融券
688559,17,688559.SH,29,MicroLED概念;先进封装;苹果概念;第三代半导体;富士康概念;电子纸;PCB概念;消费电子概念;3D打印;BC电池;钙钛矿电池;比亚迪概念;液冷服务器;特斯拉概念;宁德时代概念;固态电池;新能源汽车;新型工业化;飞行汽车(eVTOL);华为概念;光伏概念;锂电池概念;HJT电池;TOPCON电池;储能;医疗器械概念;医美概念;沪股通;融资融券
688757,17,688757.SH,8,先进封装;存储芯片;共封装光学(CPO);芯片概念;光刻胶;新能源汽车;沪股通;融资融券
688319,17,688319.SH,8,专精特新;幽门螺杆菌概念;西部大开发;流感;创新药;生物疫苗;沪股通;融资融券
301458,33,301458.SZ,16,富士康概念;消费电子概念;英伟达概念;智能穿戴;传感器;小米概念;无人机;华为概念;新能源汽车;海峡两岸;高压快充;机器人概念;粤港澳大湾区;家用电器;深股通;融资融券
920190,151,920190.BJ,18,乡村振兴;智能穿戴;跨境电商;融资融券;电子竞技;消费电子概念;星闪概念;无线耳机;多模态AI;信创;人工智能;WiFi 6;IP经济(谷子经济);DeepSeek概念;AI眼镜;AI智能体;AIGC概念;AI PC
301313,33,301313.SZ,29,空间计算;智谱AI;军工信息化;华为鲲鹏;数字孪生;智慧政务;ChatGPT概念;物联网;智慧城市;百度概念;数据要素;车联网(车路协同);数据中心(AIDC);虚拟现实;AI应用;元宇宙;低空经济;AIGC概念;虚拟数字人;人工智能;数字经济;机器人概念;水利;智能医疗;地下管网;污水处理;IP经济(谷子经济);旅游概念;融资融券
301368,33,301368.SZ,11,减速器;人形机器人;飞行汽车(eVTOL);机器人概念;农机;低空经济;智能座舱;新能源汽车;专精特新;深股通;融资融券
920425,151,920425.BJ,10,2025年报预增;西部大开发;融资融券;苹果概念;机器视觉;消费电子概念;机器人概念;专精特新;MiniLED;AI眼镜
920247,151,920247.BJ,19,飞行汽车(eVTOL);高铁;长安汽车概念;融资融券;航空发动机;海工装备;比亚迪概念;机器人概念;有机硅概念;无人驾驶;新能源汽车;成飞概念;大飞机;军工;人形机器人;低空经济;专精特新;京津冀一体化;PEEK材料
301196,33,301196.SZ,17,光纤概念;消费电子概念;新型烟草(电子烟);专精特新;新能源汽车;海峡两岸;储能;机器人概念;PEEK材料;福建自贸区;家用电器;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券
920394,151,920394.BJ,14,长安汽车概念;华为汽车;体育产业;高铁;风电;融资融券;特高压;比亚迪概念;无人机;新能源汽车;大飞机;国企改革;低空经济;专精特新
600303,17,600303.SH,5,长安汽车概念;燃料电池;新能源汽车;氢能源;军工
600586,17,600586.SH,8,光伏建筑一体化;建筑节能;钙钛矿电池;光伏概念;一带一路;特斯拉概念;融资融券;沪股通
002354,33,002354.SZ,44,小红书概念;短剧游戏;快手概念;AI视频;AI语料;虚拟数字人;Web3.0;文化传媒概念;在线教育;AIGC概念;ChatGPT概念;多模态AI;AI应用;数据确权;网络游戏;手机游戏;IP经济(谷子经济);电子竞技;抖音概念(字节概念);元宇宙;数据要素;AI智能体;百度概念;腾讯概念;云计算;信创;数字经济;DeepSeek概念;数字孪生;人工智能;跨境电商;算力租赁;智能医疗;虚拟电厂;乡村振兴;虚拟现实;东数西算(算力);机器人概念;机器视觉;人形机器人;MR(混合现实);芯片概念;深股通;融资融券
002877,33,002877.SZ,4,工业互联网;人工智能;新型工业化;专精特新
688322,17,688322.SH,32,同花顺新质50;人形机器人;英伟达概念;传感器;智能座舱;机器视觉;MLOps概念;新型工业化;芯片概念;3D打印;消费电子概念;无人驾驶;机器人概念;虚拟现实;新能源汽车;东数西算(算力);专精特新;华为概念;空间计算;数字孪生;元宇宙;阿里巴巴概念;人脸识别;移动支付;蚂蚁集团概念;人工智能;粤港澳大湾区;虚拟数字人;智能物流;在线教育;沪股通;融资融券
000520,33,000520.SZ,3,航运概念;统一大市场;一带一路
002183,33,002183.SZ,39,卫星导航;数据中心(AIDC);东数西算(算力);5G;存储芯片;芯片概念;消费电子概念;商业航天;华为概念;充电桩;无人机;云计算;储能;信创;低空经济;粤港澳大湾区;新能源汽车;国产操作系统;华为鲲鹏;鸿蒙概念;人工智能;锂电池概念;金属回收;DeepSeek概念;智能物流;创投;一带一路;跨境支付(CIPS);智能医疗;深圳国企改革;冷链物流;国企改革;物业管理;统一大市场;乳业;医药电商;白酒概念;深股通;融资融券
002631,33,002631.SZ,8,石墨烯;长三角一体化;柔性屏(折叠屏);C2M概念;核污染防治;智能家居;工业互联网;融资融券
600063,17,600063.SH,10,水泥概念;国企改革;光伏概念;储能;参股券商;水利;专精特新;融资融券;股权转让(并购重组);沪股通
603135,17,603135.SH,7,高端装备;新型工业化;机器人概念;中俄贸易概念;数字经济;沪股通;融资融券
000759,33,000759.SZ,15,免税店;预制菜;IP经济(谷子经济);统一大市场;农业种植;冷链物流;跨境电商;乡村振兴;国企改革;可降解塑料;抖音概念(字节概念);腾讯概念;智能物流;一带一路;深股通
603725,17,603725.SH,7,装配式建筑;长安汽车概念;创投;机器人概念;比亚迪概念;新能源汽车;专精特新
603065,17,603065.SH,3,专精特新;光伏概念;职业教育
001256,33,001256.SZ,3,共同富裕示范区;专精特新;长三角一体化
603270,17,603270.SH,15,减速器;人形机器人;飞行汽车(eVTOL);机器人概念;比亚迪概念;专精特新;新能源汽车;燃料电池;低空经济;碳纤维;氢能源;商业航天;风电;沪股通;融资融券
002361,33,002361.SZ,16,航空发动机;卫星导航;商业航天;军民融合;军工;无人机;3D打印;低空经济;高端装备;高铁;石墨烯;污水处理;国企改革;深股通;股权转让(并购重组);融资融券
002903,33,002903.SZ,17,富士康概念;苹果概念;第三代半导体;工业母机;芯片概念;消费电子概念;同花顺新质50;军工;专精特新;新型工业化;比亚迪概念;小米概念;新能源汽车;减速器;华为概念;机器人概念;融资融券
603360,17,603360.SH,7,存储芯片;机器人概念;芯片概念;人民币贬值受益;消毒剂;光刻机;沪股通
002892,33,002892.SZ,15,华为汽车;工业母机;新型工业化;机器人概念;智能家居;小米概念;新能源汽车;人民币贬值受益;无人机;3D打印;华为概念;专精特新;粤港澳大湾区;深股通;融资融券
002138,33,002138.SZ,27,共封装光学(CPO);PCB概念;6G概念;5G;无线充电;汽车电子;AI眼镜;芯片概念;消费电子概念;智能穿戴;数据中心(AIDC);传感器;小米概念;华为概念;光伏概念;无人机;新能源汽车;储能;深股通;融资融券;物联网;机器人概念;固态电池;燃料电池;创投;移动支付;回购增持再贷款概念
