所属概念,所属概念数量,market_code,code,股票代码
股权转让(并购重组);光伏建筑一体化;横琴新区;装配式建筑;风电;元宇宙;一带一路;虚拟现实;国企改革;智慧城市;粤港澳大湾区;智能穿戴;AI眼镜;深股通;摘帽,15.0,33,002047,002047.SZ
租售同权;蚂蚁集团概念;数字经济;创投;国企改革;DeepSeek概念;融资融券;沪股通,8.0,17,600604,600604.SH
横琴新区;人民币贬值受益;家用电器;华为汽车;新能源汽车;MiniLED;摘帽,7.0,33,002005,002005.SZ
央企国企改革;物业管理;国企改革;深股通,4.0,33,000720,000720.SZ
新型城镇化;光伏建筑一体化;装配式建筑;PPP概念;人工智能;一带一路;数据中心(AIDC);数字孪生;智能家居;深股通;融资融券;芯片概念;第三代半导体,13.0,33,002081,002081.SZ
职业教育;水利;垃圾分类;污水处理;乡村振兴;新疆振兴;一带一路;统一大市场;智慧城市;冷链物流;海峡两岸;人工智能;国企改革;航运概念;ETC;网约车;农村电商;军工;氢能源;车联网(车路协同);燃料电池;天然气;机器人概念;充电桩;储能;卫星导航;新能源汽车;宁德时代概念,28.0,33,002682,002682.SZ
文化传媒概念;IP经济(谷子经济);旅游概念,3.0,33,000802,000802.SZ
参股券商;新型城镇化;国企改革;旅游概念;京津冀一体化;创投;时空大数据;卫星导航;商业航天;沪股通;融资融券,11.0,17,600266,600266.SH
租售同权;物业管理;特色小镇;证金持股;养老概念;乡村振兴;共同富裕示范区;海峡两岸;深股通;融资融券;固态电池,11.0,33,002244,002244.SZ
合成生物;数据要素;粤港澳大湾区;一带一路;乡村振兴;预制菜;2026中报预增;深股通,8.0,33,001313,001313.SZ
青蒿素;肝炎概念;物业管理;流感;细胞免疫治疗;创新药;合成生物;CRO概念;减肥药;新疆振兴;国企改革;西部大开发;股权转让(并购重组),13.0,17,600721,600721.SH
光热发电;氢能源;燃料电池;虚拟电厂;西部大开发;高铁;智能电网;国企改革;风电;储能;央企国企改革;特高压;军工;芯片概念;融资融券,15.0,17,600379,600379.SH
物业管理;养老概念;装配式建筑;沪股通;融资融券,5.0,17,601155,601155.SH
新型工业化;工业母机;高端装备,3.0,33,002248,002248.SZ
液冷服务器;数据中心(AIDC);核电;海峡两岸;氢能源;超超临界发电;一带一路,7.0,17,603269,603269.SH
云办公;数字货币;电子身份证;数据安全;华为鲲鹏;网络安全;信创;云计算;智慧政务;AI应用;鸿蒙概念;移动支付;Web3.0;阿里巴巴概念;区块链;百度概念;AI智能体;量子科技;DeepSeek概念;人工智能;智慧城市;车联网(车路协同);华为概念;一带一路;军工信息化;新疆振兴;低空经济;无人机;军工;专精特新;MCU芯片;汽车芯片;芯片概念;沪股通,34.0,17,603232,603232.SH
物业管理;沪股通;融资融券;京津冀一体化;养老概念;民营医院;粤港澳大湾区,7.0,17,600162,600162.SH
网约车;旅游概念;股权转让(并购重组);车联网(车路协同);西部大开发;参股银行;低空经济;卫星导航;充电桩;宁德时代概念;天然气;2026中报预增,12.0,33,002357,002357.SZ
丙烯酸;中俄贸易概念;合成生物;人民币贬值受益;维生素;NMN概念;长三角一体化;PEEK材料;仿制药一致性评价;小金属概念;深股通,11.0,33,002562,002562.SZ
啤酒概念;C2M概念;融资融券,3.0,17,603076,603076.SH
机器人概念;人民币贬值受益;高股息精选;沪股通,4.0,17,603277,603277.SH
算力租赁;物业管理;抖音概念(字节概念);文化传媒概念,4.0,17,600234,600234.SH
特色小镇;物业管理;土地流转;创投;养老概念;国企改革;京津冀一体化;旅游概念;沪股通,9.0,17,600683,600683.SH
工业母机;减速器;人形机器人;新型工业化;航空发动机;成飞概念;高端装备;机器人概念;新能源汽车;大飞机;军民融合;数字经济;共同富裕示范区;人民币贬值受益;一带一路;风电;深股通;融资融券,18.0,33,002520,002520.SZ
长安汽车概念;人形机器人;新能源汽车;西部大开发;传感器;消费电子概念;沪股通;融资融券,8.0,17,603758,603758.SH
青蒿素;信托概念;天然气;碳中和;地下管网;氢能源;西部大开发;股权转让(并购重组);储能;深股通;融资融券,11.0,33,000593,000593.SZ
新型工业化;高端装备;一体化压铸;比亚迪概念;垃圾分类;新能源汽车;地下管网;长三角一体化,8.0,17,603289,603289.SH
长安汽车概念;华为汽车;比亚迪概念;小米汽车;小米概念,5.0,33,001260,001260.SZ
