code,market_code,股票代码,所属概念数量,所属概念
688818,17,688818.SH,13,锂电池概念;钠离子电池;光伏概念;燃料电池;固态电池;卫星导航;科创次新股;注册制次新股;新股与次新股;融资融券;国企改革;商业航天;央企国企改革
920180,151,920180.BJ,2,新股与次新股;融资融券
603284,17,603284.SH,6,参股银行;乡村振兴;专精特新;注册制次新股;新股与次新股;融资融券
301025,33,301025.SZ,6,文化传媒概念;知识产权保护;IP经济(谷子经济);抖音概念(字节概念);华为概念;融资融券
300182,33,300182.SZ,30,Sora概念(文生视频);AI语料;快手概念;短剧游戏;AIGC概念;虚拟数字人;ChatGPT概念;多模态AI;华为盘古;NFT概念;AI智能体;抖音概念(字节概念);文化传媒概念;在线教育;华为昇腾;阿里巴巴概念;腾讯概念;百度概念;数据要素;元宇宙;DeepSeek概念;人工智能;数字经济;IP经济(谷子经济);虚拟现实;华为概念;AI应用;小米概念;深股通;融资融券
300749,33,300749.SZ,6,商业航天;海工装备;人工智能;家用电器;回购增持再贷款概念;智能家居
300364,33,300364.SZ,37,Sora概念(文生视频);AI语料;快手概念;短剧游戏;AIGC概念;ChatGPT概念;多模态AI;Web3.0;虚拟数字人;AI智能体;NFT概念;知识产权保护;抖音概念(字节概念);文化传媒概念;在线教育;数据确权;数据要素;阿里巴巴概念;百度概念;腾讯概念;鸿蒙概念;元宇宙;区块链;AI应用;数字乡村;DeepSeek概念;职业教育;人工智能;数字经济;IP经济(谷子经济);虚拟现实;华为概念;京津冀一体化;乡村振兴;同花顺出海50;深股通;融资融券
301231,33,301231.SZ,14,ChatGPT概念;AI智能体;在线教育;文化传媒概念;阿里巴巴概念;DeepSeek概念;IP经济(谷子经济);人工智能;跨境电商;三胎概念;西部大开发;AI应用;回购增持再贷款概念;融资融券
300528,33,300528.SZ,4,短剧游戏;文化传媒概念;国企改革;深股通
301085,33,301085.SZ,22,算力租赁;快手概念;抖音概念(字节概念);小红书概念;腾讯概念;东数西算(算力);华为昇腾;阿里巴巴概念;百度概念;智慧政务;AI智能体;华为鲲鹏;数据中心;数字经济;华为概念;富士康概念;DeepSeek概念;共封装光学(CPO);京津冀一体化;一带一路;深股通;融资融券
300251,33,300251.SZ,15,文化传媒概念;抖音概念(字节概念);虚拟数字人;网络游戏;IP经济(谷子经济);AIGC概念;阿里巴巴概念;DeepSeek概念;虚拟现实;英伟达概念;2025年报预增;AI应用;深股通;融资融券;Sora概念(文生视频)
300133,33,300133.SZ,30,Sora概念(文生视频);短剧游戏;智谱AI;AI语料;多模态AI;虚拟数字人;AIGC概念;抖音概念(字节概念);NFT概念;AI智能体;知识产权保护;手机游戏;文化传媒概念;元宇宙;腾讯概念;百度概念;阿里巴巴概念;数据要素;算力租赁;IP经济(谷子经济);东数西算(算力);DeepSeek概念;人工智能;网红经济;华为概念;旅游概念;冰雪产业;融资融券;深股通;AI应用
920021,151,920021.BJ,27,京津冀一体化;先进封装;AI应用;6G概念;卫星导航;冰雪产业;体育产业;商业航天;虚拟数字人;Sora概念(文生视频);芯片概念;5G;足球概念;AIGC概念;DeepSeek概念;AI智能体;智能穿戴;知识产权保护;毫米波雷达;短剧游戏;文化传媒概念;低空经济;军民融合;军工;腾讯概念;人工智能;融资融券
300027,33,300027.SZ,14,短剧游戏;元宇宙;虚拟数字人;文化传媒概念;IP经济(谷子经济);数字经济;网红经济;阿里巴巴概念;抖音概念(字节概念);腾讯概念;旅游概念;特色小镇;深股通;融资融券
300931,33,300931.SZ,3,物联网;智慧城市;融资融券
688519,17,688519.SH,11,共封装光学(CPO);PCB概念;存储芯片;MiniLED;5G;2025年报预增;新能源汽车;专精特新;华为概念;沪股通;融资融券
301548,33,301548.SZ,11,抽水蓄能;风电;核电;海工装备;储能;PEEK材料;生物质能发电;专精特新;芯片概念;海峡两岸;融资融券
300788,33,300788.SZ,16,知识产权保护;AIGC概念;文化传媒概念;抖音概念(字节概念);AI智能体;数据要素;百度概念;IP经济(谷子经济);元宇宙;职业教育;DeepSeek概念;人工智能;三胎概念;国企改革;深股通;中字头股票
