股票代码,所属概念数量,code,market_code,所属概念
920083.BJ,5,920083,151,粤港澳大湾区;共封装光学(CPO);专精特新;新股与次新股;融资融券
300017.SZ,23,300017,33,算力租赁;东数西算(算力);云计算;数据安全;网络安全;华为鲲鹏;多模态AI;数据中心(AIDC);信创;液冷服务器;AI智能体;AIGC概念;元宇宙;虚拟数字人;DeepSeek概念;数字经济;在线教育;人工智能;一带一路;人民币贬值受益;阿尔茨海默概念;深股通;融资融券
688286.SH,15,688286,17,传感器;智能穿戴;专精特新;物联网;消费电子概念;汽车电子;芯片概念;小米概念;机器人概念;AI眼镜;人形机器人;无线耳机;新型烟草(电子烟);中芯国际概念;融资融券
300684.SZ,28,300684,33,AI PC;富士康概念;液冷服务器;消费电子概念;共封装光学(CPO);5G;苹果概念;汽车电子;无线充电;同花顺果指数;智能座舱;小米概念;数据中心(AIDC);MR(混合现实);华为概念;比亚迪概念;虚拟现实;光伏概念;无人机;新能源汽车;充电桩;储能;汽车热管理;石墨烯;一带一路;京津冀一体化;融资融券;深股通
688485.SH,5,688485,17,光纤概念;芯片概念;专精特新;京津冀一体化;融资融券
688662.SH,7,688662,17,共封装光学(CPO);芯片概念;5G;储能;消费电子概念;沪股通;融资融券
300404.SZ,11,300404,33,幽门螺杆菌概念;CRO概念;细胞免疫治疗;肝炎概念;减肥药;创新药;阿尔茨海默概念;智能医疗;人工智能;DeepSeek概念;专精特新
301419.SZ,10,301419,33,共封装光学(CPO);富士康概念;5G;存储芯片;液冷服务器;人形机器人;汽车热管理;机器人概念;人民币贬值受益;融资融券
300862.SZ,12,300862,33,传感器;商业航天;专精特新;毫米波雷达;华为概念;智慧城市;芯片概念;军工;PM2.5;碳中和;PPP概念;融资融券
301130.SZ,11,301130,33,流感;猴痘概念;维生素;肝炎概念;细胞免疫治疗;仿制药一致性评价;三胎概念;阿尔茨海默概念;创新药;养老概念;融资融券
300929.SZ,11,300929,33,净水概念;污水处理;雄安新区;乡村振兴;水利;人工智能;PPP概念;专精特新;氢能源;储能;融资融券
300120.SZ,15,300120,33,安防;智慧灯杆;风电;海工装备;人民币贬值受益;PET铜箔;柔性直流输电;特高压;柔性屏(折叠屏);汽车电子;消费电子概念;芯片概念;OLED;股权转让(并购重组);深股通
301160.SZ,7,301160,33,人形机器人;新能源汽车;专精特新;机器人概念;风电;深股通;融资融券
300985.SZ,7,300985,33,石墨烯;天然气;氢能源;锂电池概念;燃料电池;新能源汽车;融资融券
920161.BJ,4,920161,151,柔性直流输电;专精特新;新股与次新股;融资融券
300243.SZ,7,300243,33,PCB概念;固态电池;锂电池概念;磷化工;可降解塑料;风电;合成生物
301489.SZ,21,301489,33,AI手机;富士康概念;AI眼镜;液冷服务器;AI PC;消费电子概念;无线充电;小米概念;华为概念;专精特新;比亚迪概念;小米汽车;新能源汽车;汽车热管理;智能家居;机器人概念;储能;石墨烯;一带一路;深股通;融资融券
688143.SH,12,688143,17,光纤概念;共封装光学(CPO);芯片概念;专精特新;特高压;商业航天;汽车热管理;军工;海工装备;DeepSeek概念;沪股通;融资融券
688635.SH,11,688635,17,科创次新股;光纤概念;注册制次新股;数据中心(AIDC);东数西算(算力);华为概念;商业航天;专精特新;军工;新股与次新股;融资融券
688598.SH,17,688598,17,第三代半导体;光伏概念;小米概念;比亚迪概念;专精特新;新能源汽车;锂电池概念;人形机器人;固态电池;碳纤维;小米汽车;氢能源;低空经济;飞行汽车(eVTOL);钠离子电池;沪股通;融资融券
920699.BJ,5,920699,151,华为概念;融资融券;家用电器;比亚迪概念;东数西算(算力)
301365.SZ,7,301365,33,AIGC概念;人工智能;粤港澳大湾区;创投;新型城镇化;深股通;融资融券
688583.SH,11,688583,17,空间计算;大飞机;阿里巴巴概念;机器人概念;特斯拉概念;专精特新;比亚迪概念;3D打印;宁德时代概念;沪股通;融资融券
300814.SZ,16,300814,33,共封装光学(CPO);铜缆高速连接;先进封装;PCB概念;MiniLED;5G;汽车电子;毫米波雷达;华为数字能源;数据中心(AIDC);新能源汽车;华为概念;华为汽车;一带一路;深股通;融资融券
301348.SZ,14,301348,33,存储芯片;无人机;芯片概念;第三代半导体;华为概念;东数西算(算力);消费电子概念;先进封装;锂电池概念;数据中心(AIDC);粤港澳大湾区;新能源汽车;深股通;融资融券
688379.SH,18,688379,17,共封装光学(CPO);芯片概念;液冷服务器;商业航天;新能源汽车;人形机器人;光伏概念;机器人概念;无人机;高铁;核电;低空经济;锂电池概念;风电;共同富裕示范区;绿色电力;沪股通;融资融券
688449.SH,8,688449,17,存储芯片;汽车芯片;芯片概念;AI PC;物联网;2026中报预增;沪股通;融资融券
300319.SZ,25,300319,33,共封装光学(CPO);消费电子概念;汽车电子;英伟达概念;5G;智能穿戴;AI眼镜;人形机器人;芯片概念;小米概念;存储芯片;比亚迪概念;华为概念;新能源汽车;机器人概念;无人机;东数西算(算力);充电桩;粤港澳大湾区;阿里巴巴概念;储能;深圳国企改革;国企改革;融资融券;深股通
688179.SH,7,688179,17,光刻胶;专精特新;猴痘概念;合成生物;重组蛋白;沪股通;融资融券
301115.SZ,19,301115,33,芯片概念;传感器;光伏概念;特斯拉概念;数字孪生;智慧城市;高铁;食品安全;家用电器;水利;碳中和;一带一路;土壤修复;房屋检测;新型城镇化;风电;光伏建筑一体化;储能;融资融券
000620.SZ,15,000620,33,短剧游戏;数据要素;AI智能体;存储芯片;京津冀一体化;芯片概念;体育产业;IP经济(谷子经济);旅游概念;乡村振兴;参股银行;深股通;MCU芯片;融资融券;数据中心(AIDC)
300209.SZ,8,300209,33,算力租赁;柔性屏(折叠屏);物联网;人民币贬值受益;跨境电商;液冷服务器;2026中报预增;深股通
002628.SZ,9,002628,33,无人驾驶;机器人概念;小金属概念;装配式建筑;西部大开发;新疆振兴;PPP概念;氟化工概念;融资融券
002724.SZ,9,002724,33,智慧城市;物联网;智慧灯杆;粤港澳大湾区;军工;无人机;核电;证金持股;深股通
601609.SH,28,601609,17,稀土永磁;铜缆高速连接;金属铜;金属回收;芯片概念;特高压;可控核聚变;高压快充;苹果概念;PEEK材料;液冷服务器;无人机;光伏概念;比亚迪概念;低空经济;海工装备;东数西算(算力);新能源汽车;高铁;核电;小米汽车;机器人概念;特斯拉概念;人形机器人;人工智能;数字经济;融资融券;沪股通
600829.SH,9,600829,17,医药电商;流感;民营医院;眼科医疗;宠物经济;冷链物流;黑龙江自贸区;医疗器械概念;沪股通
603089.SH,5,603089,17,人民币贬值受益;机器人概念;专精特新;新能源汽车;比亚迪概念
002322.SZ,17,002322,33,电力物联网;数据要素;智能电网;AI应用;信创;东数西算(算力);人工智能;土壤修复;数字孪生;储能;核电;PM2.5;特高压;虚拟现实;无人机;高股息精选;深股通
002774.SZ,6,002774,33,中俄贸易概念;一带一路;粤港澳大湾区;人工智能;物联网;高股息精选
002811.SZ,9,002811,33,装配式建筑;一带一路;IP经济(谷子经济);人工智能;数字经济;AIGC概念;DeepSeek概念;云计算;芯片概念
002658.SZ,19,002658,33,中芯国际概念;航空发动机;核电;氢能源;PM2.5;专精特新;商业航天;芯片概念;固废处理;碳中和;雄安新区;物联网;数字经济;数据要素;AI智能体;DeepSeek概念;京津冀一体化;碳交易;深股通
603118.SH,33,603118,17,F5G概念;WiFi 6;共封装光学(CPO);6G概念;华为海思概念股;5G;汽车芯片;芯片概念;PCB概念;数据中心(AIDC);先进封装;传感器;汽车电子;东数西算(算力);毫米波雷达;华为概念;物联网;粤港澳大湾区;无人驾驶;充电桩;虚拟现实;网络安全;智能座舱;智能家居;人民币贬值受益;机器人概念;工业互联网;基因测序;智能医疗;国企改革;沪股通;股权转让(并购重组);融资融券
002766.SZ,11,002766,33,数据要素;车联网(车路协同);智能座舱;人工智能;无人驾驶;物联网;人民币贬值受益;粤港澳大湾区;消费电子概念;5G;深股通
002989.SZ,6,002989,33,芯片概念;粤港澳大湾区;人工智能;新型城镇化;国企改革;深股通
002907.SZ,13,002907,33,仿制药一致性评价;医药电商;流感;肝炎概念;创新药;维生素;幽门螺杆菌概念;猴痘概念;减肥药;西部大开发;人工智能;工业互联网;深股通
603618.SH,17,603618,17,光纤概念;特高压;PET铜箔;5G;抽水蓄能;智能电网;光伏概念;储能;风电;新能源汽车;锂电池概念;沪股通;石墨烯;共同富裕示范区;PCB概念;2026中报预增;融资融券
603095.SH,7,603095,17,参股银行;高端装备;创投;专精特新;工业互联网;机器视觉;华为概念
002988.SZ,11,002988,33,汽车热管理;建筑节能;华为汽车;智能物流;新能源汽车;比亚迪概念;储能;商业航天;光伏概念;机器人概念;深股通
600487.SH,33,600487,17,光纤概念;F5G概念;共封装光学(CPO);太赫兹;6G概念;液冷服务器;5G;芯片概念;特高压;柔性直流输电;数据中心(AIDC);量子科技;长三角一体化;华为概念;无人驾驶;新能源汽车;军工;海工装备;智能电网;网络安全;小米汽车;人形机器人;水利;风电;机器人概念;智慧城市;沪股通;融资融券;同花顺出海50;DeepSeek概念;一带一路;创投;2026中报预增
603079.SH,3,603079,17,维生素;合成生物;专精特新
002951.SZ,7,002951,33,超级电容;风电;蚂蚁集团概念;储能;数字经济;西部大开发;深股通
003031.SZ,24,003031,33,共封装光学(CPO);光刻机;第三代半导体;6G概念;华为海思概念股;芯片概念;5G;消费电子概念;汽车电子;卫星导航;商业航天;专精特新;比亚迪概念;新能源汽车;华为概念;军工;充电桩;央企国企改革;国企改革;无人机;太赫兹;中字头股票;融资融券;深股通
603989.SH,16,603989,17,5G;液冷服务器;高压快充;数据中心(AIDC);比亚迪概念;新能源汽车;华为概念;充电桩;储能;军工;固态电池;机器人概念;低空经济;沪股通;新疆振兴;融资融券
603115.SH,7,603115,17,汽车电子;数据中心(AIDC);储能;专精特新;高股息精选;2026中报预增;沪股通
600272.SH,5,600272,17,医药电商;民营医院;参股银行;国企改革;2026中报预增
603881.SH,14,603881,17,算力租赁;云计算;东数西算(算力);中国AI 50;国资云;数据中心(AIDC);腾讯概念;百度概念;阿里巴巴概念;液冷服务器;蚂蚁集团概念;国企改革;沪股通;融资融券
002418.SZ,17,002418,33,液冷服务器;数据中心(AIDC);东数西算(算力);算力租赁;石墨烯;充电桩;储能;无人驾驶;汽车热管理;新能源汽车;空气能热泵;锂电池概念;超级电容;动力电池回收;氢能源;家用电器;深股通
603083.SH,14,603083,17,F5G概念;共封装光学(CPO);WiFi 6;5G;液冷服务器;华为概念;物联网;工业互联网;智能家居;人民币贬值受益;一带一路;2026中报预增;沪股通;融资融券
603629.SH,14,603629,17,算力租赁;英伟达概念;东数西算(算力);液冷服务器;腾讯概念;云计算;消费电子概念;华为概念;芯片概念;军工;小米概念;OLED;2026中报预增;沪股通
603177.SH,8,603177,17,固废处理;碳中和;一带一路;燃料电池;氢能源;充电桩;钠离子电池;超超临界发电
603025.SH,18,603025,17,量子科技;国产操作系统;网络安全;人工智能;华为概念;工业互联网;华为鲲鹏;DeepSeek概念;数字经济;机器人概念;新型工业化;东数西算(算力);京津冀一体化;5G;国企改革;芯片概念;沪股通;融资融券
600645.SH,10,600645,17,细胞免疫治疗;重组蛋白;肝炎概念;基因测序;创新药;辅助生殖;牙科医疗;独角兽概念;融资融券;沪股通
603186.SH,18,603186,17,先进封装;PCB概念;MiniLED;芯片概念;消费电子概念;6G概念;5G;毫米波雷达;固态电池;锂电池概念;石墨烯;华为概念;海峡两岸;储能;冷链物流;绿色电力;2026中报预增;沪股通
000831.SZ,8,000831,33,稀土永磁;小金属概念;央企国企改革;国企改革;深股通;同花顺中特估100;中字头股票;融资融券
600353.SH,24,600353,17,光刻机;第三代半导体;先进封装;可控核聚变;5G;特高压;柔性直流输电;核电;航空发动机;东数西算(算力);无人机;军工;智能电网;无人驾驶;军民融合;人形机器人;风电;智慧城市;虚拟电厂;信创;西部大开发;DeepSeek概念;沪股通;融资融券
600769.SH,2,600769,17,国企改革;沪股通
603330.SH,11,603330,17,芯片概念;共封装光学(CPO);消费电子概念;汽车电子;光伏概念;POE胶膜;华为概念;比亚迪概念;专精特新;股权转让(并购重组);融资融券
001260.SZ,5,001260,33,长安汽车概念;华为汽车;比亚迪概念;小米汽车;小米概念
002645.SZ,14,002645,33,稀土永磁;消费电子概念;新能源汽车;高端装备;机器人概念;金属钴;金属回收;汽车拆解概念;金属铜;垃圾分类;固废处理;2026中报预增;深股通;融资融券
600288.SH,24,600288,17,太赫兹;量子科技;机器视觉;专精特新;无人机;6G概念;机器人概念;华为概念;人工智能;元宇宙;芯片概念;腾讯概念;数据要素;AIGC概念;京津冀一体化;智能医疗;宁德时代概念;AI视频;虚拟数字人;华为手机;眼科医疗;期货概念;融资融券;沪股通
603725.SH,7,603725,17,装配式建筑;长安汽车概念;机器人概念;创投;新能源汽车;比亚迪概念;专精特新
002081.SZ,13,002081,33,新型城镇化;光伏建筑一体化;装配式建筑;PPP概念;人工智能;一带一路;数据中心(AIDC);数字孪生;智能家居;深股通;融资融券;芯片概念;第三代半导体
603382.SH,4,603382,17,数字经济;工业互联网;绿色电力;融资融券
002820.SZ,5,002820,33,预制菜;京津冀一体化;天津自贸区;国企改革;超级品牌
600186.SH,10,600186,17,算力租赁;东数西算(算力);AI智能体;DeepSeek概念;智能医疗;土壤修复;粮食概念;超级品牌;融资融券;沪股通
000950.SZ,21,000950,33,医药电商;创新药;医美概念;辅助生殖;减肥药;啤酒概念;冷链物流;股权转让(并购重组);三胎概念;统一大市场;医疗器械概念;养老概念;西部大开发;央企国企改革;智能医疗;国企改革;智能物流;创投;机器人概念;融资融券;深股通
002651.SZ,11,002651,33,西部大开发;军民融合;成飞概念;大飞机;军工;低空经济;高端装备;无人机;机器人概念;商业航天;深股通
600198.SH,24,600198,17,汽车芯片;芯片概念;MCU芯片;5G;卫星导航;智能穿戴;商业航天;量子科技;无人机;核电;网络安全;数据安全;低空经济;车联网(车路协同);智慧城市;智慧政务;移动支付;创投;一带一路;央企国企改革;国企改革;融资融券;股权转让(并购重组);沪股通
600613.SH,2,600613,17,医药电商;流感
600815.SH,10,600815,17,福建自贸区;职业教育;海峡两岸;军工;高端装备;中俄贸易概念;地下管网;智能物流;国企改革;沪股通
000936.SZ,6,000936,33,创投;国企改革;参股银行;参股券商;深股通;融资融券
301072.SZ,3,301072,33,比亚迪概念;新能源汽车;融资融券
002172.SZ,10,002172,33,民营医院;三胎概念;养老概念;冷链物流;医美概念;高压氧舱;毛发医疗;国企改革;脑机接口;股权转让(并购重组)
002726.SZ,3,002726,33,预制菜;猪肉;ST板块
920117.BJ,13,920117,151,MLCC概念;宁德时代概念;钠离子电池;石墨烯;氟化工概念;固态电池;锂电池概念;光伏概念;光刻胶;新股与次新股;融资融券;高端装备;专精特新
300720.SZ,5,300720,33,物联网;芯片概念;融资融券;深股通;股权转让(并购重组)
301599.SZ,14,301599,33,注册制次新股;光刻胶;宁德时代概念;固态电池;锂电池概念;比亚迪概念;工业互联网;芯片概念;高端装备;人工智能;超级电容;深股通;新股与次新股;融资融券
688345.SH,8,688345,17,钠离子电池;固态电池;锂电池概念;储能;两轮车;数据中心(AIDC);机器人概念;融资融券
688646.SH,22,688646,17,固态电池;锂电池概念;芯片概念;比亚迪概念;宁德时代概念;钠离子电池;专精特新;钙钛矿电池;储能;机器视觉;新能源汽车;长安汽车概念;动力电池回收;机器人概念;人形机器人;超级电容;新型工业化;一带一路;智能物流;装配式建筑;融资融券;摘帽
300634.SZ,45,300634,33,云办公;华为昇腾;智谱AI;华为鲲鹏;数据安全;云计算;ChatGPT概念;多模态AI;智慧政务;信创;网络安全;百度概念;抖音概念(字节概念);AIGC概念;鸿蒙概念;阿里巴巴概念;算力租赁;AI智能体;腾讯概念;数据要素;AI应用;虚拟数字人;东数西算(算力);区块链;元宇宙;智慧城市;DeepSeek概念;数据中心(AIDC);车联网(车路协同);数字经济;人工智能;华为概念;虚拟现实;智能医疗;低空经济;5G;无人驾驶;机器人概念;IP经济(谷子经济);6G概念;创投;粤港澳大湾区;飞行汽车(eVTOL);融资融券;深股通
688519.SH,11,688519,17,PCB概念;存储芯片;共封装光学(CPO);MiniLED;5G;新能源汽车;专精特新;华为概念;2026中报预增;沪股通;融资融券
300295.SZ,10,300295,33,数据要素;ST板块;养老概念;人工智能;AI应用;AI智能体;互联网金融;文化传媒概念;DeepSeek概念;租售同权
301123.SZ,17,301123,33,PCB概念;共封装光学(CPO);铜缆高速连接;液冷服务器;消费电子概念;汽车电子;新型烟草(电子烟);小米概念;比亚迪概念;宁德时代概念;新能源汽车;人形机器人;储能;锂电池概念;机器人概念;深股通;融资融券
688503.SH,16,688503,17,光刻胶;OLED;BC电池;芯片概念;HJT电池;TOPCON电池;液冷服务器;汽车电子;5G;光伏概念;专精特新;卫星导航;商业航天;存储芯片;沪股通;融资融券
688137.SH,7,688137,17,重组蛋白;CRO概念;细胞免疫治疗;流感;合成生物;专精特新;融资融券
301479.SZ,15,301479,33,消费电子概念;智能座舱;AI眼镜;小米概念;机器视觉;专精特新;比亚迪概念;无人驾驶;虚拟现实;人形机器人;机器人概念;粤港澳大湾区;智能家居;深股通;融资融券
301396.SZ,31,301396,33,算力租赁;东数西算(算力);云计算;财税数字化;多模态AI;数据中心(AIDC);腾讯概念;智慧政务;信创;ChatGPT概念;AI智能体;数据要素;空间计算;AI应用;DeepSeek概念;华为概念;智慧城市;安防;数字经济;MR(混合现实);物联网;智能医疗;职业教育;人工智能;专精特新;新型城镇化;乡村振兴;旅游概念;智能物流;深股通;融资融券
