code,market_code,所属概念,股票代码,所属概念数量
688662,17,共封装光学(CPO);芯片概念;5G;储能;融资融券,688662.SH,5
920932,151,AI应用;知识产权保护;数字经济;新型工业化;碳中和;机器人概念;融资融券;机器视觉;智慧政务;钠离子电池;智慧城市;无人驾驶;物联网;ERP概念;换电概念;工业互联网;储能;华为盘古;人形机器人;人工智能;华为鲲鹏;充电桩;专精特新;华为概念;DeepSeek概念;信创;5G,920932.BJ,27
688358,17,智能医疗;医疗器械概念;AI应用;人工智能;宠物经济;机器人概念;人民币贬值受益;融资融券,688358.SH,8
688368,17,第三代半导体;汽车芯片;芯片概念;MCU芯片;无线充电;汽车电子;小米概念;专精特新;英伟达概念;机器人概念;数据中心;股权转让(并购重组);沪股通;融资融券,688368.SH,14
300041,33,有机硅概念;PVDF概念;锂电池概念;固态电池;宁德时代概念;建筑节能;比亚迪概念;新能源汽车;高铁;光伏概念;芯片概念;2025年报预增;特斯拉概念;小米概念;消费电子概念;先进封装;华为汽车;小米汽车;钙钛矿电池;创投;军工;雄安新区;低空经济;华为海思概念股;BC电池;华为概念;光伏建筑一体化;大飞机;风电;人工智能;深股通;融资融券,300041.SZ,32
300757,33,共封装光学(CPO);光纤概念;富士康概念;苹果概念;华为海思概念股;BC电池;芯片概念;英伟达概念;TOPCON电池;HJT电池;新能源汽车;数据中心;新型工业化;量子科技;光伏概念;高端装备;商业航天;华为概念;工业互联网;股权转让(并购重组);融资融券;深股通,300757.SZ,22
688206,17,存储芯片;芯片概念;专精特新;股权转让(并购重组);沪股通;融资融券,688206.SH,6
301486,33,富士康概念;MR(混合现实);光纤概念;消费电子概念;芯片概念;5G;新型工业化;虚拟现实;比亚迪概念;数据中心;华为概念;抖音概念(字节概念);东数西算(算力);华为昇腾;高端装备;粤港澳大湾区;阿里巴巴概念;股权转让(并购重组);深股通;融资融券,301486.SZ,20
300814,33,共封装光学(CPO);铜缆高速连接;PCB概念;先进封装;5G;MiniLED;华为数字能源;数据中心;毫米波雷达;汽车电子;华为概念;新能源汽车;一带一路;华为汽车;深股通;融资融券,300814.SZ,16
688720,17,国家大基金持股;存储芯片;中芯国际概念;先进封装;光刻胶;PCB概念;芯片概念;OLED;专精特新;2025年报预增;回购增持再贷款概念;融资融券,688720.SH,12
688401,17,先进封装;第三代半导体;MiniLED;OLED;PCB概念;芯片概念;消费电子概念;专精特新;沪股通;融资融券,688401.SH,10
300672,33,国家大基金持股;存储芯片;汽车芯片;WiFi 6;芯片概念;智能座舱;卫星导航;机器视觉;星闪概念;东数西算(算力);专精特新;虚拟现实;物联网;无人驾驶;机器人概念;车联网(车路协同);人工智能;鸿蒙概念;深股通;股权转让(并购重组);融资融券,300672.SZ,21
300825,33,智谱AI;数字孪生;AI智能体;新型工业化;数据要素;多模态AI;人形机器人;人工智能;减速器;数字经济;虚拟现实;DeepSeek概念;车联网(车路协同);机器人概念;低空经济;智能物流;华为概念;长安汽车概念;比亚迪概念;飞行汽车(eVTOL);换电概念;无人驾驶;汽车芯片;农机;京津冀一体化;新能源汽车;算力租赁;智能座舱;东数西算(算力);华为汽车;芯片概念;汽车电子;英伟达概念;燃料电池;乡村振兴;融资融券;深股通,300825.SZ,37
300184,33,华为海思概念股;存储芯片;液冷服务器;6G概念;汽车芯片;5G;MCU芯片;数据中心;芯片概念;PCB概念;消费电子概念;第三代半导体;华为概念;OLED;智能穿戴;腾讯概念;汽车电子;小米概念;传感器;星闪概念;物联网;无线耳机;ETC;电力物联网;智能电网;车联网(车路协同);比亚迪概念;光伏概念;独角兽概念;人工智能;机器人概念;储能;2025年报预增;智能家居;特斯拉概念;跨境电商;融资融券;深股通,300184.SZ,38
688190,17,无线充电;专精特新;新能源汽车;央企国企改革;国企改革;沪股通;融资融券,688190.SH,7
301115,33,光伏概念;芯片概念;传感器;数字孪生;智慧城市;高铁;特斯拉概念;水利;家用电器;碳中和;土壤修复;房屋检测;一带一路;食品安全;新型城镇化;融资融券,301115.SZ,16
300550,33,家庭医生;腾讯概念;鸿蒙概念;AI应用;区块链;DeepSeek概念;云计算;人工智能;智能医疗,300550.SZ,9
301191,33,F5G概念;WiFi 6;6G概念;5G;数据中心;芯片概念;网络安全;汽车电子;华为概念;小米概念;信创;安防;智能座舱;粤港澳大湾区;车联网(车路协同);创投;深股通;融资融券,301191.SZ,18
300163,33,建筑节能;专精特新;人民币贬值受益;摘帽,300163.SZ,4
300976,33,智能穿戴;消费电子概念;芯片概念;小米概念;汽车电子;柔性屏(折叠屏);液冷服务器;虚拟现实;华为概念;苹果概念;比亚迪概念;抖音概念(字节概念);新能源汽车;光伏概念;东数西算(算力);粤港澳大湾区;脑机接口;储能;特斯拉概念;碳纤维;创投;宁德时代概念;深股通;融资融券,300976.SZ,24
688172,17,国家大基金持股;第三代半导体;MCU芯片;芯片概念;传感器;国企改革;沪股通;融资融券,688172.SH,8
301132,33,PCB概念;5G;汽车电子;消费电子概念;无人驾驶;汽车芯片;新能源汽车;车联网(车路协同);智能电网;充电桩;机器人概念;宁德时代概念;深股通;融资融券,301132.SZ,14
920725,151,第三代半导体;6G概念;芯片概念;专精特新;融资融券;培育钻石,920725.BJ,6
301331,33,流感;医药电商;创新药;回购增持再贷款概念;西部大开发;2025年报预增;融资融券,301331.SZ,7
