code,所属概念,所属概念数量,股票代码,market_code
600076,芯片概念;回购增持再贷款概念;碳中和;乡村振兴;碳交易;国企改革;土地流转;融资融券,8,600076.SH,17
600724,共同富裕示范区;水泥概念;国企改革;物业管理;沪股通,5,600724.SH,17
002642,智慧政务;华为鲲鹏;数据安全;网络安全;数字乡村;区块链;国资云;信创;ChatGPT概念;数据要素;云计算;AI智能体;华为昇腾;AI应用;智慧城市;多模态AI;阿里巴巴概念;数字经济;腾讯概念;百度概念;互联网金融;DeepSeek概念;智能医疗;车联网(车路协同);数字孪生;人工智能;物联网;独角兽概念;东数西算(算力);华为概念;星闪概念;虚拟现实;工业互联网;京津冀一体化;电力物联网;数据中心;乡村振兴;新型工业化;基因测序;5G;碳中和;华为数字能源;国企改革;深股通,44,002642.SZ,33
600222,CRO概念;创新药;流感;三胎概念;养老概念;参股银行;农业种植;乡村振兴;国企改革;融资融券;股权转让(并购重组),11,600222.SH,17
000720,光纤概念;国企改革;物业管理;央企国企改革,4,000720.SZ,33
603028,专精特新;机器人概念;创投;人形机器人;光伏概念;光伏建筑一体化;TOPCON电池;AI应用;海工装备;细胞免疫治疗;国企改革;特钢概念;风电,13,603028.SH,17
600480,汽车热管理;小米汽车;华为汽车;飞行汽车(eVTOL);长安汽车概念;人形机器人;特斯拉概念;比亚迪概念;新能源汽车;传感器;无人驾驶;小米概念;低空经济;液冷服务器;宁德时代概念;商业航天;核电;储能;锂电池概念;水利;京津冀一体化;雄安新区;回购增持再贷款概念;地下管网;国企改革;央企国企改革;沪股通;融资融券,28,600480.SH,17
600984,一带一路;西部大开发;国企改革,3,600984.SH,17
605169,天然气;新疆振兴;西部大开发,3,605169.SH,17
600748,养老概念;物业管理;上海国企改革;土地流转;国企改革;长三角一体化;沪股通;融资融券,8,600748.SH,17
002798,智能家居;回购增持再贷款概念;西部大开发;人工智能;DeepSeek概念;华为概念;绿色电力;股权转让(并购重组),8,002798.SZ,33
603878,核电;光热发电;海工装备;氢能源;超超临界发电,5,603878.SH,17
603278,商业航天;风电;人形机器人;高端装备;海峡两岸;一带一路;生物质能发电;绿色电力,8,603278.SH,17
000678,股权转让(并购重组);减速器;农机;军民融合;军工;新能源汽车;一带一路;人民币贬值受益;比亚迪概念;国企改革;深股通;融资融券,12,000678.SZ,33
002624,云游戏;短剧游戏;电子竞技;英伟达概念;AIGC概念;手机游戏;NFT概念;网络游戏;虚拟数字人;AI智能体;元宇宙;AI应用;文化传媒概念;区块链;IP经济(谷子经济);鸿蒙概念;虚拟现实;华为概念;人工智能;深股通;融资融券,21,002624.SZ,33
000782,军工,1,000782.SZ,33
600589,算力租赁;云计算;东数西算(算力);数据中心;融资融券;股权转让(并购重组);沪股通,7,600589.SH,17
600992,国企改革;西部大开发;海工装备;国产航母;军工;商业航天,6,600992.SH,17
002474,数据要素;智慧政务;Web3.0;在线教育;AI应用;区块链;云办公;鸿蒙概念;华为鲲鹏;数据安全;数字经济;智慧城市;网络安全;信创;人工智能;物联网;虚拟现实;安防;华为概念;电力物联网;福建自贸区;物业管理;海峡两岸;智能电网;军工信息化;军工;核污染防治;融资融券,28,002474.SZ,33
600683,特色小镇;土地流转;物业管理;旅游概念;养老概念;国企改革;创投;京津冀一体化,8,600683.SH,17
603937,锂电池概念,1,603937.SH,17
