所属概念,所属概念数量,market_code,股票代码,code
有机硅概念;新股与次新股;融资融券,3,151,920012.BJ,920012
人民币贬值受益;机器人概念;无人机;低空经济;军工;注册制次新股;减速器;新股与次新股;融资融券,9,33,301696.SZ,301696
存储芯片;汽车芯片;先进封装;芯片概念;5G;传感器;比亚迪概念;专精特新;无人驾驶;东数西算(算力);卫星导航;阿里巴巴概念;沪股通;融资融券,14,17,688135.SH,688135
注册制次新股;汽车热管理;储能;宁德时代概念;锂电池概念;新能源汽车;华为概念;专精特新;深股通;新股与次新股;融资融券,11,33,301667.SZ,301667
PCB概念;华为概念;军工;核电;比亚迪概念;PET铜箔;锂电池概念;氢能源;注册制次新股;国企改革;科创次新股;西部大开发;共封装光学(CPO);新股与次新股;融资融券,15,17,688813.SH,688813
军工信息化;军民融合;量子科技;军工;无人机;低空经济;多模态AI;华为昇腾;时空大数据;人工智能;安防;芯片概念;DeepSeek概念;融资融券,14,17,688081.SH,688081
新能源汽车;专精特新;汽车电子;长安汽车概念;2025年报预增;车联网(车路协同);融资融券,7,17,688667.SH,688667
语音技术;人脸识别;物联网;网络安全;信创;人工智能;粤港澳大湾区;数据安全;互联网金融;区块链;ST板块;百度概念;AI应用;物业管理;股权转让(并购重组),15,33,300561.SZ,300561
固态电池;锂电池概念;宁德时代概念;小金属概念;储能;新能源汽车;医疗器械概念;2026一季报预增;中芯国际概念;芯片概念;华为概念;存储芯片;融资融券;深股通,14,33,300390.SZ,300390
2025年报预增;AI智能体;NFT概念;IP经济(谷子经济);DeepSeek概念;露营经济;跨境电商;家用电器;物联网;超级品牌;融资融券,11,33,301055.SZ,301055
MiniLED;芯片概念;PCB概念;AI眼镜;机器视觉;光伏概念;机器人概念;2025年报预增;锂电池概念;基因测序;融资融券,11,17,688610.SH,688610
PCB概念;华为手机;5G;消费电子概念;特高压;汽车电子;光伏概念;风电;华为概念;一带一路;工业互联网;西部大开发;数字经济;国企改革;绿色电力;深股通;融资融券,17,33,301526.SZ,301526
创投;ST板块,2,33,300225.SZ,300225
光伏概念;专精特新;融资融券,3,33,301373.SZ,301373
注册制次新股;机器人概念;锂电池概念;华为概念;一带一路;无人驾驶;小米概念;东数西算(算力);智能座舱;比亚迪概念;商业航天;卫星导航;智能穿戴;芯片概念;华为手机;汽车电子;MiniLED;消费电子概念;存储芯片;富士康概念;PCB概念;共封装光学(CPO);虚拟现实;新股与次新股;融资融券,25,17,603459.SH,603459
共封装光学(CPO);科创次新股;汽车芯片;5G;芯片概念;MCU芯片;数据中心;海峡两岸;注册制次新股;新股与次新股;融资融券,11,17,688807.SH,688807
专精特新;人民币贬值受益;中俄贸易概念;融资融券,4,33,301125.SZ,301125
2025年报预增;粤港澳大湾区;无人驾驶;数据中心;光纤概念;新股与次新股;融资融券;共封装光学(CPO);人民币贬值受益,9,151,920045.BJ,920045
共封装光学(CPO);PCB概念;5G;毫米波雷达;汽车电子;华为概念;2025年报预增;工业互联网;沪股通;融资融券,10,17,688183.SH,688183
机器人概念;人民币贬值受益;固态电池;氢能源;体育产业,5,33,300819.SZ,300819
商业航天;军工;量子科技;低空经济;可控核聚变;传感器;安防;新型工业化;物联网;海工装备;专精特新;光纤概念;智能电网;水利;虚拟现实;第三代半导体;芯片概念;工业互联网;数字经济;消费电子概念;数据中心;食品安全;医美概念;光伏概念;钙钛矿电池,25,33,300667.SZ,300667
ERP概念;华为概念;数据确权;AIGC概念;新型城镇化;股权转让(并购重组),6,33,300668.SZ,300668
汽车芯片;MCU芯片;MiniLED;存储芯片;先进封装;第三代半导体;WiFi 6;芯片概念;无线耳机;5G;毫米波雷达;新型烟草(电子烟);专精特新;智能家居;粤港澳大湾区;海峡两岸;深股通;融资融券,18,33,300671.SZ,300671
猪肉;预制菜;绿色电力;元宇宙;机器人概念;深股通;摘帽,7,33,002124.SZ,002124
互联网金融;新型工业化,2,17,600527.SH,600527
土地流转;农村电商;养鸡;预制菜;乡村振兴;食品安全;区块链;深股通,8,33,002321.SZ,002321
物业管理;智能家居;国企改革;京津冀一体化;证金持股;沪股通;融资融券;股权转让(并购重组),8,17,600743.SH,600743
共封装光学(CPO);F5G概念;光纤概念;5G;芯片概念;数据中心;2025年报预增;专精特新;沪股通;融资融券,10,17,688313.SH,688313
新型城镇化;PPP概念;水利;抽水蓄能;东数西算(算力);煤炭概念,6,33,000010.SZ,000010
硅能源;绿色电力;风电;光伏概念;京津冀一体化;高端装备;沪股通;专精特新;第三代半导体;芯片概念;融资融券,11,17,601908.SH,601908
生物质能发电;绿色电力;抽水蓄能;碳中和;光伏建筑一体化;风电;华为数字能源;储能;国企改革;航运概念;光伏概念;统一大市场;共同富裕示范区;华为概念;沪股通,15,17,600982.SH,600982
证金持股;物业管理;特色小镇;参股券商;装配式建筑;国企改革;碳中和;碳交易;京津冀一体化;深股通;融资融券,11,33,000402.SZ,000402
云办公;Web3.0;智慧政务;网络安全;云计算;信创;虚拟数字人;在线教育;元宇宙;腾讯概念;AIGC概念;区块链;语音技术;阿里巴巴概念;鸿蒙概念;AI智能体;数字经济;虚拟现实;DeepSeek概念;人工智能;网红经济;物联网;数据中心;低空经济;小米概念;一带一路;融资融券;深股通,28,33,002467.SZ,002467
特色小镇;三胎概念;文化传媒概念;在线教育;IP经济(谷子经济);旅游概念;职业教育;数字经济;人工智能;粤港澳大湾区;国企改革;深股通,12,33,002678.SZ,002678
俄乌冲突概念;天然气;煤炭概念;新疆振兴;深股通;国企改革;融资融券,7,33,000968.SZ,000968
共同富裕示范区;人造肉;网红经济;预制菜;芯片概念;共封装光学(CPO);深股通,7,33,002515.SZ,002515
网络安全;信创;鸿蒙概念;华为概念;东数西算(算力);安防;智慧城市;人工智能;数据中心;传感器;智能医疗;比亚迪概念;养老概念;物业管理;沪股通,15,17,600654.SH,600654
超超临界发电;绿色电力;风电;国企改革;西部大开发;东数西算(算力);股权转让(并购重组);融资融券;深股通,9,33,000791.SZ,000791
华为欧拉;数据安全;华为鲲鹏;智慧政务;云计算;鸿蒙概念;网络安全;信创;AI智能体;多模态AI;华为昇腾;电子身份证;数据要素;跨境支付(CIPS);腾讯概念;数字货币;DeepSeek概念;数字经济;智慧城市;人工智能;车联网(车路协同);东数西算(算力);量子科技;物联网;华为概念;工业互联网;低空经济;智慧灯杆;京津冀一体化;数据中心;军工信息化;无人机;机器人概念;军民融合;小米概念;6G概念;5G;AI应用;烟草;国企改革;融资融券;深股通;2026一季报预增,43,33,002439.SZ,002439
F5G概念;共封装光学(CPO);WiFi 6;6G概念;5G;数据中心;东数西算(算力);量子科技;芯片概念;智能电网;新型工业化;网络安全;物联网;工业互联网;无人驾驶;数据安全;智慧城市;车联网(车路协同);新型城镇化;融资融券,20,17,603803.SH,603803
成飞概念;大飞机;航空发动机;军民融合;商业航天;军工;无人机;碳纤维;培育钻石;国企改革;2026一季报预增;融资融券,12,33,002297.SZ,002297
液冷服务器;超级电容;数据中心;汽车热管理;新能源汽车;石墨烯;空气能热泵;无人驾驶;东数西算(算力);锂电池概念;充电桩;储能;动力电池回收;家用电器;算力租赁;氢能源,16,33,002418.SZ,002418
稀土永磁;股权转让(并购重组);煤炭概念;2026一季报预增;2025年报预增;深股通;融资融券,7,33,000612.SZ,000612
液冷服务器,1,33,003018.SZ,003018
新能源汽车;比亚迪概念;工业互联网;机器人概念;一带一路;沪股通;融资融券,7,17,603897.SH,603897
F5G概念;共封装光学(CPO);铜缆高速连接;华为海思概念股;5G;数据中心;汽车电子;第三代半导体;消费电子概念;芯片概念;智能穿戴;华为概念;商业航天;粤港澳大湾区;新能源汽车;充电桩;露营经济;工业互联网;储能;车联网(车路协同);光伏概念;数字经济;海工装备;体育产业;跨境电商;一带一路;深股通;融资融券,28,33,002902.SZ,002902
动力电池回收;钠离子电池;固态电池;锂电池概念;储能;高铁;新疆振兴;液冷服务器;创投;国企改革;雄安新区;军工;数据中心;华为概念;东数西算(算力);抖音概念(字节概念);快手概念;鸿蒙概念;深股通;融资融券,20,33,002580.SZ,002580
两轮车;机器人概念;专精特新;传感器;融资融券,5,17,603350.SH,603350
HJT电池;钙钛矿电池;TOPCON电池;光伏概念;云计算;福建自贸区;海峡两岸;储能,8,33,300051.SZ,300051
6G概念;光刻机;共封装光学(CPO);华为海思概念股;卫星导航;军工;WiFi 6;5G;芯片概念;数据中心;无人机;汽车芯片;AI眼镜;智能穿戴;消费电子概念;汽车电子;华为概念;专精特新;MCU芯片;智能座舱;宁德时代概念;无人驾驶;比亚迪概念;人形机器人;机器人概念;创投;融资融券;沪股通,28,17,603738.SH,603738
汽车电子;飞行汽车(eVTOL);新能源汽车;比亚迪概念;2025年报预增;低空经济;沪股通,7,17,603950.SH,603950
盐湖提锂;小金属概念;固态电池;锂电池概念;宁德时代概念;回购增持再贷款概念;西部大开发;比亚迪概念;深股通;融资融券,10,33,002240.SZ,002240
PCB概念;5G;2025年报预增;6G概念;宁德时代概念;固态电池;新能源汽车;海工装备;锂电池概念;无人机;军工;商业航天;燃料电池;风电;一带一路;氢能源;污水处理;央企国企改革;国企改革;深股通;中字头股票;融资融券,22,33,002080.SZ,002080
PCB概念;风电;光伏概念;PEEK材料;长三角一体化;央企国企改革;回购增持再贷款概念;一带一路;同花顺中特估100;沪股通;融资融券;国企改革;DeepSeek概念;中字头股票,14,17,600176.SH,600176
固态电池;小金属概念;锂电池概念;金属锌;金属铅;金属回收;绿色电力;储能;西部大开发;参股银行;回购增持再贷款概念;乡村振兴;创投;职业教育;旅游概念;深股通,16,33,001203.SZ,001203
PCB概念;华为手机;苹果概念;5G;消费电子概念;芯片概念;2025年报预增;专精特新;华为概念;海峡两岸;数据中心;沪股通,12,17,603256.SH,603256
算力租赁;华为昇腾;东数西算(算力);云办公;数据安全;阿里巴巴概念;信创;多模态AI;数据中心;百度概念;MR(混合现实);AI智能体;虚拟数字人;元宇宙;数据要素;空间计算;华为数字能源;数字乡村;5G;虚拟现实;华为概念;智慧城市;DeepSeek概念;电力物联网;数字孪生;智慧灯杆;人工智能;智能电网;虚拟电厂;工业互联网;充电桩;AI应用;低空经济;无人机;军工;机器人概念;光伏概念;储能;跨境电商;乡村振兴;一带一路;雄安新区;西部大开发;融资融券;深股通,45,33,002929.SZ,002929
医疗废物处理;固废处理;碳中和;一带一路;燃料电池;氢能源;充电桩;超超临界发电;钠离子电池,9,17,603177.SH,603177
HJT电池;TOPCON电池;第三代半导体;光伏概念;芯片概念;工业母机;AI眼镜;智能穿戴;比亚迪概念;稀土永磁;深股通;融资融券,12,33,002943.SZ,002943
共封装光学(CPO);液冷服务器;苹果概念;新型烟草(电子烟);消费电子概念;芯片概念;AI眼镜;固态电池;无线耳机;宁德时代概念;2025年报预增;智能穿戴;机器视觉;比亚迪概念;锂电池概念;新型工业化;虚拟现实;华为概念;人形机器人;粤港澳大湾区;机器人概念;工业互联网;无人机;物联网;智能物流;低空经济;融资融券;深股通,28,33,002957.SZ,002957
维生素;央企国企改革;国企改革;沪股通;人民币贬值受益;DeepSeek概念;融资融券,7,17,600299.SH,600299
盐湖提锂;锂电池概念;石墨烯;西部大开发;国企改革;融资融券;沪股通,7,17,600773.SH,600773
绿色电力;抽水蓄能;风电;氢能源;储能;国企改革;沪股通;融资融券,8,17,600032.SH,600032
长安汽车概念;汽车热管理;新能源汽车;燃料电池;沪股通;股权转让(并购重组),6,17,605255.SH,605255
