market_code,股票代码,code,所属概念数量,所属概念
151,920072.BJ,920072,3,新股与次新股;融资融券;医疗器械概念
151,920367.BJ,920367,11,仿制药一致性评价;人工智能;机器人概念;AI应用;医药电商;流感;智能医疗;融资融券;维生素;华为鲲鹏;创新药
17,688548.SH,688548,11,存储芯片;芯片概念;氢能源;商业航天;专精特新;粤港澳大湾区;华为概念;国企改革;数字孪生;沪股通;融资融券
17,688796.SH,688796,11,科创次新股;CRO概念;基因测序;注册制次新股;智能医疗;2025年报预增;人民币贬值受益;AI智能体;沪股通;新股与次新股;融资融券
17,688233.SH,688233,7,存储芯片;第三代半导体;芯片概念;专精特新;2025年报预增;沪股通;融资融券
33,300204.SZ,300204,7,创新药;细胞免疫治疗;重组蛋白;眼科医疗;辅助生殖;深股通;融资融券
17,688198.SH,688198,7,眼科医疗;创新药;医美概念;医疗器械概念;专精特新;沪股通;融资融券
33,301307.SZ,301307,24,芯片概念;富士康概念;液冷服务器;5G;东数西算(算力);专精特新;比亚迪概念;华为概念;无人驾驶;新能源汽车;固态电池;储能;充电桩;特斯拉概念;小米汽车;工业互联网;华为汽车;一体化压铸;长安汽车概念;减速器;西部大开发;绿色电力;深股通;融资融券
33,301528.SZ,301528,10,专精特新;成飞概念;商业航天;芯片概念;卫星导航;比亚迪概念;新能源汽车;粤港澳大湾区;核电;融资融券
33,300436.SZ,300436,10,创新药;仿制药一致性评价;肝炎概念;辅助生殖;医药电商;基因测序;福建自贸区;海峡两岸;融资融券;深股通
33,301520.SZ,301520,7,仿制药一致性评价;创新药;CRO概念;减肥药;食品安全;DeepSeek概念;融资融券
17,688432.SH,688432,7,中芯国际概念;存储芯片;芯片概念;硅能源;绿色电力;沪股通;融资融券
17,688120.SH,688120,10,中芯国际概念;存储芯片;先进封装;第三代半导体;芯片概念;MicroLED概念;专精特新;国企改革;沪股通;融资融券
33,301033.SZ,301033,5,牙科医疗;医疗器械概念;3D打印;医美概念;融资融券
17,688765.SH,688765,9,重组蛋白;创新药;注册制次新股;人民币贬值受益;农业种植;转基因;科创次新股;新股与次新股;融资融券
17,688336.SH,688336,6,重组蛋白;创新药;阿尔茨海默概念;2025年报预增;沪股通;融资融券
17,688689.SH,688689,12,先进封装;第三代半导体;芯片概念;汽车芯片;专精特新;传感器;汽车电子;5G;比亚迪概念;新能源汽车;无人驾驶;融资融券
33,300434.SZ,300434,10,流感;维生素;仿制药一致性评价;医药电商;三胎概念;创新药;CRO概念;西部大开发;地下管网;PPP概念
33,301030.SZ,301030,8,ST板块;净水概念;污水处理;固废处理;碳中和;专精特新;TOPCON电池;光伏概念
33,300706.SZ,300706,16,存储芯片;PET铜箔;OLED;第三代半导体;芯片概念;超导概念;消费电子概念;HJT电池;小金属概念;钙钛矿电池;专精特新;光伏概念;钒电池;海峡两岸;福建自贸区;深股通
33,300024.SZ,300024,26,人形机器人;新型工业化;机器人概念;机器视觉;职业教育;智能物流;人工智能;工业互联网;特斯拉概念;无人驾驶;养老概念;高端装备;传感器;比亚迪概念;专精特新;军工;3D打印;医疗器械概念;换电概念;参股保险;国企改革;宁德时代概念;芯片概念;深股通;融资融券;国家大基金持股
33,301328.SZ,301328,17,汽车电子;铜缆高速连接;毫米波雷达;智能座舱;光伏概念;比亚迪概念;新能源汽车;人形机器人;数据中心(AIDC);无人驾驶;机器人概念;低空经济;粤港澳大湾区;海峡两岸;储能;深股通;融资融券
33,301263.SZ,301263,9,创新药;眼科医疗;毛发医疗;合成生物;减肥药;医药电商;医疗器械概念;深股通;融资融券
17,688629.SH,688629,23,共封装光学(CPO);铜缆高速连接;5G;卫星导航;数据中心(AIDC);商业航天;高压快充;华为概念;比亚迪概念;无人机;军工;低空经济;新能源汽车;核电;腾讯概念;阿里巴巴概念;机器人概念;高铁;西部大开发;国企改革;液冷服务器;沪股通;融资融券
17,688549.SH,688549,8,中芯国际概念;国家大基金持股;存储芯片;氟化工概念;先进封装;芯片概念;沪股通;融资融券
17,688596.SH,688596,17,中芯国际概念;第三代半导体;存储芯片;芯片概念;光纤概念;氟化工概念;光伏概念;专精特新;锂电池概念;储能;高端装备;氢能源;磷化工;医疗器械概念;合成生物;沪股通;融资融券
33,300723.SZ,300723,16,重组蛋白;减肥药;创新药;仿制药一致性评价;肝炎概念;猴痘概念;流感;生物疫苗;医药电商;三胎概念;智能医疗;DeepSeek概念;粤港澳大湾区;英伟达概念;融资融券;深股通
17,688503.SH,688503,16,光刻胶;OLED;BC电池;芯片概念;HJT电池;TOPCON电池;液冷服务器;汽车电子;5G;光伏概念;专精特新;卫星导航;商业航天;存储芯片;沪股通;融资融券
17,688331.SH,688331,5,细胞免疫治疗;创新药;眼科医疗;沪股通;融资融券
33,300149.SZ,300149,11,细胞免疫治疗;重组蛋白;创新药;CRO概念;智能医疗;AI应用;DeepSeek概念;人民币贬值受益;深股通;股权转让(并购重组);融资融券
17,688105.SH,688105,12,猴痘概念;基因测序;CRO概念;流感;减肥药;合成生物;重组蛋白;阿尔茨海默概念;军工信息化;人工智能;沪股通;融资融券
33,300346.SZ,300346,13,中芯国际概念;光刻胶;国家大基金持股;存储芯片;OLED;芯片概念;氟化工概念;光伏概念;专精特新;华为概念;磷化工;融资融券;深股通
17,688652.SH,688652,9,中芯国际概念;存储芯片;芯片概念;专精特新;高端装备;京津冀一体化;国企改革;沪股通;融资融券
17,688382.SH,688382,3,创新药;沪股通;融资融券
33,300488.SZ,300488,11,减速器;工业母机;航空发动机;人形机器人;军民融合;机器人概念;专精特新;比亚迪概念;共同富裕示范区;长三角一体化;深股通
17,688578.SH,688578,4,创新药;2025年报预增;沪股通;融资融券
17,688180.SH,688180,6,创新药;生物疫苗;猴痘概念;AIGC概念;沪股通;融资融券
17,688783.SH,688783,9,国家大基金持股;存储芯片;科创次新股;MCU芯片;芯片概念;注册制次新股;西部大开发;新股与次新股;融资融券
