market_code,股票代码,所属概念,code,所属概念数量
33,002951.SZ,超级电容;储能;风电;数字经济;蚂蚁集团概念;西部大开发;深股通;摘帽,002951,8
33,002169.SZ,特高压;宁德时代概念;充电桩;智能电网;储能;芯片概念;光伏概念;电力物联网;虚拟电厂;数据中心;钒电池;绿色电力;工业互联网;碳中和;深股通;融资融券,002169,16
17,603466.SH,Sora概念(文生视频);文化传媒概念;手机游戏;NFT概念;虚拟数字人;AIGC概念;ChatGPT概念;元宇宙;IP经济(谷子经济);抖音概念(字节概念);空间计算;数据要素;百度概念;虚拟现实;数字经济;DeepSeek概念;数字孪生;网红经济;旅游概念;MR(混合现实);华为概念;乡村振兴;机器人概念;人形机器人;融资融券;沪股通,603466,26
33,000798.SZ,预制菜;人工智能;参股保险;央企国企改革;国企改革;中字头股票,000798,6
17,605007.SH,共同富裕示范区;海峡两岸;沪股通,605007,3
33,002510.SZ,飞行汽车(eVTOL);军民融合;大飞机;低空经济;华为汽车;无人机;军工;长安汽车概念;工业互联网;小米概念;新能源汽车;特斯拉概念;创投;比亚迪概念;京津冀一体化;新疆振兴;国企改革;宁德时代概念;深股通;股权转让(并购重组),002510,20
17,600791.SH,国企改革;京津冀一体化,600791,2
33,300369.SZ,数字水印;数据确权;MLOps概念;华为欧拉;华为鲲鹏;数据安全;国产操作系统;网络安全;智慧政务;云计算;信创;AI语料;区块链;数据要素;AI智能体;腾讯概念;车联网(车路协同);阿里巴巴概念;东数西算(算力);DeepSeek概念;人工智能;华为概念;独角兽概念;数据中心;京津冀一体化;工业互联网;AI应用;深股通;融资融券,300369,29
33,300132.SZ,三胎概念;海峡两岸;合成生物;消毒剂;2025年报预增,300132,5
17,688629.SH,共封装光学(CPO);铜缆高速连接;5G;数据中心;高压快充;比亚迪概念;华为概念;无人机;新能源汽车;军工;机器人概念;商业航天;低空经济;卫星导航;阿里巴巴概念;腾讯概念;高铁;核电;西部大开发;国企改革;沪股通;融资融券,688629,22
17,688031.SH,MLOps概念;华为昇腾;多模态AI;数字水印;商业航天;AIGC概念;华为鲲鹏;AI智能体;数据要素;数据安全;信创;人工智能;DeepSeek概念;独角兽概念;华为概念;AI PC;AI应用;工业互联网;沪股通;融资融券,688031,20
33,300935.SZ,房屋检测;装配式建筑;空间计算;建筑节能;新型城镇化;AI应用;职业教育;数据要素;人工智能;数字孪生;信创;DeepSeek概念;一带一路;数据中心;AI智能体;光伏概念;风电;融资融券,300935,18
17,688586.SH,军民融合;商业航天;大飞机;军工;无人机;高端装备;央企国企改革;专精特新;国企改革;沪股通;融资融券,688586,11
17,600397.SH,煤炭概念;国企改革;沪股通;股权转让(并购重组),600397,4
