market_code,股票代码,所属概念数量,code,所属概念
33,300720.SZ,3,300720,物联网;机器人概念;股权转让(并购重组)
33,300133.SZ,30,300133,短剧游戏;Sora概念(文生视频);知识产权保护;AI语料;文化传媒概念;抖音概念(字节概念);手机游戏;虚拟数字人;智谱AI;AIGC概念;多模态AI;NFT概念;算力租赁;腾讯概念;AI应用;百度概念;阿里巴巴概念;IP经济(谷子经济);元宇宙;AI智能体;数据要素;东数西算(算力);网红经济;DeepSeek概念;人工智能;华为概念;旅游概念;冰雪产业;融资融券;深股通
33,300903.SZ,28,300903,共封装光学(CPO);MiniLED;PCB概念;先进封装;存储芯片;5G;消费电子概念;数据中心;汽车电子;芯片概念;毫米波雷达;血氧仪;小米概念;比亚迪概念;充电桩;专精特新;储能;新能源汽车;无人机;军工;机器人概念;工业互联网;锂电池概念;粤港澳大湾区;低空经济;钠离子电池;深股通;融资融券
33,300626.SZ,7,300626,特斯拉概念;军工;新能源汽车;机器人概念;家用电器;医药电商;国企改革
151,920179.BJ,6,920179,股权转让(并购重组);芯片概念;中芯国际概念;融资融券;专精特新;光伏概念
33,300632.SZ,36,300632,PET铜箔;先进封装;MiniLED;共封装光学(CPO);第三代半导体;柔性屏(折叠屏);PCB概念;富士康概念;消费电子概念;芯片概念;OLED;无线耳机;人形机器人;智能穿戴;汽车电子;AI眼镜;固态电池;传感器;比亚迪概念;5G;锂电池概念;机器人概念;福建自贸区;家用电器;无人机;脑机接口;无人驾驶;海峡两岸;人民币贬值受益;鸿蒙概念;充电桩;养老概念;储能;医美概念;一带一路;消毒剂
17,688120.SH,10,688120,中芯国际概念;存储芯片;先进封装;芯片概念;第三代半导体;专精特新;MicroLED概念;国企改革;沪股通;融资融券
33,300736.SZ,3,300736,华为概念;区块链;苹果概念
33,300395.SZ,9,300395,PCB概念;OLED;光纤概念;5G;芯片概念;同花顺新质50;光伏概念;融资融券;深股通
17,688663.SH,13,688663,华为数字能源;可控核聚变;核电;数据中心;风电;光热发电;储能;光伏概念;阿里巴巴概念;稀土永磁;国企改革;融资融券;股权转让(并购重组)
33,300209.SZ,7,300209,算力租赁;柔性屏(折叠屏);物联网;人民币贬值受益;跨境电商;深股通;摘帽
17,688693.SH,9,688693,汽车芯片;第三代半导体;芯片概念;专精特新;新能源汽车;无人机;充电桩;智能电网;融资融券
33,301392.SZ,13,301392,富士康概念;第三代半导体;苹果概念;芯片概念;PET铜箔;专精特新;比亚迪概念;锂电池概念;光伏概念;钙钛矿电池;TOPCON电池;深股通;融资融券
33,300829.SZ,8,300829,土地流转;玉米;农业种植;乡村振兴;可降解塑料;参股银行;回购增持再贷款概念;2025年报预增
33,300264.SZ,16,300264,MR(混合现实);空间计算;专精特新;虚拟现实;华为概念;在线教育;人工智能;国产操作系统;元宇宙;文化传媒概念;云游戏;Web3.0;百度概念;虚拟数字人;AIGC概念;股权转让(并购重组)
33,301095.SZ,12,301095,共封装光学(CPO);光刻机;第三代半导体;存储芯片;芯片概念;专精特新;信创;AI智能体;人工智能;DeepSeek概念;深股通;融资融券
33,301183.SZ,14,301183,F5G概念;共封装光学(CPO);6G概念;华为手机;消费电子概念;汽车电子;无人驾驶;专精特新;虚拟现实;小米概念;华为概念;2025年报预增;深股通;融资融券
151,920046.BJ,9,920046,光伏概念;抖音概念(字节概念);专精特新;高铁;储能;一带一路;数据中心;融资融券;智能电网
17,600076.SH,8,600076,乡村振兴;碳中和;回购增持再贷款概念;国企改革;芯片概念;碳交易;土地流转;融资融券
17,600530.SH,4,600530,养老概念;幽门螺杆菌概念;宠物经济;沪股通
17,603007.SH,10,603007,储能;新能源汽车;机器人概念;新型城镇化;PPP概念;传感器;装配式建筑;汽车芯片;摘帽;股权转让(并购重组)
33,002081.SZ,14,002081,第三代半导体;芯片概念;新型城镇化;装配式建筑;光伏建筑一体化;数据中心;长三角一体化;PPP概念;一带一路;人工智能;数字孪生;深股通;融资融券;智能家居
33,000601.SZ,14,000601,生物质能发电;抽水蓄能;绿色电力;东数西算(算力);充电桩;数据中心;储能;回购增持再贷款概念;长安汽车概念;新能源汽车;比亚迪概念;减速器;深股通;融资融券
151,920028.BJ,6,920028,比亚迪概念;宁德时代概念;华为概念;5G;新股与次新股;融资融券
17,600719.SH,1,600719,国企改革
17,600667.SH,11,600667,存储芯片;先进封装;OLED;芯片概念;数据中心;回购增持再贷款概念;光伏建筑一体化;绿色电力;国企改革;沪股通;融资融券
17,603070.SH,7,603070,智能电网;数字经济;储能;共同富裕示范区;数据中心;沪股通;融资融券
17,600683.SH,8,600683,特色小镇;物业管理;土地流转;旅游概念;养老概念;国企改革;创投;京津冀一体化
17,603269.SH,7,603269,液冷服务器;数据中心;核电;超超临界发电;海峡两岸;氢能源;一带一路
33,000925.SZ,36,000925,数据确权;ChatGPT概念;信创;数字水印;算力租赁;时空大数据;东数西算(算力);多模态AI;车联网(车路协同);数据要素;虚拟数字人;智慧城市;华为概念;元宇宙;芯片概念;数字孪生;先进封装;人工智能;数据中心;数字经济;高铁;工业互联网;机器视觉;空间计算;无人驾驶;卫星导航;机器人概念;无人机;低空经济;回购增持再贷款概念;医疗器械概念;乡村振兴;商业航天;一带一路;合成生物;深股通
17,600172.SH,8,600172,培育钻石;第三代半导体;回购增持再贷款概念;国企改革;物业管理;旅游概念;沪股通;融资融券
33,002208.SZ,9,002208,独角兽概念;新型城镇化;创投;长三角一体化;租售同权;养老概念;物业管理;国企改革;深股通
17,601991.SH,10,601991,绿色电力;风电;储能;雅下水电概念;核电;央企国企改革;国企改革;2025年报预增;沪股通;融资融券
33,000950.SZ,22,000950,医药电商;创新药;减肥药;辅助生殖;医美概念;啤酒概念;股权转让(并购重组);冷链物流;医疗器械概念;统一大市场;三胎概念;养老概念;智能医疗;央企国企改革;西部大开发;国企改革;回购增持再贷款概念;智能物流;创投;机器人概念;融资融券;深股通
17,600396.SH,9,600396,超超临界发电;绿色电力;碳交易;风电;碳中和;氢能源;国企改革;央企国企改革;海工装备
17,603682.SH,6,603682,租售同权;物业管理;新型城镇化;IP经济(谷子经济);高股息精选;小红书概念
17,603203.SH,27,603203,共封装光学(CPO);先进封装;富士康概念;PCB概念;苹果概念;OLED;第三代半导体;液冷服务器;汽车电子;存储芯片;芯片概念;AI眼镜;无线耳机;智能穿戴;中芯国际概念;机器视觉;新型工业化;比亚迪概念;华为概念;专精特新;新能源汽车;宁德时代概念;机器人概念;高端装备;工业互联网;人工智能;沪股通
33,000029.SZ,6,000029,物业管理;粤港澳大湾区;深圳国企改革;国企改革;深股通;融资融券
17,603211.SH,12,603211,卫星导航;毫米波雷达;人形机器人;特斯拉概念;比亚迪概念;专精特新;机器人概念;无人驾驶;新能源汽车;智能家居;长三角一体化;沪股通
33,002190.SZ,17,002190,成飞概念;大飞机;军工;航空发动机;无人机;低空经济;商业航天;国企改革;西部大开发;长安汽车概念;华为汽车;新能源汽车;专精特新;储能;锂电池概念;融资融券;深股通
17,603895.SH,13,603895,人形机器人;新型工业化;长安汽车概念;机器人概念;华为概念;专精特新;新能源汽车;特斯拉概念;数字孪生;工业互联网;储能;锂电池概念;固态电池
33,001359.SZ,10,001359,PCB概念;特斯拉概念;新能源汽车;宁德时代概念;固态电池;汽车热管理;高铁;储能;深股通;融资融券
17,605198.SH,3,605198,人民币贬值受益;乡村振兴;沪股通
33,001211.SZ,5,001211,露营经济;三胎概念;跨境电商;预制菜;IP经济(谷子经济)
17,603052.SH,11,603052,共封装光学(CPO);消费电子概念;传感器;芯片概念;专精特新;新能源汽车;OLED;宁德时代概念;固态电池;锂电池概念;沪股通
17,603061.SH,4,603061,芯片概念;2025年报预增;专精特新;沪股通
17,603688.SH,6,603688,光纤概念;存储芯片;芯片概念;光伏概念;沪股通;融资融券
33,002300.SZ,9,002300,特高压;风电;核电;海工装备;充电桩;光伏概念;军工;海峡两岸;融资融券
