所属概念,所属概念数量,market_code,股票代码,code
注册制次新股;新股与次新股;融资融券;天津自贸区;共享单车;京津冀一体化;两轮车;人民币贬值受益,8,17,603468.SH,603468
共封装光学(CPO);PCB概念;富士康概念;MiniLED;5G;汽车电子;专精特新;新型工业化;机器人概念;工业互联网;一带一路;深股通;融资融券,13,33,301251.SZ,301251
第三代半导体;汽车芯片;芯片概念;专精特新;无人机;新能源汽车;充电桩;智能电网;融资融券,9,17,688693.SH,688693
共封装光学(CPO);存储芯片;先进封装;PCB概念;MiniLED;芯片概念;消费电子概念;5G;汽车电子;毫米波雷达;小米概念;数据中心(AIDC);比亚迪概念;专精特新;血氧仪;新能源汽车;锂电池概念;无人机;充电桩;储能;军工;机器人概念;粤港澳大湾区;钠离子电池;低空经济;工业互联网;深股通;融资融券,28,33,300903.SZ,300903
天然气;氢能源;商业航天;燃料电池;智慧灯杆;专精特新;西部大开发;一带一路;国企改革;储能;充电桩;车联网(车路协同);深股通,13,33,300540.SZ,300540
中芯国际概念;国家大基金持股;存储芯片;氟化工概念;先进封装;芯片概念;沪股通;融资融券,8,17,688549.SH,688549
军工信息化;卫星导航;军民融合;华为鲲鹏;低空经济;军工;信创;语音技术;6G概念;人脸识别;数据要素;AI智能体;人工智能;多模态AI;AI应用;5G;核电;工业互联网;高铁;智能电网;粤港澳大湾区;水利;储能;国企改革;抽水蓄能;深股通,26,33,300711.SZ,300711
5G;充电桩;新能源汽车;工业母机;医疗器械概念,5,33,300615.SZ,300615
数字货币;移动支付;跨境支付(CIPS);国产操作系统;华为鲲鹏;区块链;鸿蒙概念;人脸识别;知识产权保护;AI智能体;网络安全;车联网(车路协同);物联网;量子科技;芯片概念;MCU芯片;汽车芯片;深股通,18,33,300386.SZ,300386
网络安全;数据安全;人脸识别;华为鲲鹏;智慧政务;创投;数字经济;工业互联网;人工智能;电子身份证;DeepSeek概念;区块链;AI应用;车联网(车路协同);粤港澳大湾区;数据中心(AIDC);网络游戏;智慧城市;摘帽,19,33,300311.SZ,300311
