股票代码,market_code,code,所属概念,所属概念数量
688717.SH,17,688717,虚拟电厂;锂电池概念;光伏概念;储能;充电桩;人民币贬值受益;沪股通;融资融券,8
000670.SZ,33,000670,存储芯片;小米概念;智能家居;芯片概念;虚拟现实;机器人概念;人民币贬值受益;海峡两岸;无人机;深股通,10
600726.SH,17,600726,超超临界发电;煤炭概念;绿色电力;风电;黑龙江自贸区;国企改革;央企国企改革;沪股通,8
000677.SZ,33,000677,京津冀一体化;低空经济;军工;航空发动机,4
000509.SZ,33,000509,人民币贬值受益;碳交易;工业母机;网络安全;信创;碳中和;国企改革;西部大开发,8
600617.SH,17,600617,天然气;国企改革;地下管网;沪股通;融资融券,5
605117.SH,17,605117,光伏概念;储能;一带一路;同花顺出海50;共同富裕示范区;人民币贬值受益;家用电器;融资融券;沪股通,9
600310.SH,17,600310,超超临界发电;绿色电力;抽水蓄能;参股券商;风电;国企改革;西部大开发;储能;创投;DeepSeek概念;人工智能;沪股通;融资融券,13
300724.SZ,33,300724,BC电池;钙钛矿电池;TOPCON电池;HJT电池;硅能源;光伏概念;第三代半导体;锂电池概念;PET铜箔;芯片概念;粤港澳大湾区;PCB概念;融资融券;深股通,14
688793.SH,17,688793,脑机接口;医疗器械概念;语音技术;电子竞技;养老概念;智能家居;人工智能;跨境电商;腾讯概念;传感器;家用电器;智能穿戴;IP经济(谷子经济);虚拟数字人;DeepSeek概念;粤港澳大湾区;专精特新;海峡两岸;新能源汽车;中俄贸易概念;回购增持再贷款概念;一带一路;新疆振兴;融资融券,24
300620.SZ,33,300620,共封装光学(CPO);光纤概念;5G;芯片概念;数据中心;3D打印;量子科技;海工装备;2025年报预增;商业航天;卫星导航;无人驾驶;2025三季报预增;粤港澳大湾区;一带一路;横琴新区;国企改革;股权转让(并购重组);深股通;融资融券,20
300751.SZ,33,300751,HJT电池;钙钛矿电池;第三代半导体;光伏概念;MicroLED概念;高端装备;新型工业化;芯片概念;MiniLED;先进封装;OLED;存储芯片;回购增持再贷款概念;锂电池概念;融资融券;深股通,16
688307.SH,17,688307,光刻机;专精特新;无人机;智能穿戴;海峡两岸;智能座舱;机器视觉;无人驾驶;机器人概念;安防;华为概念;虚拟现实;人工智能;融资融券,14
688195.SH,17,688195,共封装光学(CPO);光纤概念;光刻机;数据中心;芯片概念;AI眼镜;量子科技;商业航天;专精特新;卫星导航;华为概念;海峡两岸;无人驾驶;福建自贸区;独角兽概念;医疗器械概念;沪股通;股权转让(并购重组);融资融券,19
688622.SH,17,688622,量子科技;专精特新;PM2.5;食品安全;粤港澳大湾区;医疗器械概念;碳中和;沪股通;融资融券,9
301312.SZ,33,301312,共封装光学(CPO);AI PC;新型烟草(电子烟);苹果概念;MiniLED;MicroLED概念;数据中心;华为海思概念股;MR(混合现实);消费电子概念;芯片概念;新型工业化;AI眼镜;汽车电子;机器视觉;专精特新;华为概念;高端装备;比亚迪概念;粤港澳大湾区;空间计算;机器人概念;虚拟现实;元宇宙;深股通;融资融券,26
688063.SH,17,688063,钠离子电池;绿色电力;固态电池;锂电池概念;储能;两轮车;数据中心;2025年报预增;专精特新;人民币贬值受益;低空经济;沪股通;融资融券,13
300502.SZ,33,300502,共封装光学(CPO);5G;中国AI 50;芯片概念;数据中心;2025年报预增;深股通;人民币贬值受益;西部大开发;融资融券,10
300854.SZ,33,300854,粤港澳大湾区;土壤修复;碳中和;固废处理;生物质能发电;绿色电力;融资融券,7
603659.SH,17,603659,石墨电极;钠离子电池;固态电池;PVDF概念;宁德时代概念;锂电池概念;PET铜箔;特斯拉概念;储能;2025年报预增;氢能源;新能源汽车;消费电子概念;芯片概念;碳中和;沪股通;融资融券,17
000539.SZ,33,000539,超超临界发电;绿色电力;风电;东数西算(算力);储能;国企改革;参股保险;光伏概念;创投;粤港澳大湾区;海工装备;期货概念;深股通;融资融券;国资云,15
688172.SH,17,688172,国家大基金持股;MCU芯片;第三代半导体;芯片概念;传感器;国企改革;沪股通;融资融券,8
920651.BJ,151,920651,智慧城市;地下管网;传感器;核电;融资融券;物联网;人工智能;专精特新,8
920985.BJ,151,920985,石墨电极;融资融券;氢能源;换电概念;光伏概念;储能;TOPCON电池;HJT电池,8
688726.SH,17,688726,BC电池;钙钛矿电池;TOPCON电池;第三代半导体;光伏概念;芯片概念;专精特新;比亚迪概念;沪股通;融资融券,10
