market_code,股票代码,code,所属概念数量,所属概念
33,300151.SZ,300151,9,芯片概念;人民币贬值受益;创投;医疗器械概念;基因测序;辅助生殖;医药电商;融资融券;深股通
17,688231.SH,688231,6,航空发动机;军民融合;军工;3D打印;高铁;融资融券
17,688685.SH,688685,17,无人机;传感器;军工;军民融合;航空发动机;专精特新;商业航天;高端装备;东数西算(算力);人工智能;算力租赁;DeepSeek概念;独角兽概念;智能医疗;共封装光学(CPO);沪股通;融资融券
33,300738.SZ,300738,21,快手概念;智谱AI;算力租赁;云计算;腾讯概念;阿里巴巴概念;百度概念;网络安全;东数西算(算力);数据要素;DeepSeek概念;人工智能;数据中心;华为概念;芯片概念;粤港澳大湾区;光伏概念;一带一路;绿色电力;融资融券;深股通
33,002470.SZ,002470,10,磷化工;化肥;水泥概念;生态农业;农村电商;土壤修复;锂电池概念;国企改革;乡村振兴;深股通
33,300850.SZ,300850,7,2025年报预增;风电;海工装备;高端装备;绿色电力;融资融券;深股通
17,600979.SH,600979,22,地下管网;碳交易;绿色电力;污水处理;光伏建筑一体化;碳中和;充电桩;参股银行;风电;新疆振兴;储能;西部大开发;创投;国企改革;天然气;乡村振兴;智慧城市;光伏概念;新能源汽车;液冷服务器;沪股通;融资融券
17,600744.SH,600744,12,超超临界发电;虚拟电厂;风电;绿色电力;核电;碳交易;煤炭概念;碳中和;央企国企改革;国企改革;融资融券;沪股通
33,002162.SZ,002162,14,养老概念;智能医疗;辅助生殖;职业教育;三胎概念;民营医院;牙科医疗;人工智能;参股保险;创投;物业管理;海峡两岸;机器人概念;租售同权
33,002283.SZ,002283,10,高端装备;绿色电力;新能源汽车;回购增持再贷款概念;比亚迪概念;机器人概念;减速器;工业互联网;深股通;融资融券
33,002286.SZ,002286,5,代糖概念;参股银行;中俄贸易概念;合成生物;三胎概念
33,002478.SZ,002478,14,光热发电;特钢概念;超超临界发电;核电;海工装备;储能;页岩气;天然气;一带一路;专精特新;新能源汽车;地下管网;深股通;融资融券
17,600078.SH,600078,2,磷化工;绿色电力
33,000899.SZ,000899,8,超超临界发电;抽水蓄能;绿色电力;核电;国企改革;储能;融资融券;深股通
33,002272.SZ,002272,25,液冷服务器;数据中心;储能;智能电网;特高压;光热发电;抽水蓄能;华为概念;高端装备;核电;工业互联网;传感器;机器人概念;风电;军工;氢能源;低空经济;超超临界发电;碳中和;水利;数字经济;垃圾分类;西部大开发;深股通;融资融券
17,603958.SH,603958,7,DeepSeek概念;海峡两岸;华为概念;机器人概念;消费电子概念;3D打印;股权转让(并购重组)
33,002350.SZ,002350,21,特高压;智能电网;虚拟电厂;风电;高压快充;充电桩;光伏概念;超级电容;储能;绿色电力;光伏建筑一体化;氢能源;燃料电池;中俄贸易概念;高端装备;雄安新区;数据中心;京津冀一体化;俄乌冲突概念;阿里巴巴概念;融资融券
17,600540.SH,600540,11,粮食概念;土地流转;农业种植;新疆振兴;乡村振兴;统一大市场;国企改革;西部大开发;建筑节能;冷链物流;风电
17,600343.SH,600343,13,商业航天;军民融合;大飞机;军工;水利;高端装备;央企国企改革;西部大开发;国企改革;氢能源;煤化工概念;沪股通;融资融券
33,002378.SZ,002378,7,小金属概念;金属铜;2025年报预增;工业母机;深股通;融资融券;军工
17,600875.SH,600875,23,抽水蓄能;可控核聚变;光热发电;核电;超超临界发电;风电;光伏概念;储能;氢能源;燃料电池;高端装备;雅下水电概念;新能源汽车;工业互联网;央企国企改革;西部大开发;国企改革;人工智能;DeepSeek概念;乡村振兴;沪股通;融资融券;ChatGPT概念
