所属概念数量,股票代码,所属概念,market_code,code
14,603861.SH,柔性直流输电;智能电网;华为数字能源;特高压;东数西算(算力);核电;数据中心(AIDC);一带一路;储能;华为概念;新能源汽车;光伏概念;宁德时代概念;沪股通,17,603861
13,002129.SZ,BC电池;硅能源;HJT电池;TOPCON电池;中芯国际概念;光伏概念;芯片概念;绿色电力;商业航天;同花顺漂亮100;一带一路;深股通;融资融券,33,002129
20,002185.SZ,国家大基金持股;先进封装;存储芯片;汽车芯片;第三代半导体;共封装光学(CPO);华为海思概念股;芯片概念;汽车电子;5G;毫米波雷达;智能座舱;传感器;比亚迪概念;华为概念;无人驾驶;机器人概念;深股通;融资融券;西部大开发,33,002185
6,603137.SH,装配式建筑;建筑节能;新型城镇化;光伏建筑一体化;股权转让(并购重组);融资融券,17,603137
14,600360.SH,第三代半导体;汽车电子;汽车芯片;先进封装;芯片概念;小米概念;新能源汽车;充电桩;华为概念;军工;国企改革;风电;摘帽;股权转让(并购重组),17,600360
16,001230.SZ,车联网(车路协同);无人驾驶;智慧城市;数字经济;人工智能;物联网;专精特新;机器人概念;新能源汽车;DeepSeek概念;数据中心(AIDC);污水处理;垃圾分类;新型城镇化;固废处理;PPP概念,33,001230
24,600288.SH,太赫兹;量子科技;机器视觉;专精特新;无人机;6G概念;机器人概念;华为概念;人工智能;元宇宙;芯片概念;腾讯概念;数据要素;AIGC概念;京津冀一体化;智能医疗;宁德时代概念;AI视频;虚拟数字人;华为手机;眼科医疗;期货概念;融资融券;沪股通,17,600288
16,002585.SZ,PET铜箔;OLED;柔性屏(折叠屏);消费电子概念;小米概念;光伏概念;华为概念;锂电池概念;新能源汽车;可降解塑料;区块链;建筑节能;绿色电力;参股银行;融资融券;深股通,33,002585
14,600120.SH,信托概念;参股保险;参股券商;参股银行;期货概念;共同富裕示范区;创投;国企改革;证金持股;量子科技;融资融券;中芯国际概念;2026中报预增;沪股通,17,600120
9,000078.SZ,医药电商;仿制药一致性评价;维生素;流感;创新药;ST板块;冷链物流;医疗器械概念;粤港澳大湾区,33,000078
11,300103.SZ,新型城镇化;智慧城市;腾讯概念;一带一路;固废处理;西部大开发;充电桩;高端装备;军工;股权转让(并购重组);金属回收,33,300103
26,002266.SZ,金属镍;金属钴;小金属概念;金属锌;金属铜;金属铅;黄金概念;金属回收;汽车拆解概念;动力电池回收;可控核聚变;核电;高端装备;一带一路;固废处理;创投;碳中和;雅下水电概念;共同富裕示范区;水利;文化传媒概念;绿色电力;抽水蓄能;深股通;融资融券;2026中报预增,33,002266
5,920058.BJ,中俄贸易概念;体育产业;人民币贬值受益;融资融券;两轮车,151,920058
4,301053.SZ,一带一路;新型工业化;专精特新;融资融券,33,301053
28,603893.SH,智能音箱;电力物联网;智能穿戴;小米概念;智能座舱;虚拟现实;AI眼镜;物联网;中国AI 50;百度概念;腾讯概念;华为概念;MCU芯片;智能家居;机器视觉;人工智能;消费电子概念;汽车芯片;比亚迪概念;机器人概念;人形机器人;海峡两岸;芯片概念;福建自贸区;国家大基金持股;2026一季报预增;融资融券;沪股通,17,603893
3,301068.SZ,算力租赁;固废处理;融资融券,33,301068
15,000711.SZ,金属锌;小金属概念;金属回收;无人机;物联网;黑龙江自贸区;固废处理;一带一路;ST板块;水利;污水处理;土壤修复;雄安新区;乡村振兴;PPP概念,33,000711
13,002617.SZ,第三代半导体;芯片概念;电力物联网;5G;智能家居;新能源汽车;人形机器人;机器人概念;特斯拉概念;绿色电力;跨境电商;深股通;融资融券,33,002617
14,002607.SZ,职业教育;乡村振兴;旅游概念;在线教育;虚拟数字人;AI应用;AIGC概念;DeepSeek概念;人工智能;阿里巴巴概念;百度概念;超级品牌;融资融券;深股通,33,002607
10,300228.SZ,中俄贸易概念;海工装备;氢能源;燃料电池;页岩气;天然气;储能;商业航天;芯片概念;深股通,33,300228
13,002132.SZ,硅能源;有机硅概念;光纤概念;钙钛矿电池;光伏概念;高铁;机器人概念;一带一路;特高压;2026一季报预增;黄金概念;深股通;融资融券,33,002132
14,920438.BJ,玻璃基板;商业航天;无人驾驶;6G概念;芯片概念;消费电子概念;军工;核污染防治;海工装备;专精特新;核电;比亚迪概念;先进封装;融资融券,151,920438
7,301595.SZ,商业航天;智能家居;露营经济;专精特新;跨境电商;深股通;融资融券,33,301595
18,688392.SH,先进封装;芯片概念;PET铜箔;液冷服务器;专精特新;比亚迪概念;宁德时代概念;军工;固态电池;新能源汽车;碳纤维;储能;人形机器人;人工智能;锂电池概念;医疗器械概念;沪股通;融资融券,17,688392
8,300522.SZ,光刻胶;染料;PCB概念;5G;石墨烯;固态电池;储能;股权转让(并购重组),33,300522
15,301151.SZ,新型城镇化;地下管网;雄安新区;水利;乡村振兴;污水处理;一带一路;专精特新;碳中和;核电;海峡两岸;液冷服务器;超超临界发电;抽水蓄能;融资融券,33,301151
