股票代码,所属概念,market_code,code,所属概念数量
688536.SH,汽车芯片;MCU芯片;共封装光学(CPO);芯片概念;5G;传感器;智能座舱;专精特新;无人机;储能;人形机器人;安防;机器人概念;股权转让(并购重组);沪股通;融资融券,17,688536,16
600883.SH,西部大开发;人民币贬值受益;股权转让(并购重组),17,600883,3
301560.SZ,空气能热泵;专精特新;液冷服务器;人民币贬值受益;储能;数据中心(AIDC);比亚迪概念;新能源汽车;汽车热管理;机器人概念;工业互联网;特斯拉概念;融资融券,33,301560,13
002806.SZ,超级电容;高压快充;汽车热管理;新能源汽车;无人驾驶;百度概念;储能;固态电池;燃料电池;车联网(车路协同);新疆振兴;股权转让(并购重组),33,002806,12
601877.SH,虚拟电厂;智能电网;绿色电力;光伏建筑一体化;充电桩;风电;储能;阿里巴巴概念;数据中心(AIDC);光伏概念;人工智能;物联网;一带一路;锂电池概念;机器人概念;特斯拉概念;沪股通;融资融券,17,601877,18
603817.SH,PPP概念;垃圾分类;绿色电力;福建自贸区;污水处理;固废处理;国企改革;海峡两岸,17,603817,8
600841.SH,农机;工业互联网;换电概念;数据中心(AIDC);无人驾驶;新能源汽车;氢能源;上海国企改革;国企改革;汽车芯片;沪股通,17,600841,11
600740.SH,煤炭概念;煤化工概念;国企改革;碳纤维;工业互联网;融资融券;沪股通,17,600740,7
601778.SH,算力租赁;东数西算(算力);数据中心(AIDC);虚拟电厂;绿色电力;光伏建筑一体化;储能;风电;光伏概念;阿里巴巴概念;碳交易;腾讯概念;碳中和;氢能源;沪股通;融资融券,17,601778,16
300927.SZ,丙烯酸;草甘膦;国企改革;股权转让(并购重组);融资融券,33,300927,5
300281.SZ,碳中和;粤港澳大湾区;中俄贸易概念;工业互联网;可降解塑料;养老概念;高端装备;国企改革;PVDF概念;卫星导航;商业航天;风电;绿色电力,33,300281,13
300126.SZ,人民币贬值受益,33,300126,1
002544.SZ,军民融合;卫星导航;商业航天;军工;低空经济;6G概念;网络安全;数字乡村;物联网;智慧城市;东数西算(算力);华为概念;数字孪生;数据中心(AIDC);机器人概念;数据要素;水利;横琴新区;农机;一带一路;5G;粤港澳大湾区;储能;雄安新区;汽车电子;国企改革;乡村振兴;PCB概念;深股通;融资融券,33,002544,30
300724.SZ,BC电池;HJT电池;TOPCON电池;钙钛矿电池;硅能源;光伏概念;锂电池概念;高端装备;粤港澳大湾区;第三代半导体;芯片概念;先进封装;PET铜箔;PCB概念;玻璃基板;融资融券;深股通,33,300724,17
920171.BJ,数据中心(AIDC);AI应用;雄安新区;百度概念;光纤概念;信创;互联网保险;华为概念;数字乡村;DeepSeek概念;京津冀一体化;融资融券;智慧政务;乡村振兴;互联网金融;数据要素;移动支付;养老概念;智慧城市;网络安全,151,920171,20
688050.SH,眼科医疗;医疗器械概念;人工智能;专精特新;沪股通;融资融券,17,688050,6
300685.SZ,创新药;基因测序;医疗器械概念;智能医疗;福建自贸区;海峡两岸;深股通;专精特新;融资融券,33,300685,9
301487.SZ,钠离子电池;固态电池;动力电池回收;宁德时代概念;锂电池概念;比亚迪概念;人形机器人;新能源汽车;机器人概念;消费电子概念;深股通;融资融券,33,301487,12
000837.SZ,减速器;工业母机;人形机器人;新型工业化;机器人概念;高端装备;新能源汽车;传感器;比亚迪概念;工业互联网;航空发动机;军工;风电;西部大开发;国企改革;深股通;融资融券,33,000837,17
300337.SZ,航空发动机;商业航天;大飞机;国产航母;军工;核污染防治;3D打印;高铁;海工装备;专精特新;比亚迪概念;小米概念;消费电子概念;华为概念;宁德时代概念;新能源汽车;特斯拉概念;华为手机;富士康概念;汽车热管理;牙科医疗;医疗器械概念;深股通;融资融券,33,300337,24
603382.SH,数字经济;工业互联网;绿色电力;融资融券,17,603382,4
300188.SZ,AI视频;财税数字化;数据确权;ChatGPT概念;AIGC概念;知识产权保护;职业教育;国资云;AI应用;区块链;元宇宙;数据要素;华为鲲鹏;鸿蒙概念;AI智能体;数字乡村;数字经济;DeepSeek概念;人脸识别;数据安全;电子身份证;数字货币;信创;国产操作系统;阿里巴巴概念;腾讯概念;人工智能;智慧城市;网络安全;车联网(车路协同);国企改革;安防;央企国企改革;食品安全;低空经济;福建自贸区;EDR概念;机器人概念;东数西算(算力);华为概念;海峡两岸;军工;无人机;数据中心(AIDC);智能穿戴;消费电子概念;深股通;AI眼镜;智慧政务;融资融券,33,300188,50
301556.SZ,数字乡村;AI智能体;数据要素;数字经济;DeepSeek概念;农机;人工智能;土壤修复;乡村振兴;转基因;共同富裕示范区;生态农业;物联网;机器人概念;专精特新;传感器;AI眼镜;深股通;融资融券,33,301556,19
603876.SH,钠离子电池;固态电池;锂电池概念;宁德时代概念;储能;一带一路;比亚迪概念;2026中报预增;沪股通;融资融券,17,603876,10
002334.SZ,液冷服务器;数据中心(AIDC);人形机器人;芯片概念;物联网;新型工业化;充电桩;换电概念;比亚迪概念;工业母机;光伏概念;机器人概念;工业互联网;核电;低空经济;新能源汽车;储能;稀土永磁;百度概念;海工装备;燃料电池;粤港澳大湾区;风电;氢能源;光伏建筑一体化;锂电池概念;深股通;AI智能体;融资融券,33,002334,29
920146.BJ,氢能源;新能源汽车;比亚迪概念;融资融券,151,920146,4
002550.SZ,仿制药一致性评价;创新药;肝炎概念;合成生物;深股通;重组蛋白,33,002550,6
301036.SZ,光刻胶;参股银行;绿色电力;融资融券,33,301036,4
301298.SZ,人民币贬值受益;高铁;新能源汽车;新型工业化;机器视觉;减速器;融资融券,33,301298,7
600616.SH,上海国企改革;网红经济;国企改革;融资融券,17,600616,4
603658.SH,流感;猴痘概念;幽门螺杆菌概念;基因测序;医疗器械概念;智能医疗;DeepSeek概念;AI应用;人工智能;沪股通;融资融券,17,603658,11
920792.BJ,小金属概念;融资融券;专精特新,151,920792,3
601118.SH,海南自贸区;碳中和;农业种植;乡村振兴;国企改革;可降解塑料;军工;融资融券;沪股通,17,601118,9
000523.SZ,广东自贸区;物业管理;代糖概念;国企改革;啤酒概念;创投;粤港澳大湾区;工业互联网;2026中报预增;股权转让(并购重组);深股通,33,000523,11
603829.SH,智能电网;储能;光伏概念,17,603829,3
301006.SZ,物联网;专精特新;融资融券,33,301006,3
002553.SZ,减速器;ChatGPT概念;语音技术;人工智能;机器人概念;物联网;无人机;新能源汽车;专精特新;比亚迪概念;锂电池概念;无线耳机;芯片概念;MCU芯片;汽车芯片;融资融券;深股通,33,002553,17
002011.SZ,空气能热泵;汽车热管理;冷链物流;创投;储能;冰雪产业;新能源汽车;核电;宁德时代概念;高铁;比亚迪概念;雄安新区;军工;华为概念;数据中心(AIDC);液冷服务器;融资融券;深股通,33,002011,18
002765.SZ,减速器;华为汽车;长安汽车概念;机器人概念;低空经济;虚拟现实;新能源汽车;智能座舱;军工;比亚迪概念;西部大开发;国企改革;汽车电子;消费电子概念;富士康概念;股权转让(并购重组);深股通;融资融券,33,002765,18
600237.SH,PET铜箔;高压快充;柔性直流输电;华为数字能源;可控核聚变;光伏概念;宁德时代概念;新能源汽车;风电;国企改革;融资融券;沪股通,17,600237,12
002128.SZ,煤炭概念;高股息精选;国企改革;西部大开发;央企国企改革;绿色电力;风电;深股通;融资融券;数据要素;储能;股权转让(并购重组),33,002128,12
688088.SH,空间计算;AI视频;人脸识别;多模态AI;AIGC概念;虚拟数字人;AI应用;元宇宙;抖音概念(字节概念);机器视觉;人工智能;智慧城市;安防;虚拟现实;长安汽车概念;机器人概念;同花顺新质50;华为概念;MR(混合现实);智能座舱;无人驾驶;小米概念;智能穿戴;消费电子概念;AI眼镜;芯片概念;人形机器人;沪股通;融资融券,17,688088,29
002405.SZ,百度概念;国产操作系统;数据安全;区块链;鸿蒙概念;数据要素;时空大数据;阿里巴巴概念;抖音概念(字节概念);智慧城市;DeepSeek概念;车联网(车路协同);人工智能;星闪概念;京津冀一体化;华为概念;共享单车;低空经济;长安汽车概念;充电桩;智能座舱;无人驾驶;卫星导航;小米汽车;机器人概念;华为汽车;两轮车;无人机;人形机器人;小米概念;军工;智能穿戴;参股保险;商业航天;比亚迪概念;汽车电子;MCU芯片;汽车芯片;芯片概念;融资融券;深股通,33,002405,41
002892.SZ,华为汽车;新型工业化;工业母机;机器人概念;智能家居;无人机;新能源汽车;3D打印;人民币贬值受益;专精特新;小米概念;华为概念;粤港澳大湾区;深股通;融资融券,33,002892,15
688631.SH,军工信息化;数据要素;军民融合;数字孪生;DeepSeek概念;智慧城市;低空经济;车联网(车路协同);同花顺新质50;军工;华为概念;商业航天;央企国企改革;PM2.5;国企改革;沪股通;融资融券,17,688631,17
002318.SZ,特钢概念;海工装备;同花顺出海50;核电;可控核聚变;超超临界发电;融资融券;深股通,33,002318,8
601020.SH,金属铅;金属锌;黄金概念;金属铜;小金属概念;一带一路;人民币贬值受益;西部大开发;沪股通;融资融券,17,601020,10
603777.SH,腾讯概念;人工智能;智能物流;IP经济(谷子经济);白酒概念;融资融券,17,603777,6
300490.SZ,锂电池概念;数据中心(AIDC);高压快充;固态电池;智能电网;换电概念;宁德时代概念;东数西算(算力);钠离子电池;充电桩;储能;光伏概念;军工;国产操作系统;华为概念;比亚迪概念;华为鲲鹏;虚拟现实;机器视觉;航空发动机;工业互联网;虚拟电厂;数据要素;人工智能;多模态AI;数字孪生;机器人概念;MiniLED;新型工业化;DeepSeek概念;数字经济;风电;垃圾分类;水利;一带一路;光伏建筑一体化;碳中和;净水概念;污水处理;绿色电力;碳交易;深股通,33,300490,42
002911.SZ,煤化工概念;天然气;高股息精选;国企改革;氢能源;燃料电池;充电桩;储能;粤港澳大湾区;深股通;融资融券,33,002911,11
300403.SZ,减速器;人形机器人;汽车热管理;机器人概念;家用电器;机器视觉;新能源汽车;智能家居;传感器;腾讯概念;小米概念;一带一路;垃圾分类;粤港澳大湾区;汽车电子;充电桩;高压快充;深股通;融资融券,33,300403,19
603755.SH,预制菜;人工智能,17,603755,2
603277.SH,机器人概念;人民币贬值受益;高股息精选;沪股通,17,603277,4
688330.SH,电力物联网;智能电网;量子科技;专精特新;沪股通;融资融券,17,688330,6
603260.SH,有机硅概念;硅能源;第三代半导体;石墨电极;光伏概念;长三角一体化;光纤概念;沪股通;融资融券,17,603260,9
002991.SZ,深股通,33,002991,1
300240.SZ,中俄贸易概念;网约车;统一大市场;智能物流;创投;冷链物流;人工智能;一带一路;航运概念;阿里巴巴概念;车联网(车路协同);新能源汽车;特斯拉概念;无人驾驶;小米概念,33,300240,15
002096.SZ,民爆概念;新疆振兴;雅下水电概念;国企改革;一带一路;央企国企改革;军民融合;军工;深股通,33,002096,9
300371.SZ,人工智能;智慧城市;水利;雄安新区;物联网;AI智能体;DeepSeek概念;专精特新;华为概念;核电;传感器;绿色电力,33,300371,12
603217.SH,可降解塑料;合成生物;专精特新;固态电池;沪股通,17,603217,5
920639.BJ,数据中心(AIDC);智能电网;参股银行;融资融券;物联网,151,920639,5
601212.SH,金属铅;金属锌;黄金概念;金属铜;金属镍;小金属概念;超导概念;可控核聚变;锂电池概念;西部大开发;沪股通;融资融券,17,601212,12
688616.SH,电力物联网;智能电网;充电桩;高端装备;储能;融资融券,17,688616,6
603212.SH,BC电池;MicroLED概念;TOPCON电池;钙钛矿电池;特斯拉概念;新能源汽车;MiniLED;比亚迪概念;HJT电池;风电;高压快充;高铁;专精特新;先进封装;宁德时代概念;光伏概念;无线耳机;消费电子概念;储能;POE胶膜;芯片概念;锂电池概念;固态电池;AI应用;人工智能;OLED;长三角一体化;沪股通;融资融券,17,603212,29
920454.BJ,专精特新;机器人概念;融资融券;中俄贸易概念,151,920454,4
600508.SH,煤炭概念;超超临界发电;绿色电力;国企改革;央企国企改革;虚拟电厂;储能;沪股通;融资融券,17,600508,9
603967.SH,中韩自贸区;统一大市场;航运概念;中俄贸易概念;冷链物流;自由贸易港;高股息精选;智能物流;一带一路;俄乌冲突概念;核电,17,603967,11
000856.SZ,建筑节能;水泥概念;京津冀一体化;机器人概念;高端装备;国企改革;智能电网,33,000856,7
688073.SH,人民币贬值受益;沪股通;融资融券,17,688073,3
920238.BJ,工业母机;专精特新,151,920238,5
688466.SH,净水概念;DeepSeek概念;AI智能体;污水处理;京津冀一体化;碳中和;专精特新;融资融券,17,688466,8
603279.SH,污水处理;高股息精选;融资融券;沪股通,17,603279,4
600530.SH,幽门螺杆菌概念;宠物经济;养老概念;沪股通,17,600530,4
002988.SZ,汽车热管理;建筑节能;华为汽车;智能物流;新能源汽车;比亚迪概念;储能;商业航天;光伏概念;机器人概念;深股通,33,002988,11
000898.SZ,特钢概念;证金持股;煤化工概念;国企改革;央企国企改革;金属回收;氢能源;数据要素;海工装备;比亚迪概念;深股通;融资融券;数据中心(AIDC),33,000898,13
002542.SZ,文化传媒概念;地下管网;特色小镇;旅游概念;新型城镇化;PPP概念;新疆振兴;国企改革;一带一路;云计算;ST板块;低空经济;数据中心(AIDC);芯片概念,33,002542,14
000980.SZ,百度概念;新能源汽车;中俄贸易概念;一带一路;深股通;融资融券,33,000980,6
601808.SH,可燃冰;俄乌冲突概念;天然气;同花顺中特估100;证金持股;国企改革;央企国企改革;一带一路;海工装备;沪股通;融资融券;高端装备;中字头股票,17,601808,13
300118.SZ,TOPCON电池;HJT电池;钙钛矿电池;硅能源;光伏概念;储能;商业航天;光伏建筑一体化;华为概念;共同富裕示范区;绿色电力;乡村振兴;深股通;融资融券,33,300118,14
601162.SH,期货概念;物业管理;国企改革;2026中报预增;沪股通;融资融券,17,601162,6
920475.BJ,一带一路;虚拟现实;数字孪生;金属铜;智能物流;AIGC概念;融资融券;机器人概念;无人驾驶;专精特新,151,920475,10
920556.BJ,数据中心(AIDC);电力物联网;数字孪生;商业航天;智能电网;腾讯概念;融资融券;物联网;百度概念;阿里巴巴概念;传感器;华为数字能源;储能;云计算;5G;华为概念;充电桩,151,920556,17
600455.SH,职业教育;鸿蒙概念;西部大开发;国企改革,17,600455,4
688805.SH,科创次新股;注册制次新股;超导概念;医疗器械概念;风电;新股与次新股;融资融券,17,688805,7
300393.SZ,BC电池;TOPCON电池;钙钛矿电池;光伏概念;光伏建筑一体化;华为概念;虚拟电厂;AI智能体;国企改革;深股通;融资融券,33,300393,11
001207.SZ,特高压;固态电池;深股通,33,001207,3
301001.SZ,小红书概念;虚拟数字人;拼多多概念;网红经济;AI应用;跨境电商;AI智能体;抖音概念(字节概念);阿里巴巴概念;数字经济;人工智能;DeepSeek概念;融资融券,33,301001,13
603238.SH,宠物经济;三胎概念;网红经济;人民币贬值受益,17,603238,4
301199.SZ,新型工业化;长安汽车概念;机器人概念;智能物流;高端装备;工业互联网;人工智能;物联网;新能源汽车;建筑节能;军工;比亚迪概念;融资融券,33,301199,13
688130.SH,芯片概念;智能家居;血氧仪;储能;机器人概念;融资融券,17,688130,6
002320.SZ,海南自贸区;自由贸易港;航运概念;旅游概念;国企改革;央企国企改革;股权转让(并购重组);深股通;融资融券,33,002320,9
920608.BJ,融资融券;专精特新;乡村振兴;农机,151,920608,4
300741.SZ,宠物经济;人造肉;乡村振兴;西部大开发;烟草;一带一路;人工智能;新型烟草(电子烟);合成生物;融资融券;深股通,33,300741,11
600729.SH,高股息精选;证金持股;IP经济(谷子经济);养老概念;西部大开发;黄金概念;互联网金融;人工智能;沪股通;融资融券;机器人概念;小米汽车,17,600729,12
002500.SZ,证金持股;国企改革;互联网金融;创投;深股通;融资融券,33,002500,6
603587.SH,参股券商;IP经济(谷子经济);沪股通,17,603587,3
605151.SH,智能物流;创投;比亚迪概念;统一大市场;新能源汽车,17,605151,5
002501.SZ,ST板块;军工;光伏概念;新能源汽车;股权转让(并购重组),33,002501,5
603768.SH,一体化压铸;锂电池概念;长安汽车概念;新能源汽车;宁德时代概念;华为汽车;比亚迪概念,17,603768,7
002465.SZ,军工信息化;卫星导航;6G概念;大飞机;商业航天;太赫兹;航空发动机;国产航母;智能穿戴;军民融合;无人机;军工;低空经济;虚拟现实;物联网;时空大数据;5G;车联网(车路协同);国产操作系统;同花顺新质50;成飞概念;无人驾驶;机器人概念;智慧城市;人工智能;脑机接口;DeepSeek概念;芯片概念;粤港澳大湾区;国企改革;深股通;融资融券,33,002465,32
600496.SH,NMN概念;装配式建筑;新型城镇化;光伏建筑一体化;雄安新区;DeepSeek概念;一带一路;参股银行;工业互联网;沪股通;融资融券,17,600496,11
600995.SH,抽水蓄能;绿色电力;虚拟电厂;央企国企改革;国企改革;水利;储能;西部大开发;DeepSeek概念;钠离子电池;沪股通;融资融券,17,600995,12
002363.SZ,数字经济;长安汽车概念;华为汽车;军工;百度概念;新能源汽车;比亚迪概念;特斯拉概念;华为概念;商业航天,33,002363,10
605116.SH,减肥药;创新药;仿制药一致性评价;医药电商;肝炎概念;CRO概念;辅助生殖;合成生物;人民币贬值受益;量子科技;沪股通,17,605116,11
600795.SH,超超临界发电;抽水蓄能;证金持股;绿色电力;央企国企改革;国企改革;风电;沪股通;融资融券,17,600795,9
300187.SZ,生物质能发电;新型城镇化;PPP概念;固废处理;光伏建筑一体化;雄安新区;碳中和;土壤修复;污水处理;风电;PM2.5;智能电网;AI智能体;充电桩;储能;金属回收;比亚迪概念;小金属概念,33,300187,18
600635.SH,天然气;互联网金融;污水处理;独角兽概念;创投;绿色电力;充电桩;新能源汽车;高压快充;沪股通;融资融券,17,600635,11
000623.SZ,参股券商;医药电商;创新药;维生素;肝炎概念;流感;三胎概念;农业种植;幽门螺杆菌概念;网红经济;乡村振兴;创投;工业互联网;深股通;融资融券;2026中报预增,33,000623,16
300059.SZ,期货概念;互联网保险;互联网金融;区块链;AI应用;证金持股;AIGC概念;数据要素;DeepSeek概念;同花顺漂亮100;人工智能;深股通;融资融券,33,300059,13
600739.SH,参股券商;生物疫苗;参股保险;创新药;雄安新区;职业教育;页岩气;创投;沪股通;融资融券;2026中报预增,17,600739,11
000617.SZ,信托概念;新疆振兴;同花顺中特估100;跨境支付(CIPS);参股券商;期货概念;参股银行;数字货币;国企改革;碳中和;西部大开发;氢能源;创投;一带一路;深股通;可控核聚变;中字头股票;融资融券,33,000617,18
002451.SZ,智能电网;智慧城市;海工装备;充电桩;风电;储能;创投;高铁;化债概念(AMC概念);光伏概念;高端装备;机器人概念;物业管理;上海自贸区;5G;融资融券,33,002451,16
600177.SH,高股息精选;证金持股;冰雪产业;参股保险;参股银行;养老概念;三胎概念;互联网金融;沪股通;融资融券,17,600177,10
601375.SH,期货概念;国企改革;沪股通;融资融券,17,601375,4
002255.SZ,核电;可控核聚变;氢能源;固废处理;污水处理;充电桩;高端装备;光伏概念;绿色电力;芯片概念;第三代半导体;融资融券;深股通,33,002255,13
002523.SZ,水利;海工装备;一带一路;军工;工业互联网;机器人概念;人工智能;核电;体育产业;雅下水电概念;国企改革;固废处理;华为概念;风电;冰雪产业;深股通;融资融券,33,002523,17
300698.SZ,华为昇腾;英伟达概念;算力租赁;无人驾驶;云计算;车联网(车路协同);东数西算(算力);百度概念;卫星导航;数据中心(AIDC);物联网;阿里巴巴概念;数据要素;液冷服务器;比亚迪概念;人工智能;5G;DeepSeek概念;智能医疗;网约车;智能物流;光纤概念;一带一路;深股通,33,300698,24
300245.SZ,财税数字化;华为鲲鹏;ChatGPT概念;智慧政务;数据要素;区块链;ST板块;华为昇腾;信创;人脸识别;阿里巴巴概念;数字经济;互联网金融;智慧城市;国产操作系统;东数西算(算力);数据中心(AIDC);华为概念;长三角一体化;机器人概念;5G,33,300245,21
920856.BJ,参股银行;物联网;无人驾驶;融资融券;机器人概念;无人机;一带一路;专精特新,151,920856,8
600248.SH,煤化工概念;参股保险;天然气;装配式建筑;PPP概念;新疆振兴;乡村振兴;国企改革;雅下水电概念;西部大开发;水利;一带一路;DeepSeek概念;风电;智慧城市;储能;融资融券;沪股通,17,600248,18
002003.SZ,高股息精选;同花顺出海50;融资融券;深股通,33,002003,4
920275.BJ,融资融券;宠物经济;合成生物,151,920275,3
600970.SH,中字头股票;同花顺中特估100;高股息精选;水泥概念;同花顺出海50;央企国企改革;国企改革;绿色电力;DeepSeek概念;风电;沪股通;融资融券,17,600970,12
002590.SZ,小米汽车;人形机器人;华为汽车;长安汽车概念;无人驾驶;比亚迪概念;汽车电子;小米概念;机器人概念;车联网(车路协同);毫米波雷达;飞行汽车(eVTOL);新能源汽车;工业互联网;百度概念;低空经济;独角兽概念;无线充电;军工;两轮车;绿色电力;融资融券;深股通,33,002590,23
600055.SH,智能医疗;京津冀一体化;医疗器械概念;一带一路;DeepSeek概念;AI智能体;阿里巴巴概念;云计算;绿色电力;机器人概念;数据中心(AIDC);超导概念;沪股通;融资融券,17,600055,14
920427.BJ,无人机;消费电子概念;低空经济;先进封装;房屋检测;芯片概念;地下管网;新型城镇化;融资融券,151,920427,9
601900.SH,IP经济(谷子经济);文化传媒概念;高股息精选;在线教育;参股银行;国企改革;AI应用;人工智能;沪股通;融资融券,17,601900,10
600875.SH,抽水蓄能;ChatGPT概念;光热发电;核电;超超临界发电;风电;DeepSeek概念;可控核聚变;人工智能;储能;工业互联网;高端装备;光伏概念;雅下水电概念;燃料电池;新能源汽车;氢能源;央企国企改革;乡村振兴;国企改革;西部大开发;沪股通;融资融券,17,600875,23
605336.SH,智能家居;DeepSeek概念;家用电器;ST板块,22,605336,4
002285.SZ,租售同权;物业管理;特色小镇;新型城镇化;横琴新区;养老概念;互联网金融;化债概念(AMC概念);云计算;粤港澳大湾区;国企改革;华为概念;深股通;融资融券,33,002285,14
600771.SH,创新药;医药电商;阿尔茨海默概念;白酒概念;国企改革;融资融券;沪股通,17,600771,7
002163.SZ,海南自贸区;国企改革;免税店;光伏建筑一体化;宠物经济;融资融券;深股通,33,002163,7
603999.SH,知识产权保护;文化传媒概念;在线教育;数据要素;IP经济(谷子经济);NFT概念;腾讯概念;参股保险;国企改革;农村电商;西部大开发;参股券商,17,603999,12
301180.SZ,储能;比亚迪概念;苹果概念;智能穿戴;新能源汽车;华为概念;消费电子概念;宁德时代概念;锂电池概念;高压快充;AI眼镜;深股通;融资融券,33,301180,13
300956.SZ,AI PC;光伏建筑一体化;小米概念;人民币贬值受益;储能;机器人概念;消费电子概念;专精特新;绿色电力;锂电池概念;HJT电池;人形机器人;光伏概念;固态电池;TOPCON电池;融资融券,33,300956,16
002809.SZ,环氧丙烷;丙烯酸;装配式建筑;雄安新区;水利;京津冀一体化;粤港澳大湾区;专精特新;雅下水电概念,33,002809,9
601608.SH,大飞机;国产航母;高端装备;新型工业化;商业航天;军工;工业互联网;机器人概念;一体化压铸;人工智能;减速器;核电;海工装备;人形机器人;一带一路;华为概念;风电;国企改革;光伏概念;F5G概念;同花顺中特估100;融资融券;沪股通;中字头股票,17,601608,24
603102.SH,三胎概念;宠物经济;维生素;NMN概念,17,603102,4
300773.SZ,数字货币;移动支付;蚂蚁集团概念;跨境支付(CIPS);互联网金融;区块链;数据确权;云计算;鸿蒙概念;腾讯概念;数据要素;AI应用;AI智能体;数字经济;DeepSeek概念;人工智能;华为概念;小米概念;跨境电商;智能穿戴;智能物流;参股保险;2026中报预增;深股通;融资融券,33,300773,25
603586.SH,高铁;人民币贬值受益;新能源汽车;比亚迪概念,17,603586,4
688297.SH,央企国企改革;西部大开发;国企改革;军民融合;人工智能;军工;低空经济;无人机;沪股通;中字头股票;融资融券,17,688297,12
300073.SZ,钠离子电池;动力电池回收;固态电池;金属钴;锂电池概念;宁德时代概念;小金属概念;储能;比亚迪概念;特斯拉概念;飞行汽车(eVTOL);新能源汽车;无人机;低空经济;高端装备;国企改革;央企国企改革;深股通;2026中报预增;融资融券,33,300073,20
603289.SH,新型工业化;高端装备;一体化压铸;比亚迪概念;垃圾分类;新能源汽车;地下管网;长三角一体化,17,603289,8
300631.SZ,盐湖提锂;稀土永磁;固态电池;锂电池概念;专精特新;净水概念;垃圾分类;光伏概念;污水处理,33,300631,9
603035.SH,华为汽车;小米汽车;特斯拉概念;新能源汽车;机器视觉;比亚迪概念;小米概念;智能座舱;传感器;沪股通;融资融券,17,603035,11
002097.SZ,农机;雅下水电概念;国企改革;一带一路;高铁;数字经济;人工智能;军民融合;低空经济;工业互联网;人民币贬值受益;飞行汽车(eVTOL);高端装备;海峡两岸;军工;机器人概念;航空发动机;核污染防治;无人机;页岩气;传感器;锂电池概念;5G;消费电子概念;深股通;融资融券,33,002097,26
601038.SH,乡村振兴;国企改革;央企国企改革;中俄贸易概念;农机;工业互联网;高端装备;沪股通;融资融券;无人驾驶,17,601038,10
600493.SH,创投;海峡两岸;人民币贬值受益,17,600493,3
300559.SZ,阿里巴巴概念;职业教育;在线教育;腾讯概念;信创;虚拟数字人;AI智能体;DeepSeek概念;华为概念;多模态AI;人工智能;AI应用;体育产业;西部大开发;深股通,33,300559,15
920985.BJ,石墨电极;氢能源;融资融券;光伏概念;TOPCON电池;HJT电池;换电概念;储能,151,920985,8
301383.SZ,智能音箱;无线耳机;语音技术;MR(混合现实);智能穿戴;物联网;虚拟现实;AI眼镜;抖音概念(字节概念);消费电子概念;专精特新;百度概念;人民币贬值受益;跨境电商;电子竞技;智能医疗;医疗器械概念;一带一路;深股通;融资融券,33,301383,20
300082.SZ,钠离子电池;固态电池;锂电池概念;宁德时代概念;柔性屏(折叠屏);储能;新能源汽车;污水处理;碳中和;PCB概念;一带一路;深股通;融资融券,33,300082,13
920363.BJ,无人驾驶;机器人概念;机器视觉;生态农业;融资融券;高端装备;车联网(车路协同);传感器;新型城镇化;军民融合;专精特新;卫星导航;农机;军工;商业航天;安防;无人机;DeepSeek概念,151,920363,18
300491.SZ,高压快充;智能电网;数据中心(AIDC);充电桩;储能;换电概念;汽车电子;军工;新能源汽车;京津冀一体化;雄安新区,33,300491,11
300770.SZ,IP经济(谷子经济);电子竞技;NFT概念;文化传媒概念;虚拟数字人;高股息精选;短剧游戏;知识产权保护;在线教育;国企改革;云游戏;元宇宙;快手概念;人工智能;腾讯概念;抖音概念(字节概念);网络安全;虚拟现实;华为概念;小米概念;华为海思概念股;深股通;融资融券,33,300770,23
002408.SZ,环氧丙烷;可降解塑料;氢能源;国企改革;碳纤维;深股通;融资融券;2026中报预增,33,002408,8
600816.SH,信托概念;参股银行;融资融券;沪股通,17,600816,4
920925.BJ,芯片概念;融资融券;跨境电商;医疗器械概念;专精特新;智能医疗;人民币贬值受益,151,920925,7
600689.SH,创投;物业管理;国企改革;人民币贬值受益;安防;独角兽概念;股权转让(并购重组),17,600689,7
301390.SZ,人工智能;智慧城市;数字经济;数据要素;水利;信创;安防;数字孪生;时空大数据;阿里巴巴概念;空间计算;华为概念;光伏建筑一体化;充电桩;电力物联网;储能;光伏概念;智能电网;数据中心(AIDC);风电;碳交易;特高压;5G;虚拟电厂;绿色电力;融资融券,33,301390,26
603500.SH,高铁;家用电器;高端装备;专精特新;互联网金融;无人机;超级电容,17,603500,7
300545.SZ,柔性屏(折叠屏);MR(混合现实);新型工业化;苹果概念;消费电子概念;MiniLED;虚拟现实;5G;智能穿戴;富士康概念;汽车电子;MicroLED概念;OLED;专精特新;芯片概念;华为手机;AI眼镜;智能座舱;先进封装;华为概念;机器人概念;华为汽车;光伏概念;钙钛矿电池;锂电池概念;固态电池;钠离子电池;玻璃基板;深股通,33,300545,30
600880.SH,NFT概念;手机游戏;文化传媒概念;网络游戏;小红书概念;知识产权保护;AI视频;短剧游戏;虚拟数字人;AIGC概念;AI应用;数据确权;跨境电商;数据要素;区块链;蚂蚁集团概念;旅游概念;AI智能体;数字经济;鸿蒙概念;人工智能;百度概念;抖音概念(字节概念);互联网金融;DeepSeek概念;腾讯概念;阿里巴巴概念;智慧城市;乡村振兴;西部大开发;国企改革;虚拟现实;华为概念;融资融券;股权转让(并购重组);沪股通,17,600880,36
301358.SZ,钠离子电池;磷化工;动力电池回收;固态电池;金属铜;锂电池概念;宁德时代概念;储能;比亚迪概念;新能源汽车;深股通;融资融券,33,301358,12
