股票代码,所属概念,market_code,code,所属概念数量
601858.SH,国资云;知识产权保护;中字头股票;在线教育;文化传媒概念;数据要素;DeepSeek概念;数字经济;国企改革;智能医疗;芯片概念;同花顺中特估100;沪股通;融资融券,17,601858,14
000668.SZ,物业管理;摘帽,33,000668,2
603258.SH,电子竞技;手机游戏;网络游戏;AIGC概念;AI智能体;短剧游戏;创投;虚拟现实;沪股通,17,603258,9
002199.SZ,股权转让(并购重组);锂电池概念;ST板块;摘帽,33,002199,3
003001.SZ,土壤修复;水利;装配式建筑;地下管网;人工智能;雄安新区;一带一路;雅下水电概念;核电;可控核聚变,33,003001,10
002882.SZ,锂电池概念;固态电池;无人机;核电;粤港澳大湾区;比亚迪概念;深股通,33,002882,7
002903.SZ,工业母机;减速器;新型工业化;富士康概念;苹果概念;同花顺新质50;专精特新;消费电子概念;比亚迪概念;机器人概念;军工;新能源汽车;小米概念;芯片概念;华为概念;第三代半导体;融资融券,33,002903,17
603399.SH,小金属概念;固态电池;锂电池概念;股权转让(并购重组);储能;专精特新;沪股通;融资融券,17,603399,8
002667.SZ,金属铅;金属锌;垃圾分类;小金属概念;磷化工;储能;ST板块;锂电池概念,33,002667,8
002517.SZ,电子竞技;手机游戏;网络游戏;NFT概念;IP经济(谷子经济);AIGC概念;AI应用;元宇宙;区块链;人工智能;腾讯概念;数字经济;鸿蒙概念;虚拟现实;华为概念;AI眼镜;深股通;融资融券,33,002517,18
603801.SH,高股息精选;智能家居;阿里巴巴概念;工业互联网,17,603801,4
002791.SZ,雄安新区;光伏建筑一体化;垃圾分类;智能家居;海峡两岸;粤港澳大湾区;充电桩;光伏概念;融资融券;深股通,33,002791,10
603559.SH,时空大数据;云计算;数据中心(AIDC);东数西算(算力);5G;摘帽,17,603559,6
002956.SZ,跨境电商;西部大开发;2026中报预增;深股通,33,002956,4
603400.SH,机器人概念;新能源汽车;消费电子概念;人民币贬值受益;汽车电子;智能家居;充电桩;储能;锂电池概念;沪股通;融资融券,17,603400,11
603719.SH,乳业;网红经济;三胎概念;IP经济(谷子经济);沪股通;融资融券,17,603719,6
002597.SZ,代糖概念;煤化工概念;合成生物;生物质能发电;锂电池概念;固态电池;光伏概念;深股通;融资融券,33,002597,9
001318.SZ,乳业;三胎概念;冷链物流;乡村振兴,33,001318,4
603163.SH,中芯国际概念;芯片概念;富士康概念;海峡两岸;一带一路;融资融券;沪股通,17,603163,7
002833.SZ,粤港澳大湾区;专精特新;新型工业化;高端装备;新能源汽车;减速器;高股息精选;机器人概念;DeepSeek概念;深股通,33,002833,10
002827.SZ,民爆概念;雅下水电概念;西部大开发;国企改革;芯片概念;深股通,33,002827,6
000636.SZ,超级电容;共封装光学(CPO);AI眼镜;5G;液冷服务器;汽车电子;智能穿戴;高压快充;数据中心(AIDC);光伏概念;传感器;东数西算(算力);华为概念;商业航天;深股通;卫星导航;储能;比亚迪概念;粤港澳大湾区;小金属概念;锂电池概念;无人机;机器人概念;创投;低空经济;国企改革;2026中报预增;融资融券,33,000636,28
000736.SZ,物业管理;西部大开发;国企改革;雄安新区;参股券商;央企国企改革;充电桩;数据中心(AIDC);中字头股票;摘帽,33,000736,10
603407.SH,注册制次新股;小金属概念;牙科医疗;比亚迪概念;新股与次新股;融资融券,17,603407,6
002440.SZ,染料;消毒剂;氟化工概念;深股通;融资融券;2026中报预增,33,002440,6
002083.SZ,氟化工概念;托育服务;锂电池概念;三胎概念;中俄贸易概念;创投;人民币贬值受益;军民融合;一带一路;硅能源;国企改革;军工;海工装备;新能源汽车;高铁;2026中报预增;深股通,33,002083,17
605136.SH,网红经济;三胎概念;跨境电商;乡村振兴;拼多多概念;创投;抖音概念(字节概念),17,605136,7
002212.SZ,数据安全;数据确权;云办公;财税数字化;华为鲲鹏;网络安全;华为昇腾;智慧政务;云计算;AI智能体;区块链;ChatGPT概念;电子身份证;鸿蒙概念;数字货币;信创;AI应用;阿里巴巴概念;多模态AI;国产操作系统;腾讯概念;DeepSeek概念;互联网金融;智慧城市;跨境支付(CIPS);数字水印;车联网(车路协同);人工智能;数字经济;EDR概念;物联网;东数西算(算力);工业互联网;华为概念;智慧灯杆;量子科技;低空经济;水利;数据中心(AIDC);智能电网;雄安新区;一带一路;无人机;机器人概念;储能;新型工业化;卫星导航;5G;商业航天;芯片概念;深股通;融资融券,33,002212,52
603580.SH,海峡两岸;消费电子概念;人民币贬值受益;摘帽,17,603580,4
603068.SH,MCU芯片;汽车芯片;传感器;小米概念;智能穿戴;芯片概念;星闪概念;智能音箱;消费电子概念;无线耳机;AI眼镜;卫星导航;WiFi 6;无人机;物联网;华为概念;毫米波雷达;无人驾驶;低空经济;智能家居;ETC;上海自贸区;智慧城市;人工智能;阿里巴巴概念;抖音概念(字节概念);鸿蒙概念;2026中报预增;沪股通,17,603068,29
603556.SH,电力物联网;智能电网;DeepSeek概念;物联网;充电桩;储能;光伏概念;一带一路;人民币贬值受益;沪股通;融资融券,17,603556,12
603057.SH,预制菜;冷链物流;一带一路;沪股通,17,603057,4
002568.SZ,超级品牌;长三角一体化;深股通;融资融券,33,002568,4
603833.SH,高股息精选;同花顺漂亮100;C2M概念;智能家居;沪股通;融资融券,17,603833,6
001323.SZ,高股息精选;跨境电商;智能家居;DeepSeek概念;人工智能;鸿蒙概念;物联网;华为概念;深股通,33,001323,9
605188.SH,预制菜;冷链物流;智能物流;沪股通,17,605188,4
