name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,77.72,78.51,77.72,34000.0,77.59,100,77.99,1000,-1.01,77.72,77.72,34000,2640000.0,0.15,0.0,17.48,86.79,94.21,62.81,0.0
锡华科技,sh603248,22.85,22.9,22.85,40400.0,22.81,1800,22.85,300,-0.22,22.85,22.85,40400,920000.0,0.06,0.0,15.84,105.11,25.19,20.61,0.0
天溯计量,sz301449,84.01,84.86,84.01,39700.0,84.01,1300,84.15,200,-1.0,84.01,84.01,39700,3340000.0,0.29,0.0,11.69,54.79,101.83,67.89,0.0
美埃科技,sh688376,78.7,78.7,78.7,5075700.0,78.66,2600,78.7,300,0.0,78.7,78.7,5075700,3990000.0,0.04,0.0,106.42,106.42,94.44,62.96,0.0
同飞股份,sz300990,86.83,87.28,86.83,48700.0,86.83,1900,87.0,600,-0.52,86.83,86.83,48700,4230000.0,0.06,0.0,66.97,148.11,104.74,69.82,0.0
中光防雷,sz300414,15.47,15.74,15.47,195900.0,15.47,1800,15.48,1000,-1.72,15.47,15.47,195900,3030000.0,0.06,0.0,48.5,50.44,18.89,12.59,0.0
苏州天脉,sz301626,178.0,179.0,178.0,300.0,176.58,200,178.0,100,-0.56,178.0,178.0,300,50000.0,0.0,0.0,93.66,205.91,214.8,143.2,0.0
ST名家汇,sz300506,4.15,4.18,4.15,9400.0,4.15,88100,4.16,2300,-0.72,4.15,4.15,9400,40000.0,0.0,0.0,30.49,59.16,5.02,3.34,0.0
森赫股份,sz301056,15.37,15.34,15.37,12200.0,15.37,4900,15.45,400,0.2,15.37,15.37,12200,190000.0,0.01,0.0,27.05,41.01,18.41,12.27,0.0
宏达电子,sz300726,49.75,50.12,49.75,30900.0,49.69,600,49.75,5700,-0.74,49.75,49.75,30900,1540000.0,0.01,0.0,106.68,204.89,60.14,40.1,0.0
宏源药业,sz301246,21.62,21.83,21.62,89300.0,21.62,800,21.73,500,-0.96,21.62,21.62,89300,1930000.0,0.06,0.0,34.6,86.48,26.2,17.46,0.0
华盛锂电,sh688353,105.01,105.79,105.01,2584000.0,105.01,4100,105.79,200,-0.74,105.01,105.01,2584000,2710000.0,0.02,0.0,167.49,167.49,126.95,84.63,0.0
鼎泰高科,sz301377,155.0,154.72,155.0,28400.0,155.0,100,155.4,100,0.18,155.0,155.0,28400,4400000.0,0.04,0.0,110.09,635.5,185.66,123.78,0.0
腾景科技,sh688195,170.99,170.82,170.99,2844700.0,170.99,1200,171.0,800,0.1,170.99,170.99,2844700,4860000.0,0.02,0.0,221.18,221.18,204.98,136.66,0.0
珂玛科技,sz301611,136.61,139.75,136.61,47700.0,136.61,25800,136.75,300,-2.25,136.61,136.61,47700,6520000.0,0.03,0.0,200.25,595.62,167.7,111.8,0.0
新诺威,sz300765,38.75,38.7,38.75,12700.0,38.75,500,38.81,800,0.13,38.75,38.75,12700,490000.0,0.0,0.0,544.28,544.28,46.44,30.96,0.0
安达智能,sh688125,173.99,167.84,173.99,55200.0,167.85,200,173.99,1800,3.66,173.99,173.99,55200,100000.0,0.0,0.0,142.13,142.89,201.41,134.27,0.0
杰华特,sh688141,48.0,46.55,48.0,27714000.0,48.0,274500,48.05,500,3.11,48.0,48.0,27714000,13300000.0,0.06,0.0,216.15,216.15,55.86,37.24,0.0
铜冠铜箔,sz301217,32.51,33.18,32.51,145900.0,32.51,60500,32.52,17400,-2.02,32.51,32.51,145900,4740000.0,0.02,0.0,269.51,269.51,39.82,26.54,0.0
海科新源,sz301292,55.25,55.86,55.25,101600.0,55.25,100,55.5,300,-1.09,55.25,55.25,101600,5610000.0,0.12,0.0,47.0,123.09,67.03,44.69,0.0
奕东电子,sz301123,61.9,62.57,61.9,48400.0,61.9,100,61.98,200,-1.07,61.9,61.9,48400,3000000.0,0.02,0.0,144.6,145.24,75.08,50.06,0.0
安通控股,sh600179,5.0,5.04,5.0,143500.0,5.0,109000,5.01,87300,-0.79,5.0,5.0,143500,720000.0,0.0,0.0,193.11,211.58,5.54,4.54,0.0
华联控股,sz000036,5.61,5.61,5.61,2077800.0,5.61,565000,5.62,242400,0.0,5.61,5.61,2077800,11660000.0,0.15,0.0,78.6,78.75,6.17,5.05,0.0
滨海能源,sz000695,12.28,12.33,12.28,45900.0,12.28,21500,12.29,9800,-0.41,12.28,12.28,45900,560000.0,0.02,0.0,27.24,27.28,13.56,11.1,0.0
嘉美包装,sz002969,20.8,18.92,20.8,10138600.0,20.79,1900,20.8,105300,9.94,20.8,20.8,10138600,210880000.0,1.0,0.0,211.46,212.73,20.81,17.03,0.0
联发股份,sz002394,15.17,15.27,15.17,69800.0,15.17,1700,15.19,2900,-0.65,15.17,15.17,69800,1060000.0,0.02,0.0,49.04,49.11,16.8,13.74,0.0
海汽集团,sh603069,23.01,23.25,23.01,65200.0,23.01,600,23.09,2600,-1.03,23.01,23.01,65200,1500000.0,0.02,0.0,72.71,72.71,25.58,20.93,0.0
胜通能源,sz001331,55.61,55.9,55.61,401800.0,55.61,1400,55.62,51000,-0.52,55.61,55.61,401800,22340000.0,0.24,0.0,93.36,156.95,61.49,50.31,0.0
海南瑞泽,sz002596,4.54,4.58,4.54,84700.0,4.54,25100,4.55,23200,-0.87,4.54,4.54,84700,380000.0,0.01,0.0,52.05,52.1,5.04,4.12,0.0
多氟多,sz002407,30.65,30.71,30.65,200100.0,30.65,1100,30.67,300,-0.2,30.65,30.65,200100,6130000.0,0.02,0.0,331.19,364.87,33.78,27.64,0.0
章源钨业,sz002378,19.56,19.42,19.56,2535900.0,19.53,100,19.56,405000,0.72,19.56,19.56,2535900,49600000.0,0.21,0.0,233.77,235.0,21.36,17.48,0.0
神剑股份,sz002361,11.38,11.89,11.38,2883900.0,11.38,42500,11.39,500,-4.29,11.38,11.38,2883900,32820000.0,0.36,0.0,92.08,108.23,13.08,10.7,0.0
圣晖集成,sh603163,88.74,92.8,88.74,113600.0,88.74,12800,89.0,400,-4.37,88.74,88.74,113600,10080000.0,0.11,0.0,88.74,88.74,102.08,83.52,0.0
万润股份,sz002643,17.2,17.28,17.2,359700.0,17.19,13400,17.2,1800,-0.46,17.2,17.2,359700,6190000.0,0.04,0.0,156.4,158.75,19.01,15.55,0.0
快克智能,sh603203,36.8,37.12,36.8,18700.0,36.77,1100,36.8,1900,-0.86,36.8,36.8,18700,690000.0,0.01,0.0,91.69,93.35,40.83,33.41,0.0
海南发展,sz002163,17.34,17.42,17.34,913400.0,17.34,37700,17.36,200,-0.46,17.34,17.34,913400,15840000.0,0.11,0.0,139.34,146.52,19.16,15.68,0.0
宏和科技,sh603256,38.66,39.2,38.66,148300.0,38.66,1500,38.8,300,-1.38,38.66,38.66,148300,5730000.0,0.02,0.0,340.1,340.1,43.12,35.28,0.0
亚翔集成,sh603929,143.1,145.62,143.1,94200.0,143.1,22500,143.58,100,-1.73,143.1,143.1,94200,13480000.0,0.04,0.0,305.32,305.32,160.18,131.06,0.0
世嘉科技,sz002796,43.44,43.61,43.44,102700.0,43.44,3100,43.6,8700,-0.39,43.44,43.44,102700,4460000.0,0.05,0.0,98.92,109.63,47.97,39.25,0.0
深圳新星,sh603978,26.58,26.53,26.58,51500.0,26.58,200,26.62,300,0.19,26.58,26.58,51500,1370000.0,0.02,0.0,56.11,56.11,29.18,23.88,0.0
友邦吊顶,sz002718,62.78,61.5,62.78,41500.0,62.73,900,62.78,200,2.08,62.78,62.78,41500,2610000.0,0.08,0.0,34.22,81.27,67.65,55.35,0.0
九鼎新材,sz002201,14.1,13.94,14.1,8926200.0,14.09,538100,14.1,20100,1.15,14.1,14.1,8926200,125860000.0,1.48,0.0,84.89,91.88,15.33,12.55,0.0
国风新材,sz000859,12.38,12.62,12.38,712400.0,12.38,8900,12.39,9000,-1.9,12.38,12.38,712400,8820000.0,0.08,0.0,110.92,110.92,13.88,11.36,0.0
天际股份,sz002759,40.0,40.3,40.0,268100.0,39.99,500,40.0,24400,-0.74,40.0,40.0,268100,10720000.0,0.05,0.0,200.38,200.55,44.33,36.27,0.0
东材科技,sh601208,26.38,26.69,26.38,537200.0,26.37,17700,26.38,9900,-1.16,26.38,26.38,537200,14170000.0,0.05,0.0,268.58,268.58,29.36,24.02,0.0
三孚股份,sh603938,26.03,26.96,26.03,394200.0,26.03,24100,26.05,1100,-3.45,26.03,26.03,394200,10260000.0,0.1,0.0,99.6,99.6,29.66,24.26,0.0
航天工程,sh603698,35.52,36.2,35.52,102500.0,35.5,2000,35.52,9700,-1.88,35.52,35.52,102500,3640000.0,0.02,0.0,190.38,190.38,39.82,32.58,0.0
翔鹭钨业,sz002842,20.81,20.94,20.81,865500.0,20.8,26900,20.81,18000,-0.62,20.81,20.81,865500,18010000.0,0.32,0.0,55.87,68.08,23.03,18.85,0.0
天赐材料,sz002709,43.0,43.12,43.0,167100.0,43.0,1100,43.02,800,-0.28,43.0,43.0,167100,7190000.0,0.01,0.0,646.91,874.57,47.43,38.81,0.0
安记食品,sh603696,21.12,21.5,21.12,178600.0,21.12,1800,21.2,100,-1.77,21.12,21.12,178600,3770000.0,0.08,0.0,49.67,49.67,23.65,19.35,0.0
柏诚股份,sh601133,18.4,18.78,18.4,727800.0,18.38,2700,18.4,4500,-2.02,18.4,18.4,727800,13390000.0,0.49,0.0,27.49,97.16,20.66,16.9,0.0
德尔未来,sz002631,5.73,5.76,5.73,112200.0,5.73,2300,5.75,1200,-0.52,5.73,5.73,112200,640000.0,0.01,0.0,45.47,45.68,6.34,5.18,0.0
创元科技,sz000551,15.0,15.37,15.0,258700.0,14.99,1400,15.0,1200,-2.41,15.0,15.0,258700,3880000.0,0.05,0.0,72.45,72.71,16.91,13.83,0.0
浔兴股份,sz002098,10.31,10.35,10.31,33500.0,10.31,6800,10.33,900,-0.39,10.31,10.31,33500,350000.0,0.01,0.0,36.91,36.91,11.39,9.32,0.0
合兴包装,sz002228,4.52,4.54,4.52,153000.0,4.51,80600,4.52,113400,-0.44,4.52,4.52,153000,690000.0,0.01,0.0,54.66,54.85,4.99,4.09,0.0
神农种业,sz300189,6.66,6.72,6.66,434000.0,6.66,183200,6.67,55200,-0.89,6.66,6.66,434000,2890000.0,0.05,0.0,59.02,68.2,8.06,5.38,0.0
南宁百货,sh600712,6.78,6.8,6.78,58400.0,6.77,3000,6.78,12300,-0.29,6.78,6.78,58400,400000.0,0.01,0.0,36.52,36.93,7.48,6.12,0.0
集泰股份,sz002909,7.3,7.41,7.3,248100.0,7.3,102500,7.36,5000,-1.48,7.3,7.3,248100,1810000.0,0.07,0.0,27.77,28.47,8.15,6.67,0.0
鹏辉能源,sz300438,45.6,46.1,45.6,119600.0,45.6,1200,45.7,2100,-1.08,45.6,45.6,119600,5450000.0,0.03,0.0,184.3,229.52,55.32,36.88,0.0
大中矿业,sz001203,28.5,27.87,28.5,177500.0,28.5,22400,28.52,100,2.26,28.5,28.5,177500,5060000.0,0.01,0.0,374.87,436.93,30.66,25.08,0.0
菱电电控,sh688667,76.18,76.23,76.18,170800.0,76.18,200,76.19,400,-0.07,76.18,76.18,170800,130000.0,0.0,0.0,40.14,40.14,91.48,60.98,0.0
海南海药,sz000566,6.64,6.7,6.64,170400.0,6.63,18900,6.64,65000,-0.9,6.64,6.64,170400,1130000.0,0.01,0.0,86.1,86.15,7.37,6.03,0.0
鲁信创投,sh600783,25.52,25.65,25.52,492600.0,25.52,55500,25.55,1200,-0.51,25.52,25.52,492600,12570000.0,0.07,0.0,189.96,189.96,28.22,23.09,0.0
鸿富瀚,sz301086,122.9,123.51,122.9,3300.0,122.51,300,122.9,800,-0.49,122.9,122.9,3300,410000.0,0.01,0.0,58.18,110.61,148.21,98.81,0.0
鹭燕医药,sz002788,16.64,16.64,16.64,484500.0,16.63,8100,16.64,18400,0.0,16.64,16.64,484500,8060000.0,0.13,0.0,63.53,64.65,18.3,14.98,0.0
青鸟消防,sz002960,11.18,11.3,11.18,118500.0,11.18,41600,11.2,1000,-1.06,11.18,11.18,118500,1320000.0,0.02,0.0,83.6,97.86,12.43,10.17,0.0
