name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3764.15,3882.41,3865.32,65045098400.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-07-17 16:14:02,-118.26,-3.05,3869.21,3745.17,3764.15/650450984/1246445452836,65045098400,1246445450000.0,1.34,16.76,,3869.21,3745.17,3.19,584630.88,627880.58,0.0,-1.0,-1.0,1.12,0.0,3818.15,,
深证成指,sz399001,13706.88,14488.65,14348.22,76377039500.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-07-17 16:14:51,-781.77,-5.4,14350.47,13586.49,13706.88/763770395/1408513306057,76377039500,1408513310000.0,3.12,44.84,,14350.47,13586.49,5.27,362393.01,425719.56,0.0,-1.0,-1.0,1.06,0.0,13977.49,,
创业板指,sz399006,3428.63,3692.46,3642.06,23022124300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-07-17 16:14:06,-263.83,-7.15,3642.06,3387.26,3428.63/230221243/682603696815,23022124300,682603700000.0,4.35,59.95,,3642.06,3387.26,6.9,143391.9,176827.73,0.0,-1.0,-1.0,1.09,0.0,3522.35,,
