股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code,std_code
002678.SZ,珠江钢琴,5.45,1.1131725417439795,涨停,1,0, 11:15:18, 11:15:18,赛马概念+文旅转型+广州国资,,,,33,2678,2678.0
002693.SZ,*ST双成,7.37,1.5151515151515196,涨停,2,0, 09:57:04, 10:06:47,海南自贸区+FDA获批+多肽药+ST,,,,33,2693,2693.0
002713.SZ,*ST东易,10.85,-1.0938924339106744,涨停,2,0, 14:03:42, 14:13:25,重整获批+算力业务+家装龙头+ST板块,,,,33,2713,2713.0
002769.SZ,普路通,11.55,-2.11864406779661,涨停,1,0, 09:45:50, 09:45:50,拟收购电商+AI电商+国资入主+供应链,,,,33,2769,2769.0
002788.SZ,鹭燕医药,17.0,1.0701545778834705,涨停,4,0, 09:33:00, 14:42:26,医药分销+中药饮片+海峡两岸,,,,33,2788,2788.0
002789.SZ,*ST建艺,9.07,4.9768518518518485,涨停,1,0, 09:32:00, 09:32:00,珠海国资+建筑装饰+石材产业链+ST板块,,,,33,2789,2789.0
002792.SZ,通宇通讯,35.37,0.0565770862800453,涨停,1,0, 14:02:39, 14:52:12,卫星通信+商业航天+铜缆高速连接+6G天线,,,,33,2792,2792.0
002800.SZ,天顺股份,15.8,2.464332036316477,涨停,1,0, 11:01:18, 11:01:18,一带一路+航空物流+中欧班列+新疆物流,,,,33,2800,2800.0
002810.SZ,山东赫达,15.0,3.1636863823934034,涨停,1,0, 09:30:30, 09:42:53,美双反终裁+植物胶囊+纤维素醚+出口占比高,,,,33,2810,2810.0
002910.SZ,庄园牧场,15.98,6.39147802929428,涨停,4,0, 09:34:15, 09:35:01,乳业+宠物经济+甘肃国资,,,,33,2910,2910.0
002951.SZ,金时科技,15.16,3.3401499659168388,涨停,1,0, 09:50:33, 09:50:33,摘帽+储能+超级电容+国企合作,,,,33,2951,2951.0
002969.SZ,嘉美包装,7.35,10.02994011976048,涨停,4,0, 09:30:00, 09:30:00,控制权变更+三片罐龙头+海峡两岸,,,,33,2969,2969.0
003021.SZ,兆威机电,115.7,3.128621089223643,涨停,1,0, 13:49:36, 13:49:36,H股递表+机器人+灵巧手+微型传动,,,,33,3021,3021.0
300086.SZ,康芝药业,14.18,7.261724659606649,涨停,1,0, 09:57:04, 09:57:04,海南自贸区+儿童药+止咳橘红颗粒,,,,33,300086,300086.0
300189.SZ,神农种业,7.61,6.732117812061717,涨停,1,0, 10:37:53, 14:21:20,海南自贸港+扭亏为盈+油菜种子+水产种业,,,,33,300189,300189.0
300344.SZ,*ST立方,1.35,5.468750000000004,涨停,1,0, 10:00:48, 10:07:54,退市风险+云服务商+BIM软件+ST板块,,,,33,300344,300344.0
300391.SZ,*ST长药,1.62,-2.9940119760478936,涨停,1,0, 14:43:56, 14:53:26,预重整延期+中药大健康+ST板块,,,,33,300391,300391.0
300506.SZ,*ST名家,4.5,18.733509234828496,涨停,1,0, 09:30:00, 09:30:00,重整复牌+10转10.5+智慧农业+照明工程,,,,33,300506,300506.0
300736.SZ,百邦科技,14.68,-7.672955974842771,跌停,0,1,,,, 09:47:55, 09:47:55,业绩下滑+前期涨幅较大+资金流出,33,300736,300736.0
301611.SZ,珂玛科技,79.38,4.0776189851842135,涨停,1,0, 09:43:38, 10:48:41,先进陶瓷+存储芯片+国产替代,,,,33,301611,301611.0
600107.SH,ST尔雅,7.39,4.084507042253522,涨停,3,0, 09:30:00, 11:16:56,ST板块+服装,,,,22,600107,600107.0
600165.SH,*ST宁科,4.11,-1.9093078758949893,涨停,8,0, 09:30:00, 10:36:35,重整完成+长链二元酸+ST板块+参股银行,,,,22,600165,600165.0
600179.SH,安通控股,4.92,10.067114093959736,涨停,1,0, 09:33:15, 09:40:03,海南自贸区+集装箱物流+中外运增持+注册地迁闽,,,,17,600179,600179.0
600200.SH,退市苏吴,0.31,-3.1250000000000027,跌停,0,1,,,, 14:54:59, 14:54:59,退市整理期+监管监控,21,600200,600200.0
600221.SH,海航控股,1.88,-1.0526315789473697,涨停,1,0, 10:33:38, 14:40:35,海南自贸港+航空客运+免税红利,,,,17,600221,600221.0
