name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3947.87,3965.28,3947.87,481299500.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-30 09:25:09,-17.41,-0.44,3947.87,3947.87,3947.87/4812995/6784462066,481299500,6784460000.0,0.01,16.9,,3947.87,3947.87,0.0,603301.48,644719.59,0.0,-1.0,-1.0,0.0,0.0,3947.87,,
深证成指,sz399001,13466.3,13537.1,13466.3,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-30 09:25:03,-70.8,-0.52,13466.3,13466.3,13466.30/0/0,0,0.0,0.04,49.44,,13466.3,13466.3,0.0,372744.54,430197.96,0.0,-1.0,-1.0,0.0,0.0,0.0,,
创业板指,sz399006,3208.32,3222.61,3208.32,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-30 09:25:03,-14.29,-0.44,3208.32,3208.32,3208.32/0/0,0,0.0,0.03,68.36,,3208.32,3208.32,0.0,141425.97,174883.6,0.0,-1.0,-1.0,0.0,0.0,0.0,,
