股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000615.SZ,*ST美谷,3.71,5.099150141643064,涨停,1,0, 09:25:00, 09:25:00,重整完成复牌+医疗美容+毛发医疗,,,,33,000615
000048.SZ,京基智农,16.27,10.006761325219747,涨停,1,0, 09:57:36, 13:27:42,回购+海南自贸+生猪养殖+供港基地,,,,33,000048
002187.SZ,广百股份,8.97,10.061349693251536,涨停,1,0, 09:30:57, 09:30:57,百货零售+广州国资+免税店,,,,33,002187
002424.SZ,ST百灵,4.36,-5.010893246187354,跌停,0,5,,,, 09:33:12, 09:47:48,ST实施+年报虚假记载+短线抛压,33,002424
600477.SH,杭萧钢构,2.96,10.037174721189592,涨停,1,0, 13:15:39, 13:15:39,绿色建筑+钢结构住宅+HJT电池,,,,17,600477
002571.SZ,德力股份,11.62,10.037878787878775,涨停,2,0, 09:51:15, 09:51:15,翼元航空入主+定增补血+日用玻璃龙头+C2M概念,,,,33,002571
600608.SH,*ST沪科,3.36,-5.084745762711869,跌停,0,1,,,, 09:55:51, 14:50:45,退市风险+立案未结+减值风险,22,600608
002347.SZ,泰尔股份,10.23,9.999999999999996,涨停,3,0, 09:30:48, 10:05:51,机器人+商业航天+冶金龙头,,,,33,002347
600179.SH,安通控股,5.9,-9.923664122137396,跌停,0,1,,,, 10:39:29, 13:54:32,连续涨停后回调+资金净流出+估值偏高,17,600179
688523.SH,航天环宇,52.87,19.99546073536086,涨停,1,0, 14:45:02, 14:45:02,商业航天+大飞机中标+卫星互联网+央企配套,,,,17,688523
688160.SH,步科股份,121.66,20.003945551390807,涨停,1,0, 13:29:43, 13:45:19,人形机器人+无框力矩电机+三季报增长+出海布局,,,,17,688160
002485.SZ,ST雪发,4.1,5.128205128205121,涨停,1,0, 13:52:09, 13:54:42,文旅复苏+供应链扩张+ST摘帽预期+特色小镇,,,,33,002485
600118.SH,中国卫星,88.0,10.0,涨停,4,0, 14:52:51, 14:52:51,商业航天+卫星研制+央企+扭亏,,,,17,600118
600525.SH,ST长园,3.61,-4.999999999999998,跌停,0,1,,,, 09:25:03, 09:25:03,被证监会立案+信息披露违法+ST板块,22,600525
001331.SZ,胜通能源,46.31,10.000000000000002,涨停,12,0, 10:03:09, 10:39:03,控制权变更+LNG运贸+连续涨停,,,,33,001331
605007.SH,五洲特纸,14.05,-9.993593850096085,跌停,0,1,,,, 09:31:31, 09:39:43,连涨后回调+板块拖累+估值偏高,17,605007
