name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4151.8,4162.88,4151.8,1419491900.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-02 09:25:09,-11.08,-0.27,4151.8,4151.8,4151.80/14194919/19365883533,1419491900,19365880000.0,0.03,17.64,,4151.8,4151.8,0.0,638083.15,680213.82,0.0,-1.0,-1.0,0.0,0.0,4151.8,,
深证成指,sz399001,14327.65,14495.09,14327.65,1032388300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-02 09:25:03,-167.44,-1.16,14327.65,14327.65,14327.65/10323883/16799781714,1032388300,16799780000.0,0.06,54.16,,14327.65,14327.65,0.0,404387.58,471709.62,0.0,-1.0,-1.0,0.0,0.0,14327.65,,
创业板指,sz399006,3257.05,3310.3,3257.05,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-02 09:25:03,-53.25,-1.61,3257.05,3257.05,3257.05/0/0,0,0.0,0.07,73.39,,3257.05,3257.05,0.0,152002.11,188126.21,0.0,-1.0,-1.0,0.0,0.0,0.0,,
