name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
快克智能,sh603203,47.63,48.25,47.63,45500.0,47.61,600,47.63,2800,-1.28,47.63,47.63,45500,2170000.0,0.02,0.0,118.67,120.82,53.08,43.43,0.0
海南发展,sz002163,12.05,11.93,12.05,289800.0,12.02,1000,12.05,10700,1.01,12.05,12.05,289800,3490000.0,0.04,0.0,96.83,101.82,13.12,10.74,0.0
宏和科技,sh603256,107.0,106.41,107.0,148200.0,107.0,5200,107.05,200,0.55,107.0,107.0,148200,15860000.0,0.02,0.0,941.31,967.91,117.05,95.77,0.0
亚翔集成,sh603929,192.81,194.75,192.81,24900.0,192.81,1300,192.85,100,-1.0,192.81,192.81,24900,4800000.0,0.01,0.0,411.38,411.38,214.23,175.28,0.0
世嘉科技,sz002796,56.65,57.26,56.65,88300.0,56.65,4400,56.88,300,-1.07,56.65,56.65,88300,5000000.0,0.04,0.0,129.0,142.97,62.99,51.53,0.0
深圳新星,sh603978,26.03,26.26,26.03,31300.0,26.01,5200,26.03,9600,-0.88,26.03,26.03,31300,810000.0,0.01,0.0,54.95,54.95,28.89,23.63,0.0
友邦吊顶,sz002718,69.8,70.54,0.0,0.0,69.8,300,70.2,500,-1.05,0.0,0.0,0,0.0,0.0,0.0,65.6,90.35,77.59,63.49,0.0
九鼎新材,sz002201,13.77,14.13,13.77,889800.0,13.77,10800,13.78,14500,-2.55,13.77,13.77,889800,12250000.0,0.15,0.0,82.9,89.73,15.54,12.72,0.0
国风新材,sz000859,9.01,9.06,9.01,114400.0,9.01,18400,9.02,2500,-0.55,9.01,9.01,114400,1030000.0,0.01,0.0,80.72,80.73,9.97,8.15,0.0
天际股份,sz002759,35.0,34.4,35.0,521500.0,34.99,500,35.0,87100,1.74,35.0,35.0,521500,18250000.0,0.1,0.0,175.33,175.48,37.84,30.96,0.0
东材科技,sh601208,36.17,36.07,36.17,249600.0,36.17,4700,36.2,2300,0.28,36.17,36.17,249600,9030000.0,0.02,0.0,365.38,365.38,39.68,32.46,0.0
三孚股份,sh603938,30.08,30.17,30.08,87700.0,30.08,4900,30.09,800,-0.3,30.08,30.08,87700,2640000.0,0.02,0.0,115.09,115.09,33.19,27.15,0.0
航天工程,sh603698,40.6,40.26,40.6,256400.0,40.4,3500,40.6,6600,0.84,40.6,40.6,256400,10410000.0,0.05,0.0,217.61,217.61,44.29,36.23,0.0
翔鹭钨业,sz002842,30.77,30.36,30.77,290800.0,30.77,22200,30.78,1800,1.35,30.77,30.77,290800,8950000.0,0.11,0.0,82.61,100.67,33.4,27.32,0.0
天赐材料,sz002709,56.5,55.26,56.5,3259100.0,56.49,100,56.5,44300,2.24,56.5,56.5,3259100,184140000.0,0.22,0.0,852.59,1151.79,60.79,49.73,0.0
安记食品,sh603696,15.4,15.55,15.4,16600.0,15.4,1500,15.5,800,-0.96,15.4,15.4,16600,260000.0,0.01,0.0,36.22,36.22,17.11,14.0,0.0
柏诚股份,sh601133,23.1,22.97,23.1,57000.0,23.1,457200,23.12,1000,0.57,23.1,23.1,57000,1320000.0,0.01,0.0,121.13,121.97,25.27,20.67,0.0
德尔未来,sz002631,7.27,7.29,7.27,12600.0,7.26,500,7.27,7300,-0.27,7.27,7.27,12600,90000.0,0.0,0.0,57.69,57.96,8.02,6.56,0.0
创元科技,sz000551,14.45,14.53,14.45,56400.0,14.44,800,14.45,200,-0.55,14.45,14.45,56400,810000.0,0.01,0.0,70.02,70.04,15.98,13.08,0.0
浔兴股份,sz002098,8.8,8.98,8.8,74200.0,8.78,7700,8.8,2600,-2.0,8.8,8.8,74200,650000.0,0.02,0.0,31.5,31.5,9.88,8.08,0.0
合兴包装,sz002228,3.84,3.87,3.84,201200.0,3.84,12200,3.85,53000,-0.78,3.84,3.84,201200,770000.0,0.02,0.0,46.44,46.59,4.26,3.48,0.0
神农种业,sz300189,5.96,5.94,5.96,226800.0,5.95,4200,5.96,38400,0.34,5.96,5.96,226800,1350000.0,0.03,0.0,52.82,61.03,7.13,4.75,0.0
南宁百货,sh600712,5.93,5.93,5.93,14100.0,5.88,4000,5.93,17800,0.0,5.93,5.93,14100,80000.0,0.0,0.0,31.94,32.3,6.52,5.34,0.0
集泰股份,sz002909,6.53,6.54,6.53,14800.0,6.53,5900,6.54,18800,-0.15,6.53,6.53,14800,100000.0,0.0,0.0,24.84,25.47,7.19,5.89,0.0
鹏辉能源,sz300438,68.23,69.24,68.23,143400.0,68.19,1700,68.23,2100,-1.46,68.23,68.23,143400,9780000.0,0.04,0.0,275.76,343.43,83.09,55.39,0.0
大中矿业,sz001203,47.82,47.27,47.82,133500.0,47.82,15600,47.91,100,1.16,47.82,47.82,133500,6380000.0,0.01,0.0,624.52,733.12,52.0,42.54,0.0
