name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,98.67,101.79,98.67,27500.0,98.67,2600,99.98,300,-3.07,98.67,98.67,27500,2710000.0,0.12,0.0,22.2,110.18,122.15,81.43,0.0
锡华科技,sh603248,27.58,27.23,27.58,31000.0,27.58,34600,27.6,800,1.29,27.58,27.58,31000,850000.0,0.04,0.0,19.12,126.87,29.95,24.51,0.0
天溯计量,sz301449,62.6,62.6,62.6,3800.0,62.56,100,62.6,1300,0.0,62.6,62.6,3800,240000.0,0.03,0.0,8.71,40.83,75.12,50.08,0.0
美埃科技,sh688376,74.18,74.85,74.18,141000.0,74.18,100,74.23,200,-0.9,74.18,74.18,141000,100000.0,0.0,0.0,100.33,100.33,89.82,59.88,0.0
同飞股份,sz300990,86.61,86.6,86.61,22800.0,86.57,2400,86.61,200,0.01,86.61,86.61,22800,1970000.0,0.03,0.0,67.35,148.29,103.92,69.28,0.0
中光防雷,sz300414,12.01,12.11,12.01,15900.0,12.0,2400,12.01,2100,-0.83,12.01,12.01,15900,190000.0,0.01,0.0,37.66,39.15,14.53,9.69,0.0
苏州天脉,sz301626,331.2,333.04,331.2,31300.0,331.2,200,331.54,500,-0.55,331.2,331.2,31300,10370000.0,0.06,0.0,174.27,383.13,399.65,266.43,0.0
ST名家汇,sz300506,4.94,4.94,0.0,0.0,4.94,6000,5.0,100,0.0,0.0,0.0,0,0.0,0.0,0.0,36.29,70.42,5.93,3.95,0.0
森赫股份,sz301056,13.38,13.38,13.38,800.0,13.38,3500,13.5,1000,0.0,13.38,13.38,800,10000.0,0.0,0.0,23.55,35.7,16.06,10.7,0.0
宏达电子,sz300726,59.95,60.2,59.95,94000.0,59.95,5300,59.99,5200,-0.42,59.95,59.95,94000,5640000.0,0.04,0.0,128.56,246.9,72.24,48.16,0.0
宏源药业,sz301246,32.0,31.39,32.0,74900.0,32.0,4200,32.04,100,1.94,32.0,32.0,74900,2400000.0,0.04,0.0,54.42,128.0,37.67,25.11,0.0
华盛锂电,sh688353,88.88,89.2,88.88,3305400.0,88.5,300,88.88,11200,-0.36,88.88,88.88,3305400,2940000.0,0.02,0.0,141.76,141.76,107.04,71.36,0.0
鼎泰高科,sz301377,343.9,347.08,343.9,54200.0,343.62,100,343.9,9200,-0.92,343.9,343.9,54200,18640000.0,0.05,0.0,339.98,1414.85,416.5,277.66,0.0
腾景科技,sh688195,325.0,326.65,325.0,1691700.0,325.0,1800,326.0,1700,-0.51,325.0,325.0,1691700,5500000.0,0.01,0.0,420.39,420.39,391.98,261.32,0.0
珂玛科技,sz301611,97.43,97.5,97.43,67000.0,97.4,1000,97.43,600,-0.07,97.43,97.43,67000,6530000.0,0.05,0.0,142.82,424.79,117.0,78.0,0.0
新诺威,sz300765,27.15,27.29,27.15,21400.0,27.01,1500,27.15,8400,-0.51,27.15,27.15,21400,580000.0,0.0,0.0,381.35,381.35,32.75,21.83,0.0
安达智能,sh688125,188.45,180.37,188.45,381800.0,179.97,300,188.45,700,4.48,188.45,188.45,381800,720000.0,0.0,0.0,153.94,154.77,216.44,144.3,0.0
