name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4082.47,4122.68,4087.63,76516953100.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-04 15:39:15,-40.21,-0.98,4106.04,4055.41,4082.47/765169531/1113081986078,76516953100,1113081990000.0,1.6,17.41,,4106.04,4055.41,1.23,627765.69,668377.78,0.0,-1.0,-1.0,1.0,0.0,4083.67,,
深证成指,sz399001,13917.75,14022.39,13854.37,74046401900.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-04 15:38:54,-104.64,-0.75,14112.02,13854.37,13917.75/740464019/1252671984627,74046401900,1252671980000.0,3.07,52.42,,14112.02,13854.37,1.84,390539.65,456015.87,0.0,-1.0,-1.0,0.87,0.0,13961.72,,
创业板指,sz399006,3164.37,3209.48,3171.19,21733186400.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-03-04 15:39:09,-45.11,-1.41,3217.11,3149.41,3164.37/217331864/540959855626,21733186400,540959860000.0,4.19,70.5,,3217.11,3149.41,2.11,145876.96,180743.25,0.0,-1.0,-1.0,0.85,0.0,3180.3,,
