股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000021.SZ,深科技,52.12,0.0,跌停,0,1,,,, 14:30:50, 14:50:31,存储芯片板块下跌+韩国存储股暴跌+此前涨幅较大,33,000021
000026.SZ,飞亚达,17.28,-1.7623649801023236,跌停,0,1,,,, 11:24:15, 14:49:21,商业航天板块大跌+机器人概念板块下跌+概念炒作降温,33,000026
000070.SZ,特发信息,15.22,-6.049382716049374,跌停,0,1,,,, 10:28:45, 10:28:45,CPO板块下跌+光纤概念板块下跌+资金净流出,33,000070
000078.SZ,ST海王,2.13,2.4038461538461453,涨停,1,0, 14:15:37, 14:15:37,miRNA肿瘤早筛+创新药+高管增持,,,,33,000078
000510.SZ,新金路,16.89,-0.7054673721340445,跌停,0,1,,,, 13:19:40, 13:48:01,小金属概念板块下跌+此前涨幅较大+资金净流出,33,000510
000524.SZ,岭南控股,8.71,-1.9144144144144135,跌停,0,1,,,, 14:42:38, 14:51:28,旅游板块下跌+停牌前超涨+资产重组预案复牌,33,000524
000547.SZ,航天发展,15.55,-4.892966360856273,跌停,0,1,,,, 09:59:15, 13:09:30,商业航天板块下跌+资金净流出,33,000547
000551.SZ,创元科技,16.24,-3.2757593805836853,跌停,0,1,,,, 13:26:01, 13:36:18,商业航天板块大跌+此前累计上涨+资金净流出,33,000551
000593.SZ,德龙汇能,19.63,-1.9970044932601203,跌停,0,1,,,, 14:33:28, 14:33:28,资产注入传闻澄清+储能板块下跌+氢能板块下跌,33,000593
000636.SZ,风华高科,52.12,-3.4993519718570645,跌停,0,1,,,, 09:33:00, 09:33:00,业绩预告落地+前期涨幅过大+元件板块低开,33,000636
000700.SZ,模塑科技,13.95,-0.7117437722420029,跌停,0,1,,,, 14:15:58, 14:50:31,机器人板块大跌+跟跌板块,33,000700
000725.SZ,京东方A,6.9,1.0248901903367538,跌停,0,1,,,, 14:41:16, 14:50:06,前期超涨回调+CPO板块下跌+资金流出,33,000725
000810.SZ,创维数字,11.01,-4.757785467128033,跌停,0,1,,,, 09:32:15, 10:32:15,此前涨幅较大+板块下跌,33,000810
000811.SZ,冰轮环境,48.6,0.9975062344139735,跌停,0,1,,,, 10:22:00, 13:07:15,此前涨幅较大+资金流出+板块回调,33,000811
000823.SZ,超声电子,16.15,-0.6153846153846241,跌停,0,1,,,, 13:23:31, 14:05:04,澄清英伟达传闻+元件板块下跌+此前涨幅较大,33,000823
000901.SZ,航天科技,15.38,-4.708798017348201,跌停,0,1,,,, 10:01:45, 13:55:40,商业航天板块下挫+军工板块下跌,33,000901
000920.SZ,沃顿科技,13.7,-2.352102637205988,涨停,2,0, 10:25:30, 11:20:30,半导体超纯水膜+盐湖提锂+膜材料扩产+央企,,,,33,000920
000969.SZ,安泰科技,17.7,-1.5572858731924424,跌停,0,1,,,, 11:02:15, 13:46:10,商业航天板块下跌+军工板块下跌+主力资金净流出,33,000969
000980.SZ,众泰汽车,1.53,-4.3750000000000036,跌停,0,1,,,, 09:30:00, 09:30:00,涉嫌信披违规被立案+乘用车板块下跌,33,000980
000989.SZ,九芝堂,9.15,1.8930957683741638,涨停,1,0, 09:40:15, 14:35:10,中报预增+中药+多肽+黑龙江国资,,,,33,000989
001268.SZ,联合精密,21.9,-4.94791666666667,跌停,0,1,,,, 09:59:30, 10:38:00,成飞概念板块下跌+一季报业绩亏损+拟定增摊薄收益,33,001268
001270.SZ,铖昌科技,141.0,-5.792744036881131,跌停,0,1,,,, 09:40:15, 13:11:45,商业航天板块下跌+军工板块下跌+主力资金净流出,33,001270
001309.SZ,德明利,716.63,-0.4652907025195176,跌停,0,1,,,, 11:05:00, 13:42:24,存储板块走低+前期涨幅较大,33,001309
001313.SZ,粤海饲料,7.11,-2.469135802469132,跌停,0,1,,,, 13:05:45, 13:43:09,利好兑现+水产饲料板块下跌+资金流出,33,001313
001331.SZ,胜通能源,55.35,-0.3420957868203056,跌停,0,1,,,, 13:23:47, 13:45:55,前期涨幅较大+基本面承压,33,001331
001365.SZ,天海电子,42.6,-5.33333333333333,跌停,0,1,,,, 09:36:45, 11:10:45,人形机器人板块下跌+此前涨幅较大+资金流出,33,001365
001388.SZ,信通电子,30.1,2.068497795863015,涨停,1,0, 13:35:18, 13:35:18,电网设备+防冰机器人+高送转,,,,33,001388
001395.SZ,亚联机械,30.0,-4.731660844712602,涨停,3,0, 10:10:00, 14:53:47,中报预增+人造板装备+海外业务,,,,33,001395
001399.SZ,惠科股份,32.5,-2.4902490249024853,跌停,0,1,,,, 10:39:45, 11:25:00,面板板块下跌+新股超涨回调+资金净流出,33,001399
001400.SZ,江顺科技,89.0,-4.823013581435146,跌停,0,1,,,, 09:37:00, 09:54:15,商业航天板块下跌+概念炒作降温+此前累计下跌,33,001400
002008.SZ,大族激光,113.4,-3.3000767459708285,跌停,0,1,,,, 10:51:15, 10:57:15,商业航天板块下跌+业绩预喜后利好兑现+主力资金流出,33,002008
002023.SZ,海特高新,10.15,-2.4975984630163284,跌停,0,1,,,, 10:58:15, 13:42:24,军工装备板块下跌+商业航天板块下跌,33,002023
002046.SZ,国机精工,56.93,0.7967422096317331,跌停,0,1,,,, 14:10:18, 14:54:42,培育钻石板块大跌+商业航天板块大跌+此前累计上涨,33,002046
002056.SZ,横店东磁,23.6,-1.9933554817275618,跌停,0,1,,,, 11:20:45, 13:06:00,机器人概念板块下跌+主力资金净流出,33,002056
002057.SZ,中钢天源,8.27,0.608272506082712,跌停,0,1,,,, 13:07:00, 14:01:50,稀土价格回落+此前连续下跌,33,002057
002068.SZ,黑猫股份,9.72,-1.5197568389057607,跌停,0,1,,,, 14:06:49, 14:16:45,固态电池板块下跌+超级电容板块下跌+此前涨幅较大,33,002068
002132.SZ,恒星科技,4.58,-6.530612244897965,跌停,0,1,,,, 10:45:45, 14:00:56,机器人概念板块下跌+光纤概念板块下跌+主力资金净流出,33,002132
002137.SZ,实益达,9.74,-9.981515711645102,跌停,0,1,,,, 10:23:15, 10:35:00,光学光电子板块下跌+前期涨幅较大+资金净流出,33,002137
002141.SZ,贤丰控股,4.49,-3.2327586206896437,跌停,0,1,,,, 13:17:17, 13:47:29,超涨回调+元件板块下跌+主力资金净流出,33,002141
002149.SZ,西部材料,38.6,-5.113077679449357,跌停,0,1,,,, 09:55:45, 13:00:15,商业航天板块下跌+军工板块下跌+主力资金净流出,33,002149
002151.SZ,北斗星通,30.5,3.918228279386707,跌停,0,1,,,, 14:26:06, 15:00:00,军工板块大跌+商业航天板块下挫+公司暂无回购计划,33,002151
002158.SZ,汉钟精机,32.96,-0.7228915662650661,跌停,0,1,,,, 14:51:51, 14:51:51,芯片概念板块下跌+前期涨幅较大+资金净流出,33,002158
002167.SZ,东方锆业,17.04,-3.674392312040713,跌停,0,1,,,, 13:22:29, 14:00:24,此前涨幅较大+小金属板块下跌+定增摊薄即期回报,33,002167
002217.SZ,ST合力泰,1.43,-1.3793103448275874,跌停,0,1,,,, 14:45:52, 14:54:15,光学光电子板块下跌+其他风险警示+此前连续下跌,33,002217
002272.SZ,川润股份,21.09,-1.3102480112307024,跌停,0,1,,,, 11:11:00, 13:56:10,军工板块大跌+液冷板块下跌+此前涨幅较大,33,002272
002297.SZ,博云新材,20.3,-6.14886731391585,跌停,0,1,,,, 09:58:45, 10:15:30,此前涨幅较大+澄清市场传闻+商业航天板块下挫,33,002297
002338.SZ,奥普光电,49.29,-0.30339805825242433,跌停,0,1,,,, 14:33:28, 14:50:06,市场下跌+军工电子板块大跌+商业航天板块走低,33,002338
