股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000010.SZ,*ST美丽,1.91,-4.975124378109446,跌停,0,5,,,, 09:33:00, 09:36:00,退市风险警示+此前连续下跌+板块调整,33,000010
000026.SZ,飞亚达,23.74,-2.4650780608052645,跌停,0,1,,,, 09:31:00, 13:02:30,异动公告澄清+此前涨幅较大,33,000026
000056.SZ,*ST皇庭,1.46,5.035971223021588,涨停,2,0, 09:30:00, 11:11:24,退市博弈+债务化解+功率半导体,,,,33,000056
000078.SZ,ST海王,1.51,-2.5806451612903247,跌停,0,1,,,, 10:08:47, 13:20:55,退市风险警示风险+前期连续下跌+创新药板块下跌,33,000078
000417.SZ,合百集团,9.1,-2.3605150214592343,跌停,0,1,,,, 09:31:45, 10:44:21,前期涨幅较大+存储芯片板块下跌+一季度业绩下滑,33,000417
000506.SZ,招金黄金,15.45,0.32467532467531773,涨停,1,0, 10:25:33, 10:25:33,黄金+业绩暴增+国企,,,,33,000506
000509.SZ,华塑控股,4.74,0.0,涨停,2,0, 09:31:00, 09:31:00,拟定增+PCB钻针+CCER+湖北国资,,,,33,000509
000510.SZ,新金路,18.59,2.8776978417266164,涨停,3,0, 10:24:47, 11:00:23,石英砂+锡钨钽铌+氯碱龙头,,,,33,000510
000518.SZ,四环生物,3.8,-7.0904645476772625,跌停,0,1,,,, 14:54:00, 14:54:00,此前涨幅较大+摘帽板块回调+此前一季度亏损,33,000518
000609.SZ,*ST中迪,13.51,-1.3868613138686097,跌停,0,1,,,, 09:47:15, 09:47:15,半导体板块大跌+前期涨幅较大+退市风险警示,33,000609
000668.SZ,*ST荣控,18.67,0.05359056806002981,涨停,1,0, 14:54:40, 14:54:40,摘帽申请+跨境物流转型+房地产去化,,,,33,000668
000677.SZ,ST海龙,1.88,-3.092783505154642,跌停,0,4,,,, 09:41:00, 09:41:00,ST实施+收购不确定性,33,000677
000711.SZ,ST京蓝,6.31,-1.0971786833855843,涨停,3,0, 09:30:00, 14:31:34,铟靶材+一季度扭亏+摘帽预期,,,,33,000711
000759.SZ,中百集团,5.59,1.2681159420289907,涨停,1,0, 09:46:45, 09:48:15,百货零售+新零售+国企改革,,,,33,000759
001257.SZ,盛龙股份,26.93,4.258614014711582,涨停,1,0, 13:01:15, 13:03:00,钼+算力上游+航天上游+洛阳国资,,,,33,001257
001331.SZ,胜通能源,69.86,2.992776057791539,涨停,1,0, 09:51:15, 13:00:15,七腾机器人+要约收购+LNG运贸,,,,33,001331
