股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000004.SZ,*ST国华,11.99,-4.992076069730579,涨停,1,0, 14:47:26, 14:47:26,AI大模型+鸿蒙安全+移动安全,,,,33,000004
000060.SZ,中金岭南,6.93,-10.000000000000005,跌停,0,1,,,, 09:57:41, 14:01:12,板块回调+此前涨幅较大+资金流入,33,000060
000426.SZ,兴业银锡,55.37,-9.996749024707421,跌停,0,1,,,, 09:40:32, 10:01:16,白银锡价波动+板块回调+资金流出,33,000426
000506.SZ,招金黄金,23.1,-10.011686793922866,跌停,0,1,,,, 09:30:00, 09:30:00,板块回调+涨幅偏离+资金流出,33,000506
000546.SZ,金圆股份,5.65,-3.0874785591766676,跌停,0,1,,,, 10:31:16, 14:07:51,业绩预亏+板块普跌+资产减值,33,000546
000603.SZ,盛达资源,54.92,-9.996722386102919,跌停,0,1,,,, 09:31:16, 09:37:16,黄金板块低开+前期涨幅较大+机构净卖出,33,000603
000630.SZ,铜陵有色,7.44,-10.03627569528415,跌停,0,1,,,, 09:59:54, 10:13:24,短线涨幅过大+板块回调+业绩下滑,33,000630
000638.SZ,*ST万方,2.33,-4.897959183673473,跌停,0,14,,,, 09:30:00, 09:30:00,退市风险+业绩预亏+监管立案,33,000638
000751.SZ,锌业股份,6.19,-10.029069767441852,跌停,0,1,,,, 09:31:01, 09:31:01,板块回调+短线涨幅大+资金流出,33,000751
000758.SZ,中色股份,7.33,-7.449494949494948,跌停,0,1,,,, 09:58:15, 14:08:51,板块回调+短线获利盘+资金流入,33,000758
000798.SZ,中水渔业,11.55,0.0,涨停,1,0, 10:33:12, 10:33:12,扭亏为盈+远洋渔业+央企,,,,33,000798
000826.SZ,启迪环境,2.0,-0.990099009900991,跌停,0,1,,,, 09:30:00, 09:44:17,*ST风险+业绩预亏,33,000826
000878.SZ,云南铜业,23.87,-9.992458521870283,跌停,0,1,,,, 09:59:54, 13:57:56,板块普跌+资金流出+短线回调,33,000878
000975.SZ,山金国际,31.36,-9.988518943742834,跌停,0,1,,,, 09:59:39, 13:58:26,板块回调+短线涨幅大+资金流出,33,000975
000995.SZ,皇台酒业,15.24,-4.331450094161955,涨停,2,0, 09:30:16, 09:39:32,白酒+区域强牌+控股股东增持,,,,33,000995
001270.SZ,*ST铖昌,165.15,4.99713904253291,涨停,1,0, 14:49:09, 14:49:09,商业航天+扭亏为盈+T/R芯片, 09:44:17, 09:44:17,,33,001270
001337.SZ,四川黄金,59.56,-10.00302206104564,跌停,0,1,,,, 09:30:00, 09:30:00,板块回调+股东减持+涨幅偏离,33,001337
002009.SZ,天奇股份,29.0,2.1846370683580023,涨停,1,0, 13:06:31, 13:13:43,银河通用+人形机器人+优必选,,,,33,002009
002023.SZ,海特高新,11.37,-7.031888798037621,跌停,0,1,,,, 09:30:00, 09:30:00,年报预亏+计提减值,33,002023
002041.SZ,登海种业,11.06,-2.0372010628874992,涨停,1,0, 09:56:06, 10:27:09,转基因玉米+农业种植+种业振兴,,,,33,002041
002076.SZ,*ST星光,2.15,-3.153153153153166,跌停,0,1,,,, 09:30:46, 09:30:46,退市风险+业绩预亏+风险提示,33,002076
002137.SZ,实益达,10.29,1.4792899408283882,涨停,1,0, 14:12:08, 14:12:08,业绩预增+半导体设备+汽车电子,,,,33,002137
002155.SZ,湖南黄金,33.3,-10.000000000000007,涨停,5,0, 09:30:00, 14:47:11,重组复牌+黄金预增+湖南国资,,,,33,002155
002160.SZ,常铝股份,5.88,-9.954058192955593,跌停,0,1,,,, 09:33:46, 09:33:46,股东股权冻结+板块普跌+短线回调,33,002160
002165.SZ,红宝丽,12.77,0.0,涨停,1,0, 14:22:04, 14:22:04,环氧丙烷+技改试产+硬泡聚醚,,,,33,002165
002214.SZ,*ST大立,17.92,-4.9840933191940495,跌停,0,2,,,, 09:30:00, 09:30:00,退市风险+业绩预亏+风险提示,33,002214
002218.SZ,拓日新能,5.82,-1.3559322033898316,跌停,0,1,,,, 09:59:39, 14:04:03,板块下跌+资金流出+前期涨幅较大,33,002218
002227.SZ,奥特迅,9.68,-10.037174721189592,跌停,0,1,,,, 09:30:00, 09:30:00,*ST风险+业绩预亏+跌停开盘,33,002227
002237.SZ,恒邦股份,18.59,-10.019361084220717,跌停,0,1,,,, 09:31:46, 11:07:05,板块回调+股东减持+短期涨幅大,33,002237
002253.SZ,*ST智胜,11.38,-1.0434782608695585,跌停,0,1,,,, 10:53:29, 13:24:51,业绩预亏+退市风险+板块下跌,33,002253
002295.SZ,精艺股份,11.49,-0.9482758620689606,跌停,0,1,,,, 14:53:21, 14:53:21,铜板块普跌+业绩预亏,33,002295
002455.SZ,百川股份,9.89,3.1282586027111647,涨停,3,0, 09:31:46, 09:32:16,锂电闭环+负极放量+精细化工,,,,33,002455
002491.SZ,通鼎互联,8.42,7.26114649681529,涨停,1,0, 11:00:34, 11:00:34,光纤光缆+数据中心+出售股权,,,,33,002491
002562.SZ,兄弟科技,7.33,-1.4784946236559182,涨停,1,0, 14:05:33, 14:05:33,PEEK材料+铬盐+维生素涨价,,,,33,002562
002578.SZ,闽发铝业,4.15,-9.978308026030367,跌停,0,1,,,, 10:01:46, 10:11:07,板块普跌+此前涨幅较大+业绩转亏,33,002578
002645.SZ,华宏科技,14.87,-4.4958253050738675,跌停,0,1,,,, 09:35:31, 14:14:44,资金流出+涨幅回调,33,002645
002667.SZ,威领股份,18.4,-9.980430528375747,跌停,0,1,,,, 09:37:16, 09:38:01,板块下跌+前期涨幅较大,33,002667
002713.SZ,*ST东易,9.0,3.211009174311919,涨停,1,0, 14:41:21, 14:41:53,重整完成+算力中心+家装AI,,,,33,002713
002716.SZ,湖南白银,17.14,-9.978991596638648,跌停,0,1,,,, 09:30:00, 09:34:16,贵金属板块回调+超涨回落+资金流出,33,002716
002731.SZ,萃华珠宝,11.56,-9.968847352024918,跌停,0,2,,,, 09:31:31, 09:47:47,板块回调+借款逾期+股东冻结,33,002731
002828.SZ,贝肯能源,11.78,-10.00763941940413,跌停,0,1,,,, 10:15:21, 14:03:47,板块回调+短线获利盘,33,002828
002830.SZ,名雕股份,24.42,5.032258064516136,涨停,1,0, 11:19:50, 11:19:50,AI传媒+住宅装饰+数字化平台,,,,33,002830
002880.SZ,卫光生物,27.08,0.0739098300073894,跌停,0,1,,,, 14:43:12, 15:00:00,生物疫苗板块下跌+前期涨幅,33,002880
