name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,69.9,70.61,69.9,30600.0,69.9,1500,69.93,300,-1.01,69.9,69.9,30600,2140000.0,0.13,0.0,16.59,78.06,84.73,56.49,0.0
锡华科技,sh603248,19.19,19.19,19.19,14200.0,19.19,5700,19.2,2800,0.0,19.19,19.19,14200,270000.0,0.02,0.0,13.72,88.27,21.11,17.27,0.0
天溯计量,sz301449,38.79,38.79,38.79,18100.0,38.7,400,38.79,700,0.0,38.79,38.79,18100,700000.0,0.09,0.0,7.97,35.42,46.55,31.03,0.0
美埃科技,sh688376,65.9,66.9,65.9,3737500.0,65.8,300,65.9,3900,-1.49,65.9,65.9,3737500,2460000.0,0.03,0.0,89.13,89.13,80.28,53.52,0.0
同飞股份,sz300990,68.92,70.17,68.92,58400.0,68.88,100,68.95,2000,-1.78,68.92,68.92,58400,4020000.0,0.08,0.0,53.59,118.0,84.2,56.14,0.0
中光防雷,sz300414,11.31,11.4,11.31,58900.0,11.31,300,11.32,2800,-0.79,11.31,11.31,58900,670000.0,0.02,0.0,35.46,36.87,13.68,9.12,0.0
苏州天脉,sz301626,228.79,231.29,228.79,3500.0,228.79,100,234.56,600,-1.08,228.79,228.79,3500,800000.0,0.01,0.0,120.39,264.66,277.55,185.03,0.0
名家汇,sz300506,6.18,6.15,6.18,102600.0,6.18,8800,6.21,1000,0.49,6.18,6.18,102600,630000.0,0.01,0.0,45.4,88.1,7.38,4.92,0.0
森赫股份,sz301056,9.91,9.96,9.91,1700.0,9.81,1100,9.91,500,-0.5,9.91,9.91,1700,20000.0,0.0,0.0,17.44,26.44,11.95,7.97,0.0
宏达电子,sz300726,51.82,52.8,51.82,107700.0,51.82,5300,51.83,900,-1.86,51.82,51.82,107700,5580000.0,0.05,0.0,111.12,213.42,63.36,42.24,0.0
宏源药业,sz301246,19.98,19.94,19.98,25000.0,19.97,1600,20.07,100,0.2,19.98,19.98,25000,500000.0,0.01,0.0,33.98,79.92,23.93,15.95,0.0
华盛锂电,sh688353,94.5,95.3,94.5,1222500.0,94.3,300,94.5,1000,-0.84,94.5,94.5,1222500,1160000.0,0.01,0.0,150.73,150.73,114.36,76.24,0.0
鼎泰高科,sz301377,411.01,416.07,411.01,22900.0,411.01,1900,411.76,100,-1.22,411.01,411.01,22900,9410000.0,0.02,0.0,406.33,1742.87,499.28,332.86,0.0
腾景科技,sh688195,120.04,125.0,120.04,4605700.0,120.03,700,120.04,2200,-3.97,120.04,120.04,4605700,5530000.0,0.03,0.0,217.38,217.38,150.0,100.0,0.0
珂玛科技,sz301611,91.5,93.73,91.5,50700.0,91.45,300,91.5,11100,-2.38,91.5,91.5,50700,4640000.0,0.03,0.0,134.12,398.94,112.48,74.98,0.0
石药创新,sz300765,38.29,38.0,38.29,209400.0,38.2,8000,38.29,2500,0.76,38.29,38.29,209400,8020000.0,0.01,0.0,537.82,537.82,45.6,30.4,0.0
安达智能,sh688125,112.56,115.1,112.56,641200.0,112.56,1200,113.89,200,-2.21,112.56,112.56,641200,720000.0,0.01,0.0,92.53,92.78,138.12,92.08,0.0
杰华特,sh688141,124.0,128.01,124.0,6410900.0,123.88,200,124.0,5600,-3.13,124.0,124.0,6410900,7950000.0,0.01,0.0,558.4,558.4,153.61,102.41,0.0
铜冠铜箔,sz301217,94.77,94.9,94.77,393700.0,94.77,13500,94.8,6000,-0.14,94.77,94.77,393700,37310000.0,0.05,0.0,785.66,785.66,113.88,75.92,0.0
海科新源,sz301292,69.0,69.67,69.0,73700.0,68.96,200,69.0,11500,-0.96,69.0,69.0,73700,5090000.0,0.09,0.0,58.78,153.73,83.6,55.74,0.0
奕东电子,sz301123,64.0,65.5,64.0,63800.0,63.99,500,64.0,62000,-2.29,64.0,64.0,63800,4080000.0,0.04,0.0,105.63,150.17,78.6,52.4,0.0
安通控股,sh600179,4.38,4.4,4.38,70000.0,4.38,4300,4.39,10000,-0.45,4.38,4.38,70000,310000.0,0.0,0.0,169.17,185.34,4.84,3.96,0.0
华联控股,sz000036,4.18,4.18,4.18,92200.0,4.17,24000,4.18,17100,0.0,4.18,4.18,92200,390000.0,0.01,0.0,58.64,58.68,4.6,3.76,0.0
滨海能源,sz000695,12.8,12.88,12.8,18200.0,12.79,2400,12.86,300,-0.62,12.8,12.8,18200,230000.0,0.01,0.0,28.39,29.66,14.17,11.59,0.0
嘉美包装,sz002969,13.39,13.33,13.39,762900.0,13.39,11300,13.4,14800,0.45,13.39,13.39,762900,10220000.0,0.07,0.0,146.32,147.09,14.66,12.0,0.0
联发股份,sz002394,9.2,9.14,9.2,8600.0,9.19,200,9.2,6800,0.66,9.2,9.2,8600,80000.0,0.0,0.0,29.73,29.78,10.05,8.23,0.0
海汽集团,sh603069,13.45,13.51,13.45,17000.0,13.41,500,13.45,14800,-0.44,13.45,13.45,17000,230000.0,0.01,0.0,42.5,42.5,14.86,12.16,0.0
胜通能源,sz001331,50.2,50.2,50.2,146800.0,50.19,16400,50.2,2400,0.0,50.2,50.2,146800,7370000.0,0.05,0.0,143.49,205.44,55.22,45.18,0.0
海南瑞泽,sz002596,3.22,3.23,3.22,33100.0,3.21,13800,3.22,15700,-0.31,3.22,3.22,33100,110000.0,0.0,0.0,36.92,36.95,3.55,2.91,0.0
多氟多,sz002407,32.41,32.81,32.41,1685600.0,32.41,198100,32.43,100,-1.22,32.41,32.41,1685600,54630000.0,0.16,0.0,349.63,385.82,36.09,29.53,0.0
章源钨业,sz002378,26.02,25.21,26.02,2033000.0,26.02,122600,26.03,25900,3.21,26.02,26.02,2033000,52900000.0,0.17,0.0,310.97,312.61,27.73,22.69,0.0
神剑股份,sz002361,11.41,11.41,11.41,2356100.0,11.41,121100,11.42,31500,0.0,11.41,11.41,2356100,26880000.0,0.29,0.0,92.31,108.51,12.55,10.27,0.0
圣晖集成,sh603163,77.0,77.87,77.0,43700.0,76.99,1500,77.0,500,-1.12,77.0,77.0,43700,3360000.0,0.04,0.0,77.0,77.0,85.66,70.08,0.0
万润股份,sz002643,13.69,13.78,13.69,119200.0,13.68,14800,13.69,50800,-0.65,13.69,13.69,119200,1630000.0,0.01,0.0,123.51,125.39,15.16,12.4,0.0
快克智能,sh603203,41.21,41.79,41.21,113200.0,41.21,5300,41.43,100,-1.39,41.21,41.21,113200,4660000.0,0.03,0.0,134.44,136.0,45.97,37.61,0.0
海南发展,sz002163,8.42,8.39,8.42,35700.0,8.42,28300,8.44,1100,0.36,8.42,8.42,35700,300000.0,0.0,0.0,67.66,71.15,9.23,7.55,0.0
宏和科技,sh603256,138.0,138.11,138.0,313200.0,137.99,400,138.0,14700,-0.08,138.0,138.0,313200,43220000.0,0.04,0.0,1214.02,1248.33,151.92,124.3,0.0
亚翔集成,sh603929,155.01,159.28,155.01,79700.0,155.01,2200,155.28,100,-2.68,155.01,155.01,79700,12350000.0,0.04,0.0,330.73,330.73,175.21,143.35,0.0
世嘉科技,sz002796,27.31,27.84,27.31,205700.0,27.3,900,27.31,1100,-1.9,27.31,27.31,205700,5620000.0,0.09,0.0,62.19,68.92,30.62,25.06,0.0
深圳新星,sh603978,19.16,19.14,19.16,29800.0,19.15,100,19.16,6600,0.1,19.16,19.16,29800,570000.0,0.01,0.0,40.45,40.45,21.05,17.23,0.0
友邦吊顶,sz002718,83.58,83.75,83.58,2700.0,83.54,100,83.75,500,-0.2,83.58,83.58,2700,230000.0,0.0,0.0,78.55,108.19,92.13,75.38,0.0
九鼎新材,sz002201,8.2,8.21,8.2,82300.0,8.18,2700,8.2,4300,-0.12,8.2,8.2,82300,670000.0,0.01,0.0,49.37,53.43,9.03,7.39,0.0
国风新材,sz000859,8.5,8.63,8.5,393600.0,8.49,20000,8.5,2400,-1.51,8.5,8.5,393600,3350000.0,0.04,0.0,76.15,76.16,9.49,7.77,0.0
ST天际,sz002759,15.11,15.16,15.11,151800.0,15.1,5400,15.11,17900,-0.33,15.11,15.11,151800,2290000.0,0.03,0.0,75.69,75.76,16.68,13.64,0.0
东材科技,sh601208,39.33,39.33,39.33,833100.0,39.32,200,39.33,35600,0.0,39.33,39.33,833100,32770000.0,0.08,0.0,397.3,397.3,43.26,35.4,0.0
三孚股份,sh603938,39.05,39.8,39.05,168100.0,39.05,2100,39.09,100,-1.88,39.05,39.05,168100,6560000.0,0.04,0.0,149.41,149.41,43.78,35.82,0.0
航天工程,sh603698,22.8,23.02,22.8,122300.0,22.8,10800,22.81,900,-0.96,22.8,22.8,122300,2790000.0,0.02,0.0,122.21,122.21,25.32,20.72,0.0
