股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
003042.SZ,中农联合,19.09,10.028818443804024,涨停,1,0, 10:55:48, 10:57:45,供销社+中俄贸易+农药原药,,,,33,003042
688223.SH,晶科能源,6.9,20.000000000000004,涨停,1,0, 13:01:32, 14:39:41,太空光伏+钙钛矿叠层+TOPCon龙头,,,,17,688223
300118.SZ,东方日升,20.76,20.000000000000007,涨停,1,0, 09:38:30, 09:38:30,太空光伏+HJT+光储一体化,,,,33,300118
600959.SH,江苏有线,4.07,10.000000000000004,涨停,1,0, 13:02:55, 15:00:01,商业航天+算力云网+江苏国资,,,,17,600959
688556.SH,高测股份,17.84,19.97310020174849,涨停,1,0, 13:54:14, 14:22:56,光伏切割+人形机器人+钨丝腱绳,,,,17,688556
002679.SZ,福建金森,13.15,10.04184100418411,涨停,1,0, 13:27:54, 13:27:54,林业+碳汇+康养基地+国企,,,,33,002679
600537.SH,亿晶光电,3.23,9.863945578231293,涨停,1,0, 09:39:03, 13:00:06,光伏设备+钙钛矿电池+TOPCon电池+超跌反弹,,,,17,600537
002218.SZ,拓日新能,5.46,10.080645161290322,涨停,1,0, 09:31:24, 09:31:24,回购注销+自持电站+钙钛矿,,,,33,002218
002943.SZ,宇晶股份,66.31,10.00331785003318,涨停,2,0, 09:25:00, 09:25:00,光伏概念+碳化硅设备+消费电子+机器人概念,,,,33,002943
300780.SZ,德恩精工,31.32,19.999999999999993,涨停,1,0, 09:31:54, 10:31:15,商业航天+机器人+机械传动,,,,33,300780
002623.SZ,亚玛顿,20.71,9.984067976633046,涨停,1,0, 11:19:00, 11:19:00,钙钛矿电池+特斯拉+超薄光伏玻璃,,,,33,002623
000607.SZ,华媒控股,5.04,10.043668122270741,涨停,1,0, 09:47:03, 11:14:33,数字人+杭州国资+文化传媒,,,,33,000607
688002.SH,睿创微纳,123.31,19.99805371739976,涨停,1,0, 10:02:24, 10:02:24,2025年报预增+商业航天+红外芯片,,,,17,688002
