name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3963.68,3959.62,3957.83,55548959200.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-26 16:14:13,4.06,0.1,3977.71,3945.52,3963.68/555489592/893644363935,55548959200,893644360000.0,1.16,16.93,,3977.71,3945.52,0.81,605424.01,646831.58,0.0,-1.0,-1.0,1.11,0.0,3964.89,,
深证成指,sz399001,13603.89,13531.41,13539.05,74129291000.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-26 16:14:15,72.48,0.54,13674.87,13517.8,13603.89/741292910/1266547060140,74129291000,1266547060000.0,3.08,49.83,,13674.87,13517.8,1.16,375774.23,433597.95,0.0,-1.0,-1.0,1.13,0.0,13590.37,,
创业板指,sz399006,3243.88,3239.34,3232.41,21093463000.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-26 16:14:30,4.54,0.14,3268.69,3219.13,3243.88/210934630/571313750361,21093463000,571313750000.0,4.08,68.88,,3268.69,3219.13,1.53,142543.72,176220.05,0.0,-1.0,-1.0,1.16,0.0,3242.2,,
