name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,64.38,63.85,64.38,11200.0,64.38,8200,64.5,100,0.83,64.38,64.38,11200,720000.0,0.05,0.0,14.48,71.89,76.62,51.08,0.0
锡华科技,sh603248,23.5,23.5,23.5,10400.0,23.43,3000,23.5,13800,0.0,23.5,23.5,10400,240000.0,0.02,0.0,16.29,108.1,25.85,21.15,0.0
天溯计量,sz301449,74.68,74.12,74.68,10500.0,74.62,2000,74.68,400,0.76,74.68,74.68,10500,780000.0,0.08,0.0,10.39,48.7,88.94,59.3,0.0
美埃科技,sh688376,57.5,57.41,57.5,300000.0,57.5,1800,57.93,500,0.16,57.5,57.5,300000,170000.0,0.0,0.0,77.77,77.77,68.89,45.93,0.0
同飞股份,sz300990,88.89,85.96,88.89,46400.0,88.89,800,88.93,100,3.41,88.89,88.89,46400,4120000.0,0.06,0.0,68.55,151.63,103.15,68.77,0.0
中光防雷,sz300414,15.42,15.21,15.42,28000.0,15.42,15600,15.44,1000,1.38,15.42,15.42,28000,430000.0,0.01,0.0,48.35,50.27,18.25,12.17,0.0
苏州天脉,sz301626,258.0,251.99,258.0,20200.0,257.02,100,258.0,800,2.39,258.0,258.0,20200,5210000.0,0.04,0.0,135.76,298.45,302.39,201.59,0.0
ST名家汇,sz300506,5.28,5.23,5.28,10300.0,5.27,10900,5.28,3400,0.96,5.28,5.28,10300,50000.0,0.0,0.0,38.79,75.27,6.28,4.18,0.0
森赫股份,sz301056,15.63,15.51,15.63,800.0,15.5,100,15.65,1100,0.77,15.63,15.63,800,10000.0,0.0,0.0,27.51,41.7,18.61,12.41,0.0
宏达电子,sz300726,49.38,48.44,49.38,69800.0,49.38,10000,49.43,1200,1.94,49.38,49.38,69800,3450000.0,0.03,0.0,105.89,203.37,58.13,38.75,0.0
宏源药业,sz301246,20.3,20.19,20.3,19000.0,20.3,5600,20.31,1200,0.54,20.3,20.3,19000,390000.0,0.01,0.0,32.49,81.2,24.23,16.15,0.0
华盛锂电,sh688353,108.7,108.05,108.7,1622300.0,108.7,1400,109.51,200,0.6,108.7,108.7,1622300,1760000.0,0.01,0.0,173.38,173.38,129.66,86.44,0.0
鼎泰高科,sz301377,188.07,186.3,188.07,37500.0,188.07,6800,188.1,400,0.95,188.07,188.07,37500,7050000.0,0.05,0.0,133.57,771.09,223.56,149.04,0.0
