name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3907.21,3894.42,3907.21,537966300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-08-20 09:25:06,12.79,0.33,3907.21,3907.21,3907.21/5379663/10249734236,537966300,10249730000.0,0.01,18.02,,3907.21,3907.21,0.0,610745.08,693944.4,0.0,-1.0,-1.0,0.0,0.0,3907.21,,
深证成指,sz399001,14032.97,13890.15,14032.97,624863900.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-08-20 09:25:03,142.82,1.03,14032.97,14032.97,14032.97/6248639/9386089830,624863900,9386090000.0,0.02,44.56,,14032.97,14032.97,0.0,378100.28,443830.52,0.0,-1.0,-1.0,0.0,0.0,14032.97,,
创业板指,sz399006,3517.65,3473.49,3517.65,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-08-20 09:25:03,44.16,1.27,3517.65,3517.65,3517.65/0/0,0,0.0,0.03,58.57,,3517.65,3517.65,0.0,151895.71,186280.03,0.0,-1.0,-1.0,0.0,0.0,0.0,,
