name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,119.02,120.65,119.02,74700.0,119.02,10200,119.61,100,-1.35,119.02,119.02,74700,8890000.0,0.33,0.0,26.77,132.91,144.78,96.52,0.0
锡华科技,sh603248,25.04,25.01,25.04,9000.0,25.04,2500,25.09,5500,0.12,25.04,25.04,9000,230000.0,0.01,0.0,17.35,115.18,27.51,22.51,0.0
天溯计量,sz301449,79.95,79.97,79.95,3200.0,79.8,100,79.96,2300,-0.03,79.95,79.95,3200,260000.0,0.02,0.0,11.12,52.14,95.96,63.98,0.0
美埃科技,sh688376,69.8,70.44,69.8,2539200.0,69.79,200,69.8,1100,-0.91,69.8,69.8,2539200,1770000.0,0.02,0.0,94.41,94.41,84.53,56.35,0.0
同飞股份,sz300990,83.64,83.63,83.64,13900.0,83.64,5200,83.78,400,0.01,83.64,83.64,13900,1160000.0,0.02,0.0,64.51,142.67,100.36,66.9,0.0
中光防雷,sz300414,14.48,14.7,14.48,89900.0,14.48,3900,14.49,800,-1.5,14.48,14.48,89900,1300000.0,0.03,0.0,45.4,47.21,17.64,11.76,0.0
苏州天脉,sz301626,260.69,259.66,260.69,6200.0,260.69,200,260.78,100,0.4,260.69,260.69,6200,1620000.0,0.01,0.0,137.17,301.57,311.59,207.73,0.0
ST名家汇,sz300506,5.04,5.04,5.04,38800.0,5.03,3000,5.04,7200,0.0,5.04,5.04,38800,200000.0,0.01,0.0,37.03,71.85,6.05,4.03,0.0
森赫股份,sz301056,14.99,15.15,14.99,15100.0,14.98,8600,14.99,31600,-1.06,14.99,14.99,15100,230000.0,0.01,0.0,26.38,39.99,18.18,12.12,0.0
宏达电子,sz300726,48.2,48.51,48.2,68400.0,48.2,2000,48.34,800,-0.64,48.2,48.2,68400,3300000.0,0.03,0.0,103.36,198.51,58.21,38.81,0.0
