name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4027.26,4120.28,4098.69,66010866600.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-06-26 16:14:19,-93.02,-2.26,4099.78,4007.86,4027.26/660108666/1621195708660,66010866600,1621195710000.0,1.37,17.71,,4099.78,4007.86,2.23,623102.3,674364.74,0.0,-1.0,-1.0,0.96,0.0,4061.42,,
深证成指,sz399001,15782.22,16344.08,16211.41,83703465500.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-06-26 16:14:57,-561.86,-3.44,16215.45,15728.84,15782.22/837034655/1931214758275,83703465500,1931214760000.0,3.42,51.18,,16215.45,15728.84,2.98,413365.86,483327.07,0.0,-1.0,-1.0,1.03,0.0,15992.3,,
创业板指,sz399006,4194.21,4371.99,4319.41,24093147300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-06-26 16:14:12,-177.78,-4.07,4328.7,4175.38,4194.21/240931473/932482905912,24093147300,932482910000.0,4.6,72.88,,4328.7,4175.38,3.51,173756.96,214946.23,0.0,-1.0,-1.0,0.98,0.0,4254.79,,
