name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4061.46,4057.74,4061.46,518310700.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-06-02 09:25:09,3.72,0.09,4061.46,4061.46,4061.46/5183107/8996119488,518310700,8996120000.0,0.01,17.91,,4061.46,4061.46,0.0,628162.85,676221.06,0.0,-1.0,-1.0,0.0,0.0,4061.46,,
深证成指,sz399001,15410.7,15340.36,15410.7,756408300.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-06-02 09:25:03,70.34,0.46,15410.7,15410.7,15410.70/7564083/11414281083,756408300,11414280000.0,0.03,51.39,,15410.7,15410.7,0.0,414537.62,484367.56,0.0,-1.0,-1.0,0.0,0.0,15410.7,,
创业板指,sz399006,3987.41,3950.94,3987.41,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-06-02 09:25:03,36.47,0.92,3987.41,3987.41,3987.41/0/0,0,0.0,0.03,70.58,,3987.41,3987.41,0.0,168443.14,208225.64,0.0,-1.0,-1.0,0.0,0.0,0.0,,
