股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002528.SZ,ST英飞拓,4.67,-3.7113402061855614,跌停,0,1,,,, 09:37:10, 13:24:52,退市风险警示风险+板块回调,33,002528
002560.SZ,通达股份,15.54,-0.8928571428571465,涨停,1,0, 10:31:27, 10:31:27,特高压线缆+一季报预增+航空零部件,,,,33,002560
002569.SZ,*ST步森,13.9,4.197901049475266,涨停,1,0, 13:16:24, 13:41:45,控制权变更+扭亏预期+男装品牌+宝鸡国资,,,,33,002569
002581.SZ,ST未名,6.58,-4.221251819505095,跌停,0,1,,,, 09:48:45, 13:44:01,此前业绩预亏+天津未名停产,33,002581
002620.SZ,ST瑞和,9.9,-4.99040307101727,跌停,0,1,,,, 09:39:24, 13:30:35,*ST风险+重整不确定+资金流出+超涨回调,33,002620
002691.SZ,冀凯股份,5.54,0.0,跌停,0,2,,,, 09:30:00, 09:30:00,*ST风险+业绩预亏+年报推迟,33,002691
002705.SZ,新宝股份,16.66,-1.303317535545017,跌停,0,1,,,, 10:35:59, 13:59:08,Labubu冰箱公布+此前涨幅较大,33,002705
002706.SZ,良信股份,11.59,1.7559262510974476,涨停,1,0, 13:01:26, 13:01:26,智算中心+核电+低压电器,,,,33,002706
002717.SZ,ST岭南,1.4,-2.0979020979020997,跌停,0,1,,,, 09:31:19, 09:39:59,异常波动+退市风险警示风险,33,002717
002731.SZ,ST萃华,4.82,-4.930966469428007,跌停,0,6,,,, 09:30:00, 14:04:43,*ST风险+异常波动+账户冻结,33,002731
002741.SZ,光华科技,22.05,-0.9433962264150981,涨停,1,0, 13:23:51, 13:23:51,PCB化学品+一季报高增,,,,33,002741
002785.SZ,万里石,45.0,1.0101010101010166,涨停,1,0, 13:19:20, 14:07:34,铀矿布局+锂资源+石材,,,,33,002785
002787.SZ,华源控股,17.88,-7.068607068607066,跌停,0,1,,,, 09:37:53, 09:37:53,异常波动+短期涨幅较大,33,002787
002808.SZ,*ST恒久,3.14,-4.84848484848484,跌停,0,4, 09:44:06, 09:52:43,, 09:30:00, 13:57:50,第六次退市提示+连续异常波动,33,002808
002898.SZ,*ST赛隆,9.2,-4.958677685950418,跌停,0,6,,,, 09:30:00, 09:30:00,退市风险+关注函待复+资产挂牌,33,002898
