name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,101.79,109.1,107.91,4795600.0,101.79,800,101.8,1200,-6.7,109.5,99.99,4795600,499420000.0,21.32,8.72,22.9,113.67,130.92,87.28,1.05
锡华科技,sh603248,27.23,27.07,27.5,6875800.0,27.23,3500,27.24,5300,0.59,28.3,27.07,6875800,188840000.0,9.92,4.54,18.87,125.26,29.78,24.36,0.53
天溯计量,sz301449,62.6,65.1,64.77,912000.0,62.57,900,62.6,300,-3.84,65.65,62.32,912000,57860000.0,6.55,5.12,8.71,40.83,78.12,52.08,0.93
美埃科技,sh688376,74.85,78.49,77.64,209254000.0,74.66,200,74.85,1300,-4.64,79.2,74.1,209254000,160360000.0,1.55,6.5,101.24,101.24,94.19,62.79,0.64
同飞股份,sz300990,86.6,93.0,92.28,7772900.0,86.6,5600,86.62,2300,-6.88,93.8,85.5,7772900,692360000.0,10.0,8.92,67.34,148.27,111.6,74.4,0.78
中光防雷,sz300414,12.11,12.38,12.4,6559500.0,12.09,1200,12.11,2500,-2.18,12.55,11.97,6559500,80080000.0,2.09,4.68,37.97,39.48,14.86,9.9,1.05
苏州天脉,sz301626,333.04,325.8,327.17,3602400.0,333.04,9700,333.19,200,2.22,347.0,327.17,3602400,1213810000.0,6.85,6.09,175.24,385.26,390.96,260.64,1.31
ST名家汇,sz300506,4.94,5.02,4.98,8234800.0,4.93,105100,4.94,63000,-1.59,5.05,4.92,8234800,40830000.0,1.12,2.59,36.29,70.42,6.02,4.02,0.64
森赫股份,sz301056,13.38,13.8,13.83,2521700.0,13.38,3100,13.4,19100,-3.04,13.83,13.28,2521700,33890000.0,1.43,3.99,23.55,35.7,16.56,11.04,0.79
宏达电子,sz300726,60.2,61.37,61.85,18208200.0,60.19,200,60.2,7500,-1.91,64.66,60.01,18208200,1134140000.0,8.49,7.58,129.09,247.93,73.64,49.1,0.89
宏源药业,sz301246,31.39,30.97,30.76,19505300.0,31.39,20700,31.4,4000,1.36,33.0,30.53,19505300,626260000.0,11.47,7.98,53.39,125.56,37.16,24.78,0.98
