name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,67.51,71.45,71.6,2563800.0,67.51,4000,67.55,10400,-5.51,71.6,67.15,2563800,175900000.0,10.8,6.23,16.02,75.39,85.74,57.16,1.2
锡华科技,sh603248,21.07,21.54,21.5,5214900.0,21.07,11900,21.08,2100,-2.18,22.3,21.01,5214900,111790000.0,7.29,5.99,15.07,96.92,23.69,19.39,1.09
天溯计量,sz301449,38.21,38.61,39.0,999300.0,38.21,6100,38.22,200,-1.04,39.9,38.13,999300,38710000.0,4.86,4.58,7.85,34.89,46.33,30.89,0.92
美埃科技,sh688376,96.5,98.21,101.1,441198600.0,96.5,500,96.55,400,-1.74,101.6,93.32,441198600,425040000.0,3.26,8.43,130.52,130.52,117.85,78.57,0.53
同飞股份,sz300990,104.6,100.1,101.0,6959400.0,104.54,2000,104.6,100,4.5,108.99,100.14,6959400,735930000.0,8.95,8.84,81.34,179.09,120.12,80.08,1.03
中光防雷,sz300414,10.87,11.17,11.13,5179800.0,10.86,300,10.87,10800,-2.69,11.32,10.83,5179800,56950000.0,1.65,4.39,34.08,35.44,13.4,8.94,0.85
苏州天脉,sz301626,328.49,321.0,323.64,1709700.0,328.11,200,328.49,100,2.33,335.0,309.0,1709700,552170000.0,3.25,8.1,172.85,380.0,385.2,256.8,0.61
名家汇,sz300506,6.04,6.25,6.42,25258800.0,6.04,119100,6.05,57600,-3.36,6.44,6.0,25258800,155020000.0,3.44,7.04,44.38,86.11,7.5,5.0,0.51
森赫股份,sz301056,11.27,11.27,11.54,2497800.0,11.27,1400,11.32,2400,0.0,11.79,11.07,2497800,28450000.0,1.42,6.39,19.83,30.07,13.52,9.02,0.93
宏达电子,sz300726,73.6,77.87,79.19,14889500.0,73.6,11500,73.61,2000,-5.48,79.95,72.28,14889500,1115990000.0,6.94,9.85,157.83,303.11,93.44,62.3,0.73
宏源药业,sz301246,25.78,26.9,26.9,13456500.0,25.78,37400,25.79,2900,-4.16,27.54,25.75,13456500,357170000.0,7.91,6.65,43.85,103.12,32.28,21.52,0.95
华盛锂电,sh688353,108.72,113.02,113.0,614816000.0,108.72,500,108.73,600,-3.8,116.58,108.0,614816000,690280000.0,3.85,7.59,173.41,173.41,135.62,90.42,0.76
鼎泰高科,sz301377,486.0,518.04,509.89,5856300.0,485.9,1200,486.0,2000,-6.18,528.81,484.07,5856300,2933170000.0,5.92,8.64,480.46,1999.47,621.65,414.43,0.88
腾景科技,sh688195,157.72,164.6,165.0,721925400.0,157.72,700,157.8,3400,-4.18,168.5,156.04,721925400,1164580000.0,3.99,7.57,285.62,285.62,197.52,131.68,0.86
珂玛科技,sz301611,145.9,150.0,151.36,12008200.0,145.84,800,145.9,7300,-2.73,152.5,140.37,12008200,1755880000.0,8.19,8.09,213.86,636.12,180.0,120.0,0.59
石药创新,sz300765,36.73,36.71,35.1,36800600.0,36.73,58600,36.74,6300,0.05,38.67,35.0,36800600,1363000000.0,2.62,10.0,515.91,515.91,44.05,29.37,1.29
安达智能,sh688125,166.0,171.47,171.7,112216000.0,166.0,800,166.46,300,-3.19,176.7,161.01,112216000,188310000.0,1.37,9.15,135.96,136.33,205.76,137.18,0.72
杰华特,sh688141,168.26,156.0,159.11,1869724400.0,168.26,1500,168.31,800,7.86,171.1,154.95,1869724400,3059250000.0,4.15,10.35,757.71,757.71,187.2,124.8,1.26
铜冠铜箔,sz301217,144.17,154.63,159.98,41769900.0,144.16,4200,144.17,500,-6.76,167.67,143.0,41769900,6368150000.0,5.04,15.95,1195.19,1195.19,185.56,123.7,1.03
海科新源,sz301292,69.81,75.1,75.0,12490700.0,69.81,12500,69.84,100,-7.04,76.31,69.63,12490700,912310000.0,14.66,8.89,59.47,155.53,90.12,60.08,0.88
奕东电子,sz301123,102.28,101.06,101.0,9342600.0,102.28,3300,102.29,1000,1.21,109.0,99.0,9342600,963690000.0,5.66,9.9,168.8,239.99,121.27,80.85,0.85
安通控股,sh600179,4.65,4.59,4.63,53141200.0,4.65,279700,4.66,381600,1.31,4.7,4.56,53141200,245640000.0,1.38,3.05,179.6,196.77,5.05,4.13,0.73
华联控股,sz000036,4.28,4.32,4.32,19347700.0,4.28,27500,4.29,8000,-0.93,4.39,4.25,19347700,83320000.0,1.38,3.24,60.05,60.08,4.75,3.89,0.69
滨海能源,sz000695,12.34,12.66,12.49,6590600.0,12.34,5700,12.35,3200,-2.53,12.8,12.26,6590600,82240000.0,2.97,4.27,27.37,28.6,13.93,11.39,0.8
嘉美包装,sz002969,13.39,14.06,14.17,31509600.0,13.38,67400,13.39,79700,-4.77,14.49,13.38,31509600,434550000.0,2.88,7.89,146.32,147.09,15.47,12.65,0.95
联发股份,sz002394,10.44,10.49,10.46,9515400.0,10.44,9600,10.45,3600,-0.48,10.85,10.39,9515400,100480000.0,2.94,4.39,33.73,33.79,11.54,9.44,0.95
海汽集团,sh603069,12.78,13.01,12.97,3205600.0,12.78,23600,12.82,4700,-1.77,13.25,12.74,3205600,41490000.0,1.01,3.92,40.38,40.38,14.31,11.71,0.69
胜通能源,sz001331,66.17,63.49,62.86,18233900.0,66.16,8700,66.17,75600,4.22,66.34,59.9,18233900,1155670000.0,6.38,10.14,189.14,270.8,69.84,57.14,0.94
海南瑞泽,sz002596,2.96,3.07,3.07,31138800.0,2.96,98300,2.97,31800,-3.58,3.13,2.94,31138800,93990000.0,2.72,6.19,33.94,33.97,3.38,2.76,1.0
多氟多,sz002407,45.86,49.34,48.51,260873400.0,45.86,11000,45.87,4800,-7.05,50.9,45.72,260873400,12574210000.0,24.18,10.5,494.72,545.93,54.27,44.41,1.43
章源钨业,sz002378,30.37,32.82,32.78,67675100.0,30.36,24300,30.37,64500,-7.46,33.58,30.35,67675100,2137760000.0,5.66,9.84,362.96,364.87,36.1,29.54,0.83
神剑股份,sz002361,12.79,14.21,14.49,141740300.0,0.0,0,12.79,5016900,-9.99,14.98,12.79,141740300,1935370000.0,17.52,15.41,103.47,121.64,15.63,12.79,0.91
圣晖集成,sh603163,119.12,125.4,127.35,2894900.0,119.11,100,119.12,1100,-5.01,127.49,116.0,2894900,350190000.0,2.89,9.16,119.12,119.12,137.94,112.86,0.46
万润股份,sz002643,20.0,20.25,20.32,34582000.0,20.0,18700,20.01,4500,-1.23,20.58,19.38,34582000,690430000.0,3.83,5.93,180.44,183.18,22.28,18.23,0.66
快克智能,sh603203,61.25,58.7,61.0,25871900.0,61.24,19600,61.25,2700,4.34,64.57,60.51,25871900,1628420000.0,7.99,6.92,198.39,202.14,64.57,52.83,1.17
海南发展,sz002163,8.34,8.67,8.63,21754900.0,8.34,178100,8.35,18400,-3.81,8.71,8.34,21754900,185010000.0,2.71,4.27,67.02,70.47,9.54,7.8,0.85
宏和科技,sh603256,219.33,238.0,238.23,18547800.0,219.3,100,219.33,200,-7.84,241.74,214.2,18547800,4138180000.0,2.11,11.57,1929.51,1984.03,261.8,214.2,1.2
亚翔集成,sh603929,227.8,235.89,240.05,5866200.0,227.8,300,228.0,3200,-3.43,240.05,218.88,5866200,1340020000.0,2.75,8.97,486.03,486.03,259.48,212.3,0.56
世嘉科技,sz002796,34.92,36.88,37.98,11003000.0,34.92,19500,34.93,6500,-5.31,37.98,34.5,11003000,393960000.0,4.83,9.44,79.52,88.13,40.57,33.19,0.85
深圳新星,sh603978,27.14,30.16,31.36,18972400.0,0.0,0,27.14,232500,-10.01,31.36,27.14,18972400,538140000.0,8.99,13.99,57.29,57.29,33.18,27.14,0.73
友邦吊顶,sz002718,105.51,110.99,110.05,1770300.0,105.51,1300,105.69,10000,-4.94,115.7,104.8,1770300,195340000.0,1.88,9.82,99.16,136.58,122.09,99.89,1.4
九鼎新材,sz002201,9.38,10.31,10.29,43219500.0,9.37,62000,9.38,114800,-9.02,10.37,9.3,43219500,418180000.0,7.18,10.38,56.47,61.12,11.34,9.28,1.24
国风新材,sz000859,9.3,9.51,9.59,42444800.0,9.3,263900,9.31,80900,-2.21,9.66,9.08,42444800,398060000.0,4.74,6.1,83.32,83.33,10.46,8.56,0.78
天际股份,sz002759,23.43,24.91,25.15,33925100.0,23.42,120700,23.43,13700,-5.94,25.34,23.43,33925100,823290000.0,6.77,7.67,117.37,117.47,27.4,22.42,0.81
东材科技,sh601208,62.57,63.7,65.0,55967100.0,62.56,500,62.57,64500,-1.77,66.66,59.97,55967100,3512890000.0,5.54,10.5,632.07,632.07,70.07,57.33,0.84
三孚股份,sh603938,60.71,64.8,66.0,20697200.0,60.71,19200,60.74,700,-6.31,66.66,60.44,20697200,1298960000.0,5.41,9.6,232.29,232.29,71.28,58.32,0.58
航天工程,sh603698,39.37,42.25,43.52,29350500.0,39.37,12300,39.38,7200,-6.82,44.02,38.73,29350500,1196630000.0,5.48,12.52,211.02,211.02,46.48,38.03,0.82
翔鹭钨业,sz002842,40.64,45.15,44.99,46078600.0,0.0,0,40.64,549800,-9.99,45.3,40.64,46078600,1957210000.0,17.16,10.32,109.1,132.96,49.67,40.64,0.82
天赐材料,sz002709,49.0,54.04,52.2,113146700.0,49.0,499000,49.01,111600,-9.33,52.79,48.64,113146700,5744530000.0,7.5,7.68,739.42,998.9,59.44,48.64,0.99
安记食品,sh603696,11.99,12.18,12.17,3564100.0,11.98,7100,11.99,400,-1.56,12.32,11.89,3564100,42950000.0,1.52,3.53,28.2,28.2,13.4,10.96,0.71
XD柏诚股,sh601133,35.9,37.31,37.37,17749600.0,35.89,6000,35.9,3400,-3.78,38.09,35.0,17749600,644470000.0,3.38,8.28,188.25,188.91,41.04,33.58,0.48
德尔未来,sz002631,10.74,10.91,10.83,33767400.0,10.74,23900,10.75,201000,-1.56,11.25,10.5,33767400,364620000.0,4.26,6.87,85.23,85.63,12.0,9.82,0.57
创元科技,sz000551,19.9,20.5,20.88,43278200.0,19.9,2500,19.91,10100,-2.93,21.23,19.69,43278200,877010000.0,8.93,7.51,96.42,96.46,22.55,18.45,0.71
浔兴股份,sz002098,6.73,6.76,6.78,2636200.0,6.73,28400,6.74,600,-0.44,6.89,6.73,2636200,17880000.0,0.74,2.37,24.09,24.09,7.44,6.08,0.68
合兴包装,sz002228,3.03,3.09,3.1,15284100.0,3.02,248800,3.03,393000,-1.94,3.11,3.01,15284100,46560000.0,1.26,3.24,36.64,36.77,3.4,2.78,0.7
神农种业,sz300189,4.39,4.45,4.48,52882400.0,4.39,35000,4.4,39900,-1.35,4.55,4.38,52882400,236270000.0,5.97,3.82,38.91,44.95,5.34,3.56,0.79
南宁百货,sh600712,4.92,5.1,5.1,9512500.0,4.91,8200,4.92,160000,-3.53,5.15,4.89,9512500,47370000.0,1.77,5.1,26.5,26.8,5.61,4.59,0.87
集泰股份,sz002909,4.96,5.03,5.03,6993800.0,4.96,2100,4.97,24500,-1.39,5.14,4.93,6993800,35040000.0,1.84,4.17,18.87,19.34,5.53,4.53,0.74
鹏辉能源,sz300438,72.34,76.52,75.48,23636000.0,72.34,700,72.35,1600,-5.46,77.77,72.3,23636000,1754990000.0,5.85,7.15,292.37,364.12,91.82,61.22,0.78
大中矿业,sz001203,30.5,31.56,31.56,26603500.0,30.5,12600,30.51,14700,-3.36,32.88,30.44,26603500,837330000.0,2.04,7.73,398.32,467.59,34.72,28.4,0.77
菱电电控,sh688667,121.43,127.14,127.0,135730800.0,121.43,1500,121.45,100,-4.49,129.05,120.5,135730800,167030000.0,2.58,6.72,63.99,63.99,152.57,101.71,0.99
海南海药,sz000566,6.43,6.14,5.69,349822400.0,6.42,1259100,6.43,134800,4.72,6.73,5.6,349822400,2182210000.0,26.98,18.4,83.38,83.42,6.75,5.53,1.79
鲁信创投,sh600783,20.05,22.28,22.04,44859100.0,0.0,0,20.05,462900,-10.01,22.37,20.05,44859100,932570000.0,6.03,10.41,149.24,149.24,24.51,20.05,1.07
鸿富瀚,sz301086,188.66,188.6,191.01,3304100.0,188.66,3800,188.67,200,0.03,202.49,188.0,3304100,640510000.0,5.04,7.68,123.67,237.46,226.32,150.88,1.25
鹭燕医药,sz002788,10.91,10.82,10.71,16397600.0,10.91,42600,10.92,51900,0.83,11.11,10.71,16397600,179670000.0,4.29,3.7,41.66,42.39,11.9,9.74,0.89
青鸟智控,sz002960,8.52,8.76,8.72,14987800.0,8.52,18600,8.53,400,-2.74,8.75,8.47,14987800,128260000.0,1.55,3.2,82.49,89.78,9.64,7.88,0.96
和林微纳,sh688661,152.07,174.37,175.37,736494200.0,152.07,2000,152.08,7800,-12.79,175.92,145.73,736494200,1164420000.0,4.85,17.31,230.98,230.98,209.24,139.5,1.19
