股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
002168.SZ,*ST惠程,4.25,4.938271604938276,涨停,1,0, 09:33:57, 09:37:42,重整+接受现金捐赠+医药+充电桩,,,,33,002168
002527.SZ,新时达,17.15,10.006414368184727,涨停,1,0, 09:39:06, 09:39:06,人形机器人+海尔场景协同+机器人出货高增+半导体机器人,,,,33,002527
603458.SH,勘设股份,10.44,10.010537407797674,涨停,2,0, 09:49:12, 09:49:54,北斗标准+无人驾驶+工程咨询+数据中心,,,,17,603458
600599.SH,*ST熊猫,10.45,-5.000000000000006,跌停,0,1,,,, 09:25:03, 09:25:03,证监会立案+退市风险+非理性炒作风险,22,600599
002231.SZ,*ST奥维,1.47,-5.1612903225806495,跌停,0,2,,,, 09:25:00, 09:25:00,退市风险+连续亏损+违规担保,33,002231
000917.SZ,电广传媒,10.35,-10.000000000000002,跌停,0,1,,,, 14:21:57, 14:26:24,资金流出+短期涨幅较大+利好落地,33,000917
603009.SH,北特科技,48.4,9.999999999999998,涨停,1,0, 13:46:54, 13:46:54,人形机器人+定增过会+汽车零部件,,,,17,603009
002905.SZ,金逸影视,11.62,10.037878787878775,涨停,1,0, 10:35:57, 10:35:57,影视院线+票房增长+特色影厅+唐探1900,,,,33,002905
603686.SH,福龙马,31.58,9.996516893068609,涨停,1,0, 14:34:41, 14:34:41,机器人中标+环卫装备+福建,,,,17,603686
002347.SZ,泰尔股份,11.25,9.970674486803514,涨停,4,0, 09:44:06, 11:29:42,商业航天+机器人+冶金龙头,,,,33,002347
002177.SZ,御银股份,8.55,10.038610038610054,涨停,2,0, 09:25:00, 13:35:51,曾涉及数字货币+智能金融设备+ATM+产业园运营,,,,33,002177
002816.SZ,*ST和科,22.42,5.011709601873537,涨停,1,0, 14:42:30, 14:42:30,机器人+半导体+线束+国企,,,,33,002816
