name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4117.41,4082.07,4129.13,56632224900.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-02-24 15:52:15,35.34,0.87,4131.55,4105.94,4117.41/566322249/938611376000,56632224900,938611380000.0,1.18,17.53,,4131.55,4105.94,0.63,632711.19,674103.94,0.0,-1.0,-1.0,1.08,0.0,4118.47,,
深证成指,sz399001,14291.57,14100.19,14313.86,71242599000.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-02-24 15:52:00,191.38,1.36,14376.96,14214.41,14291.57/712425990/1263450465547,71242599000,1263450470000.0,2.95,53.85,,14376.96,14214.41,1.15,401440.22,468252.95,0.0,-1.0,-1.0,1.02,0.0,14293.19,,
创业板指,sz399006,3308.26,3275.96,3331.79,22240405600.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-02-24 15:52:15,32.3,0.99,3343.24,3292.5,3308.26/222404056/593352962910,22240405600,593352960000.0,4.3,73.05,,3343.24,3292.5,1.55,152038.48,188097.61,0.0,-1.0,-1.0,0.99,0.0,3315.84,,
