股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000004.SZ,*ST国华,2.91,-4.901960784313722,跌停,0,4,,,, 09:30:00, 09:30:00,市值退市风险+连续十二个交易日低于5亿元+财务退市风险,33,000004
000488.SZ,ST晨鸣,2.7,0.7462686567164185,涨停,1,0, 13:42:27, 13:46:02,浆纸一体化+山东国资+摘帽预期,,,,33,000488
000533.SZ,顺钠股份,13.55,-6.228373702422136,跌停,0,1,,,, 10:10:41, 10:10:41,股东减持+司法拍卖+控股权变动,33,000533
000537.SZ,绿发电力,11.65,0.0,涨停,1,0, 09:37:09, 13:42:12,绿电交易+储能+央企,,,,33,000537
000593.SZ,德龙汇能,19.64,0.0,涨停,1,0, 10:04:37, 10:12:26,燃气+氢能中心+控制权变更完成,,,,33,000593
000609.SZ,*ST中迪,11.87,5.0442477876106055,涨停,3,0, 09:30:00, 09:30:00,半导体资产注入+房地产+ST博弈,,,,33,000609
000715.SZ,中兴商业,6.3,-4.68986384266264,涨停,1,0, 09:59:08, 09:59:59,百货零售+首店经济+恐龙IP,,,,33,000715
000890.SZ,法尔胜,16.63,-0.7756563245823541,涨停,1,0, 09:37:24, 14:51:17,光纤业务澄清+重大资产出售完成+环保技术突破+金属制品,,,,33,000890
000892.SZ,欢瑞世纪,4.96,-9.981851179673319,跌停,0,1,,,, 09:30:00, 09:30:00,证监会立案+会计差错,33,000892
000909.SZ,*ST数源,5.73,-4.97512437810945,跌停,0,1,,,, 09:30:00, 09:30:00,信披立案+退市警示+业绩亏损,33,000909
000925.SZ,众合科技,9.09,8.732057416267947,涨停,1,0, 10:11:56, 11:13:55,算力租赁+商业航天+智慧交通,,,,33,000925
001215.SZ,千味央厨,43.41,0.023041474654373298,涨停,1,0, 13:47:41, 13:47:41,预制菜+三胎概念+回购,,,,33,001215
001234.SZ,泰慕士,32.22,-0.922509225092264,涨停,2,0, 09:40:29, 09:40:29,服装贴牌+回购注销+广州国资入主,,,,33,001234
001267.SZ,汇绿生态,51.82,1.76747839748625,涨停,1,0, 13:20:22, 13:20:22,硅光模块+硅光芯片+鄂州扩产+园林工程,,,,33,001267
001314.SZ,亿道信息,49.37,1.7938144329896855,涨停,1,0, 09:31:00, 10:18:24,业绩大增+拟并购RFID+AI终端,,,,33,001314
002008.SZ,大族激光,103.6,0.0,涨停,1,0, 13:21:52, 13:35:11,AI算力PCB+商业航天+一季报高增,,,,33,002008
002024.SZ,ST易购,1.34,-0.7407407407407414,涨停,1,0, 14:03:42, 14:40:49,家电3C+以旧换新+ST板块,,,,33,002024
002081.SZ,金螳螂,5.45,0.36832412523021113,涨停,5,0, 09:30:45, 10:13:11,商业航天产业配套+半导体洁净室+越南合作+EPC总包,,,,33,002081
002242.SZ,九阳股份,11.69,2.453987730061344,涨停,1,0, 10:31:31, 10:31:31,员工持股计划+小家电+机器人+太空科技,,,,33,002242
002301.SZ,齐心集团,7.52,0.9395973154362335,涨停,1,0, 09:39:31, 09:39:31,AI应用+国潮文创+B2B集采,,,,33,002301
002429.SZ,兆驰股份,11.79,-10.000000000000005,涨停,1,0, 09:36:09, 14:55:16,CPO+MicroLED+光模块+深圳国资,,,,33,002429
002448.SZ,中原内配,17.0,-2.968036529680363,涨停,1,0, 14:07:37, 14:07:37,氢能源+人形机器人+气缸套,,,,33,002448
002490.SZ,山东墨龙,9.9,1.3306038894575312,涨停,1,0, 11:12:04, 11:12:04,油气装备+寿光国资+海外订单+业绩增长,,,,33,002490
002565.SZ,顺灏股份,19.55,-1.0627530364372513,跌停,0,1,,,, 11:22:21, 14:10:10,板块回调+资金流出+此前涨幅较大,33,002565
002606.SZ,大连电瓷,14.0,4.9475262368815605,涨停,1,0, 09:30:00, 09:30:00,一季报增长+特高压+海外订单+瓷绝缘子,,,,33,002606
002713.SZ,*ST东易,13.4,-1.9751280175566903,跌停,0,1,,,, 14:10:28, 15:00:00,退市风险+业绩亏损,33,002713
002731.SZ,ST萃华,5.34,-4.982206405693955,跌停,0,4,,,, 09:30:00, 09:30:00,退市风险警示+审计否定意见+现金流紧张,33,002731
002787.SZ,华源控股,19.98,2.7777777777777732,涨停,1,0, 09:37:09, 13:01:46,半导体收购+温控设备+金属包装+一季报增长,,,,33,002787
002789.SZ,*ST建艺,12.87,-3.0143180105501157,跌停,0,1,,,, 10:41:28, 10:41:28,退市风险+此前涨幅较大,33,002789
002793.SZ,罗欣药业,5.6,-0.5328596802841963,涨停,1,0, 09:50:23, 09:50:23,一季报增长+创新药+替戈拉生片+医保全覆盖,,,,33,002793
002808.SZ,*ST恒久,3.47,-4.931506849315061,跌停,0,2,,,, 09:30:00, 09:30:00,退市风险+第六次提示+业绩预亏,33,002808
002898.SZ,*ST赛隆,10.19,-5.032618825722283,跌停,0,4,,,, 09:30:00, 09:30:00,关注函质疑AI收入+退市风险+异常波动,33,002898
002971.SZ,和远气体,33.12,-2.24321133412044,涨停,1,0, 13:49:34, 13:49:34,电子特气+硅基新材料+国产替代,,,,33,002971
003022.SZ,联泓新科,24.92,0.6055712555510785,涨停,1,0, 10:29:57, 10:29:57,一季报倍增+VC投产+EVA+电子特气,,,,33,003022
300061.SZ,旗天科技,9.97,1.7346938775510194,涨停,1,0, 09:35:54, 09:35:54,一季报扭亏+七彩虹入主+AI营销,,,,33,300061
300067.SZ,安诺其,7.35,1.1004126547455306,涨停,3,0, 09:30:00, 09:30:00,拟收购烽云信息+算力服务,,,,33,300067
300590.SZ,移为通信,14.46,-0.6868131868131844,涨停,1,0, 09:30:15, 09:42:50,一季报高增+物联网+芯片设计,,,,33,300590
300721.SZ,怡达股份,18.04,1.978518937252673,涨停,1,0, 09:30:00, 09:52:28,原料短缺+光刻胶基材+湿电子化学品+HPPO环氧丙烷,,,,33,300721
300970.SZ,华绿生物,45.08,7.3333333333333295,涨停,1,0, 10:18:24, 10:25:43,净利暴增+金针菇涨价+扩产+食用菌,,,,33,300970
600052.SH,东望时代,4.9,6.986899563318784,涨停,2,0, 13:31:13, 13:31:13,收购调整+锂电池+热水服务+国资背景,,,,17,600052
600110.SH,诺德股份,8.94,-3.559870550161813,跌停,0,1,,,, 09:53:21, 10:44:13,年报亏损+板块走弱+资金流出,17,600110
600186.SH,莲花控股,9.58,1.375661375661384,涨停,1,0, 10:01:19, 10:20:49,业绩高增+算力租赁+调味品,,,,17,600186
600193.SH,*ST创兴,2.28,-5.000000000000004,跌停,0,5,,,, 09:30:00, 09:30:00,退市风险+审计保留意见+连续异常波动,22,600193
600243.SH,*ST海华,3.51,-4.878048780487809,跌停,0,2,,,, 09:30:00, 09:30:00,退市风险+第六次提示+年报披露前回调,22,600243
600259.SH,中稀有色,90.21,-4.539682539682547,跌停,0,1,,,, 10:03:37, 10:42:43,板块回调+资金流出+前期涨幅较大,17,600259
600265.SH,ST景谷,21.25,0.0,涨停,1,0, 10:34:09, 14:55:16,算力租赁+资产重组+林业,,,,22,600265
600310.SH,广西能源,5.29,0.18939393939393534,涨停,1,0, 13:43:00, 14:25:03,绿电扩张+海上风电+广西国资,,,,17,600310
600338.SH,西藏珠峰,19.28,-6.042884990253404,跌停,0,1,,,, 09:35:04, 09:44:03,业绩落地+此前涨幅较大+资金流出,17,600338
600381.SH,*ST春天,3.42,0.29325513196480313,涨停,1,0, 09:54:12, 13:17:08,高端白酒+虫草龙头+退市博弈,,,,22,600381
600396.SH,华电辽能,9.65,-1.8311291963377387,涨停,3,0, 13:43:30, 13:43:30,火电+绿电+央企,,,,17,600396
600421.SH,*ST华嵘,4.76,-4.990019960079841,跌停,0,2,,,, 09:30:00, 09:30:00,业绩修正+财务类终止上市风险+营收调减,22,600421
600599.SH,*ST熊猫,4.64,4.269662921348303,涨停,1,0, 09:47:01, 09:51:43,退市博弈+烟花爆竹+业绩预盈,,,,22,600599
600636.SH,*ST国化,5.42,-1.2750455373406244,跌停,0,2,,,, 09:30:00, 14:03:27,审计未定+退市风险+异常波动,22,600636
600696.SH,*ST岩石,1.38,5.3435114503816665,涨停,5,0, 09:30:15, 09:30:15,退市博弈+酱香型白酒,,,,22,600696
600726.SH,华电能源,5.53,4.933586337760924,涨停,1,0, 10:35:13, 10:35:13,一季报增长+绿电转型+热电联产+煤炭,,,,17,600726
600736.SH,苏州高新,9.2,9.916367980884111,涨停,3,0, 09:30:00, 09:30:00,商业航天+产业园运营+苏州+脑机接口,,,,17,600736
600770.SH,综艺股份,6.97,9.936908517350156,涨停,1,0, 09:51:13, 09:51:13,功率半导体+吉莱微并购+芯片设计,,,,17,600770
600815.SH,厦工股份,3.93,-3.4398034398034425,跌停,0,1,,,, 10:00:14, 14:21:33,业绩转亏+板块回调+资金流出,17,600815
600843.SH,上工申贝,8.4,-2.211874272409773,跌停,0,1,,,, 13:01:12, 13:01:12,年报再延期+业绩预亏,17,600843
600986.SH,浙文互联,11.7,-3.5449299258038045,涨停,1,0, 09:44:45, 13:00:57,算力租赁+AI营销+浙江国资,,,,17,600986
601016.SH,节能风电,4.53,1.1160714285714246,涨停,1,0, 13:36:56, 13:36:56,风电+储能突破+绿电扩张+央企,,,,17,601016
601101.SH,昊华能源,9.55,2.0299145299145436,涨停,1,0, 09:33:49, 10:04:07,一季报增长+煤炭+高股息+北京国资,,,,17,601101
601512.SH,中新集团,10.8,-4.845814977973559,涨停,2,0, 09:34:49, 09:34:49,机器人+绿色电力+间接参股昆仑芯+苏州,,,,17,601512
601778.SH,晶科科技,7.54,4.867872044506253,涨停,1,0, 13:11:51, 13:11:51,算力中心+绿电直连+储能,,,,17,601778
603017.SH,中衡设计,16.0,-2.7946537059538326,涨停,1,0, 10:06:08, 10:07:11,商业航天+工程设计+低空经济,,,,17,603017
603060.SH,国检集团,7.06,6.48567119155354,涨停,1,0, 10:19:37, 10:19:37,商业航天+新材料检测+央企,,,,17,603060
603169.SH,兰石重装,7.94,-9.977324263038547,跌停,0,1,,,, 09:30:00, 09:38:09,信披立案+年报亏损,17,603169
