name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,3965.12,3965.28,3947.87,52593258800.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-30 16:14:12,-0.16,-0.0,3979.99,3947.42,3965.12/525932588/887533318588,52593258800,887533320000.0,1.1,16.96,,3979.99,3947.42,0.82,606056.73,647317.38,0.0,-1.0,-1.0,1.02,0.0,3961.51,,
深证成指,sz399001,13604.07,13537.1,13466.3,71622336600.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-30 16:14:27,66.97,0.49,13645.56,13465.67,13604.07/716223366/1254792193356,71622336600,1254792190000.0,2.98,49.78,,13645.56,13465.67,1.33,375453.6,433183.51,0.0,-1.0,-1.0,1.04,0.0,13572.1,,
创业板指,sz399006,3242.9,3222.61,3208.32,20695328500.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2025-12-30 16:14:42,20.29,0.63,3251.13,3207.73,3242.90/206953285/559494560603,20695328500,559494560000.0,4.0,68.85,,3251.13,3207.73,1.35,142507.33,176131.45,0.0,-1.0,-1.0,1.07,0.0,3232.9,,
