股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000004.SZ,*ST国华,3.47,5.151515151515163,涨停,1,0, 09:30:53, 09:30:53,退市风险博弈+算力+移动应用安全,,,,33,000004
000608.SZ,*ST阳光,4.23,1.4388489208633213,涨停,1,0, 13:44:48, 13:44:48,摘星脱帽预期+商业地产+控制权变更,,,,33,000608
000620.SZ,盈新发展,3.11,0.0,涨停,1,0, 09:46:08, 09:46:08,存储芯片+拟收购长兴半导体+文旅地产,,,,33,000620
000711.SZ,ST京蓝,3.66,1.9498607242339914,涨停,1,0, 10:25:29, 11:10:05,铟靶材+固危废资源化+ST炒作,,,,33,000711
000752.SZ,ST西发,9.87,1.334702258726889,涨停,2,0, 14:26:05, 14:26:05,ST重整+拟全资控股拉萨啤酒+业绩预增,,,,33,000752
000793.SZ,*ST华闻,2.93,-0.6779661016949158,跌停,0,1, 09:30:00, 11:26:46,, 13:44:03, 13:44:48,重整不确定性+异常波动+资金流出,33,000793
000889.SZ,中嘉博创,4.32,0.23201856148493447,涨停,1,0, 09:32:23, 09:32:23,算力销售+5G消息+短信通道,,,,33,000889
000929.SZ,*ST兰黄,10.68,2.3969319271332696,涨停,2,0, 09:38:42, 10:58:06,申请撤销退市风险警示+啤酒饮料+果汁扩产+扭亏预期,,,,33,000929
000967.SZ,盈峰环境,12.18,4.191616766467068,涨停,1,0, 09:30:08, 14:29:48,算力+新能源环卫+机器人,,,,33,000967
001270.SZ,*ST铖昌,142.37,5.000368758758021,涨停,2,0, 09:41:42, 10:46:13,T/R芯片+商业航天+扭亏为盈+摘帽预期,,,,33,001270
001299.SZ,美能能源,18.36,-0.9708737864077654,涨停,3,0, 09:33:53, 09:33:53,燃气+综合能源转型+年报增长+西部大开发,,,,33,001299
002023.SZ,海特高新,12.65,2.6785714285714293,涨停,1,0, 09:30:00, 09:30:00,参股华芯科技（产品应用于光模块）+航空装备+eVTOL模拟器,,,,33,002023
002051.SZ,中工国际,11.39,5.268022181146028,涨停,1,0, 09:44:12, 13:38:17,中东重建+国际工程+算力+一带一路,,,,33,002051
002083.SZ,孚日股份,13.5,-7.08878183069511,涨停,1,0, 14:38:56, 14:38:56,锂电池添加剂+涂层材料+业绩增长+地方国企,,,,33,002083
002107.SZ,沃华医药,8.39,7.151979565772676,涨停,1,0, 09:39:27, 09:47:11,心脑血管中药+独家产品线+业绩大增,,,,33,002107
002124.SZ,天邦食品,2.99,4.912280701754391,涨停,2,0, 09:51:30, 09:51:30,猪肉+预重整+销量增长,,,,33,002124
002149.SZ,西部材料,52.0,4.0,涨停,1,0, 13:08:02, 13:08:02,商业航天+可控核聚变+稀有金属+国企,,,,33,002149
002157.SZ,正邦科技,3.54,1.4326647564469863,涨停,1,0, 10:39:30, 14:35:02,生猪养殖+量价齐升+双胞胎协同,,,,33,002157
002213.SZ,大为股份,37.97,-0.2888655462184859,涨停,1,0, 09:43:57, 09:43:57,存储芯片+锂矿资源+拟定增,,,,33,002213
002229.SZ,鸿博股份,19.7,0.0,涨停,1,0, 09:31:23, 09:31:23,AI算力业务+彩票印刷龙头,,,,33,002229
002297.SZ,博云新材,14.62,10.007524454477052,涨停,2,0, 09:30:00, 09:30:00,一季报业绩预增+商业航天+硬质合金,,,,33,002297
002305.SZ,*ST南置,2.33,0.0,涨停,1,0, 10:23:42, 10:23:42,商业地产+央企重组+净资产转正,,,,33,002305
002314.SZ,南山控股,2.75,0.3649635036496272,涨停,1,0, 13:53:58, 14:01:10,住宅开发+储能+REITs+国企,,,,33,002314
002328.SZ,新朋股份,11.9,0.506756756756761,涨停,1,0, 10:20:50, 10:20:50,液冷服务器+储能+汽车零部件+回购,,,,33,002328
002364.SZ,中恒电气,42.49,0.0,涨停,4,0, 09:32:23, 09:32:23,宁德时代入股+HVDC+数据中心电源,,,,33,002364
002463.SZ,沪电股份,98.6,1.0867336477342506,涨停,1,0, 09:50:16, 13:40:02,一季度业绩预增+AI服务器PCB+68亿扩产,,,,33,002463
002580.SZ,圣阳股份,24.48,6.5737919024815055,涨停,4,0, 13:51:38, 14:01:10,液冷储能+固态电池+山东国资,,,,33,002580
002630.SZ,ST华西,2.09,3.9800995024875663,涨停,1,0, 09:38:27, 09:38:27,ST摘帽预期+储能+高效环保锅炉,,,,33,002630
002634.SZ,棒杰股份,6.71,-10.053619302949063,跌停,0,1,,,, 09:48:31, 10:06:28,诉讼进展执行+此前涨幅较大+业绩预亏,33,002634
002647.SZ,仁东控股,10.79,3.6503362151777043,涨停,1,0, 09:34:08, 10:01:50,摘帽+AI算力+第三方支付,,,,33,002647
002686.SZ,亿利达,7.65,0.9234828496042253,涨停,1,0, 09:44:12, 09:44:12,数据中心冷却+控制权变更+浙江国资,,,,33,002686
002692.SZ,远程股份,6.91,-0.4322766570605223,涨停,1,0, 09:38:27, 09:38:27,超短期融资券发行+电线电缆+参股半导体+国企改革,,,,33,002692
002713.SZ,*ST东易,15.22,2.0107238605898172,涨停,1,0, 14:23:31, 14:23:31,算力中心+家装AI+重整完成,,,,33,002713
002808.SZ,*ST恒久,4.83,1.684210526315791,涨停,1,0, 14:41:41, 14:41:41,ST摘帽博弈+新能源转型+OPC感光鼓,,,,33,002808
002885.SZ,京泉华,28.39,4.953789279112754,涨停,1,0, 09:30:08, 09:30:08,电源类产品+磁性元器件+储能+业绩预增,,,,33,002885
