股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000004.SZ,*ST国华,4.81,-3.800000000000008,跌停,0,2,,,, 09:30:00, 11:06:20,退市风险+板块下跌+连续回调,33,000004
000020.SZ,深华发A,20.36,-3.04761904761905,跌停,0,1, 09:30:00, 09:30:00,, 14:38:15, 14:45:13,板块下跌+异常波动+短线回调,33,000020
000488.SZ,ST晨鸣,2.82,1.0752688172042941,跌停,0,1,,,, 13:15:36, 13:48:28,板块拖累+资金流出+此前涨幅较大,33,000488
000509.SZ,华塑控股,4.09,0.0,跌停,0,1,,,, 13:33:43, 14:40:52,板块普跌+此前涨幅较大+业绩预亏,33,000509
000524.SZ,岭南控股,11.74,1.0327022375215233,跌停,0,1,,,, 13:45:13, 14:04:06,板块普跌+业绩预减,33,000524
000534.SZ,万泽股份,39.75,6.596942880128723,跌停,0,1,,,, 14:17:40, 14:30:29,板块下跌+资金流出+前期涨幅大,33,000534
000595.SZ,*ST宝实,5.94,1.0204081632653146,跌停,0,1,,,, 13:29:55, 14:04:21,退市风险+板块普跌+资金流出,33,000595
000601.SZ,韶能股份,7.5,2.3192360163710766,跌停,0,1,,,, 14:03:36, 14:43:47,市场下跌+近期累计涨幅较大,33,000601
000603.SZ,盛达资源,36.39,3.704759190652599,跌停,0,1,,,, 14:44:48, 14:44:48,贵金属价格下挫+板块普跌+资金流出+此前涨幅较大,33,000603
000608.SZ,*ST阳光,3.76,0.5347593582887586,跌停,0,1,,,, 14:08:21, 14:52:12,板块下跌+业绩亏损+退市风险,33,000608
000609.SZ,ST中迪,8.95,0.33632286995514976,跌停,0,1,,,, 13:30:43, 13:40:43,退市风险+板块下跌+资金流出,33,000609
000638.SZ,*ST万方,1.55,4.729729729729734,涨停,2,0, 09:30:26, 09:30:26,退市博弈+军工+粮食,,,,33,000638
000656.SZ,*ST金科,1.29,0.7812500000000007,跌停,0,1,,,, 14:50:34, 14:50:34,板块下跌+资金流出+退市风险,33,000656
000677.SZ,恒天海龙,4.56,1.7857142857142674,跌停,0,1,,,, 14:06:51, 14:31:58,板块下跌+此前涨幅较大,33,000677
000691.SZ,*ST亚太,7.73,0.38961038961039285,跌停,0,1,,,, 14:18:56, 14:39:15,退市风险+连续提示+板块下跌,33,000691
