股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000159.SZ,国际实业,6.37,0.0,涨停,1,0, 09:36:45, 09:36:45,油品批发+光伏概念+一带一路+矿产收购,,,,33,000159
000628.SZ,高新发展,50.15,-1.22119361827852,涨停,1,0, 09:48:17, 09:52:47,科技转型+成都国资+此前拟收购华鲲振宇,,,,33,000628
000691.SZ,*ST亚太,9.0,5.017502917152855,涨停,4,0, 09:30:00, 09:30:00,重整完成+军工导入+精细化工+ST复牌,,,,33,000691
000820.SZ,*ST节能,3.7,4.225352112676067,涨停,1,0, 13:25:28, 13:25:28,储能中标+固废处理+冶金工程,,,,33,000820
000901.SZ,航天科技,31.83,5.223140495867763,涨停,1,0, 11:29:09, 11:29:09,商业航天+车联网+央企,,,,33,000901
000908.SZ,*ST景峰,7.89,5.059920106524632,涨停,2,0, 09:30:00, 09:30:00,重整推进+创新药+玻璃酸钠中标,,,,33,000908
001208.SZ,华菱线缆,31.25,9.996480112636396,涨停,1,0, 09:33:00, 09:33:30,商业航天+机器人线缆+湖南国资+特种电缆,,,,33,001208
001215.SZ,千味央厨,44.96,0.08904719501335517,涨停,1,0, 13:02:21, 13:02:21,三胎概念+预制菜+回购,,,,33,001215
001270.SZ,*ST铖昌,116.99,4.999102495063717,涨停,5,0, 09:30:00, 09:31:45,T/R芯片+低轨卫星+扭亏为盈,,,,33,001270
001400.SZ,江顺科技,103.42,0.15494867325198197,涨停,3,0, 09:38:00, 09:58:53,商业航天+液冷服务器+铝挤压模具,,,,33,001400
002005.SZ,ST德豪,2.69,2.281368821292778,涨停,1,0, 10:40:51, 13:55:30,LED封装+小家电+ST扭亏,,,,33,002005
002023.SZ,海特高新,15.7,4.388297872340427,涨停,1,0, 14:23:34, 14:25:43,商业航天+低空经济+军工装备,,,,33,002023
002025.SZ,航天电器,67.0,6.36608985553262,涨停,1,0, 10:36:20, 15:00:00,商业航天+机器人概念+军工电子+光模块+央企,,,,33,002025
002055.SZ,ST得润,5.49,-5.017301038062284,跌停,0,3,,,, 09:30:00, 09:30:00,被ST+财务虚假+担保诉讼,33,002055
002173.SZ,创新医疗,33.0,4.795173070816138,涨停,4,0, 09:30:00, 09:30:00,脑机接口+民营医院+博灵脑机,,,,33,002173
002195.SZ,岩山科技,10.34,-0.38535645472062546,涨停,4,0, 11:08:36, 11:08:36,脑机接口+人形机器人+AI大模型,,,,33,002195
002199.SZ,*ST东晶,9.89,2.699896157840081,涨停,2,0, 10:14:38, 10:14:38,ST板块+控制权变更+石英晶体,,,,33,002199
