股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
600421.SH,*ST华嵘,7.47,-4.961832061068709,跌停,0,1,,,, 09:57:51, 14:50:45,退市风险+第四次提示+业绩预盈待审,22,600421
605389.SH,长龄液压,77.03,9.995716121662145,涨停,1,0, 10:08:40, 10:08:40,要约收购完成+机器人减速器+国企改革,,,,17,605389
600599.SH,*ST熊猫,6.18,4.923599320882853,涨停,8,0, 09:25:03, 09:25:03,业绩预盈+烟花爆竹+退市博弈+ST板块,,,,22,600599
600666.SH,奥瑞德,4.88,9.909909909909898,涨停,2,0, 09:33:58, 09:33:58,算力租赁+年报预增+蓝宝石,,,,17,600666
000638.SZ,*ST万方,1.34,-4.9645390070921875,跌停,0,6,,,, 09:25:00, 09:25:00,市值退市风险+财务类退市+立案调查,33,000638
000539.SZ,粤电力A,6.17,9.982174688057032,涨停,2,0, 09:31:51, 09:33:33,算电协同+广东国资+电力,,,,33,000539
600617.SH,国新能源,3.63,10.000000000000004,涨停,1,0, 10:27:51, 10:44:27,天然气+山西管网+山西国资,,,,17,600617
600726.SH,华电能源,5.02,10.087719298245615,涨停,1,0, 10:39:11, 14:56:53,绿电转型+热电联产+煤炭概念+央企,,,,17,600726
600355.SH,*ST精伦,0.74,-5.128205128205132,跌停,0,6,,,, 09:25:03, 09:25:03,面值退市+连续异常波动+板块拖累,22,600355
000908.SZ,*ST景峰,6.14,4.957264957264958,涨停,7,0, 09:25:00, 09:25:00,重整完成+创新药CDMO+合成生物,,,,33,000908
002310.SZ,东方新能,3.16,10.10452961672474,涨停,1,0, 10:21:27, 10:21:27,重大资产重组+风光电站+北京国资,,,,33,002310
300895.SZ,铜牛信息,76.34,19.993712668972034,涨停,1,0, 10:00:06, 13:17:09,北京数据集团入主+算力租赁+IDC,,,,33,300895
000968.SZ,蓝焰控股,9.81,9.97757847533633,涨停,1,0, 13:36:36, 13:36:36,煤层气+地缘冲突+山西国资,,,,33,000968
002734.SZ,利民股份,18.55,-9.995147986414358,跌停,0,1,,,, 14:12:24, 14:29:24,板块普跌+资金流出+前期涨幅较大,33,002734
600996.SH,贵广网络,9.5,9.953703703703697,涨停,1,0, 09:56:36, 09:56:36,算力租赁+广电5G+贵州国资,,,,17,600996
000488.SZ,ST晨鸣,2.89,-4.934210526315787,跌停,0,1,,,, 13:50:54, 14:21:27,个股随市调整+资金流出+此前涨幅较大,33,000488
600696.SH,*ST岩石,1.57,-4.84848484848484,跌停,0,1,,,, 14:49:59, 15:00:03,退市风险+板块下跌+业绩预亏,22,600696
000601.SZ,韶能股份,7.4,9.955423476968797,涨停,2,0, 09:25:00, 09:25:00,算电协同+储能+生物质发电,,,,33,000601
000609.SZ,ST中迪,9.52,-4.990019960079841,跌停,0,1,,,, 10:08:03, 13:29:39,*ST风险+资金流出+此前涨幅较大,33,000609
