name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,108.15,111.7,107.24,6092100.0,108.15,4100,108.16,700,-3.18,115.2,105.67,6092100,665340000.0,27.08,8.53,24.33,120.77,134.04,89.36,0.64
锡华科技,sh603248,26.01,24.82,24.81,9775000.0,26.01,35200,26.02,60500,4.79,26.36,24.81,9775000,251840000.0,14.1,6.24,18.03,119.65,27.3,22.34,1.27
天溯计量,sz301449,68.53,70.38,69.68,1646400.0,68.52,6700,68.53,5000,-2.63,69.98,68.1,1646400,113310000.0,11.83,2.67,9.53,44.69,84.46,56.3,0.97
美埃科技,sh688376,69.69,68.7,69.49,247307700.0,69.68,3200,69.69,7400,1.44,72.16,67.6,247307700,171730000.0,1.83,6.64,94.26,94.26,82.44,54.96,0.69
同飞股份,sz300990,83.6,83.23,83.0,3540500.0,83.59,1600,83.6,600,0.44,84.47,81.68,3540500,294850000.0,4.59,3.35,64.48,142.6,99.88,66.58,0.6
中光防雷,sz300414,14.06,14.15,14.16,8227600.0,14.05,81500,14.06,30900,-0.64,14.22,14.04,8227600,116120000.0,2.62,1.27,44.08,45.84,16.98,11.32,0.71
苏州天脉,sz301626,269.36,263.79,263.8,2741500.0,269.36,6600,269.4,200,2.11,280.0,263.8,2741500,753300000.0,5.21,6.14,141.73,311.6,316.55,211.03,1.28
ST名家汇,sz300506,4.83,4.94,4.94,7764700.0,4.83,39100,4.84,46500,-2.23,4.98,4.82,7764700,37790000.0,1.06,3.24,35.49,68.86,5.93,3.95,1.22
森赫股份,sz301056,14.13,13.99,13.99,2873500.0,14.13,3900,14.14,1000,1.0,14.49,13.76,2873500,40680000.0,1.63,5.22,24.87,37.7,16.79,11.19,0.57
宏达电子,sz300726,49.24,49.41,49.45,9142900.0,49.23,24700,49.24,900,-0.34,49.67,47.92,9142900,446250000.0,4.26,3.54,105.59,202.79,59.29,39.53,0.9
宏源药业,sz301246,25.89,25.2,25.27,37224800.0,25.89,29500,25.9,72200,2.74,26.04,23.59,37224800,933940000.0,21.89,9.72,44.03,103.56,30.24,20.16,1.95
华盛锂电,sh688353,125.88,116.47,115.99,1066526800.0,125.88,9900,125.89,18900,8.08,127.25,114.78,1066526800,1303630000.0,6.69,10.71,200.78,200.78,139.76,93.18,1.67
鼎泰高科,sz301377,228.0,223.0,222.99,3519600.0,228.0,700,228.01,300,2.24,235.0,220.82,3519600,805060000.0,4.96,6.36,161.93,934.8,267.6,178.4,0.81
腾景科技,sh688195,323.76,325.0,323.0,549964000.0,323.76,4300,323.78,200,-0.38,331.5,315.5,549964000,1781250000.0,4.25,4.92,418.78,418.78,390.0,260.0,0.56
珂玛科技,sz301611,105.0,107.0,105.32,14584900.0,105.0,27000,105.01,1800,-1.87,110.44,104.1,14584900,1553050000.0,9.95,5.93,153.91,457.8,128.4,85.6,0.8
新诺威,sz300765,29.94,30.14,30.0,7693700.0,29.91,500,29.94,2300,-0.66,30.3,29.5,7693700,229900000.0,0.55,2.65,420.54,420.54,36.17,24.11,0.83
安达智能,sh688125,213.5,220.0,217.0,59799400.0,213.5,200,213.56,200,-2.95,219.33,211.29,59799400,128320000.0,0.73,3.65,174.41,175.34,264.0,176.0,0.52
杰华特,sh688141,79.53,80.6,80.58,1619467500.0,79.53,13400,79.54,200,-1.33,80.59,77.1,1619467500,1275120000.0,3.6,4.33,358.14,358.14,96.72,64.48,0.69
铜冠铜箔,sz301217,70.98,59.15,57.97,77959800.0,70.98,962500,0.0,0,20.0,70.98,57.89,77959800,4999920000.0,9.4,22.13,588.44,588.44,70.98,47.32,1.67
海科新源,sz301292,90.8,81.0,80.4,26961100.0,90.79,400,90.8,600,12.1,94.31,79.81,26961100,2336520000.0,31.69,17.9,77.24,202.3,97.2,64.8,1.45
奕东电子,sz301123,66.24,63.0,64.68,14994400.0,66.23,1900,66.24,15600,5.14,69.28,63.7,14994400,1007540000.0,9.09,8.86,109.32,155.43,75.6,50.4,1.55
安通控股,sh600179,4.27,4.26,4.27,30242900.0,4.27,479400,4.28,246600,0.23,4.29,4.24,30242900,129100000.0,0.78,1.17,164.92,180.69,4.69,3.83,0.94
华联控股,sz000036,5.44,5.11,5.19,62867700.0,5.43,90800,5.44,381800,6.46,5.5,5.15,62867700,337040000.0,4.48,6.85,76.32,76.37,5.62,4.6,1.89
滨海能源,sz000695,15.66,15.06,15.01,16358300.0,15.66,17500,15.67,2400,3.98,15.81,14.76,16358300,253460000.0,7.37,6.97,34.74,36.29,16.57,13.55,1.5
