name,code,open,涨停价,跌停价
怡亚通,2183,4.79,5.27,4.31
ST新华锦,600735,4.76,5.02,4.54
焦作万方,612,11.12,12.2,9.98
平煤股份,601666,7.9,8.71,7.13
天目药业,600671,17.32,19.16,15.68
民德电子,300656,22.25,26.59,17.73
中国银河,601881,15.83,17.4,14.24
华峰化学,2064,11.02,12.18,9.96
永泰能源,600157,1.58,1.74,1.42
丰原药业,153,6.31,6.94,5.68
富创精密,688409,68.1,81.4,54.26
皓元医药,688131,72.9,87.05,58.03
莱宝高科,2106,11.08,12.13,9.93
西大门,605155,17.47,19.04,15.58
新洋丰,902,15.65,17.29,14.15
中瑞股份,301587,23.5,28.26,18.84
南方路机,603280,37.81,41.4,33.88
安井食品,603345,79.88,87.77,71.81
四川双马,935,25.07,27.5,22.5
力生制药,2393,21.9,24.04,19.67
恒通股份,603223,9.39,10.3,8.42
国金证券,600109,9.37,10.3,8.42
重庆银行,601963,10.89,11.99,9.81
神州细胞,688520,43.59,52.31,34.87
开普检测,3008,21.7,23.86,19.52
长江能科,920158,15.53,20.11,10.83
晶方科技,603005,27.89,30.62,25.06
万凯新材,301216,17.0,20.36,13.58
骆驼股份,601311,9.22,10.15,8.31
科前生物,688526,15.37,18.43,12.29
联环药业,600513,18.42,20.27,16.59
浙江力诺,300838,15.47,18.42,12.28
张家港行,2839,4.59,5.06,4.14
派林生物,403,13.78,15.16,12.4
三角防务,300775,30.6,36.72,24.48
千里科技,601777,10.72,11.77,9.63
鑫汇科,920267,22.87,29.7,16.0
同有科技,300302,18.41,21.91,14.61
山东钢铁,600022,1.53,1.67,1.37
鲁西化工,830,16.6,18.35,15.01
健友股份,603707,9.09,10.0,8.18
汇源通信,586,13.63,14.98,12.26
优博讯,300531,17.7,21.79,14.53
国网英大,600517,6.05,6.66,5.45
汤臣倍健,300146,12.1,14.51,9.67
沃尔德,688028,65.51,77.96,51.98
新瀚新材,301076,48.66,59.57,39.71
内蒙华电,600863,4.52,4.96,4.06
西南证券,600369,4.51,4.96,4.06
伟星新材,2372,10.5,11.55,9.45
盐津铺子,2847,68.76,75.65,61.89
龙芯中科,688047,132.85,159.6,106.4
柳工,528,12.0,13.15,10.76
凯立新材,688269,40.33,48.34,32.22
国新健康,503,8.94,9.83,8.05
风华高科,636,16.6,18.03,14.75
沪江材料,920204,17.88,23.23,12.51
节能风电,601016,2.97,3.27,2.67
星云股份,300648,52.05,62.32,41.54
上海能源,600508,11.88,13.04,10.67
华银电力,600744,5.92,6.51,5.33
普路通,2769,12.04,13.01,10.65
电广传媒,917,10.36,11.39,9.32
华润微,688396,53.5,63.86,42.58
广聚能源,96,10.35,11.37,9.31
高德红外,2414,14.76,16.25,13.29
科源制药,301281,29.7,35.4,23.6
信隆健康,2105,7.43,8.11,6.63
斯迪克,300806,30.95,37.14,24.76
广农糖业,911,7.35,8.1,6.62
同济科技,600846,13.24,14.56,11.92
居然智家,785,2.96,3.23,2.65
重庆钢铁,601005,1.48,1.62,1.32
联明股份,603006,13.14,14.53,11.89
宸展光电,3019,33.76,37.08,30.34
尚太科技,1301,86.66,95.04,77.76
玲珑轮胎,601966,14.62,16.09,13.17
国联民生,601456,10.24,11.26,9.22
万马科技,300698,42.33,50.9,33.94
江南化工,2226,5.85,6.44,5.27
传化智联,2010,5.84,6.44,5.27
有研新材,600206,20.47,22.52,18.42
秋乐种业,920087,15.92,20.87,11.25
凯众股份,603037,14.8,16.02,13.1
顶点软件,603383,36.33,40.0,32.72
博瑞医药,688166,49.37,59.28,39.52
上海银行,601229,10.17,11.19,9.15
盛和资源,600392,21.68,23.85,19.51
日丰股份,2953,11.6,12.72,10.4
中原证券,601375,4.34,4.76,3.9
茂化实华,637,4.33,4.76,3.9
隆盛科技,300680,55.6,67.51,45.01
口子窖,603589,30.23,33.29,27.23
易天股份,300812,29.32,34.56,23.04
国际医学,516,4.31,4.75,3.89
无锡鼎邦,920931,14.48,18.7,10.08
广咨国际,920892,15.96,20.56,11.08
奇德新材,300995,41.19,49.92,33.28
康农种业,920403,22.76,29.83,16.07
彤程新材,603650,44.76,48.9,40.01
海天味业,603288,37.24,41.01,33.55
万东医疗,600055,15.71,17.26,14.12
亚太科技,2540,7.13,7.84,6.42
泰祥股份,301192,29.83,35.88,23.92
森麒麟,2984,21.32,23.45,19.19
一博科技,301366,35.52,42.62,28.42
荣晟环保,603165,13.0,14.01,11.47
正海磁材,300224,15.59,18.68,12.46
南特科技,920124,18.39,23.84,12.84
协鑫集成,2506,2.84,3.1,2.54
光迅科技,2281,70.8,77.5,63.41
豪威集团,603501,127.03,139.48,114.12
瑞尔特,2790,8.49,9.3,7.61
益生股份,2458,8.44,9.28,7.6
劲嘉股份,2191,4.22,4.64,3.8
宝新能源,690,4.22,4.64,3.8
天味食品,603317,12.61,13.87,11.35
淮北矿业,600985,11.19,12.31,10.07
亿田智能,300911,33.68,40.25,26.83
泰达股份,652,4.21,4.61,3.77
胜科纳米,688757,26.61,31.8,21.2
宏发股份,600885,30.7,33.68,27.56
天智航,688277,15.28,18.36,12.24
会通股份,688219,12.5,15.01,10.01
国科微,300672,109.12,130.08,86.72
德联集团,2666,5.55,6.11,5.0
建龙微纳,688357,33.28,39.95,26.63
华天科技,2185,11.04,12.16,9.95
天邦食品,2124,2.76,3.04,2.48
林洋能源,601222,5.51,6.06,4.96
科大智能,300222,11.09,13.22,8.82
锐捷网络,301165,89.65,107.34,71.56
上海沿浦,605128,37.13,40.84,33.42
雅葆轩,920357,23.52,30.38,16.36
苏州固锝,2079,9.65,10.58,8.66
汇通能源,600605,30.22,33.24,27.2
天坛生物,600161,16.46,18.11,14.81
神驰机电,603109,26.16,28.58,23.38
中瓷电子,3031,73.04,81.07,66.33
人民同泰,600829,10.93,11.98,9.8
洋河股份,2304,61.18,67.31,55.07
得润电子,2055,6.83,7.47,6.11
沙河股份,14,13.66,14.91,12.2
达意隆,2209,16.23,17.86,14.62
申通快递,2468,13.56,14.87,12.17
欧康医药,920230,12.16,15.8,8.52
峰璟股份,2662,4.06,4.46,3.65
东华测试,300354,45.22,55.01,36.67
华研精机,301138,39.48,46.91,31.27
基康技术,920879,21.48,28.02,15.1
领湃科技,300530,27.01,32.28,21.52
宝钢包装,601968,5.38,5.92,4.84
奋达科技,2681,6.73,7.37,6.03
太极实业,600667,8.08,8.83,7.23
远大控股,626,8.0,8.79,7.19
建发股份,600153,9.33,10.25,8.39
劲拓股份,300400,20.12,23.94,15.96
戎美股份,301088,17.39,20.74,13.82
鼎佳精密,920005,41.18,53.53,28.83
洪通燃气,605169,13.25,14.61,11.95
新亚强,603155,17.17,18.99,15.53
兖矿能源,600188,13.25,14.58,11.93
凯大催化,920974,7.96,10.33,5.57
三峡水利,600116,6.59,7.25,5.93
坤彩科技,603826,17.14,18.84,15.42
万年青,789,5.3,5.8,4.74
九强生物,300406,13.17,15.8,10.54
中化国际,600500,3.95,4.35,3.56
华正新材,603186,50.18,54.98,44.98
济民健康,603222,9.19,10.12,8.28
深圳能源,27,6.57,7.23,5.91
富士莱,301258,32.74,39.3,26.2
隧道股份,600820,6.56,7.19,5.89
格力电器,651,40.56,44.58,36.48
英科医疗,300677,39.23,47.04,31.36
翔丰华,300890,30.0,36.04,24.02
龙竹科技,920445,11.97,15.26,8.22
东吴证券,601555,9.11,10.04,8.22
电投产融,958,6.52,7.17,5.87
捷捷微电,300623,27.54,32.86,21.9
云煤能源,600792,3.92,4.3,3.52
甘肃能源,791,6.5,7.15,5.85
琏升科技,300051,6.51,7.8,5.2
常熟汽饰,603035,15.63,17.15,14.03
双象股份,2395,16.86,18.55,15.17
科新发展,600234,13.02,14.25,11.66
新华制药,756,15.55,17.08,13.98
山西焦煤,983,6.45,7.12,5.82
鑫科材料,600255,3.86,4.27,3.49
康缘药业,600557,14.2,15.64,12.8
南模生物,688265,41.16,49.6,33.06
元利科技,603217,25.81,28.4,23.24
永和股份,605020,27.06,29.81,24.39
唐山港,601000,3.88,4.26,3.48
天能股份,688819,33.35,40.18,26.78
汉威科技,300007,53.77,64.82,43.22
科隆股份,300405,6.44,7.72,5.14
广信股份,603599,11.6,12.73,10.41
金开新能,600821,5.13,5.65,4.63
中熔电气,301031,112.87,135.68,90.46
金盘科技,688676,94.35,109.26,72.84
山西汾酒,600809,172.58,190.36,155.75
广西能源,600310,3.84,4.22,3.46
宁波色母,301019,23.08,27.65,18.43
南京银行,601009,11.51,12.67,10.37
冠捷科技,727,2.57,2.82,2.3
正裕工业,603089,12.82,14.05,11.49
瑞晨环保,301273,26.62,32.04,21.36
石英股份,603688,36.88,40.56,33.18
山煤国际,600546,10.14,11.19,9.15
国盛智科,688558,28.97,34.99,23.33
优德精密,300549,18.96,22.81,15.21
南网储能,600995,12.62,13.94,11.4
悦康药业,688658,22.68,27.35,18.23
山西焦化,600740,3.79,4.17,3.41
敏芯股份,688286,80.09,95.5,63.66
上海电力,600021,20.08,22.2,18.16
四方光电,688665,49.0,58.99,39.33
许昌智能,920496,10.14,13.09,7.05
博力威,688345,31.5,37.74,25.16
坚朗五金,2791,21.43,23.52,19.24
