股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000010.SZ,*ST美丽,2.19,-5.194805194805199,跌停,0,1,,,, 09:40:00, 09:40:00,此前涨幅较大+重组预期降温+退市风险警示风险,33,000010
000025.SZ,特力A,15.61,-0.19181585677750088,涨停,1,0, 10:41:59, 10:45:14,黄金珠宝数字化+物业租赁+深圳国资,,,,33,000025
000029.SZ,深深房A,26.86,-0.4816598740274139,涨停,2,0, 09:31:15, 09:31:15,权益分派+房地产+深圳国资,,,,33,000029
000048.SZ,京基智农,18.95,6.281547952888396,涨停,2,0, 09:30:45, 10:12:35,协议转让+生猪养殖+猪价反弹+机器人,,,,33,000048
000056.SZ,*ST皇庭,1.64,-5.2023121387283275,跌停,0,2,,,, 09:30:45, 09:30:45,退市风险警示+前期涨幅较大+芯片板块下跌,33,000056
000078.SZ,ST海王,1.51,-1.3071895424836613,跌停,0,1,,,, 10:43:44, 14:06:55,ST板块+资金净流出+创新药板块下跌,33,000078
000488.SZ,ST晨鸣,2.16,-0.9174311926605512,涨停,1,0, 13:40:02, 13:48:40,浆纸一体化+摘帽预期+一季报减亏,,,,33,000488
000534.SZ,万泽股份,28.46,-0.9742519137091079,跌停,0,1,,,, 09:55:31, 14:51:19,前期涨幅较大+资金净流出+股东质押,33,000534
000558.SZ,天府文旅,3.89,0.0,涨停,1,0, 10:23:50, 10:23:50,冰雪旅游+影旅融合+成都国资,,,,33,000558
000609.SZ,*ST中迪,11.62,-2.516778523489939,跌停,0,1,,,, 10:23:35, 14:42:41,房地产板块下跌+资产注入利好兑现+退市风险警示,33,000609
000610.SZ,*ST西旅,6.72,-0.8849557522123966,跌停,0,1,,,, 11:24:14, 13:02:55,退市风险警示风险+关联方借款,33,000610
000639.SZ,ST西王,1.36,-4.2253521126760445,跌停,0,1,,,, 10:17:50, 10:17:50,控股股东股权变卖+控制权变更风险+一季报止盈转亏,33,000639
000677.SZ,ST海龙,1.83,-3.174603174603166,跌停,0,1,,,, 10:20:20, 13:03:10,退市风险警示风险+粘胶板块回调+增持利好落地,33,000677
000711.SZ,ST京蓝,5.37,-1.2867647058823581,跌停,0,1,,,, 13:01:08, 14:56:54,板块下跌+此前涨幅巨大,33,000711
000815.SZ,美利云,15.77,-6.520450503853001,涨停,1,0, 09:52:31, 09:52:31,算力+业绩增长+央企,,,,33,000815
000820.SZ,*ST节能,3.05,0.0,跌停,0,1,,,, 13:51:33, 14:46:07,证监会立案+板块跟跌+此前持续下跌,33,000820
000826.SZ,*ST启环,2.07,-2.8169014084507067,跌停,0,1,,,, 14:16:58, 15:00:00,涉诉金额巨大+预重整未定+板块下跌,33,000826
000838.SZ,*ST发展,1.66,-2.9239766081871372,跌停,0,1,,,, 10:26:50, 13:02:40,融资逾期+*ST风险+一季度亏损扩大,33,000838
000970.SZ,中科三环,14.24,-1.7931034482758605,涨停,1,0, 10:19:50, 10:19:50,人形机器人+轴向磁通电机+稀土永磁+中科院,,,,33,000970
