name,code,now,close,open,volume,bid_volume,ask_volume,bid1,bid1_volume,bid2,bid2_volume,bid3,bid3_volume,bid4,bid4_volume,bid5,bid5_volume,ask1,ask1_volume,ask2,ask2_volume,ask3,ask3_volume,ask4,ask4_volume,ask5,ask5_volume,最近逐笔成交,datetime,涨跌,涨跌(%),high,low,价格/成交量(手)/成交额,成交量(手),成交额(万),turnover,PE,unknown,high_2,low_2,振幅,流通市值,总市值,PB,涨停价,跌停价,量比,委差,均价,市盈(动),市盈(静)
上证指数,sh000001,4015.75,4117.95,4079.71,73295369800.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-02-02 15:52:13,-102.2,-2.48,4103.41,4013.66,4015.75/732953698/1163532654162,73295369800,1163532650000.0,1.53,17.08,,4103.41,4013.66,2.18,616582.19,656080.93,0.0,-1.0,-1.0,0.88,0.0,4069.2,,
深证成指,sz399001,13824.35,14205.89,14128.87,81114236400.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-02-02 15:51:54,-381.54,-2.69,14213.61,13815.28,13824.35/811142364/1421232461623,81114236400,1421232460000.0,3.37,51.82,,14213.61,13815.28,2.8,386439.45,450871.4,0.0,-1.0,-1.0,0.86,0.0,14059.78,,
创业板指,sz399006,3264.11,3346.36,3368.14,23854360800.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,,2026-02-02 15:52:09,-82.25,-2.46,3390.3,3262.12,3264.11/238543608/676890732342,23854360800,676890730000.0,4.63,70.52,,3390.3,3262.12,3.83,146734.7,181659.01,0.0,-1.0,-1.0,0.85,0.0,3331.23,,
